強硬 强硬	23-44930-B
強硬態度 强硬态度	23-44972-B
強硬派 强硬派	23-45049-B
強行 强行	23-45119-B
強詞奪理 强词夺理	23-45173-B,23-45295-B
強調 强调	23-45490-B
強輻射區 强辐射区	23-45563-B
強迫 强迫	23-45639-B
強迫性 强迫性	23-45692-B
強迫性儲物症 强迫性储物症	23-45759-B
強迫症 强迫症	23-45859-B
強迫觀念 强迫观念	23-45936-B
強隊 强队	23-46022-B
強震 强震	23-46082-B
強風 强风	23-46174-B
強鹼 强碱	23-46215-B
強龍不壓地頭蛇 强龙不压地头蛇	23-46265-B
弸	23-46452-S
弸 弸	23-46452-B
弹	23-46884-S,23-46939-S
弹丸	23-47048-S
弹冠相庆	23-47088-S
弹出	23-47271-S
弹力	23-47326-S
弹劾	23-47405-S
弹压	23-47685-S
弹唱	23-47491-S
弹坑	23-47571-S
弹壳	23-49073-S
弹头	23-50378-S
弹夹	23-47765-S
弹奏	23-47848-S
弹孔	23-47909-S
弹射	23-47955-S
弹射出	23-48043-S
弹射座椅	23-48108-S
弹射座舱	23-48176-S
弹尽援绝	23-49352-S
弹尽粮绝	23-49491-S
弹弓	23-48257-S
弹性	23-48306-S
弹性形变	23-48371-S
弹性模量	23-48449-S
弹拨	23-48825-S
弹拨乐	23-48877-S
弹拨乐器	23-48941-S
弹指	23-48555-S
弹指之间	23-48663-S
弹斥	23-49019-S
弹涂鱼	23-47614-S
弹片	23-49121-S
弹牙	23-49184-S
弹珠	23-49225-S
弹琴	23-49266-S
弹簧	23-49618-S
弹簧秤	23-49660-S
弹簧锁	23-49723-S
弹簧门	23-49781-S
弹纠	23-49838-S
弹花	23-49892-S
弹药	23-49960-S
弹药库	23-50004-S
弹词	23-50063-S
弹跳	23-50128-S
弹跳板	23-50188-S
弹道	23-50245-S
弹道导弹	23-50315-S
强	23-42165-S,23-42209-S,23-42306-S
强中自有强中手	23-42358-S
强令	23-42477-S
强使	23-42597-S
强健	23-42651-S
强光	23-42694-S
强兵	23-42737-S
强制	23-42835-S
强力	23-42899-S
强加	23-42942-S
强劲	23-42993-S
强势	23-43049-S
强化	23-43091-S
强占	23-42542-S
