zhi1 shu1	17-6312-S
zhi1 shu4	32-58780-S
zhi1 si3 huo2	2-21750-S
zhi1 si4 hai3 er2 jie1 zhun3	29-48739-S
zhi1 suan1	46-26191-S,61-3728-S
zhi1 suan1 gai4	46-26259-S
zhi1 suo3 cuo4	2-21606-S
zhi1 suo3 yun2	2-21497-S
zhi1 tan2	2-24937-S,40-58571-S
zhi1 tang2	2-19765-S
zhi1 te4 qu1	7-68169-S
zhi1 ti3	52-10885-B,52-26546-S
zhi1 tian1 gao1 di4 hou4	2-21246-S
zhi1 tong4	8-62770-S
zhi1 tu2	2-33802-S,3-65840-S,18-29471-S,69-20480-S
zhi1 wa1	3-56522-S
zhi1 wai4	3-10796-B,66-21426-S,66-22485-S
zhi1 wei1	3-12489-S,5-56342-S
zhi1 wei2	47-34420-S
zhi1 wei3 yuan2 hui4	18-15163-S,49-38598-S
zhi1 wei4 ding4	41-327-S
zhi1 wu2	43-56589-S
zhi1 wu2 kui4	43-65252-S
zhi1 wu2 qi2 ci2	29-37873-B
zhi1 wu3 shi2	44-51063-S
zhi1 wu4	2-9683-S,49-25805-S,49-54996-S,50-14188-S,50-40128-B
zhi1 xi1	45-63594-B
zhi1 xi3	14-16005-S
zhi1 xia4	3-10431-B,15-36882-S,25-13645-S
zhi1 xian4	25-37030-S,29-39108-B,44-66062-S
zhi1 xiang1	1-40182-S,70-37466-S
zhi1 xiang1 di3	29-41279-S
zhi1 xiang3	23-34544-S
zhi1 xiao3	45-63734-B
zhi1 xin1	39-21725-S,39-21826-S,45-47273-S,45-63545-B
zhi1 xin1 lu4 ren2 suo3 zhi1	12-25246-S
zhi1 xing1	35-28433-S
zhi1 xiu4	24-1768-S
zhi1 xu1	2-14755-S
zhi1 xue2	49-38708-S
zhi1 xue4 zheng4	70-21008-S
zhi1 ya1	33-38274-B
zhi1 yan2	61-67948-S,62-57055-S
zhi1 yao1 yao1	61-64325-S
zhi1 ye4	33-38423-B,36-53451-B
zhi1 yi1	1-26806-S,1-31049-S,3-10311-B,3-17768-S,3-32853-S,3-40924-S,3-47334-S,7-49210-S,7-66176-S,10-42582-S,10-45208-S,14-46565-S
zhi1 yi1 bai3	44-50881-S
zhi1 yi1 er4	43-56167-S
zhi1 yi1 ju4	4-26737-S
zhi1 yi1 tan4	4-26525-S,4-26631-S
zhi1 yi1 xiao4	4-26876-S
zhi1 yi3	4-30250-S
zhi1 yi3 fa3	50-41487-S
zhi1 yi3 heng2	27-56332-S
zhi1 yi4	23-34319-S,57-55739-S,67-61011-S
zhi1 yin1	23-34398-S,51-2739-S
zhi1 you1	24-3030-S
zhi1 you3 she4	55-40883-S
zhi1 you4 xuan2	42-26982-S
zhi1 yu2	39-44860-S,52-23405-S
zhi1 yu3	53-50679-B
zhi1 yu3 liu2 yi4	29-39202-B
zhi1 yu4	36-54359-S
