xiě yǔ yán	32-10673-S
xiě zhào	20-23790-B
xiě zhēn	20-23834-B
xiě zhǐ	57-5563-S
xiě zuò	16-44349-S,20-23445-B
xiě zì	20-23551-B
xiě zì bǎn	36-40793-S
xiě zì mǔ	20-63460-S
xiě zì tái	20-23603-B
xiōng	6-63734-B,7-1253-B,7-26336-S,8-30658-B,10-19820-B,12-39010-S,16-2256-S,22-35435-S,22-35492-S,22-47473-S,23-33582-S,24-37892-S,25-261-B,25-19426-S,28-8650-S,31-18719-S,36-26676-S,37-63132-B,45-6944-S,47-2299-S,51-25603-S,52-24174-B,56-28744-S,56-31513-S,56-43235-S,57-10799-S,60-34829-S,65-11971-S,65-66966-S
xiōng bào	7-1857-B,8-30998-B
xiōng bù	52-26080-B
xiōng cán	7-1959-B,8-31040-B
xiōng cáo	52-25101-B
xiōng duō jí shǎo	7-1405-B
xiōng dà jī	52-24454-B
xiōng dì	3-19248-S,6-63772-B,11-14667-S,16-2341-S,26-65271-S,45-7016-S,54-35523-S,56-43305-S,66-67708-S
xiōng dì huì	6-63824-B
xiōng dì xì qiáng	6-63880-B
xiōng dùn zú	28-8706-S
xiōng dǎng	8-31206-B
xiōng fàn	7-2168-B
xiōng gǔ	52-26210-B
xiōng huái	52-24706-B
xiōng huāng	7-2750-B
xiōng hàn	7-1603-B
xiōng hěn	7-2273-B,8-31127-B
xiōng jiǎ	52-25251-B
xiōng jīn	52-26005-B
xiōng kuáng	7-2212-B
xiōng kuò	52-24603-B
xiōng kuān	52-24552-B
xiōng kāi kuò	24-38019-S
xiōng kǒu	52-24276-B
xiōng lì	7-1742-B
xiōng men	23-33624-S
xiōng mèi	12-51257-S
xiōng mó	52-25792-B
xiōng mó yán	52-25875-B
xiōng mēn	52-24645-B
xiōng měng	7-2352-B
xiōng nián	7-1552-B
xiōng nú	10-19865-B
xiōng pú	52-25534-B
xiōng qiáng	52-25180-B
xiōng qiāng	52-25574-B
xiōng qì	7-1343-B
xiōng ròu	52-25409-B
xiōng shà	7-2121-B
xiōng shén	7-2605-B
xiōng shén è shà	7-2653-B
xiōng shì	8-30723-B
xiōng shā	7-2014-B,8-31082-B
xiōng shā àn	7-2064-B
xiōng shēn	7-2804-B
xiōng shǒu	7-1793-B,8-30953-B
xiōng sǐ	7-1906-B
xiōng táng	52-25750-B
xiōng wán	7-2919-B
xiōng wéi	52-24396-B
xiōng xiàn	52-25627-B
xiōng xiàn mì dìng	52-25670-B
