de meng	61-40614-S,61-42863-S
de meng dun	15-58671-S,53-47289-S
de ming	24-7187-B
de ming fen	65-13021-S
de ming zhu	44-59858-S
de mo	4-53394-S
de míng fèn	65-13021-S
de mó	4-53394-S
de na	9-55593-S,29-724-S
de na wei ya	30-39762-S
de nan ren hou mian bi you yi ge feng xian de nu: ren	26-8394-S
de ni	57-39245-S
de nu: ren	26-8394-S
de nà wéi yà	30-39762-S
de nán rén hòu mian bì yǒu yī gè fèng xiàn de nǚ rén	26-8394-S
de nǐ	57-39245-S
de nǚ rén	26-8394-S
de piao	24-8745-B
de piao lu:	24-8791-B
de qi	20-49649-S,29-37486-S,45-38558-S,49-58867-S
de qi jian	31-4798-S
de qi suo	12-29426-S
de qian shu	23-60905-S
de qing	16-6706-S
de qing xing	6-4334-S
de qu	62-45390-S
de qìng xìng	6-4334-S
de qǐ	20-49649-S,45-38558-S,49-58867-S
de r	55-24240-S
de ren	22-66670-S,53-6537-S
de ren shi	62-51038-S
de ren xin	2-8568-S
de rén	53-6537-S
de sa	29-65396-S
de sai	18-13962-S
de se	43-10726-S
de shang	42-2423-S,43-34719-S
de she shi	11-59850-S
de sheng	5-44202-S,24-7044-B,31-3858-S
de sheng fen	11-66156-S
de sheng li	42-23365-S
de shi	1-77457-S,2-8093-S,6-4623-S,20-17631-S,22-31436-S,24-7106-B,24-7387-B,26-61128-S,32-36725-S,54-3480-S,64-196-S
de shi hou	44-59199-B
de shi jie	67-52757-S
de shui	9-6681-S,18-32123-S,26-28449-S
de shuo	48-36720-S
de shuō	48-36720-S
de shàng	42-2423-S,43-34719-S
de shè shī	11-59850-S
de shì	1-77457-S,2-8093-S,6-4623-S,32-36725-S,64-196-S
de shì jiè	67-52757-S
de shí hòu	44-59199-B
de shěng fèn	11-66156-S
de si	35-22652-S
de si jiu	19-10685-S
de si tan	22-66850-S
de si wo er	25-34312-S
de su zhi	62-50864-S
de ti	24-9461-B
de tian du hou	24-7256-B
de tou she	23-46265-S
de tóu shé	23-46265-S
de wan can	32-20696-S
de wan shang	31-36317-S
de wang	69-37528-S
de wang chao	66-14347-S
de wei di ya	54-63045-S
de wei er pan	24-27945-B
de wei ge	70-40658-S
de wei jie fu	34-10755-S
de wei xi	60-42394-S
de wei yi biao zhun	20-15514-S
de wu liang	9-48776-S
de wu pa	24-27729-B
de wu xiao dan	41-34619-S
de wu yan	59-39167-S
de wéi yī biāo zhǔn	20-15514-S
de wú xiào dàn	41-34619-S
de wǎn cān	32-20696-S
de wǎn shang	31-36317-S
de xi	24-7691-B
de xiang	4-20724-S
de xin	7-59942-S,46-18909-S
de xin lai	6-4269-S
de xin yi	44-61618-S
de xin ying shou	24-7608-B
de xing	24-28403-B,32-32508-S,42-23427-S,51-18120-S
de xing mian yi	42-23498-S
de xing wu zhu gan	51-18180-S
de xing yue du zhang ai	42-23582-S
de xiu si	18-13901-S
de xìn lài	6-4269-S
de xīn	46-18909-S
de xīn yī	44-61618-S
de yan	18-37449-S
de yao ling	2-8947-S
de yi	2-8746-S,24-6618-B,24-7436-B,24-7752-B,31-36208-S,37-51133-S,54-42826-S,61-51811-S
de yi ji	43-19310-S
de yi shu	12-13833-S
de yi ti	57-63554-S
de yi wang xing	24-7832-B
de yi yang yang	24-7914-B,24-8132-B
de yu wang quan	24-9528-B
de yu yan	2-40245-S
de yuan man	9-48649-S
de yì shù	12-13833-S
de yì tí	57-63554-S
de yí jì	43-19310-S
de yǔ yán	2-40245-S
de zhao	24-8919-B,42-2509-S,43-34789-S
de zhe	42-23688-S
de zhen	31-23784-S,31-53828-S
de zhen shi	31-53933-S
de zheng	24-9058-B,24-26976-B
de zhi	24-8684-B,24-8962-B,24-27406-B
de zhong	24-6335-B
de zhu	5-37073-S,24-6484-B,24-42924-S,26-22537-S,42-16766-S,54-37738-S
de zhu yi	6-4536-S
de zhu yi de shi	6-4623-S
de zhuan	42-38672-S
de zhuan huan	15-39612-S
de zhuang tai	53-11188-S
de zhuàng tài	53-11188-S
de zhuǎn huàn	15-39612-S
de zháo	42-2509-S,43-34789-S
de zhù	5-37073-S,24-42924-S,26-22537-S
de zhù yì	6-4536-S
de zhù yì de shì	6-4623-S
de zong	60-42277-S
de zu zhi	67-66995-S
de zui	24-8863-B
de zǔ zhī	67-66995-S
de · Shi wa xin ge	66-12616-S
de ér zi	46-58629-S
de1 ming2 zhu1	44-59858-S
de2	1-18933-S,1-34468-S,1-76382-S,2-8284-S,2-19129-S,2-34770-S,3-11173-S,3-64646-S,3-64732-S,4-48496-S,5-4469-S,5-31589-S,5-37129-S,7-15154-S,7-17125-S,7-32369-S,7-41151-S,7-51339-S,7-56571-S,7-59879-S,9-8114-S,9-48592-S,10-5294-S,10-23767-S,11-7601-S,11-7647-S,11-8653-S,11-14511-S,11-58112-S,12-7980-S,12-47037-S,12-47214-S,13-33870-S,13-38849-S,13-39474-S,13-56746-S,14-8212-S,14-12167-S,14-50091-S,16-2153-S,16-2433-S,16-54673-S,16-60129-S,18-14696-S,18-17526-S,18-47080-S,19-65223-S,20-17478-S,21-12957-S,22-2829-S,22-6621-S,22-8171-S,22-17021-S,22-31268-S,22-66616-S,23-2242-S,23-3109-S,23-12769-S,23-21151-S,23-28730-S,23-31822-S,23-32371-S,23-60861-S,24-5886-B,24-22628-B,24-23888-B,24-31626-S,24-32226-S,25-1039-S,25-2050-S,25-20356-S,25-24370-B,25-41000-S,25-59263-S,25-63435-S,26-28387-S,26-29765-S,26-60960-S,27-22159-S,27-22920-S,29-2172-S,29-65598-S,29-66141-S,30-41205-S,30-65796-S,30-66475-S,31-2016-S,31-4665-S,31-23696-S,31-27542-S,31-47819-S,31-47922-S,32-40099-S,33-18953-S,33-34115-S,34-6427-S,34-11736-S,35-25969-S,35-27520-S,35-27604-S,36-9779-S,36-51196-S,36-53974-S,37-33086-S,37-34685-S,37-38598-S,37-51249-S,37-55592-S,37-55999-S,38-19511-S,40-1179-S,41-7392-S,41-38831-S,41-43168-S,42-23305-S,42-38061-S,42-47571-S,42-55552-S,43-129-S,43-10980-S,43-14074-S,45-4966-S,47-19620-S,47-21454-S,47-37862-S,48-23811-S,49-56899-S,50-51879-S,51-6928-S,51-46092-S,53-46717-S,53-46782-S,53-46873-S,53-47352-S,54-3403-S,57-17407-S,57-18757-S,57-25838-S,57-29540-S,59-30287-S,59-30934-S,59-42837-S,59-53751-S,59-63302-S,60-4305-S,60-8108-S,60-42081-S,60-42206-S,61-1406-S,61-6932-S,62-31596-S,62-45287-S,62-50753-S,63-18168-S,63-54640-S,64-49565-B,65-14794-S,65-66066-S,65-69851-S,66-2236-S,66-2296-S,66-2356-S,66-9604-S,66-11976-S,66-28968-S,66-37726-S,66-55197-S,66-55736-S,67-12110-S,67-17127-S,67-23707-S,67-43710-S,68-23883-S,69-31481-S,69-41673-S,70-38138-S,71-33048-S
de2 Hu2	3-11210-S
de2 Tai4 zi3	51-46861-S
de2 Wa3 er3 si1	48-30862-S
de2 Wa3 er3 si1 li4	48-30981-S
de2 a1 ba1 de2	53-46782-S
de2 an1	24-32275-S
de2 ba1 he4	65-23656-S
de2 ba1 he4 cai1 xiang3	13-43080-S
de2 bang1	37-47987-S
de2 bao3	13-43010-S,23-61001-S,38-19591-S,38-19655-S,51-46629-S,69-38985-S
de2 bei1	54-39840-S
de2 bing4	24-8617-B
de2 bo2 neng2 xian3	24-28215-B
de2 bu4	2-8354-S
de2 bu4 chang2 shi1	24-6164-B
de2 bu4 dao4	24-6268-B
de2 bu4 la1 de2	33-34115-S
de2 cai2	24-26652-B
de2 cai2 jian1 bei4	24-26725-B
de2 cheng3	24-9117-B
de2 chu1	24-6805-B
de2 cun4 jin4 chi3	24-7495-B
de2 da4 xue2 xue2 wei4	11-58171-S
de2 dang4	24-8563-B
de2 dao3	50-57816-S
de2 dao3 zhou1	50-57872-S
de2 dao4	12-12856-S,24-6920-B
de2 dao4 duo1 zhu4	24-9306-B
de2 dao4 ji1 quan3 sheng1 tian1	1-1662-S
de2 di4 qu1	20-17550-S,22-31341-S,26-61033-S
de2 duo1	22-199-S
de2 er2 zhi1	2-8868-S
de2 er3	54-37418-S
de2 er3 bo2 li3	48-45394-S
de2 er3 fu2 de2	34-6427-S
de2 er3 shi4	55-24315-S
de2 fa1 dou3	14-40035-S
de2 fa3 nian2 jian4	24-27504-B
de2 fen1	24-6879-B
de2 fu2	14-61468-S
de2 gao1 wang4 zhong4	24-29131-B
de2 ge1 er3 mo2	30-40386-S
de2 ge2 er3	38-19709-S
de2 ge2 le4	23-61180-S
de2 gong1 ren2 dang3	22-66747-S
de2 guo4 qie3 guo4	24-9167-B
de2 hai3 mu3	22-66986-S
de2 hao2 si1	4-53040-S
de2 he2 ke4	39-21552-S
de2 hou4 shu1	23-61084-S
de2 hu3 zi3	1-70353-S
de2 hua2	25-34457-S
de2 hua2 dao3	25-34522-S
de2 hua2 wang2 zi3 dao3	25-34596-S
de2 hua2 zi1	25-34692-S
de2 hui4	60-42336-S
de2 ji1	52-13744-S
de2 ji1 zha2 ji1	52-13813-S
de2 ji4	60-42152-S
de2 jia1	15-58402-S,62-50814-S
