crab	55-61362-S,56-3709-B,56-9923-B,56-9951-B,56-9990-S,56-13246-S,56-17073-S,56-19212-S,56-19345-B,56-20455-S,59-16079-S,70-48547-S
crab apple	33-48402-B
crab apple malus asiatica	53-59281-B
crab apple malus spectabilis	38-20440-S
crab eating mongoose herpestes urva	56-19372-B
crab eriocheir sinensis	49-49765-S
crab generals in mythology or popular fiction	56-7851-S
crab meat	56-19444-B,56-19487-B
crab meat in general	56-19623-S
crab paste	56-19530-B
crab roe	56-19623-B
crab spawn	56-19623-B
crab tachypleus tridentatus	69-42988-S
crab wise	35-9260-B
crabby	5-62216-B
crabs	56-1105-S
crack	14-39396-S,15-54379-S,21-45390-B,34-45314-B,40-33510-B,41-34181-S,41-35240-B,43-7468-S,47-50643-B,50-26585-B,50-26720-B,50-27578-S,50-50058-B,56-53990-B,56-54471-B,56-54569-B,56-54613-B,56-55394-B,59-16304-B,61-56046-S,63-22472-B,66-41788-B
crack a joke	62-3694-S
crack a nut	17-18573-S,17-21856-S,17-26443-S
crack a riddle	46-20122-S
crack and rattle	67-50190-S
crack armed police dealing with hijacking	41-60878-S
crack force	9-63909-S
crack fractionally distill oil	56-54024-S
crack in a rock	46-9662-S
crack jokes	26-21747-S
crack seeds with front teeth	14-23919-S
crack shot	44-55329-S
crack troops	48-53090-B
crack 成语 saw	44-49349-S
crackdown on sth	26-45023-S
cracked	45-999-B
cracked pot	46-18974-S
cracked pot 成语 saw	46-19607-S
cracker	55-39068-B,69-9969-B
cracking	14-40873-B
crackle onomat	9-40969-S,26-57016-S
cracks the whip three times	30-46964-S
cradle	28-54576-B
cradle e g of art	44-32137-S
cradle to the grave 成语 saw	8-42238-S
craft	4-53122-B,5-51810-B,21-52613-B,26-35840-B,28-23345-B,42-8183-B,53-33628-B
craft and cunning	58-15062-S
craft fire	20-53840-S
craft from hard practice 成语 saw	53-41108-S
craft 成语 saw	46-57065-S,70-31516-S
crafts	21-56891-S,26-32669-S
craftsman	10-37263-B,21-60907-S,25-49027-S
craftsman contemptuous	67-4924-S,67-4986-S
craftsman engaged in carving characters	48-31714-B
craftsmanship	46-57065-S,70-31516-S
crafty	5-12502-B,18-25175-B,18-25658-S,42-8088-B,42-8130-B,42-22529-B,58-6366-B,58-14880-B,70-30978-B,70-32107-B,71-43575-B
crafty and evil	18-25071-B,18-25586-B
crafty and evil person	18-24595-B
crafty and fawning	18-24657-B
crafty person	18-25299-S
crafty villain	18-25021-S
craggy	47-31251-B
crags and torrents 成语 saw	54-45956-S
cram	6-64518-S,16-21958-B,35-59509-B
cram class	56-58890-B
cram for exams	56-58790-S
cram into	16-21636-S
cram school	56-58890-B
cram too hard	25-23230-S
cramming as a teaching method	39-37372-B
cramp	26-40256-B,61-26921-S
cramp for mending pottery	64-36365-B
cramp in leg	27-17592-S
cramped	29-35632-B,60-46036-B,62-33913-B
cramping broken pieces together	64-36256-S,64-39174-S
cramps	27-38695-B,41-21176-S
cranberry	55-10851-B,55-10904-B,63-45291-B
crane	1-39952-S,3-14873-S,12-42752-S,12-44686-S,12-44748-S,16-16705-S,44-49839-S,49-23687-S,60-18755-B,60-40370-S,70-57926-B,70-58512-B,71-2744-B,71-33482-S
crane and become immortal	69-50084-S
crane as a daoist adept	69-52910-S
crane flower	40-24963-S,40-25055-S
crane grus japonensis	3-3379-S
crane grus nigricollis	71-33482-S
crane martial art	44-49883-S
crane one s neck 成语 saw	23-19574-S
crane or wild goose	13-56134-S
crane ridge at fuling	44-49972-S
crane to the western paradise	69-50179-S
crane to yangzhou 成语 saw	69-52984-S
crane tower in wuhan city built in 223	71-25597-S
cranes etc	14-33261-S
cranial nerves	52-40466-B
cranium	68-39520-B,68-39567-B
crank handle	32-4773-B,32-4819-S
crank handle for stopping or turning off machinery	9-26553-B
crankshaft	32-6078-B
cranny	39-36715-S
crap	27-22436-B
crape myrtle	49-29738-B
crash	3-72565-S,13-27737-B,13-41491-S,13-41580-B,14-31033-S,14-31033-S,14-31146-S,16-25958-S,16-26006-S,45-29223-B,48-47425-B,57-58010-S,60-59579-S,65-52510-S
crash cars	29-10146-B
crash course	62-16822-B
