yan3 dai4	45-51872-B
yan3 di3	45-48950-B
yan3 di3 xia5	45-49024-B
yan3 dian3	45-52675-B,54-55186-S
yan3 dian4 tu2	45-52293-B
yan3 dong4	45-48467-B
yan3 dong4 ji4 lu4	45-48592-B
yan3 dong4 ji4 shu4	45-48514-B
yan3 duo1	24-36346-S
yan3 er3	28-33457-B
yan3 er3 dao4 ling2	28-33509-B
yan3 er5	24-36222-S
yan3 fang2	45-49273-B
yan3 fang2 shui3	45-49347-B
yan3 feng1	45-52361-B
yan3 fu1	17-41123-S
yan3 fu2	45-50905-B
yan3 gai4	28-33669-B
yan3 gao1 shou3 di1	45-52491-B
yan3 ge2	45-49571-B
yan3 guan1 cha2	52-6304-S
yan3 guang1	45-48142-B
yan3 guang1 duan3	45-48184-B
yan3 guo4 lao2	45-52119-B
yan3 hao3	24-36561-S
yan3 hong2	45-51244-B
yan3 hu4	28-33799-B
yan3 hua1	68-37983-S
yan3 hua1 liao2 luan4	45-51618-B
yan3 hua4	39-45520-B
yan3 ji2 shi4	61-26099-S
yan3 ji4	39-45998-B
yan3 jian1	45-48722-B
yan3 jian3	1-54446-S,1-61951-S,45-50786-B
yan3 jian4	45-51918-B
yan3 jiang3	21-10621-S,39-46945-B,44-33825-S
yan3 jiao3 mo2	45-51963-B
yan3 jie4	45-50232-B,65-39967-S
yan3 jin4	39-47060-B
yan3 jing1	29-25932-S,45-46221-S
yan3 jing1 zhuo1 ma2 que4	65-27791-S
yan3 jing4	17-61695-S,26-23583-S,45-52174-B,66-47454-S
yan3 jing4 she2	45-52242-B
yan3 jing5	45-50667-B
yan3 ju4	39-45470-B
yan3 kan4	45-50516-B
yan3 ke1 xue2	45-50998-B
yan3 kuang4	45-50617-B
yan3 lan2	70-52547-S
yan3 lei4	45-49724-B
yan3 li3 chu1 Xi1 Shi1	25-12113-S
yan3 li4	45-48366-B
yan3 lian2	45-51180-B
yan3 lian4	33-59052-S,39-46396-B
yan3 liao3 shi4	30-18920-S
yan3 lun4	17-49991-S
yan3 mai2	28-33416-B
yan3 mao4 jin1 xing1	45-48245-B
yan3 mu4	45-50479-B
yan3 na3	50-58338-S
yan3 pang2 guan1	8-22548-S
yan3 pi2	45-50325-B,63-63146-S,66-67783-S
yan3 pi2 r5	63-63270-S
yan3 pi2 zi5	45-50364-B
yan3 pi2 zi5 qian3	45-50412-B
yan3 qi2 xi1 gu3	6-5300-B
yan3 qian2	15-36089-S,45-48320-B
yan3 qiu2	45-50129-B
yan3 qu4	45-35301-S
yan3 r5	20-64100-S,21-17770-S,35-57409-S,50-49095-S
yan3 ran2	6-60257-B
yan3 re4	45-49837-B
yan3 ren2 er3 mu4	28-33271-B
yan3 se4	45-51442-B
yan3 se4 su4 ceng2 hei1 se4 su4 liu2	45-51507-B
yan3 se4 ze2	30-19021-S
yan3 shao1	45-49619-B
yan3 she4	56-35666-B
yan3 shen2	45-50827-B
yan3 sheng1	45-50170-B,56-35711-B
yan3 sheng1 gong1 ju4	64-15251-S
yan3 sheng1 wu4	56-35814-B
yan3 shi2	45-49407-B
yan3 shi3	45-48774-B
yan3 shi4	28-33851-B,39-46269-B
yan3 shu2	45-49770-B
yan3 shu3	71-50808-B
yan3 shuo1	39-46832-B
yan3 shuo1 zhe3	39-46885-B
yan3 suan4	39-46325-B
yan3 ti3	28-33917-B
yan3 tiao4	45-52014-B
yan3 tiao4 dong4	45-52065-B
yan3 wo1	45-51137-B
yan3 wu3	39-46201-B
yan3 xi2	39-46652-B,60-63272-S
yan3 xi4	39-45913-B
yan3 xia4	45-47712-B
yan3 xian4	45-51338-B
yan3 xiang1 kan4	12-7042-S
yan3 xiao3	24-36648-S
yan3 xiao4	45-36667-S
yan3 ya1	45-48669-B
yan3 yao4	45-51686-B
yan3 yao4 shui3	45-51742-B
yan3 yi4	1-33134-S,20-33982-S,35-52701-S,36-19893-S,39-46445-B,39-46555-B,39-46726-B,66-38905-S
yan3 yi4 fa3	39-46495-B
yan3 yi4 quan1	39-46774-B
yan3 ying3	45-49126-B
yan3 you2 xi4	57-45783-S
yan3 yuan2	18-21235-S,32-18492-S,39-45563-B,43-67686-S,67-30105-S
yan3 yun1	68-37759-S
yan3 yun4	45-49460-B
yan3 zhao4	45-51388-B
yan3 zhe3	11-68209-S
yan3 zheng1 zheng1	45-50704-B
yan3 zheng4	22-36960-S
yan3 zhong1	45-47904-B
yan3 zhong1 ci4	45-47953-B
yan3 zhong1 ding1	45-48047-B
yan3 zhong3	71-52242-S
yan3 zhu1	44-43026-S,45-49886-B
yan3 zhu1 r5	44-43087-S,45-49927-B
yan3 zhu1 zi5	45-50028-B
yan3 zou4	39-45771-B
yan3 zou4 zhe3	39-45850-B
yan4	1-74498-S,5-19900-S,5-29135-S,6-49721-B,7-6650-S,8-22755-S,10-25224-S,10-45590-S,10-54062-S,11-36162-B,12-61056-S,13-30871-B,13-48869-B,14-16151-B,14-40779-B,14-43916-S,15-21735-S,15-37859-S,16-8291-B,17-24048-S,17-39402-S,18-34044-S,18-34955-S,18-53743-S,18-62792-B,19-37531-S,19-60036-B,19-63060-S,20-11149-S,20-16033-S,22-5521-S,23-26368-S,23-55784-B,26-22898-S,30-33084-S,31-44230-B,31-45009-S,32-38277-S,33-53995-S,33-59264-S,33-62191-S,34-4653-S,35-14610-S,35-31826-S,36-20464-S,36-38316-S,37-5748-S,37-7950-S,37-11589-S,37-26491-B,38-7967-S,38-20156-S,39-4665-S,40-19508-B,40-22677-S,40-34154-S,40-65773-B,41-24822-B,41-28315-B,41-35795-B,42-9630-S,44-40017-S,44-56185-S,44-57449-S,45-4865-S,46-26883-B,46-40428-S,48-1289-S,49-62627-S,51-34596-S,53-46154-B,56-12820-S,57-55602-B,57-62317-S,58-13737-S,58-18561-S,58-48742-B,58-61204-S,59-12910-B,59-15010-B,59-22499-B,59-39167-S,59-39437-S,60-5051-B,60-22896-S,60-57283-S,63-27853-S,63-39326-S,63-50335-S,63-51642-B,63-52199-B,64-27690-S,65-49888-S,66-52718-B,67-3197-S,67-14642-S,67-53525-S,67-67687-S,69-5972-S,69-20833-B,69-53257-B,69-57743-B,70-10711-S,70-15983-S,70-43317-S,70-53753-B,70-55300-B,70-55979-S,70-59440-B
yan4 bo2	11-36743-B
yan4 chang3	33-62322-S
yan4 dian4 qi4	69-59199-B
yan4 dui1	33-62247-S
yan4 fan2	5-13184-S,11-36625-B
yan4 fang1	69-58445-B
yan4 fen1 fei1	9-63515-S
yan4 feng1 fu4	49-62752-S
yan4 guan1	69-59132-B
yan4 guang1	69-57900-B
yan4 guang1 fa3	69-57961-B
yan4 guang1 pei4 jing4 fa3	69-58128-B
yan4 guang1 pei4 jing4 ye4	69-58033-B
yan4 gui3	57-62406-S
yan4 he2	69-58892-B
yan4 hen4	11-36316-B
yan4 hong2 se4	53-46227-B
yan4 hui4	19-60117-B,59-12960-B
yan4 huo3	41-24850-B
yan4 huo4	69-59079-B
yan4 jia4	31-44560-B
yan4 jian3 yi4 zong3 ju2	15-7223-S
yan4 jie2 guo3	39-4710-S
yan4 jiu4	14-8456-S
yan4 juan4	11-36248-B
yan4 ke1	41-29083-B
yan4 ku4 qiu2 bao1 zi3 jun1	11-36808-B
yan4 le4	19-60177-B
yan4 li4	53-46386-B
yan4 ma3	33-54049-S
yan4 mai4	41-30280-B
yan4 mai4 zhou1	41-30317-B
yan4 ming2	69-58519-B
yan4 ming2 zheng4 shen1	69-58614-B
yan4 nao4 er3	22-5559-S
yan4 nao4 er3 shi4	22-5662-S
yan4 ni4	11-36692-B
yan4 pen1 she4 qi4	40-22527-S
yan4 piao4	69-58724-B
yan4 pin3	60-5079-B
yan4 qi4	11-36435-B,11-36486-B,14-40812-B
yan4 qing2	53-46186-B
yan4 qing3	19-60229-B
yan4 que4	41-29352-B,55-49299-S
yan4 que4 an1 zhi1 hong2 gu3 zhi1 zhi4	41-29558-B
yan4 que4 chu4 tang2	41-30084-B
yan4 que4 wu1 que4	41-29798-B
yan4 que4 xiang4 he4	41-29877-B
yan4 se4	53-46279-B
yan4 se4 hu2	16-8318-B
yan4 shan1	40-22722-S
yan4 shang1	69-57793-B
yan4 shi1	53-46340-B,69-58223-B
yan4 shi2	11-36904-B
yan4 shi2 zheng4	48-55553-S
yan4 shi4	10-45661-S,11-36191-B,14-36890-S,20-16092-S,59-30212-S,63-27920-S
yan4 shi4 gan3 ran3	20-16147-S
yan4 shou1	69-58326-B
yan4 suan4	69-58775-B
yan4 ta3	17-39445-S
yan4 tai2	46-26915-B
yan4 tiao2 yue1	7-42693-S,47-894-S
yan4 ting2 zuo4	16-8409-B
yan4 wei3 fu2	41-28863-B
yan4 wo1	41-29165-B
yan4 wu4	11-36367-B
yan4 xi2	19-60071-B
yan4 xian4	22-5776-S,38-20219-S
