name of emperor yongle 永樂 永乐	32-68872-S
name of essay column in beijing newspaper from 1961 1966	1-33639-B
name of film by chen kaige	40-55215-S
name of god	19-29226-S
name of hills in shandong	21-48626-B
name of its general	31-3456-S
name of japanese moon space probe	32-26090-B
name of jialing river 嘉陵江 in sichuan	39-1383-S
name of jialing river 嘉陵江 in sichuan through chongqing	39-1485-S
name of job in imperial bureaucracy	19-40723-B
name of kaifeng 開封 开封	36-64793-S
name of kingdoms and dynasties at different periods	34-9061-B
name of liao river 遼河 辽河	12-6368-S
name of love	35-60477-S
name of mencius	61-5763-S
name of ming emperor 1573 1619	54-45837-S
name of ming emperor yongle	31-23866-S
name of mythical ape	42-13682-B
name of old canal in henan that formed the border between enemies chu 楚 and han 漢 汉	70-55688-S
name of one kind of jade	42-41537-B
name of one s adoptive family	20-1404-S
name of organic chemical	43-60648-S
name of penultimate qing emperor guangxu or guang hsu 1875 1908	7-11725-S
name of person stressing a moral principle	56-44130-S
name of pharoah	27-25101-S
name of plant or animal	19-17100-S
name of poisonous snake in ancient text	65-21121-B
name of product	13-33413-B
name of publishing houses	32-12663-S
name of qing dynasty province covering south jiangsu	36-58222-B
name of qing emperor 1821 1850	62-49655-S
name of qing emperor 1850 1861	13-30305-S
name of qing emperor 1861 1875	12-49081-S
name of qing emperor guangxu 光緒 光绪	61-7463-S
name of qing emperor xianfeng 咸豐 咸丰	18-8061-S
name of river	38-48013-B,38-48097-B,52-14291-B
name of river in henan	71-20317-B
name of river in shandong	36-64863-S
name of russian spaceship	62-30060-S
name of second ming emperor	23-21266-S
name of second qing emperor 1644 1662	68-25792-S
name of several rivers in henan	37-55456-S
name of several us towns	18-17096-S
name of shenyang 瀋陽 沈阳 in modern liaoning province	45-4278-S
name of short story by shen congwen 沈從文 沈从文	63-11426-B
name of southern china states at different historical periods	12-69194-B
name of states and dynasties at several different periods	71-53176-B
name of taiwan in 3rd century ad	17-68782-B
name of tang empress wu zetian 武則天 武则天	32-1871-S
name of the father in christian worship	14-61034-S
name of the father of the emperor yao	16-39908-S
name of the first han emperor liu bang 劉邦 刘邦 256 or 247 195 bc	39-51386-S
name of the first ming emperor zhu yuanzhang 朱元璋 reigned 1386 1398	31-22991-S
name of the flag of the people s republic of china	49-8292-B
name of the rose	70-35514-B
name of the shang dynasty after their move to yinxu 殷墟 in modern henan province	35-65889-S
name of tokyo	36-59307-S
name of town in sichuan	21-41527-B
name of town in vermont	31-23784-S
name of traditional tune	34-28034-B
name of tree	34-26957-S
name of ulan bator mongolian palace	40-37100-S
name of vassal state of zhou dynasty from 661 bc in shanxi	70-34323-B
name of warship of wu kingdom during spring and autumn period	69-16668-B
name of xi an 西安 capital of china during tang dynasty 唐朝	65-13349-S
name of zhuge liang 諸葛亮 诸葛亮	19-3199-B
name of 舟山市	19-46375-S
name on a computer	44-24814-S
name only	12-54372-S,28-46521-S
name or a term of address	65-65459-S
name or river god associated with yellow river	37-18597-B
name oukubo	17-4630-S
name raymond	67-23707-B
name registration	15-64010-S
name remains	12-55480-S
name server	15-63928-S
name service	12-59090-B
name singh	61-33126-S
name tag	12-57562-B,12-57770-B
name terry	41-57105-B
name than in fact	12-53164-S
name to	8-4837-S
name used for many fishing birds	70-39097-B
name with a pen etc	48-40267-S
name would smell as sweet	42-40891-S
name 成语 saw	24-23191-S
name 海參崴 海参崴	48-6575-S
named	11-58040-S,12-54753-B,45-27190-S
named above	9-20947-S
named after sth	24-7187-B
named after the original owner	12-56131-B
named as	12-57000-B
named but not numbered on ethnic calendar	47-47706-S
named european kings	1-707-S
named kings	1-29611-S
nameless	40-48134-B
nameless soldier 成语 saw	40-48184-S
namely	1-33773-S,4-1399-B,11-23816-B,11-25039-B
namely book of songs 詩經 诗经	10-42232-S
namely classics 經 经	14-49845-B
namely mt tai 泰山 in shandong	3-48479-S,3-49734-S
namely mt wutai 五臺山 五台山 in shanxi	14-47586-S
namely obey in turn three men father	1-34468-S
namely piety 孝 to one s parents	14-50091-S
namely rites or etiquette 禮 礼 禮儀 礼仪	7-69074-S
namely su shi 蘇軾 苏轼	19-35138-S
namely the book of songs 詩經 诗经	3-52990-S
namely the great learning 大學 大学	14-50796-S
namely yuan mei 袁枚 袁枚	3-24073-B
nameplate	16-12679-B
names	6-27910-S,12-25895-S,12-53920-S,12-54801-S,12-56541-S,12-56869-S,15-64228-S,16-7311-S,16-7404-S,17-69373-S,18-61964-S,21-32636-S,21-45591-S,33-40753-S,34-39521-S,38-41347-S,42-1383-S,44-52743-S,47-6202-S,47-6286-S,50-2889-S,54-43988-S,55-9038-S,59-2516-S,64-23088-S,64-58763-S,68-62292-S,71-38685-S
names include fengtian 奉天	37-5565-S,40-13247-S
names include 雙城子 双城子 shuang1 cheng2 zi5 and voroshilov 伏羅希洛夫 伏罗希洛夫	40-37804-S
names of books etc	32-10258-S
names of buddha	5-5039-S,24-49978-S,71-37021-S
names of emperors or one s elders	63-7483-S
names of many kinds 成语 saw	12-57366-B
names of media companies	18-50631-S
names of people and shops	65-7374-S
names of publications or documentaries	28-23627-S
names of the five notes of the chinese pentatonic scale	12-32666-B
names of the five notes of the pentatonic scale	19-57353-S
names or words	65-47130-S
names such as anna 安娜 or diana 黛安娜	18-50809-S
names such as 袮宜町 minorimachi and 袮宜田 minorita	56-52399-S
names with phonetic value hatake	43-48213-S
names with phonetic value ogi	54-20489-S
namibia	39-21552-S,49-17363-B
naming	13-20071-B,20-56792-S
naming task	13-20118-B,13-20186-B
namling place in tibet	10-72977-S
nampo city in north korea	11-789-B
namsan	10-70031-S
namtso lake at nakchu in central tibet	49-16795-B
nan	40-9051-S,40-9090-S,42-35397-S
nan 558 638	55-54783-S
nan an city in fujian	10-69180-S
nan ao county in shantou 汕头	11-1436-B,11-1683-B
nan ao island in shantou prefecture 汕頭 汕头	11-1590-B
nan area in taiwan	10-67906-S
nan county in hunan	11-2441-B
nan mengguzu autonomous county in qinghai	37-19215-S
nan place in anhui	65-58299-S
nan place in heilongjiang	34-61943-S
nan place in henan	36-57433-S
nan yizu autonomous county in yunnan	60-41767-S
nan yuguzu autonomous county in gansu	52-2764-S
nan 成语 saw	16-38864-S
nan 虞世南	13-50280-S
nana novel	18-51004-B
nanao village in taiwan	11-1759-S
nancha place in heilongjiang	10-70264-S
nanchang city 南昌市	33-21086-S,33-21162-S,40-18995-S,40-19069-S,57-19875-S,67-54572-S,67-54664-S,67-59521-S,67-59611-S
nanchang county	10-72121-S
nanchang county in nanchang 南昌	10-72407-B
nanchang prefecture level city and capital of jiangxi province 江西省 in southeast china	10-72121-B,10-72269-B
nanchang 南昌	10-72407-S,19-32325-S,19-32387-S,30-48455-S,30-48523-S,62-31229-S,62-31297-S
