ups and downs	60-15773-B,60-17873-B
ups and downs of life	66-42000-S
ups and downs success or failure	70-11362-B
upset	2-14428-S,5-55092-B,9-13198-S,24-30982-B,25-10957-B,25-62053-B,41-10122-B
upsetting forged pieces	64-59454-B
upside down	5-55541-S,5-56179-S,5-56262-S,5-57439-S,5-57736-S,5-59521-S,5-59521-B,5-59620-S,11-43612-S,11-54908-S,27-8163-S,68-45593-S
upside down 成语 saw	5-56342-S,5-56503-S,5-56663-S,46-62766-S,57-50806-S
upsilon greek letter υυ	19-21176-B,42-30181-B
upslope	1-47914-B
upstairs	1-51004-S,34-50620-B
upstanding	35-38408-B
upstream	8-26032-S,37-36708-S,39-23573-S,61-59008-S,61-67384-B
upstream back to its source	39-23623-S
upstream because of blockage	5-58954-S
upsurge	28-10196-B,41-20627-B,70-17516-B,70-17583-B
uptake	70-41428-S
upturn	1-46595-S
upupa epops	26-23332-S
upward	1-53760-S,12-62050-B
upward movement	60-15864-B
upward trend	1-46595-S
upward trend in prices	39-54568-B
upwards	1-47914-S,1-55903-S,1-56597-B,4-39837-S,8-32016-S,12-44990-S,12-61995-B,12-62050-B,15-29584-S,36-41067-S,57-53633-S,68-35740-S
upwards character stroke	28-36446-B
upwards swiftly	69-54479-S
ur sumerian city c 4500 bc in modern iraq	40-36961-B
uracil nucleotide u	21-16096-B
ural	60-60401-S
ural mountains	40-35963-B
ural mountains in russia	40-35811-S,40-35881-S
ural owl	70-54763-B
uralensis	34-14900-S
uranium	4-68458-S,17-50773-S,40-7547-S,40-7709-S,63-56183-S
uranium d 38	59-37006-S
uranium dioxide	3-38211-B
uranium enrichment	64-22560-B
uranium heu	70-17677-S
uranium hexafluoride uf6	7-68283-B
uranium ore	40-15615-S
uranium oxide	36-32577-B
uranium tetrafluoride uf4	14-51204-B
uranium u92	64-22526-B
uranus planet	17-51183-B
urbain le verrier 1811 1877	9-67308-B
urban district	15-61485-B,22-12037-B
urban legend translation of recent western term	63-27174-B,63-27630-B
urbane	23-56964-B
urbanism	15-62093-B
urbanization	15-61924-B
urchin	38-4627-S,38-23381-S,68-31694-B
urea formaldehyde	52-35453-B
urea nh2 2co	21-16343-B,52-35386-B
urethra	21-16400-B
urge	5-31008-B,5-31175-S,6-30180-S,6-30421-B,9-45228-S,10-10382-S,10-10627-S,12-10735-S,12-10796-S,25-5869-B,30-10182-S,40-4681-S,44-20985-S,48-21899-S,60-32116-B,61-52046-S,69-55899-S
urge a position on sb	10-11858-S
urge end to stop a fight	10-11236-S
