of 搖 摇	28-51565-S
of 搜	28-6044-S
of 搭茬	28-60615-S
of 搴	29-32707-S
of 擇 择	27-11330-S
of 據 据	27-46885-S
of 擴 扩	27-46934-S
of 攝 摄	28-63289-S
of 收	11-56590-S
of 效	9-63640-S
of 敕	9-65976-S
of 敷衍	30-18562-S
of 料頭 料头	30-35697-S
of 旁邊 旁边	30-67885-S
of 旆	30-66919-S
of 旗	30-67960-S
of 旮旯	31-16891-S
of 时 時	31-17174-S
of 昂	11-17323-S
of 晚	31-47140-S
of 暨	70-47136-S
of 曆 历	31-64538-S
of 曆法 历法 calendar	35-52952-S
of 曉 晓	31-58028-S
of 曲線 曲线	32-5584-S
of 替班	32-17806-S
of 替角 替角	32-18312-S
of 朱鎔基 朱镕基	32-68605-S,32-69001-S
of 朵	32-70248-S
of 村	63-18358-S
of 杯 cup	34-8311-S,45-1557-S
of 東邊 东边	33-24875-S
of 果	54-29224-S
of 枷	51-38654-S
of 查	33-51631-S
of 样	34-46368-S
of 桶 bucket	43-36539-S
of 梅	15-47201-S
of 梵蒂岡 梵蒂冈	34-17284-S
of 棋	46-27126-S
of 棧 栈	34-8130-S
of 楞 leng4	25-43564-S
of 榮 荣	33-51993-S
of 榴蓮果 榴莲果	43-52040-S
of 槍 枪	64-52864-S
of 樂 乐	34-36830-S
of 模仿	29-3867-S,34-57821-S
of 檢 检	34-26166-S
of 櫃 柜	10-39635-S
of 櫪 枥	33-51945-S
of 櫻	34-8076-S
of 欣	58-470-S
of 款	35-22929-S
of 歡 欢	35-31010-S
of 步	35-49892-S
of 歲 岁	35-51155-S
of 歷 历	35-51205-S
of 歸 归	22-27415-S
of 殼 壳	36-2068-S
of 殽 肴	69-17670-S
of 每	36-4946-S
of 氣 气	36-24220-S,40-27948-S
of 水仙	36-38836-S
of 水餃 水饺	36-47961-S
of 污	36-57117-S,36-57209-S
of 沉	37-4579-S
of 沒甚麼 没什么	37-9003-S
of 没有	8-7486-S
of 洞	46-22534-S
of 涅	39-15377-S
of 涅槃 涅盘	38-28503-S
of 消閑 消闲	38-33116-S
of 消食	38-34286-S
of 涉	38-66429-S
of 淒 凄	25-11621-S,38-41650-S
of 淚 泪	38-36827-S
of 淨 净	38-8121-S
of 淨 净 clean	8-25500-S
of 淳樸 淳朴	49-20399-S
of 混名	38-53865-S
of 渴	38-66335-S
of 湧現 涌现	38-36022-S
of 溪	38-66524-S
of 滌綸 涤纶	49-48182-S
of 滿 满	39-15460-S
of 漱	39-56571-S
of 澀 涩	38-66475-S,39-65152-S
of 澤 泽	37-18160-S
of 濃鬱 浓郁	40-7080-S
of 濟 济	38-66380-S
of 瀧 泷	39-31168-S
of 瀨 濑	40-16433-S
of 灶	47-58768-S,47-59572-S
of 為 为	41-40600-S,41-40742-S
of 為甚麼 为什么	40-32055-S
of 烟	54-38028-S
of 無 无	35-530-S
of 無依無靠 无依无靠	40-46578-S
of 煉 炼	64-47421-S,64-49707-S
of 煦	31-37034-S
of 照	32-1871-S
of 照相机	45-29627-S
of 熔	64-52275-S
of 熙熙攘攘	41-14691-S
of 燒 烧	40-66057-S
of 燕	57-55602-S
of 營 营	14-22954-S
of 牢	47-54419-S
of 特殊護理 特殊护理	41-61960-S
of 犧 牺	42-1763-S
of 狠	13-41396-S
of 狹 狭 narrow	66-19113-S
of 猛	9-66915-S
of 猿	56-8493-S
of 獎 奖	18-17882-S
of 獨佔鰲頭 独占鳌头	42-18048-S
of 獵 猎	42-12987-S
of 獸 兽	42-17638-S
of 率	11-10784-S,11-10820-S
of 琴	42-45979-S,42-60089-S
of 瑰 fine jade	43-3684-S
of 璽 玺 ruler s seal	64-24741-S
of 甑 zeng4	70-30848-S
of 甚麼 什么	4-19932-S,4-19989-S
of 甚麼時候 什么时候	4-20046-S
of 生銹 生锈	43-30459-S
of 產 产	43-33374-S
of 疊 叠	43-64272-S
of 疏	44-1354-S,60-46221-S
of 瘦	44-15451-S
of 癇 痫	44-20828-S
of 癮頭 瘾头	44-22284-S
of 發 发	44-23276-S
of 白痴	44-42520-S
of 白眼珠	44-43087-S
of 百度	44-54775-S
of 盡量 尽量	6-56585-S
of 盤 盘	34-43143-S
of 盧 卢	71-64098-S
of 盧布 卢布	50-57419-S
of 直	6-2591-S
of 直升機 直升机	45-20797-S,45-22478-S
of 真	45-40298-S
of 眷	45-54693-S
of 眾 众	56-30393-S
of 睹	57-37547-S
of 碎	46-15160-S
of 碑座 碑座	46-28381-S
of 磬	35-66052-S
of 磷	41-26032-S
of 礦 矿	64-24863-S,65-7050-S
of 祆 xian1 ormazda	46-51389-S
of 祇	56-49022-S
of 祇 只	56-49058-S
of 神仙	46-55838-S
of 神鵰俠侶 神雕侠侣	46-62196-S
of 禍 祸	46-65417-S
of 科學普及 科学普及	47-19437-S
of 秤	47-34366-S
of 稜 棱	34-31080-S
of 稻	47-35515-S
of 穗	47-37273-S
of 穩 稳	47-40993-S
of 空心	47-46698-S
of 窗	47-54882-S
of 笑臉 笑脸	48-4907-S
of 符拉迪沃斯託克 符拉迪沃斯托克	48-6722-S
of 等一下	48-17402-S
of 等一會 等一会	48-17555-S
of 筋斗	30-37562-S
of 節 节 knot	54-27299-S
of 篪	48-3745-S
of 粗	71-8959-S
of 粹	48-47843-S
of 糉	49-731-S
of 紀錄片 纪录片	49-3550-S
of 約翰 约翰 preferred by the catholic church	53-66248-S
of 紉 纫	49-24533-S
of 紋絲 纹丝	49-14938-S
of 紋縷 纹缕	49-15124-S
of 紙馬 纸马	49-23503-S
of 紝 纴	49-39725-S
of 絕 绝	49-55408-S
of 絫	49-49897-S
of 經 经	49-39674-S
of 經痛 经痛	44-14772-S
of 綠 绿	50-15812-S
of 網絡遊戲 网络游戏	50-10207-S
of 綿 绵	50-17853-S
of 緒 绪	50-15959-S
of 線 线	50-654-S
of 緣 缘	50-25015-S
of 練 练	71-64265-S
of 縣 县	45-40018-S
of 縫 缝	49-62876-S
of 績 绩	10-8262-S
of 繩 绳	50-25097-S
