蓬鬆 蓬松	55-8923-B
蓮 莲	55-8965-B
蓮子 莲子	55-8994-B
蓮花 莲花	55-9038-B
蓮花縣 莲花县	55-9168-B
蓮霧 莲雾	55-9256-B
蓯 苁	55-9329-B
蓰	55-9371-S
蓰 蓰	55-9371-B
蓴	55-9480-S
蓴 莼	55-9419-B
蓴 蓴	55-9480-B
蓴菜 莼菜	55-9521-B
蓷	55-9574-S
蓷 蓷	55-9574-B
蓺	55-9616-S
蓺 蓺	55-9616-B
蓼	55-9647-S,55-9690-S
蓼 蓼	55-9647-B,55-9690-B
蓼蓝	55-9728-S
蓼藍 蓼蓝	55-9728-B
蓽 荜	55-9794-B
蓿	55-9826-S
蓿 蓿	55-9826-B
蔀	55-9853-S
蔀 蔀	55-9853-B
蔂	55-9898-S
蔂 蔂	55-9898-B
蔆	55-9946-S
蔆 蔆	55-9946-B
蔇	55-9996-S
蔇 蔇	55-9996-B
蔉	55-10048-S
蔉 蔉	55-10048-B
蔊	55-10101-S
蔊 蔊	55-10101-B
蔋	55-10143-S
蔋 蔋	55-10143-B
蔌	55-10177-S
蔌 蔌	55-10177-B
蔎	55-10220-S
蔎 蔎	55-10220-B
蔑	55-10256-S
蔑 蔑	55-10256-B
蔑称	55-10295-S
蔑稱 蔑称	55-10295-B
蔑視 蔑视	55-10348-B
蔑视	55-10348-S
蔓	55-10411-S,55-10460-S
蔓 蔓	55-10411-B,55-10460-B
蔓延	55-10500-S
蔓延 蔓延	55-10500-B
蔓延全国	55-10553-S
蔓延全國 蔓延全国	55-10553-B
蔓生植物	55-10649-S
蔓生植物 蔓生植物	55-10649-B
蔓草	55-10735-S
蔓草 蔓草	55-10735-B
蔓菁	55-10798-S
蔓菁 蔓菁	55-10798-B
蔓越桔	55-10851-S
蔓越桔 蔓越桔	55-10851-B
蔓越橘	55-10904-S
蔓越橘 蔓越橘	55-10904-B
蔔 卜	55-10957-B
蔕	55-10984-S
蔕 蔕	55-10984-B
蔗	55-11021-S
蔗 蔗	55-11021-B
蔗农	55-11107-S
蔗糖	55-11054-S
蔗糖 蔗糖	55-11054-B
蔗農 蔗农	55-11107-B
蔗露	55-11159-S
蔗露 蔗露	55-11159-B
蔘	55-11197-S
蔘 蔘	55-11197-B
蔙	55-11231-S
蔙 蔙	55-11231-B
蔚	55-11261-S,55-11312-S
蔚 蔚	55-11261-B,55-11312-B
蔚为	55-11417-S
蔚县	55-11476-S
蔚山	55-11355-S
蔚山 蔚山	55-11355-B
蔚為 蔚为	55-11417-B
蔚縣 蔚县	55-11476-B
蔚蓝	55-11528-S
蔚藍 蔚蓝	55-11528-B
蔞 蒌	55-11576-B
蔟	55-11630-S
蔟 蔟	55-11630-B
蔡	55-11684-S
蔡 蔡	55-11684-B
蔡东藩	55-12027-S
蔡伦	55-11718-S
蔡伦 蔡伦	55-11718-B
蔡依林	55-11766-S
蔡依林 蔡依林	55-11766-B
蔡元培	55-11839-S
蔡元培 蔡元培	55-11839-B
蔡国强	55-11908-S
蔡國強 蔡国强	55-11908-B
蔡李佛	55-11975-S
蔡李彿 蔡李佛	55-11975-B
蔡東藩 蔡东藩	55-12027-B
蔡襄	55-12096-S
蔡襄 蔡襄	55-12096-B
蔡鍔 蔡锷	55-12153-B
蔡锷	55-12153-S
蔣 蒋	55-12202-B
蔣介石 蒋介石	55-12286-B
蔣士銓 蒋士铨	55-12360-B
蔣桂戰爭 蒋桂战争	55-12433-B
蔣經國 蒋经国	55-12570-B
蔣緯國 蒋纬国	55-12646-B
蔥 葱	55-12707-B
蔥嶺 葱岭	55-12751-B
蔥綠 葱绿	55-12817-B
蔥翠 葱翠	55-12858-B
蔥花 葱花	55-12904-B
蔥蔥 葱葱	55-12952-B
蔥蘢 葱茏	55-13014-B
蔥頭 葱头	55-13066-B
蔥鬱 葱郁	55-13126-B
蔥黃 葱黄	55-13195-B
蔦 茑	55-13244-B
蔫	55-13283-S
蔫 蔫	55-13283-B
蔬	55-13318-S
蔬 蔬	55-13318-B
蔬菜	55-13351-S
蔬菜 蔬菜	55-13351-B
蔬食	55-13403-S
蔬食 蔬食	55-13403-B
蔭 荫	55-13468-B
蔯	55-13496-S
蔯 蔯	55-13496-B
蔵	55-13542-S
蔵 蔵	55-13542-B
蔷	55-21694-S
蔷薇	55-21728-S
蔷薇十字团	55-21768-S
蔷薇花蕾	55-21874-S
蔺	55-35737-S
蔺相如	55-35786-S
蔻	55-13589-S
蔻 蔻	55-13589-B
蔻蔻	55-13632-S
蔻蔻 蔻蔻	55-13632-B
蔼	55-35604-S
蔼然	55-35634-S
蔼蔼	55-35683-S
蔽	55-13671-S
蔽 蔽	55-13671-B
蔽身处	55-13732-S
蔽身處 蔽身处	55-13732-B
蔾	55-13786-S
蔾 蔾	55-13786-B
蕁麻	55-13822-S
蕁麻 蕁麻	55-13822-B
蕃	55-13862-S,55-13899-S
蕃 蕃	55-13862-B,55-13899-B
蕃薯	55-13946-S
蕃薯 蕃薯	55-13946-B
蕃衍	55-13992-S
蕃衍 蕃衍	55-13992-B
蕆 蒇	55-14094-B
蕈	55-14134-S
蕈 蕈	55-14134-B
蕉	55-14170-S
蕉 蕉	55-14170-B
蕉岭	55-14200-S
蕉岭县	55-14269-S
蕉嶺 蕉岭	55-14200-B
蕉嶺縣 蕉岭县	55-14269-B
蕊	55-14350-S
蕊 蕊	55-14350-B
蕍	55-14386-S
蕍 蕍	55-14386-B
蕎 荞	55-14423-B
蕎麥 荞麦	55-14456-B
蕑	55-14500-S
蕑 蕑	55-14500-B
蕓	55-14557-S
蕓 蕓	55-14557-B
蕓芸眾生 芸芸众生	55-14623-B
蕓荳 芸荳	55-14736-B
蕓香 芸香	55-14807-B
蕕 莸	55-14869-B
蕖	55-14914-S
蕖 蕖	55-14914-B
蕗	55-14941-S
蕗 蕗	55-14941-B
蕘 荛	55-14972-B
蕙	55-15005-S
蕙 蕙	55-15005-B
蕝	55-15046-S
蕝 蕝	55-15046-B
蕞	55-15099-S
蕞 蕞	55-15099-B
蕠	55-15136-S
蕠 蕠	55-15136-B
蕠漆	55-15234-S
蕠漆 蕠漆	55-15234-B
蕠藘	55-15283-S
蕠藘 蕠藘	55-15283-B
蕡	55-15332-S
蕡 蕡	55-15332-B
蕢 蒉	55-15384-B
蕣	55-15441-S
蕣 蕣	55-15441-B
蕤	55-15482-S
蕤 蕤	55-15482-B
蕨	55-15534-S
蕨 蕨	55-15534-B
蕨类	55-15576-S
蕨類 蕨类	55-15576-B
蕩 荡	55-15614-B
蕩婦 荡妇	55-15695-B
蕩氣回腸 荡气回肠	55-15751-B
蕩滌 荡涤	55-15829-B
蕩漾 荡漾	55-15874-B
蕩然 荡然	55-15928-B
蕩然無存 荡然无存	55-16020-B
蕪 芜	55-16137-B
蕪湖 芜湖	55-16179-B
蕪湖市 芜湖市	55-16246-B
蕪菁 芜菁	55-16324-B
蕭 萧	55-16364-B
蕭一山	55-16418-S
蕭一山 蕭一山	55-16418-B
蕭乾 萧乾	55-16487-B
蕭伯納 萧伯纳	55-16544-B
蕭子顯 萧子显	55-16607-B
蕭山 萧山	55-16674-B
蕭梁 萧梁	55-16741-B
蕭條 萧条	55-16819-B
蕭瑟 萧瑟	55-16876-B
蕭紅 萧红	55-16971-B
蕭縣 萧县	55-17028-B
蕭萬長 萧万长	55-17084-B
蕭邦 萧邦	55-17155-B
蕲	55-36177-S
蕲春	55-36229-S
蕳	55-17219-S
蕳 蕳	55-17219-B
蕴	55-42334-S
蕴含	55-42379-S
蕴和	55-42437-S
蕴涵	55-42523-S
蕴结	55-42634-S
蕴聚	55-42682-S
蕴蓄	55-42757-S
蕴藉	55-42821-S
蕴藏	55-42896-S
蕴藏量	55-42973-S
蕷 蓣	55-17298-B
蕸	55-17333-S
蕸 蕸	55-17333-B
蕹	55-17373-S
蕹 蕹	55-17373-B
蕹菜	55-17441-S
蕹菜 蕹菜	55-17441-B
蕺	55-17520-S
蕺 蕺	55-17520-B
蕻	55-17560-S
蕻 蕻	55-17560-B
蕾	55-17603-S
蕾 蕾	55-17603-B
蕾丝边	55-17629-S
蕾絲邊 蕾丝边	55-17629-B
薀	55-17689-S
薀 薀	55-17689-B
薁	55-17735-S
薁 薁	55-17735-B
薃	55-17772-S
薃 薃	55-17772-B
薄	55-17811-S,55-17886-S
薄 薄	55-17811-B,55-17886-B
薄一波	55-17983-S
薄一波 薄一波	55-17983-B
薄产	55-19390-S
薄养厚葬	55-20465-S
薄利	55-18044-S
薄利 薄利	55-18044-B
薄利多銷 薄利多销	55-18089-B
薄利多销	55-18089-S
薄厚	55-18175-S
薄厚 薄厚	55-18175-B
薄命	55-18255-S
薄命 薄命	55-18255-B
薄地	55-18344-S
薄地 薄地	55-18344-B
薄层	55-18397-S
薄層 薄层	55-18397-B
薄幸	55-18473-S
薄幸 薄幸	55-18473-B
薄弱	55-18531-S
薄弱 薄弱	55-18531-B
薄待	55-18574-S
薄待 薄待	55-18574-B
薄情	55-18653-S
薄情 薄情	55-18653-B
薄技	55-18712-S
薄技 薄技	55-18712-B
薄明	55-18787-S
薄明 薄明	55-18787-B
薄晓	55-18933-S
薄暗	55-18841-S
薄暗 薄暗	55-18841-B
薄暮	55-18888-S
薄暮 薄暮	55-18888-B
薄曉 薄晓	55-18933-B
薄板	55-18974-S
薄板 薄板	55-18974-B
薄油层	55-19026-S
薄油層 薄油层	55-19026-B
薄海	55-19080-S
薄海 薄海	55-19080-B
薄烤餅 薄烤饼	55-19145-B
薄烤饼	55-19145-S
薄熙來 薄熙来	55-19197-B
薄熙来	55-19197-S
薄片	55-19256-S
薄片 薄片	55-19256-B
薄瑞光	55-19320-S
薄瑞光 薄瑞光	55-19320-B
薄產 薄产	55-19390-B
薄田	55-19449-S
薄田 薄田	55-19449-B
薄礼	55-19505-S
薄禮 薄礼	55-19505-B
薄紗 薄纱	55-19566-B
薄紙 薄纸	55-19613-B
薄纱	55-19566-S
薄纸	55-19613-S
薄胎瓷器	55-19661-S
薄胎瓷器 薄胎瓷器	55-19661-B
薄脆	55-19728-S
薄脆 薄脆	55-19728-B
薄膜	55-19789-S
薄膜 薄膜	55-19789-B
薄荷	55-19834-S
薄荷 薄荷	55-19834-B
薄荷油	55-19886-S
薄荷油 薄荷油	55-19886-B
薄透鏡 薄透镜	55-19938-B
薄透镜	55-19938-S
薄酒	55-20034-S
薄酒 薄酒	55-20034-B
薄酬	55-20150-S
薄酬 薄酬	55-20150-B
薄雾	55-20227-S
薄霧 薄雾	55-20227-B
薄面	55-20268-S
薄面 薄面	55-20268-B
薄餅 薄饼	55-20402-B
薄養厚葬 薄养厚葬	55-20465-B
薄饼	55-20402-S
薅	55-20651-S
薅 薅	55-20651-B
薆	55-20689-S
薆 薆	55-20689-B
薇	55-20738-S
薇 薇	55-20738-B
薈 荟	55-20776-B
薈萃 荟萃	55-20807-B
薉	55-20929-S
薉 薉	55-20929-B
薊 蓟	55-20957-B
薊縣 蓟县	55-21005-B
薌 芗	55-21059-B
薏	55-21098-S
薏 薏	55-21098-B
薏米	55-21132-S
薏米 薏米	55-21132-B
薐	55-21230-S
薐 薐	55-21230-B
薑 姜	55-21274-B
薑太公 姜太公	55-21319-B
薑子牙 姜子牙	55-21417-B
薑汁 姜汁	55-21492-B
薑餅 姜饼	55-21538-B
薑黃 姜黄	55-21586-B
薑黃色 薑黄色	55-21632-B
薑黄色	55-21632-S
薔 蔷	55-21694-B
薔薇 蔷薇	55-21728-B
薔薇十字團 蔷薇十字团	55-21768-B
薔薇花蕾 蔷薇花蕾	55-21874-B
薖	55-21939-S
薖 薖	55-21939-B
薘	55-21979-S
薘 薘	55-21979-B
薙 剃	55-22015-B
薛	55-22050-S
薛 薛	55-22050-B
薛仁貴	55-22093-S
薛仁貴 薛仁貴	55-22093-B
薛城区	55-22185-S
薛城區 薛城区	55-22185-B
薛定諤 薛定谔	55-22262-B
薛定諤方程 薛定谔方程	55-22336-B
薛定谔	55-22262-S
薛定谔方程	55-22336-S
薛宝钗	55-22433-S
薛寶釵 薛宝钗	55-22433-B
薛居正	55-22490-S
薛居正 薛居正	55-22490-B
薛福成	55-22557-S
薛福成 薛福成	55-22557-B
薛稷	55-22626-S
薛稷 薛稷	55-22626-B
薜	55-22675-S
薜 薜	55-22675-B
薢	55-22709-S
薢 薢	55-22709-B
薤	55-22753-S
薤 薤	55-22753-B
薦 荐	55-22806-B
薧	55-22850-S
薧 薧	55-22850-B
薨	55-22883-S
薨 薨	55-22883-B
薩 萨	55-22933-B
薩克 萨克	55-22977-B
薩克斯 萨克斯	55-23109-B
薩克斯風 萨克斯風	55-23164-B
薩克森 萨克森	55-23227-B
薩克遜 萨克逊	55-23276-B
薩博 萨博	55-23324-B
薩卡什維利 萨卡什维利	55-23360-B
薩哈洛夫 萨哈洛夫	55-23451-B
薩哈羅夫 萨哈罗夫	55-23527-B
薩哈羅夫人權獎 萨哈罗夫人权奖	55-23607-B
薩哈羅夫獎 萨哈罗夫奖	55-23734-B
薩哈諾夫 萨哈诺夫	55-23864-B
薩哈諾夫人權獎 萨哈诺夫人权奖	55-23934-B
薩嘎 萨嘎	55-24061-B
薩噶達娃節 萨噶达娃节	55-24118-B
薩德爾 萨德尔	55-24240-B
薩德爾市 萨德尔市	55-24315-B
薩拉戈薩 萨拉戈萨	55-24408-B
薩拉熱窩 萨拉热窝	55-24468-B
薩摩 萨摩	55-24564-B
薩摩亞 萨摩亚	55-24646-B
薩摩麟 萨摩麟	55-24693-B
薩斯 萨斯	55-24763-B
薩斯卡通 萨斯卡通	55-24833-B
薩斯喀徹溫 萨斯喀彻温	55-24901-B
薩斯病 萨斯病	55-24986-B
薩格勒布 萨格勒布	55-25070-B
薩桑王朝 萨桑王朝	55-25128-B
薩滿教 萨满教	55-25235-B
薩爾 萨尔	55-25289-B
薩爾布呂肯 萨尔布吕肯	55-25329-B
薩爾普斯堡 萨尔普斯堡	55-25404-B
薩爾溫江 萨尔温江	55-25494-B
薩爾滸之戰 萨尔浒之战	55-25563-B
薩爾瓦多 萨尔瓦多	55-25651-B
薩爾科奇 萨尔科奇	55-25715-B
薩爾科齊 萨尔科齐	55-25807-B
薩爾茨堡 萨尔茨堡	55-25899-B
薩特 萨特	55-25960-B
薩珊王朝 萨珊王朝	55-26020-B
薩科齊 萨科齐	55-26127-B
薩菲 萨菲	55-26195-B
薩裡 萨里	55-26270-B
薩迦 萨迦	55-26328-B
薩達姆 萨达姆	55-26388-B
薩達姆侯賽因 萨达姆侯赛因	55-26436-B
薩達特 萨达特	55-26525-B
薩馬蘭奇 萨马兰奇	55-26581-B
薪	55-26664-S
薪 薪	55-26664-B
薪俸	55-26698-S
薪俸 薪俸	55-26698-B
薪水	55-26743-S
薪水 薪水	55-26743-B
薪酬	55-26789-S
薪酬 薪酬	55-26789-B
薪金	55-26854-S
薪金 薪金	55-26854-B
薫	55-26899-S
薫 薫	55-26899-B
薬	55-26945-S
薬 薬	55-26945-B
薮	55-35479-S
薯	55-26995-S
薯 薯	55-26995-B
薯条	55-27028-S
薯條 薯条	55-27028-B
薯片	55-27097-S
薯片 薯片	55-27097-B
薰	55-27150-S
薰 薰	55-27150-B
薰衣草	55-27245-S
薰衣草 薰衣草	55-27245-B
薳	55-27297-S
薳 薳	55-27297-B
薶	55-27353-S
薶 薶	55-27353-B
薷	55-27400-S
薷 薷	55-27400-B
薸	55-27440-S
薸 薸	55-27440-B
薹	55-27472-S
薹 薹	55-27472-B
薹草 苔草	55-27511-B
薹草屬 苔草属	55-27550-B
薺 荠	55-27606-B,55-27651-B
薽	55-27687-S
薽 薽	55-27687-B
薾	55-27727-S
薾 薾	55-27727-B
薿	55-27775-S
薿 薿	55-27775-B
藁城县	55-27818-S
藁城縣 藁城县	55-27818-B
藄	55-27887-S
藄 藄	55-27887-B
藇	55-27915-S
藇 藇	55-27915-B
藉	55-27957-S,55-27990-S
藉 藉	55-27957-B,55-27990-B
藉口	55-28024-S
藉口 藉口	55-28024-B
藉由	55-28072-S
藉由 藉由	55-28072-B
藉着	55-28127-S
藉著 藉着	55-28127-B
藋	55-28179-S
藋 藋	55-28179-B
藍 蓝	55-28219-B
藍儂 蓝侬	55-28266-B
藍光 蓝光	55-28307-B,55-28364-B
藍光光盤 蓝光光盘	55-28416-B
藍圖 蓝图	55-28488-B
藍天 蓝天	55-28530-B
藍寶石 蓝宝石	55-28573-B
藍屏死機 蓝屏死机	55-28626-B
藍山 蓝山	55-28701-B
藍巨星 蓝巨星	55-28764-B
藍晶 蓝晶	55-28824-B
藍牙 蓝牙	55-28901-B
藍田 蓝田	55-28943-B
藍皮書 蓝皮书	55-29008-B
藍移 蓝移	55-29090-B
藍籌股 蓝筹股	55-29157-B
藍精靈 蓝精灵	55-29217-B
藍細菌 蓝细菌	55-29274-B
藍綠菌 蓝绿菌	55-29350-B
藍綠藻 蓝绿藻	55-29426-B
藍耳病 蓝耳病	55-29502-B
藍舌病 蓝舌病	55-29620-B
藍色 蓝色	55-29706-B
藍色戰劑 蓝色战剂	55-29743-B
藍草莓 蓝草莓	55-29808-B
藍莓 蓝莓	55-29888-B
藍菌 蓝菌	55-29931-B
藍菌門 蓝菌门	55-29997-B
藍藻 蓝藻	55-30084-B
藍藻門 蓝藻门	55-30150-B
藍靛 蓝靛	55-30237-B
藍領 蓝领	55-30278-B
藍鯨 蓝鲸	55-30339-B
藎 荩	55-30384-B
藏	55-30430-S,55-30507-S,55-30598-S
藏 藏	55-30430-B,55-30507-B,55-30598-B
藏人	55-30641-S
藏人 藏人	55-30641-B
藏传佛教	55-30692-S
藏傳佛教 藏传佛教	55-30692-B
藏匿	55-30767-S
藏匿 藏匿	55-30767-B
藏垢納污 藏垢纳污	55-30841-B
藏垢纳污	55-30841-S
藏奸	55-30908-S
藏奸 藏奸	55-30908-B
藏文	55-30969-S
藏文 藏文	55-30969-B
藏族	55-31060-S
藏族 藏族	55-31060-B
藏族人	55-31113-S
藏族人 藏族人	55-31113-B
藏污納垢 藏污纳垢	55-31174-B
藏污纳垢	55-31174-S
藏独	55-31315-S
藏獒	55-31241-S
藏獒 藏獒	55-31241-B
藏獨 藏独	55-31315-B
藏紅花 藏红花	55-31380-B
藏經洞 藏经洞	55-31451-B
藏红花	55-31380-S
藏经洞	55-31451-S
藏羚	55-31532-S
藏羚 藏羚	55-31532-B
藏羚羊	55-31611-S
藏羚羊 藏羚羊	55-31611-B
藏茴香果	55-31675-S
藏茴香果 藏茴香果	55-31675-B
藏語 藏语	55-31741-B
藏语	55-31741-S
藏身	55-31791-S
藏身 藏身	55-31791-B
藏躲	55-31859-S
藏躲 藏躲	55-31859-B
藏龍臥虎 藏龙卧虎	55-31912-B
藏龙卧虎	55-31912-S
藐	55-31981-S
藐 藐	55-31981-B
藐視 藐视	55-32018-B
藐视	55-32018-S
藓	55-43921-S
藕	55-32060-S
藕 藕	55-32060-B
藘	55-32095-S
藘 藘	55-32095-B
藙	55-32123-S
藙 藙	55-32123-B
藚	55-32169-S
藚 藚	55-32169-B
藜	55-32206-S
藜 藜	55-32206-B
藝 艺	55-32245-B
藝人 艺人	55-32276-B
藝伎 艺伎	55-32332-B
藝名 艺名	55-32370-B
藝壇 艺坛	55-32439-B
藝妓 艺妓	55-32493-B
藝術 艺术	55-32561-B
藝術品 艺术品	55-32597-B
藝術學院 艺术学院	55-32662-B
藝術家 艺术家	55-32753-B
藝術體操 艺术体操	55-32803-B
藟	55-32876-S
藟 藟	55-32876-B
藤	55-32918-S
藤 藤	55-32918-B
藤县	55-33183-S
藤森	55-32953-S
藤森 藤森	55-32953-B
藤泽	55-33035-S
藤澤 藤泽	55-33035-B
藤球	55-33128-S
藤球 藤球	55-33128-B
藤縣 藤县	55-33183-B
藤蔓	55-33241-S
藤蔓 藤蔓	55-33241-B
藤野	55-33280-S
藤野 藤野	55-33280-B
藤野先生	55-33328-S
藤野先生 藤野先生	55-33328-B
藥 药	55-33400-B
藥丸 药丸	55-33441-B
藥典 药典	55-33479-B
藥劑 药剂	55-33527-B
藥劑士 药剂士	55-33568-B
藥劑師 药剂师	55-33631-B
藥品 药品	55-33712-B
藥商 药商	55-33771-B
藥學 药学	55-33815-B
藥師佛 药师佛	55-33857-B
藥師如來 药师如来	55-33942-B
藥店 药店	55-34038-B
藥房 药房	55-34081-B
藥方 药方	55-34134-B
藥材 药材	55-34181-B
藥檢 药检	55-34231-B
藥水 药水	55-34295-B,55-34377-B
藥水兒 药水儿	55-34432-B
藥片 药片	55-34506-B
藥物 药物	55-34545-B
藥理學 药理学	55-34630-B
藥瓶 药瓶	55-34686-B
藥用 药用	55-34736-B
藥用價值 药用价值	55-34799-B
藥療 药疗	55-34871-B
藥監局 药监局	55-34928-B
藥簽 药棉	55-35089-B
藥膏 药膏	55-35136-B
藥苗 药苗	55-35178-B
藦	55-35225-S
藦 藦	55-35225-B
藨	55-35267-S
藨 藨	55-35267-B
藩	55-35308-S
藩 藩	55-35308-B
藩国	55-35372-S
藩國 藩国	55-35372-B
藩篱	55-35420-S
藩籬 藩篱	55-35420-B
藪 薮	55-35479-B
藶 苈	55-35526-B
藷	55-35571-S
藷 藷	55-35571-B
藹 蔼	55-35604-B
藹然 蔼然	55-35634-B
藹藹 蔼蔼	55-35683-B
藺 蔺	55-35737-B
藺相如 蔺相如	55-35786-B
藻	55-35859-S
藻 藻	55-35859-B
藻类	55-35907-S
藻類 藻类	55-35907-B
藾	55-35946-S
