打高尔夫	26-50550-S
打高尔夫球	26-50615-S
打高爾夫 打高尔夫	26-50550-B
打高爾夫球 打高尔夫球	26-50615-B
打鬥 打斗	26-50691-B
打魚 打鱼	26-50732-B
打鱼	26-50732-S
打鳥 打鸟	26-50771-B
打鸟	26-50771-S
打點 打点	26-50822-B
打鼓	26-50869-S
打鼓 打鼓	26-50869-B
扔	26-50953-S
扔 扔	26-50953-B
扔下	26-50999-S
扔下 扔下	26-50999-B
扔弃	26-51124-S
扔掉	26-51062-S
扔掉 扔掉	26-51062-B
扔棄 扔弃	26-51124-B
払	26-51193-S
払 払	26-51193-B
托	26-51252-S,57-65349-S
托 托	26-51252-B
托付	26-51411-S
托付 托付	26-51411-B
托儿所	26-51650-S
托克托	26-51451-S
托克托 托克托	26-51451-B
托克逊	26-51574-S
托克遜 托克逊	26-51574-B
托兒所 托儿所	26-51650-B
托勒密	26-51700-S
托勒密 托勒密	26-51700-B
托勒密王	26-51750-S
托勒密王 托勒密王	26-51750-B
托勒玫	26-51812-S
托勒玫 托勒玫	26-51812-B
托尔斯泰	26-52026-S
托尔金	26-52136-S
托拉博拉	57-65430-S
托木尔峰	26-51901-S
托木爾峰 托木尔峰	26-51901-B
托架	26-51985-S
托架 托架	26-51985-B
托洛茨基	57-65525-S
托爾斯泰 托尔斯泰	26-52026-B
托爾金 托尔金	26-52136-B
托特	26-52206-S
托特 托特	26-52206-B
托福	26-52269-S
托福 托福	26-52269-B
托管	26-52345-S
托管 托管	26-52345-B
托罗斯山	26-52400-S
托羅斯山 托罗斯山	26-52400-B
托莱多	26-52488-S
托萊多 托莱多	26-52488-B
托裡 托里	26-52539-B
托词	57-65614-S
托辞	26-52601-S
托辭 托辞	26-52601-B
托运	26-52675-S
托运行李	26-52743-S
托運 托运	26-52675-B
托運行李 托运行李	26-52743-B
托里	26-52539-S
托鉢修會 托钵修会	26-52842-B
托钵修会	26-52842-S
托馬斯 托马斯	26-52954-B
托馬斯・阿奎納 托马斯・阿奎纳	26-53015-B
托马斯	26-52954-S
托马斯・阿奎纳	26-53015-S
扛	26-53123-S,26-53176-S
扛 扛	26-53123-B,26-53176-B
扞	26-53223-S
扞 扞	26-53223-B
扠	26-53254-S
扠 扠	26-53254-B
扡	26-53284-S
扡 扡	26-53284-B
扢	26-53317-S,26-53351-S
扢 扢	26-53317-B,26-53351-B
扣	26-53383-S,64-20076-S
扣 扣	26-53383-B
扣上	26-53430-S
扣上 扣上	26-53430-B
扣人心弦	26-53488-S
扣人心弦 扣人心弦	26-53488-B
扣子	64-20105-S
扣帽子	26-53597-S
扣帽子 扣帽子	26-53597-B
扣式电池	26-53650-S
扣式電池 扣式电池	26-53650-B
扣押	26-53732-S
扣押 扣押	26-53732-B
扣查	26-53793-S
扣查 扣查	26-53793-B
扣留	26-53849-S
扣留 扣留	26-53849-B
扣篮	26-53905-S
扣籃 扣篮	26-53905-B
扣除	26-53948-S
扣除 扣除	26-53948-B
扤	26-53991-S
扤 扤	26-53991-B
扦	26-54025-S
扦 扦	26-54025-B
执	15-64636-S
执事	15-64681-S
执勤	15-64721-S
执意	15-64779-S
执掌	15-64838-S
执政	15-64891-S
执政党	15-65211-S
执政官	15-64951-S
执政方式	15-65008-S
执政者	15-65083-S
执政能力	15-65135-S
执法	15-65290-S
执法如山	15-65338-S
执照	15-65476-S
执着	15-65518-S
执行	15-65610-S
执行人	15-65682-S
执行指挥官	15-65767-S
执行长	15-65855-S
执迷不悟	15-65918-S
