shí ní kē fū	11-14263-S
shí nǚ	20-12671-B,46-5487-B
shí piàn	46-9040-B
shí péi xùn	62-14138-S
shí píng	46-6029-B
shí pò	58-63090-B
shí pò tiān jīng	46-9262-B
shí pǐn	41-1569-S,49-66030-S,69-1913-B
shí pǐn tān	69-2039-B
shí pǐn xiàng mù	46-7903-S
shí pǐn yào pǐn jiān dū guǎn lǐ jú	15-7933-S,69-2233-B
shí pǐn yào pǐn jiān dū jú	69-2105-B
shí pǐn ān quán	69-1972-B
shí pǔ	69-4210-B
shí qià wén	11-10353-S
shí qiáo	17-29144-S
shí qiáo shì	17-29263-S
shí qiān	46-10656-B
shí quán	46-8227-B
shí quán shí měi	10-44446-B
shí quān	21-36524-S,30-40559-S
shí qì	26-48844-S,30-52900-S,46-5008-B,46-40808-S
shí qì shí dài	30-53031-S,46-5067-B,53-28904-S
shí qì shí qī	30-52953-S
shí qí guǒ	53-15509-S
shí qíng kuàng	42-50178-S
shí qù	58-63531-B
shí qú	46-8292-B
shí qī	1-31359-S,3-33313-S,8-18540-S,10-41954-B,12-48377-S,30-52953-S,31-40898-B,48-12412-S,62-46823-S
shí qī guó jí tuán	1-26914-S
shí qī hào	3-33371-S,14-50994-S
shí qī kǒng qiáo	10-41999-B
shí qīng	46-10765-B
shí qū	31-39837-B
shí ruǐ	46-10121-B
shí ruǐ shì zhǐ	46-10204-B
shí rén	42-28888-S,69-1726-B
shí rén shā	69-1819-B
shí rén tì tuò	27-53621-B
shí rén yá huì	27-53744-B
shí rì	31-40706-B
shí ròu	69-3308-B
shí ròu dòng wù	69-3365-B
shí ròu lèi	69-3668-B
shí ròu mù	69-3615-B
shí ròu qǐn pí	69-3430-B
shí shàng	3-30175-S,30-49372-S,31-40305-B
shí shèng yú xióng biàn	3-30289-S
shí shì	14-1132-S,20-11902-B,20-21272-S,31-39098-B,31-40510-B,46-37310-S,65-69358-S,71-22057-S
shí shì jì	3-33503-S
shí shì qiú shì	20-11970-B
shí shì zào yīng xióng	31-39692-B
shí shí	20-13420-B,25-21050-S,31-40743-B,55-54110-S,60-47001-S
shí shí biàn	2-30720-S
shí shí cāo zuò huán jìng	20-13610-B
shí shí dá wù	58-62952-B
shí shí jiā gōng	20-13463-B
shí shí jì shù	20-13538-B
shí shí tōng biàn	58-62867-B
shí shí wù	2-30554-S
shí shí wù zhě wèi jùn jié	58-62673-B
shí shù	20-13185-B
shí shù liú	33-32803-S
shí shù zhí	20-13251-B
shí shān	53-25586-S
shí shī	20-13361-B,46-9121-B
shí shū	31-17121-B
shí shǒu	46-10966-B
shí suì	3-47162-S
shí suān	63-40252-S
shí sè	3-47090-S,69-3732-B
shí sè xìng yě	69-3795-B
shí sì	1-32007-S,3-34400-S,10-45350-B,33-30080-S
shí sì guà	7-66489-S
shí sì hào	3-34689-S
shí sì háng shī	10-45394-B
shí sì jié qi	3-34608-S
shí sì shǐ	3-34457-S
shí sì wàn	7-66573-S
shí sù	31-41858-B
shí sān	1-31418-S,3-33444-S,10-42118-B,14-46984-S,48-12466-S
shí sān jīng	10-42232-B
shí sān líng	31-22362-S
shí sān rì	10-42163-B
shí sōng	46-11028-B
shí sǔn	46-9618-B
shí tiān	1-32065-S
shí tiān gān	10-45823-B
shí tiān huán yóu dì qiú	7-49388-S
shí tou	15-24592-S,46-10848-B
shí tou huǒ guō	46-10886-B
shí tài	31-40550-B
shí tài shān	2-30888-S
shí tàn	46-8651-B
shí tàn jì	46-8870-B
shí tàn jǐng qū	46-8697-B
shí tàn suān	46-8966-B
shí tàn xì	46-8785-B
shí tái	46-4528-B
shí tái jǔ	2-30434-S
shí táng	69-2371-B
shí tóu dà hǎi	46-6237-B
shí tú	51-31657-S
shí tú lǎo mǎ	58-63638-B
shí tú ní chá	47-16774-S
shí tāo	46-8353-B
shí tōng biàn	58-62867-S
shí tōng xùn	11-24884-S
shí tǎ	46-37794-S
shí tǐ	20-16323-B
shí tǐ céng	20-16372-B
shí tǔ bū	61-14872-S
shí wàn	3-34981-S,10-47219-B
shí wàn huǒ jí	10-47375-B
shí wàn wèi	10-47269-B
shí wáng	12-55480-S
shí wèi	10-43888-B
shí wéi kè	22-16646-S
shí wéi lì	37-14658-S,55-23360-S
shí wéi tiān	36-19315-S
shí wén duàn zì	58-62591-B
shí wù	2-30554-S,20-12428-B,20-14038-B,27-53965-B,69-2675-B
shí wù jiào xué	20-14149-B
shí wù jí yào pǐn guǎn lǐ jú	69-2785-B
shí wù liàn	69-2993-B
shí wù yóu	69-2929-B
shí wù zhòng dú	69-2712-B
shí wù zhě wèi jùn jié	58-62673-S
shí wēi jiàn jǐ	58-62318-B
shí wǔ	1-31594-S,3-33756-S,7-66360-S,10-43630-B,48-12624-S
shí wǔ dà	10-43738-B
shí wǔ hào	3-51011-S
shí wǔ nián	10-43830-B
shí wǔ shǐ	3-33813-S
shí wǔ suì	7-66414-S
shí wǔ yì	1-31652-S,10-43673-B
shí xià	31-38779-B,46-9662-B
shí xiàn	20-14218-B,31-42799-B,40-34570-S,46-37406-S,53-6455-S,65-69588-S
shí xiàng	10-47890-B,46-3846-B,58-63037-B
shí xiàng quán néng	10-47957-B
shí xiào	61-59773-S
shí xiá	53-58959-S
shí xiāng	21-6173-S,33-22215-S
shí xiāo xi	53-22240-S
shí xiě shí chuò	31-40189-B
shí xiū	46-43048-S,58-63150-B
shí xiǎn shí yǐn	31-42844-B
shí xiǎo	31-39929-S
shí xué	21-36581-S,45-42521-S
shí xìn guǎn	19-45757-S
shí xí	20-14451-B
shí xí sheng	20-14506-B
shí xíng	20-14685-B
shí xíng tài	25-30358-S
shí xíng wéi	57-34264-S
shí xù	9-55105-S,31-40466-B,31-40596-S
shí xùn	31-41644-B
shí xīng	31-41512-B
shí yuán shèn tài láng	46-4433-B
shí yuè	10-47092-B
shí yuè gé mìng	10-47145-B
shí yàn	10-45590-B,20-16033-B
shí yàn shì	10-45661-B,14-36890-S,20-16092-B,59-30212-S
shí yàn shì gǎn rǎn	20-16147-B
shí yàn xīn lǐ xué	20-16234-B
shí yán	46-11183-B,69-4081-B,69-4473-B
shí yán shì	22-18780-S,22-18929-S
shí yè	4-19744-B,20-13782-B
shí yè jiā	20-13845-B
shí yè pài	4-19803-B
shí yì	1-3796-S,1-14946-S,1-31717-S,3-33930-S,10-44027-B,20-13085-B,22-57330-S,30-20510-S,45-42172-S
shí yì de	45-41903-S
shí yì wèi yuán	10-44077-B
shí yì wèi yuán yǐ tài wǎng luò	10-44140-B
shí yì wèi yuán yǐ tài wǎng luò lián méng	10-44256-B
shí yìn	46-4366-B
shí yí	1-70228-S,2-57-S,12-31509-S,12-34724-S,27-54268-B,31-40069-B,56-58698-S,56-60108-S,60-41398-S,62-49468-S
shí yí bǔ quē	27-54374-B
shí yòng	20-14302-B,69-3048-B
shí yòng zhǔ yì	20-14385-B
shí yóu	46-7786-B,54-2644-S,61-12335-S,69-2542-B
shí yóu chuān dōng zuàn tàn gōng sī	2-76805-S
shí yóu chǎn pǐn	61-12441-S
shí yóu gōng sī	54-2718-S,67-15971-S
shí yóu huà gōng gǔ fèn yǒu xiàn gōng sī	2-61362-S
shí yóu huà xué	46-7833-B
shí yóu huàn shí pǐn xiàng mù	46-7903-B
shí yóu hé huà xué gōng yè xié huì	2-61549-S
shí yóu là	46-8019-B
shí yóu mí	46-8168-B
shí yóu qì	38-37327-S
shí yóu shū chū guó zǔ zhī	46-8076-B
shí yóu tiān rán qì jí tuán gōng sī	2-61735-S
shí yóu zǒng gōng sī	2-60883-S
shí yù	69-2417-B
shí yù kūn	46-9182-B
shí yùn	31-41905-B
shí yùn bù jì	31-41957-B
shí yī	1-31302-S,2-24028-S,3-33087-S,10-41760-B,48-12361-S
shí yī dīng	2-30061-S
shí yī fèng xiàn	4-19629-B
shí yī hào	1-35778-S
shí yī nián	10-41830-B
shí yī shì jì	3-33143-S
shí yī tiáo	3-33219-S
shí yī yuè	10-41887-B
shí yīng	46-9934-B,49-28892-S
shí yīng hào	49-28945-S
shí yīng lǔ sù dēng	46-10035-B
shí yīng zhōng	46-9975-B
shí yǐ hòu	1-7250-S
shí yǐ qián	35-41443-S
shí yǐ shòu	69-3999-B
shí yǐn	31-42844-S
shí yǒu suǒ wén	31-40793-B
shí yǔ yīn jì yì	45-66288-S
shí zhuàng	46-9079-B
shí zhuāng	31-41566-B
shí zhuō	12-21138-S
shí zhà dàn	19-45950-S,31-41228-B
shí zhàn	20-13125-B
shí zhèn	21-61696-S
shí zhèng	20-14844-B,48-55553-S,52-50958-S
shí zhèng fǔ	52-58139-S
shí zhèng zhǔ yì	20-14920-B
shí zhì	16-40784-S,20-15260-B,46-10364-B
shí zhì shàng	20-15311-B
shí zhì xìng	20-15379-B
shí zhì yí	14-60620-S
shí zhí	20-12155-B,20-14567-B
shí zhòng bō	33-36365-S
shí zhù	46-6916-B,56-6180-S
shí zhù tǔ jiā zú zì zhì xiàn	46-6997-B
shí zhú	71-10599-S
shí zhēn	33-3472-S,61-67309-S,68-24985-S
shí zhě	49-25408-S
shí zhī wú	43-56589-S
shí zhī xū	2-14755-S
shí zhōng	19-46016-S,31-42067-B,70-29842-S
shí zhōng rì	69-8525-S
shí zhōng rì wú suǒ yòng xīn	69-8637-S
shí zhōng xīn	21-2340-S
shí zhōng zuò	31-42108-B
shí zhǐ	69-2458-B
shí zhǒu	20-14621-B
shí zhǔ yì	42-50115-S
shí zuò	46-3796-B
shí zuò yòng	5-27992-S
shí zuǐ shān	46-4751-B
shí zuǐ shān shì	46-4874-B
shí zài	20-12487-B
shí zé	20-12338-B
shí zì	2-30381-S,10-45895-B,58-62212-B
shí zì huì	49-8648-S,69-27813-S
shí zì huā kē	10-46125-B
shí zì jià	10-46044-B
shí zì jūn	10-46347-B
shí zì jūn dōng zhēng	10-46431-B
shí zì jūn yuǎn zhēng	10-46542-B
shí zì lù kǒu	10-46270-B
shí zì tuán	55-21768-S
shí zì xíng	10-45978-B
shí zì zuò	10-67963-S
shí zú	10-47564-B,38-1561-S
shí zǐ 5r	46-5583-B
shí èr	1-31537-S,3-33627-S,10-42449-B,48-12574-S
shí èr biān xíng	10-43497-B
shí èr dì zhī	10-42658-B
shí èr fēn	10-42491-B
shí èr fēn zhī yī	10-42582-B
shí èr gōng	10-42739-B,71-23658-S
shí èr hào	3-33683-S
shí èr jiǎo xíng	10-43431-B
shí èr liè shì	71-22753-S
shí èr miàn tǐ	10-43563-B
shí èr píng jūn lǜ	10-42878-B
shí èr shí chen	10-43224-B
shí èr xīng zuò	10-43097-B
shí èr yuè	10-43365-B
shí èr zhāng jīng	14-47042-S
shí èr zhī	10-43026-B
shí èr zhǐ cháng	10-42961-B
shí ér	31-41461-B
shí ěr	30-53758-S
shí ěr zhōu	30-53836-S
