sth	1-22700-S,1-54817-S,1-74498-S,2-3813-S,2-6805-S,2-7117-S,2-7117-S,2-10162-S,2-10162-S,2-14148-S,2-15004-S,2-15004-S,2-15083-S,2-15204-S,2-22541-S,2-26315-S,2-31739-S,2-48825-S,3-10311-S,4-343-S,4-542-S,4-33981-S,4-47189-S,4-47189-S,4-61376-S,5-7796-S,5-16361-S,5-16975-S,5-16975-S,5-43385-S,5-44274-S,5-51221-S,5-59875-S,6-11593-S,6-15090-S,6-30180-S,6-60680-S,7-24233-S,7-34145-S,7-46127-S,8-209-S,8-8067-S,8-36799-S,8-39834-S,8-45500-S,8-56820-S,8-62127-S,8-64873-S,9-5303-S,9-11027-S,9-22653-S,9-55423-S,9-57559-S,9-66715-S,9-68093-S,10-11030-S,10-43970-S,10-55042-S,10-60913-S,10-61003-S,10-61003-S,11-36367-S,11-36625-S,11-36625-S,11-36743-S,11-37772-S,11-40088-S,11-55677-S,11-56330-S,12-8362-S,12-8886-S,12-26481-S,12-64891-S,13-19491-S,14-3008-S,14-62792-S,15-492-S,15-33424-S,15-34671-S,15-61126-S,16-3542-S,16-34473-S,17-6780-S,17-36724-S,17-63997-S,18-4374-S,18-27526-S,18-31896-S,18-31896-S,18-32041-S,19-28722-S,19-65223-S,20-1235-S,20-3700-S,20-44311-S,20-45227-S,20-46157-S,20-49873-S,22-52002-S,22-52143-S,22-52219-S,22-60076-S,23-19574-S,23-27332-S,23-44500-S,23-64931-S,24-7187-S,24-7914-S,24-32516-S,24-35412-S,24-43001-S,25-1039-S,25-1039-S,25-1039-S,25-1203-S,25-1203-S,25-3699-S,25-25773-S,25-25890-S,25-29685-S,25-32627-S,25-41205-S,25-50349-S,25-55469-S,26-16066-S,26-34465-S,26-45023-S,26-46980-S,26-48109-S,26-62187-S,27-3517-S,27-10790-S,27-17530-S,27-39020-S,27-41357-S,27-46542-S,27-60015-S,27-66550-S,28-6629-S,28-6873-S,28-25474-S,28-27616-S,28-28131-S,28-40963-S,28-49482-S,28-50385-S,28-55764-S,28-55764-S,28-56618-S,28-57419-S,28-58280-S,29-7006-S,29-16242-S,29-18260-S,29-26964-S,29-39483-S,29-42166-S,29-48594-S,32-19659-S,32-31437-S,32-32561-S,32-37334-S,32-37889-S,32-40549-S,33-26181-S,34-48543-S,35-38196-S,35-53228-S,35-54243-S,36-54423-S,37-215-S,37-10330-S,37-25839-S,37-44708-S,38-48544-S,39-23623-S,39-53154-S,39-59007-S,40-18480-S,40-60156-S,41-15665-S,41-16015-S,41-38831-S,41-39022-S,41-63163-S,41-63646-S,42-556-S,42-556-S,42-23741-S,42-23983-S,42-38323-S,42-38601-S,43-14135-S,43-34789-S,43-44016-S,43-56167-S,43-56294-S,43-62535-S,44-4360-S,44-27398-S,44-29076-S,45-7675-S,45-11228-S,45-11848-S,45-41982-S,45-43664-S,45-49182-S,45-62887-S,46-26333-S,46-26482-S,46-33291-S,46-46709-S,47-317-S,47-1269-S,47-59321-S,47-59417-S,48-42323-S,48-42592-S,48-47599-S,48-52303-S,49-2198-S,49-15743-S,49-39497-S,50-27939-S,51-9063-S,51-28568-S,51-34512-S,51-34982-S,51-57154-S,51-67504-S,52-12974-S,52-20593-S,52-27412-S,52-27412-S,52-49844-S,52-49979-S,53-1300-S,53-10414-S,53-14301-S,53-28995-S,53-67308-S,54-9424-S,54-53563-S,54-53638-S,55-6178-S,55-11417-S,56-43022-S,57-28593-S,57-29437-S,57-31457-S,57-36931-S,57-62317-S,58-2103-S,58-12152-S,58-20232-S,58-21789-S,58-22389-S,58-33504-S,58-42117-S,58-54238-S,58-54728-S,59-13544-S,59-13544-S,59-14086-S,59-38670-S,59-40430-S,60-10873-S,60-14074-S,60-34829-S,61-15672-S,61-23384-S,61-35415-S,61-51811-S,61-51993-S,61-52410-S,61-55476-S,61-58139-S,61-58233-S,61-58459-S,61-65514-S,62-9964-S,62-11941-S,62-23244-S,62-32665-S,62-47552-S,62-47729-S,62-65245-S,62-69359-S,63-53635-S,63-60010-S,64-405-S,65-23923-S,65-33178-S,65-46699-S,65-55185-S,65-64492-S,66-42134-S,66-47656-S,66-48317-S,66-60066-S,68-27583-S,68-29595-S,68-45173-S,68-48800-S,69-21322-S,69-63414-S,70-21176-S
sth 	5-2175-S
sth a cow or a horse 成语 saw	13-19275-S
sth a cow or a horse 成语 撒网	13-19119-S
sth a horse	5-9142-S
sth a hundred times	44-53818-S
sth a long distance	27-1873-S
sth abstract	23-21581-S,34-43425-S
sth accurately	20-23834-S
sth advocated first	7-4355-B
sth affection	25-14550-S,25-14644-S
sth after a model	4-46075-S
sth after the event	61-59979-S
sth against	20-53940-S
sth along with the dead	35-60737-S
sth amounts to	12-37520-S
sth and accept it	71-39788-S
sth and gaze into the distance	25-55619-S
sth and get sth in return	28-46041-S
sth and have immediate success	31-3858-S
sth and never tire of it 成语 saw	34-49355-S
sth and receive it	36-53974-S
sth around for others to look at	6-39396-S
sth as	5-7962-S,14-23198-S,40-31590-S,41-40600-S,57-35492-S,58-19956-S
sth as a group	49-52667-S
sth as a metaphor	5-65193-S
sth as a model	20-42959-S
sth as it is	1-74575-S
sth as taboo	26-13788-S
sth as true	45-26779-S
sth as worthless	57-34947-S
sth assaults the senses	29-16778-B,29-16955-B
sth at face value	24-23191-S,41-6890-S
sth at one s fingertips	62-40403-S
sth at risk of one s life	27-52050-S
sth back	57-63716-S
sth back to	61-59008-S
sth back to its origin	61-57971-S
sth back to its origins	61-58459-S
sth back to its source	61-58139-S
sth bad	23-30737-S,42-2184-S,65-10505-S
sth bad happened	8-34207-B
sth beautiful	45-50905-S
sth behind all this	17-21518-S
sth best kept secret	66-49773-B
sth best not told to anyone	66-49619-B
sth better but more risky	1-61411-S
sth beyond one s means in order to look impressive	26-48362-S
sth beyond reach	45-59141-S
sth big	66-59151-S
sth big of it	17-5350-S
sth borrowed etc	61-63140-S
sth both funny and annoying	13-46829-S
sth by a name	47-34862-S
sth by following up a clue	27-62174-S
sth by for a rainy day	47-39927-S,47-40041-S
sth by heart	39-34673-S
sth by mail	20-3008-S
sth by running over it	46-34518-S
sth by selling	8-44147-S
sth carefully	20-23025-S
sth cheaper	65-22907-S
sth clear	39-65717-S
sth clearly	8-62988-S,41-51332-S
sth closely	65-56004-S
sth comes from	8-44687-S
sth concealed	66-50332-S
sth confidential	5-36553-S
sth dearly lover	64-51507-S
sth difficult	43-52581-S
sth done	61-35202-S
sth down	23-18112-S,27-36477-S,63-53080-S
sth down deliberately	4-26737-S
sth easy to do	27-54093-S
sth else	29-44444-S,32-7194-S,38-1109-S,40-63455-S,43-60089-B,45-48823-S,68-23489-S,68-26850-S
sth embarassing	46-43225-S
sth enthusiastically	37-59085-S
sth essential because of a slight risk	14-59606-S
sth explaining or calling attention to	34-53821-S
sth feels bad	2-3646-B
sth finally settles	35-53885-S
sth fluently	41-16674-S
sth following clues	68-26576-S
sth for a bit to give it a try	1-399-S
sth for a long time	3-10011-S
sth for another use	6-622-S
sth for attack	45-62606-S
sth for entertainment	42-37776-S
sth for existence	5-24336-S
sth for fear of offending sb	46-43440-S
sth for later	43-49603-S
sth for possible future use	6-29318-S
sth for sb	49-49050-S
sth for show	29-30165-S
sth for support etc	5-25922-S
sth for the first time	7-5151-S,69-23512-S
sth forgotten	65-46176-S
sth fortunate	22-51008-B
sth frequently	22-32014-S
sth from the outside	16-50514-S
sth given as a token	56-46364-B
sth go	50-54410-S
sth goes back to the dim and distant past	39-16104-S
sth good	44-32060-S,44-32137-S
sth great	32-37334-S
sth great 成语 saw	21-3986-S,47-39128-S
sth half heartedly or just for show	30-18740-S
sth hanging down	29-13059-S
sth happened in the past	5-19119-S
sth happens	52-57739-S
sth has got into you	2-82981-B,3-868-B
sth has got to	54-55608-S
sth hidden	31-61313-B,66-47774-B
sth hits one in the face	29-16778-S,29-16955-S
sth illegally	18-10427-S
sth in a bag	56-60349-S
sth in a big way	17-4850-S
sth in a good way	53-14210-S
sth in advance esp a crime	68-30581-S
sth in batches or groups	8-53309-S
sth in by the back door	65-34530-S
sth in haste	25-53606-S
sth in mind	54-55087-S
sth in motion	28-9936-S
sth in one s bosom	28-51748-S
sth in passing	68-23489-S
sth in return	14-55832-S,28-46041-S
sth in storage	23-0-S
sth in the hand and beat it	28-63821-S
sth in time	5-17849-S
sth indefinite	33-42059-S
sth inside out	39-34673-S
sth into a group	28-61199-S
sth into chinese	39-48506-S
sth into line	49-15743-S
sth into parts	8-56383-S
sth irrevocably	4-27235-S
sth is about to happen	24-22943-S
sth is concerned	20-51102-S
sth is done	48-8442-S
sth is genuine	45-41690-S
sth is likely	30-35114-S
sth is precisely or exactly as stated	21-9715-S
sth is ready etc	48-17869-S
sth is right or wrong	70-11362-S
sth is true	58-20384-S
sth is wrong after insisting it is right	32-44290-S
sth jointly	32-22376-S
sth level with both hands	47-65236-S
sth lightly	28-12829-S
sth lost	56-57938-S
sth made to order	19-43676-S
sth malevolent returns to haunt one	35-58140-B
sth more quickly	24-49562-S,24-49645-S
sth new	16-27702-S
sth new and original	34-52931-S
sth new in order to be different	34-52931-S
sth new or original	9-4645-S
sth not to be taken too seriously	18-33654-B
sth not understood	44-3863-B
sth not worth doing	2-6805-S
sth off	23-16944-S,23-18623-S,27-9117-S
sth often overlooked or non confirmable	41-34232-S
sth on its own merits	21-9175-S
sth on its proper course	68-23325-S
sth on one s mind	28-19625-S,51-42704-S,70-3051-B
sth on the back burner	33-11264-S
sth on the market	27-2013-S
sth on them	34-861-S
sth one can predict without being a clairvoyant	32-56873-B
sth one enjoys	20-54965-S
sth one feels obliged to speak out about	70-2779-B
sth one has no way of doing	40-51147-B
sth one is sure to obtain	47-43010-B,47-43294-B
sth one prefers to avoid	12-14454-B
sth online	1-54954-S
sth or sb on seeing it	58-20576-S
sth out	27-16086-S,51-56854-S,71-53268-S
sth out longer	27-26325-S
sth out of a container	27-8163-S
sth out to dry	29-35929-S,68-53327-S
sth over	11-53770-S,20-44882-S,27-8163-S,28-34613-S,46-30586-S,57-43417-S
sth over again	63-61716-S
sth over and over again	27-11145-S
sth over another to suit one s own convenience	18-59130-S,27-66056-S
sth over in one s mind	24-54511-S
sth over time	37-27875-S
sth overruled or changed	2-15204-S
sth palatable	28-38159-S
sth personally	57-38211-S
sth positive	53-3820-S
sth preceding it	8-3171-S
sth precisely	56-46635-S
sth prominent	47-54250-S
sth rarely experience	21-4982-B
sth ready	30-15616-S
sth ready just in case	6-29318-S
sth regrettable	50-49165-B
sth repeatedly	28-55637-S
sth sealed	27-19903-S
sth secret	46-52684-S
sth short and slender	39-56460-S
sth speaks for itself	32-36896-B,32-37053-B
sth special	43-60089-B
sth stand out	47-54250-S
sth strange or incomprehensible	43-60089-B
sth stubbornly	33-54403-S
sth suitable	58-39856-S
sth superfluous	43-59217-S,55-60425-B,60-2123-B
sth takes ones breath away	69-62703-B
sth that costs nothing	44-39243-S
sth that crops up frequently	22-30644-S
sth that happened	11-48038-S
sth that is already outstanding 成语 saw	48-54764-S
sth that is already settled upon	32-47262-S
sth that should have happened	25-16325-S
sth that sits on the floor	54-49235-B
sth thoroughly like the back of one s hand	3-28416-S
sth throbbing or bursting	14-30770-S
sth through	24-55385-S
sth through and through	62-9964-S
sth through long practice	51-17687-S
sth to apply it	19-16686-S
sth to avoid	24-42452-B
sth to be	5-7962-S,57-35492-S
sth to be clean without seeing how it is prepared 成语 saw	45-47760-S
sth to be true	58-60446-S
sth to do with	32-40446-S
sth to do with the matter also used with negative	54-55949-S
sth to fit as to a procrustean bed	9-17159-S
sth to get bigger	28-31265-S
sth to its roots	61-58376-S
sth to one s heart s content	62-47434-S
sth to rejoice at	22-51447-B
sth to rest	67-61442-S
sth to sb	63-10571-S
sth to strive for	18-7609-B,18-7669-B
sth to use	10-1252-S
sth together	67-5049-S
sth too far the other way	46-2764-S,46-2943-S
sth turns out just the opposite of what one would expect or what would be normal	6-11306-S
sth unattainable	25-1203-S
sth unconventional or unorthodox	34-52931-S
sth under armpit	17-69457-S
sth under cover of an emergency	68-24662-S
sth under one s coat	28-51748-S
sth undesirable	9-68275-S
sth unduly	6-13299-S,6-13546-S
sth unexpected may happen at any moment	17-48173-B
sth unfortunate	62-66181-S
sth unnecessarily complicated	29-60107-S
sth unobtainable	60-30855-S
sth unpleasant	53-6707-S
sth unpleasant such as death	18-52662-S,18-52761-S,18-52930-S
sth until forced to do even more	30-12804-S
sth up	28-56618-S,29-38753-S,33-9095-S
sth up in a reference source	33-47029-S
sth up in anger	43-36277-S
sth up on the wall	44-34328-S
sth urgent	28-61896-S
sth urgently	24-59435-S
sth used for amusement	42-37776-B
sth well and know how to use it	28-14025-S
sth well worth doing	17-21195-B
sth when counting or listing	66-21915-S
sth when least expected 成语 saw	8-35671-S
sth while concealing their faults	66-47842-S
sth while unable to reach a decision	41-327-S
sth with a laugh 成语 saw	4-26876-S
sth with sb	20-1492-S,20-2048-S,20-3172-S
sth within set boundaries	21-17406-S
sth without being told	8-21293-S
sth without considering the risks	4-27069-S
sth without elaborating 成语 saw	58-26240-S
sth without permission	18-32686-S
sth without understanding it	41-9566-S
sth wrong	9-12562-S,23-24450-S
sth you don t often hear	47-49843-S
sth 成语 saw	4-27069-S
stibene	54-31025-B
stick	1-22700-S,16-28262-S,17-22812-S,26-32000-S,26-45935-S,28-43311-B,32-4895-S,32-4895-S,33-7999-S,34-8756-B,34-20130-B,34-20168-B,34-20346-S,34-20479-B,40-30810-S,41-13464-S,41-13464-S,48-44627-S,48-50484-S,48-51019-S,59-47947-S,61-3379-S,65-3090-S,71-27496-S
stick a needle etc into	26-38993-S
stick and candle	69-28877-S
stick but offer a carrot	18-48850-S
stick dance	67-49778-S
stick for notebook computer	57-54634-S
stick held by the son as a sign of filial piety	14-12551-S
stick hockey	42-52400-B
stick in	26-54025-B,28-43114-B,34-519-S
stick in a needle 成语 saw	57-30450-S
stick in the mud	37-42578-B
stick into	28-57773-B
stick like weapon	70-405-S
stick one s head out and look around 成语 saw	28-24430-S
stick or bone	27-8104-S
stick out	8-31261-S,8-31373-S,8-31802-S,8-46967-S
stick sth up on the wall	44-34328-S
stick to	2-12003-S,16-4018-S,71-28519-S,71-28782-S
stick to old ways	37-42578-S
stick to one pattern	2-12079-S
stick to sth	16-3542-S
stick to sth stubbornly	33-54403-S
stick to the old conventions	1-65929-S
stick together in hard times	68-58218-S
stick up	51-20437-S
stick up as a tail	29-5045-B
stick used in folk dancing	67-49778-S
sticker	27-43873-B,69-9718-S,69-9835-S
sticking out	47-54103-S,47-54181-S,57-1453-S
sticking out from a wound	60-2232-S
sticking plaster	9-36000-B,35-6646-B
sticking point	44-13013-B
stickler for formalities	27-39020-S
sticks	33-38159-S,69-28626-S
sticks out 成语 saw	52-33765-S
sticks to his own opinion 成语 saw	12-29586-S
sticks to his own view	12-29047-S
sticky	39-28963-B,48-50454-B,48-50773-B,50-45742-B,52-49282-B,71-27496-B,71-28178-B,71-28239-B
sticky predicament	37-43207-S
sticky rice	47-29997-B,48-51677-S,49-783-B,49-817-B,71-28118-B
sticky rice cake	49-918-B
sticky rice dumplings	6-61615-B
sticky rice paste	48-60604-B
sticky sauce	39-28904-S
stiff	6-52804-B,8-27290-S,9-14708-B,14-40106-S,16-32031-B,27-71150-S,33-29277-B,33-30538-B,35-58827-B,44-55141-S,45-22565-B,46-25003-B
stiff corpse	6-52496-B,35-64343-B
stiff neck	17-66095-B
stiff paper	46-26135-B
stiffen	59-11087-B
stiffen cloth with starch	39-56265-S
stiffly on end	27-56927-S
stiffness	9-27799-B
stifle	25-54240-B,47-54749-B
stifling hot	25-11212-B
stigma zool 	36-31257-B
still	4-24468-B,4-24511-B,4-64505-B,5-21491-B,5-25449-B,5-25622-B,19-22698-B,19-31169-B,19-39202-B,20-848-B,21-6819-B,21-6886-B,25-3609-B,30-31671-S,32-6947-B,42-14011-B,49-15396-S,63-9342-B,63-9342-B,63-10194-B,63-10296-B,67-61391-B,67-62277-B,68-54634-S
still a matter of discussion	54-26244-B
still alive	4-17753-S
still alive e g skinned alive	37-65223-S
still alive 成语 saw	3-19538-S
still as of water	40-4041-B
still be considered to be 	2-3499-S
still born chick in unhatched egg	60-4588-B
still bouncy esp of old person	60-51332-B
still drunk from the previous night	20-405-B
still full of vitality 成语 saw	71-62782-S
still growing strong	30-63941-B
still in doubt	32-57785-B
still in store	55-42973-S
still more	32-6947-B
still not	21-7513-B
still not satisfied	60-55846-S
still on the stem	19-4107-S
still pose on stage	4-4679-S
still remaining	4-24555-B
still sure it s right	11-50532-S
still the drums 成语 saw	6-5300-S
still time	5-17849-S
still unclear 	45-16626-S
still under guarantee	5-34500-B
still unripe	31-15096-S
still used today	23-2922-S
still vigorous	20-28882-S
still water	37-35452-B,39-64956-B,39-65261-S,40-4041-B
stillbirth	35-58623-B
stillborn	35-64793-B
stillness	37-5935-B,67-62277-B
stilts	60-31945-S
stilwell	12-22822-S
stimulant	11-52763-S,23-43854-S,53-23816-B
stimulant to enhance mental performance	28-41051-B,28-41205-B
stimulate	9-13198-S,10-2885-B,10-2923-B,27-70166-S,40-4211-S
stimulate lactation e g with drug	6-30266-S,6-30865-S
stimulate to effort	9-63459-B
stimulating	9-13440-B
stimulus	9-13551-B,60-31222-S
stimulus constellation	9-13657-B
stimulus onset asymmetry	9-13330-B
stimulus to action	9-13722-S
sting	9-12429-B,9-13722-B,36-6897-S,56-3777-S,56-13070-S,56-13101-S
sting of mosquito	12-10638-B
sting of scorpion etc	36-7709-S,36-8305-S
stinging words	9-12686-B
stingy	1-13280-S,12-64538-B,12-64567-B,14-23597-B,20-66113-B,21-27796-B,25-51720-B,29-3384-B,59-35831-B,59-36321-B,63-31993-B,68-5766-B
stingy person	65-2299-B
stink	25-22992-B,43-15682-S,52-36223-S,53-15990-B,53-16095-S,53-16380-B,67-13320-B
stink assaults the nostrils	25-23030-S
stink 成语 saw	18-31576-S,18-31734-S
stinking	52-37791-B,53-17066-B,53-17122-B
stinking fart	36-7818-B
stinking intellectual contemptuous term for educated people during the cultural revolution	53-17362-B
stinking pretension	53-16747-B
stinking reputation	53-16278-B
stinking weeds 成语 saw	55-46040-S
stinks to high heaven	40-6504-B
stinky tofu japanese natto	49-17806-B
stinky tofu japanese natto 納豆 纳豆	53-17563-B
stint	2-1166-S,2-10162-S
stint on materials 成语 saw	6-22696-S
stipend	19-42892-S
stipulate	57-32862-S,57-56976-S
stipulated in writing	31-24075-S
stir	8-47425-S,27-28723-S,28-9936-S,28-54924-B,29-11465-S,29-11950-S,29-25683-B,29-36586-S,29-36690-S,29-36803-S,61-31686-B
stir fried beancurd in chili sauce	71-14280-B
stir fried diced pork	19-57777-B
stir fried dish	40-29040-B
stir fried noodles	40-29419-B
stir fried noodles with beef	41-48588-B
stir fried pork with garlic	17-33947-B,54-64759-B
stir fried spinach	40-29090-B
stir fried yellow fish filet	48-62679-B,48-62764-B
stir fry before broilng or stewing	41-10757-S
stir fry then cook with sauce and water	41-14374-S
stir frying	41-14556-S
stir gently in the wind	5-23884-S
stir oneself up	27-70315-S
