class of plants distinguished by two embryonic leaves	32-54386-S
class of students	9-12096-S
class or first class seat on airplane or ship	68-38936-S
class or group	4-44821-S
class or status	12-50536-S
class or university	1-45053-S
class origin	8-45903-B
class prostitute	39-57011-S,57-44242-S,57-44554-S
class seat on airplane or ship	68-38936-S
class society	20-63816-S
class struggle	66-39963-S
class taxonomy	50-4991-B
class timetable	58-34780-B
class with a pair of legs on each segment	5-54643-S
class with a softer bunk	61-3845-S
classes	4-43934-S,6-17276-S,15-38370-S,17-1908-S,24-16369-S,32-3476-S,34-33713-S,60-52173-S,61-64753-S
classes are over	29-49288-B
classes in imperial china	19-56839-S
classes or grades at school	42-47210-S
classes or grades in school	42-47649-B
classic	1-33571-S,6-24587-S,29-27314-S,51-50168-S
classic author	29-27314-S
classic book	14-54252-S
classic books in confucianism	49-58982-B
classic novels of chinese literature	14-47745-S
classic of filial piety	19-9853-S
classic of mountain and sea	21-31102-B
classic of rites	47-9108-B
classic of rites same as 禮記 礼记	47-8929-B
classic of rites 禮記 礼记	58-14311-S
classic style	29-27409-S
classic subject	67-49563-S
classic text	35-21580-S,63-53564-S,63-56320-S
classic texts	32-12663-S,47-36228-S,57-64837-S,63-53299-S
classic texts including interpretation	57-64936-S
classic work	35-62276-S
classic works	12-2515-S
classic wuxia martial arts tv films of 1998 and 2006 based on novel by jinyong 金庸	46-62196-S,46-63035-S
classic zhuangzi 莊子 庄子	23-27144-S
classical	4-45275-S,12-762-B,20-848-B,49-57938-B
classical chinese	3-11492-S,4-21426-S,4-21551-S,7-23713-S,7-25508-S,22-37104-S,22-44181-S,30-30934-B,30-30985-B
classical chinese and jiangsu vernacular	38-15161-S
classical chinese as a literary model	12-2290-B
classical chinese back to the han	39-49187-S
classical chinese final particle serving as copula	3-21403-S
classical chinese phonetics	14-52391-S
classical chinese poem	12-5261-B,58-8975-B
classical chinese rhythmic poetry	22-37286-S
classical chinese 成语 saw	3-10530-S
classical dynamical system math phys 	49-58007-B
classical first or second tone 平聲 平声	27-16295-S
classical language	12-938-B
classical manner	36-28238-B
classical music	12-1011-B,18-5820-S
classical music mainly western	12-805-B
classical name of river in shandong	36-64863-B
classical novels	71-56194-S
classical philosophic schools of the warring states period 475 221 bc	44-52813-S
classical schools of thought	58-48050-S,58-48139-S
classical texts as a parade of erudition	28-13280-S
classical texts such as the confucian six classics 六經 六经	4-22245-S
classical times	29-2050-S
classical to arrive	33-64800-B
classical to investigate	33-64800-B
classical to obstruct	33-64800-B
classical to say	3-44414-B
classical writing 古文	24-13666-S
classical you in letters	12-17762-B
classically	36-64969-B
classicists	12-882-B,69-50763-S
classics	7-68947-S,12-2290-S,30-18562-S,30-18740-S,39-35763-S,49-57573-B,49-57938-S,51-50098-S,51-50243-S,66-59890-S
classics namely book of songs 詩經 诗经	10-42232-S
classics of confucianism namely the book of songs 詩經 诗经	3-52990-S
classics 六經 六经	4-22245-S
classics 成语 saw	2-28529-S
classics 經 经	14-49845-S
classification	8-51932-B,8-59938-B,58-26599-S,59-1540-S,59-4184-S,68-47391-B
classification of animals	10-592-B
classified as	8-67033-S,21-27542-S
classified information	35-3125-B
classifier	3-28609-S,12-56290-S,48-23213-S,48-45178-S,62-4646-S,63-15941-S
classifier cubic dry measure 5 pecks 五斗	43-36539-B
classifier for acts of a play	14-54252-B
classifier for batches	26-56691-B
classifier for beds	22-59016-B
classifier for binary bits e g 十六位 16 bit or 2 bytes	4-66195-B
classifier for birds and certain animals	66-51818-B
classifier for books	8-7658-B,32-60330-B
classifier for bottled liquid	16-37900-B
classifier for buildings	22-64087-B
classifier for bunched objects	14-30609-B,48-35322-B
classifier for bunches	33-11198-B
classifier for canned beverages	51-69127-B
