ma3 yu3 Ha1 mo2 la4	49-26404-S
ma3 zha1 luo2 shan1	3-21118-S
ma3 zhao4 xiang4 ji1	30-23848-S
ma3 zhe3	27-30500-S,69-52837-S
ma3 zhou1	3-59347-S,5-31814-S,18-12557-S,54-50976-S
ma3 zhuang4	8-1381-S
ma3 zi4	15-13119-S,46-34325-B,50-63073-S
ma3 zi4 fu2 ji2	50-20439-S
ma3 zi5	11-46526-S,20-5073-S,69-35819-B
ma3 zuo3 fu1 xiong1 di4	11-14667-S
ma3 zuo4	4-18858-S,10-54741-S,21-2524-S,69-935-S
ma4	5-26193-S,6-26085-B,12-20520-S,13-26371-S,13-57040-S,14-30394-B,25-826-S,25-22824-S,27-68754-S,30-37859-S,34-40357-B,39-53113-S,44-14860-S,47-6667-B,50-53917-B,53-17239-S,56-12145-B,58-59398-S,59-41107-S,61-39324-S,69-50670-B
ma4 bu4 jue2 kou3	50-53953-B
ma4 qiao4	26-43949-S
ma4 ren2	50-54057-B
ma4 zha4	56-12178-B
ma5	2-14563-S,3-10181-B,5-9490-S,14-4540-S,14-23799-B,14-30355-B,18-57436-S,42-47494-S,44-21964-S,44-44802-S,53-51680-S,56-1065-S,56-16183-B,62-55482-S,66-29753-S,71-16509-B,71-32821-S
ma5 bing3	53-51916-S
ma5 guan1	53-51725-S
ma5 hu1 hu5	69-44460-S
ma5 jiang4	53-51859-S
ma5 jiao4	14-4653-S
ma5 mi1 ba5 ni2 mou1	13-56314-S
ma5 miao4	14-4575-S
ma5 ni2 ba1 mi1 mou1	13-56214-S
ma5 you2	53-51806-S
mai	2-32857-S,3-3524-S,3-4234-S,5-19976-S,5-51329-S,5-61061-S,5-61307-S,7-23332-S,8-13087-S,8-13222-S,8-45572-S,8-62650-S,9-65200-S,10-1630-S,10-10019-B,10-52099-S,11-8068-S,11-66318-S,13-20296-S,13-50657-S,13-54535-S,14-9873-S,15-44296-S,15-49498-S,15-60643-B,15-68330-S,16-32967-S,16-35583-S,16-37787-B,16-50977-S,17-8030-S,17-35649-S,17-42312-S,19-11195-S,19-24881-S,19-32007-S,20-31604-S,20-31707-S,20-41299-S,21-2901-S,21-32194-S,22-23429-S,22-50071-S,23-36890-S,26-39423-S,27-2529-S,27-30115-S,27-31142-S,27-63162-S,28-20357-S,28-22419-S,28-33416-S,28-55523-S,29-42792-S,31-33201-S,34-56179-S,35-8927-S,37-56740-S,39-65105-S,39-65963-S,40-35963-S,40-53365-S,41-20682-S,41-26420-S,41-27705-S,41-30280-S,44-12092-S,46-45168-S,46-51121-S,49-43756-S,50-6212-S,51-14331-S,51-31066-S,52-29253-B,53-66801-S,54-52464-S,55-14456-S,55-27353-B,56-28807-S,57-3474-S,57-9178-S,59-11660-S,59-25157-S,59-38619-S,59-44874-B,59-45498-S,59-58412-B,59-59303-S,60-276-S,60-52978-S,61-28354-S,63-8548-B,63-15370-S,64-47116-S,64-47283-S,65-13740-S,66-2527-S,66-8411-S,66-26014-S,67-50303-B,67-62464-S,70-34645-S,71-11086-B,71-12453-S
mai a mi	71-12938-B
mai a mi tan	63-9107-B
