praecedo, precedo	35-4061-B
praecellens	11-572-B
praecello	35-4418-B
praecelsus	40-5516-B
praecelsus, precelsus	12-1142-B
praecepio, precepio	21-5073-B
praeceps	21-5117-B
praeceptum, preceptum	16-4107-B
praecessi, praecessum	33-787-S
praecessum	33-787-S
praecidentius	8-1024-B
praecido	30-5498-B
praecingo	32-5959-B
praecipio, precipio	33-5606-B
praecipitium	15-877-B
praecipito	8-398-B
praecipo	33-5732-B
praecipue	4-6070-B,12-124-B,20-5744-B
praecipuus	12-2333-B
praeclarus	12-1388-B
praeconium	17-2127-B
praeconor, preconor	28-3016-B
praecox, precox	23-2946-B
praecursor	13-3294-B
praeda	7-2179-B
praeda, preda	21-2847-B
praedatio	26-2846-B
praedatus	26-2873-B
praedestino	31-934-B
praedica[verb]	21-4945-B
praedicare	35-4039-B
praedicare[verb]	21-4842-B
praedicatio	21-4969-B
praedicator[noun]	21-4866-B
praedico	32-2935-B
praedico, predico	39-963-B
praeditus	41-3281-B
praedium	12-384-B
praedor	35-3117-B
praeduco	35-6423-B
praeeo	34-837-B
praeeo, preeo	32-7799-B
praefatus-i	18-151-B
praefero, prefero	5-4462-B,29-6256-B
praeficio, preficio, prefeci prefectum	35-6621-B
praefinio, prefinio	28-411-B
praefoco, prefoco	30-167-B
praegravo, pregravo	35-4560-B
praeire	32-7865-B
praejudicium	10-706-B
praejudico	30-5892-B
praelabor	32-6950-B
praelibo	38-2185-B
praelior	31-2682-B
praelium	6-4164-B
praelium facio	33-6096-B
praemitto	36-7430-B
praemium	23-2126-B
praemium, premium	23-2154-B
praemo, premo	35-4518-B
praemoneo	32-4697-B
praemunio	36-6454-B
praeniteo	32-6783-B
praenuntio, prenuntio	32-4323-B
praenuntius, prenuncius	13-3380-B
praeoccupor morte	32-999-B
praeopto	31-386-B
praeparo, preparo	35-4221-B
praepedio	33-3774-B
praepes	19-3037-B
praepono, prepono	37-630-B
praepositus	18-1776-B
praepositus prepositus	2-4918-B
praeproperus, preproperus	20-4851-B
praesagio	35-5641-B
praesagium	21-5625-B
praesagus	22-447-B
praescio	32-4251-B
praesedere	37-2380-S
praesedi, praesedere	37-2380-S
praesentia	13-2810-S,21-5571-B
praesertim	12-155-S
praeses	14-4268-B
praesidium	14-884-B,14-4202-B,23-5390-B
praesieo, praesedi, praesedere	37-2380-B
praestans, prestans	12-1263-B
praestantia, prestantia	26-1014-B
praestigiator	15-5972-B
praesto	3-794-B,32-5203-B,37-4953-B
praesto presto	28-0-B,31-2921-B
praestolatio prestolatio	27-1147-B
praestolor	39-601-B
praestringo	29-1707-B
praesul presul	10-778-B
praesum	28-6143-B,40-4569-B
praesum presum	28-3837-B
praesumo	38-5615-B
praesumo presumo	28-156-B
praesumptio	6-2074-B
praeter	4-5565-B,4-6042-B
praeterea	4-5991-B
praeterea, preterea	6-6399-B
praetereo, pretereo	35-1117-B
praeteritus, preteritus	20-6097-B
praetermissio, pretermissio	19-2174-B
praetorgredior, pretergredior	35-1006-B
praevalens	40-5663-B
praevaleo	35-4790-B
praevalesco	33-1909-B
praevalida	40-5689-B
praevaricor	38-5112-B
praevenio	30-1097-B,32-5778-B
praevideo	38-1727-B
praevius	21-5808-B
prandio	31-4670-B
prandium	10-5616-B
pratum	18-2921-B
pratus	18-2947-B
pravitas	9-5192-B
pravus	10-3306-B
pre	1-4839-S,2-8749-S
pre dulcis	12-1182-S
pre quam	15-6658-S
pre se ferre	37-1581-S
prebeo	1-2629-S,34-8015-S
precari[verb]	21-4504-B
precatio[noun]	21-4565-B,21-4748-B
precatus	21-4607-B
precedo	35-4061-S
precelsus	12-1142-S
precepio	21-5073-S
preceptum	16-4107-S
preces[noun]	21-4587-B,21-4771-B
precipio	28-108-B,33-5606-S
precipue	8-2638-B,12-197-B
precipuus	12-1328-B
precis	23-766-S
preconor	28-3016-S
precor	29-1361-B
precox	23-2946-S
preda	21-2847-S
predico	39-963-S
preeo	32-7799-S
prefeci prefectum	35-6621-S
prefectum	35-6621-S
prefero	5-4462-S,29-6256-S
preficio, prefeci prefectum	35-6621-S
prefinio	28-411-S
prefoco	30-167-S
pregravo	35-4560-S
prehendo	36-7132-B
preliator	12-6104-S
premium	23-2154-S
premo	25-3150-B,35-4518-S,39-2035-B
premo pressi pressum	37-4806-B
prenda	7-2145-B
prenuncius	13-3380-S
prenuntio	32-4323-S
preoccupo	28-2140-B,29-2168-B
preparo	35-4221-S
prepono	37-630-S
prepositus	2-4918-S,22-5623-B
preproperus	20-4851-S
presertim praesertim	12-155-B
pressi pressum	37-4806-S
presso	30-2349-B
pressum	37-4806-S
prestans	12-1263-S
prestantia	26-1014-S
presto	28-0-S,31-2921-S
prestolatio	27-1147-S
presul	10-778-S
presum	28-3837-S
presumo	28-156-S
preterea	6-6399-S
pretereo	33-0-B,35-1117-S
pretergredior	35-1006-S
preteritus	20-6097-S
pretermissio	19-2174-S
pretium	21-5835-B
pretium est	16-6094-S
prevenire	30-1470-B
prex	11-6298-B
prex precis	23-766-B
pridem	16-669-B,19-4536-S
primaeva	42-4058-B
primitus	13-361-B
primo	13-306-B
primordia	6-1611-B
primordium	13-169-B
primoris	13-397-B,13-450-B
primum	6-0-S,6-936-B
primum, quam primum	6-0-B
primus	8-2624-B
princeps	3-142-B
principatus	23-4417-B
principium	6-5762-B
principor	36-5013-B
prior, prius	13-3819-B
priores	2-9575-B
priscus	5-3875-B
pristinus	13-3847-B
prius	6-5388-B,13-3819-S
priusquam	1-7597-B
privatus	10-3484-B,21-5971-B
privigna	25-4361-B
privo	36-4728-B
privus	2-10025-B
pro	1-177-B,1-230-B
pro eo	6-4990-B
proavus	14-3494-B
probabilis	9-4726-B
probabiliter	42-654-B
probatur	13-6649-B
probatus	5-5216-B
probitas	17-3753-B,21-6068-B
probo	37-1705-B
probrum	23-570-B
probus	40-3870-B
procax	7-2892-B
procedo	32-7303-B,33-195-B
procella	25-4744-B,26-4160-B
procellosus	26-4178-B
procer	8-2596-B
proceres	21-5298-B
proceritas	15-1627-B
procerus	26-3042-B
processus	21-6133-B
procido	32-1040-B
procinctu	21-5474-B
proclivia	24-5752-B
proclivus	16-1205-B
procreo	29-401-B
procul	12-3821-B
procuratio	18-1384-B
procurator	18-1479-B
procuro	38-1265-B
prodeo	27-6057-B
prodico	35-6911-B
prodigentia	21-6743-B
prodigialiter	5-2903-B
prodigiosus	40-2546-B
prodigium	21-6211-B
prodigo	11-2395-B
prodigus	17-2165-B,23-2369-B
proditio	6-6574-B,39-5126-B
proditor	39-4586-B
proditus	39-5106-B
prodo	10-3122-B,22-1640-B
prodoceo	26-3166-B
prodromus	13-3317-B
produco	29-3981-B
