pulchritudo	6-4905-B
pulchrum	6-4610-S
pulex	26-5499-B
pullulo	24-3477-B,33-5043-B
pullus	10-943-B,42-3623-B,42-3821-B
pulmentum	5-4814-B
pulmo	27-196-B
pulpa	13-1350-B
pulpitum	21-2355-B
pulsatus	39-4209-B
pulso	37-6450-B,37-6833-B
pulsum	33-3844-S
pulsus	6-4500-B
pulverulentus	14-188-B
pulvis	11-2895-B
pumilio	3-4439-S
pumilius pumilio	3-4439-B
punctum	3-6939-B,35-1438-S,35-4905-S
pungo	37-5868-B
pungo pupugi punctum	35-1438-B,35-4905-B
puniceus	22-2273-B,22-5491-B
punio	35-6046-B
punitor	22-1823-B
pupa	11-1275-B
pupilla	20-3667-S
pupillus	20-3643-B
pupillus pupilla	20-3667-B
puppi	4-2158-S
puppis	25-4407-B
pupugi punctum	35-1438-S,35-4905-S
pupula	22-1873-B
purgamentum	23-4131-B
purgatio	8-3512-B
purgo	30-378-B
purpura	22-2215-B
purpureus	7-3533-B
purus	22-1898-B,25-2890-B
pusillus	16-3901-B,27-3893-B
pusio	17-1172-B
putator	22-1557-B
puteo	37-5884-B
puter	23-3774-B
putesco	35-7154-B
puteulanus	7-1348-B
puteus	41-3372-B
puto	30-530-B
putus	22-1994-B
pyga	7-4731-S
pyropus	7-3911-B
pyus pyxidis	3-5904-B
pyxidis	3-5904-S
qua	1-4981-B,2-898-B
quadra	10-5595-B
quadra vivere	34-2857-S
quadraginta	13-4441-B
quadratus	25-3079-B
quadriangulus[adjective]	22-2645-B
quadrigae	13-5112-B
quadrivium	9-5399-B,24-386-B
quadrum	4-737-B
quadrupes[noun]	22-2683-B
quadruplator	5-3599-B
quadruplex[adjective]	22-2709-B
quadruplor	28-3673-B
quae	2-194-B,2-5232-B,2-5888-B
quae que	2-1474-B
quae, que, quod	41-4174-S
quaecumque, quodcumque	41-3699-S
quaedam quedam quidam	3-3294-S
quaenam quenam quodnam	41-4214-S
quaerito	36-6839-B
quaero	35-2456-B,36-6798-B
quaero, quero	34-6369-B,36-6736-B
quaesitio, quesitio	16-5092-B
quaeso, queso	36-6664-B
quaestio	16-6524-B
quaestio, questio	24-951-B
quaestor[noun]	22-2741-B
quaestuosus questuosus	21-6637-B
quaestus questus	21-6479-B
qualis	19-6284-B
qualiscumque	19-5706-B
qualislibet	19-6323-B
qualitas	22-2924-B
qualiter	16-6620-B
quam	1-4627-B,2-1073-B,5-6258-S,10-5110-S,15-6658-S,16-6662-S
quam ob rem	41-4061-S
quam plures	5-6499-B
quam primum	6-0-S
quam, pre quam	15-6658-S
quamdiu	26-262-B
quamobrem	13-2873-B
quamobrem, quam ob rem	41-4061-B
quamquam	19-2600-B,27-3175-B
quamtotius	3-326-B
quamvis	1-7431-B,4-6883-B
quando	15-5199-S
quando, (interr.) when si quando	15-5199-B
quandoque	4-6300-B
quandoquidem	24-4577-B
quantacumque, quantumcumque	15-4428-S
quanti	13-2541-B
quanto	7-5066-B
quantocius, quantotius	5-6657-B,27-812-B
quantotius	5-6657-S,27-812-S
quantum	1-2337-B,4-6435-B,15-4315-B
quantum in me est	5-6560-B
quantumcumque	15-4428-S
quantus	5-6362-S,15-4194-B,15-4226-B
quantus .. quantus	5-6362-B
quantuscumque, quantacumque, quantumcumque	15-4428-B
quantuslibet	5-6601-B
quantuvis	5-6313-B
quapropter	41-4039-B
quare	41-3993-B
quartus	13-5159-B
quarum	2-128-B
quas	2-0-B
quasi	5-6442-B
quasi, proinde ac si	16-6557-S
quassatio	3-7623-B
quasso	28-2934-B,37-975-B
quatenus	16-235-B
quatenus, quatinus	15-4130-B
quatenus/quatinus	24-4527-B
quater	13-5076-B
quatinus	15-4130-S,24-4527-S
quattuor	13-5051-B
quattuor (indecl.) (iv, iiii)[adjective]	13-5005-B
que	2-1474-S
que (enclitic conjunction, suffix) [conjunction]	5-3981-B
que, quod	41-4174-S
quedam quidam	3-3294-S
quem	2-4278-B
quemadmodum	15-4357-B,15-4390-B
quenam quodnam	41-4214-S
quendam	3-3253-B
queo	28-3316-B
quercetum	5-3671-B
quercus	19-5034-B
querela, querella	8-5504-B
querella	8-5504-S
queribundus	8-5364-B
querimonia	8-5451-B
queritor	30-1997-B
quernus	19-5052-B
quero	34-6369-S,36-6736-S
queror	30-2075-B
querulus	8-5409-B
quesitio	16-5092-S
queso	36-6664-S
questio	24-951-S
questuosus	21-6637-S
questus	8-5558-B,21-6479-S
qui	2-3098-B,2-3497-B,2-8862-B
qui, quae, que, quod	41-4174-B
quia	6-5098-B
quianam	41-4993-B
quiane	41-5007-B
quibus	1-9342-B,2-59-B,2-3251-B,2-3377-B,2-5175-B,2-5287-B
quicquid	41-4590-B
quicum	42-894-B
quicumque, etc	5-4543-B
quicumque, etc.	5-1697-B
quicumque, quaecumque, quodcumque	41-3699-B
quid	1-2372-B,2-8918-B
quid ita	41-4955-B
quidam	3-3294-S
quidam quaedam quedam quidam	3-3294-B
quidem	4-6136-B,6-1327-S,16-1879-B,19-3501-S,19-3527-S
quidnam	41-4562-S
quidne	2-8986-B
quies	22-3258-B,23-540-B
quiesco	36-3743-B
quiete	7-5659-B,22-3351-B
quieto	28-7762-B
quietus	23-1532-B
quilibet	5-4727-B
quin	2-10238-B,3-844-B,7-4484-B
quin etiam	41-4915-B,42-3194-B
quinam quaenam quenam quodnam	41-4214-B
quindeciens	12-5964-B
quingenti	13-777-B
quinimmo	19-3175-S
quinquagesimus	12-6007-B
quinque	13-829-B
quinque (indecl.)[adjective]	13-743-B
quinquennis	13-801-B
quinquiplico	1-6646-B
quinymo quinimmo	19-3175-B
quippe	8-1330-B
quiris, curis	4-623-B
quiritatio	3-7547-B
quirito	1-6764-B
quis	2-8949-B,5-4647-B
quislibet	5-4603-B
quisnam, quidnam	41-4562-B
quispiam	5-4679-B
quisquam	5-4787-B
quisque	11-3226-B
quisquiliae, quisquiliarum	23-4177-B
quisquiliarum	23-4177-S
quisquis	41-4647-B
quo	2-4102-B,2-5952-B,39-2324-B
quod	1-1374-B,1-7198-B,2-6146-B,2-6498-B,2-10183-B,6-5044-B,20-472-S,41-4174-S
quod eodem tempore est[adjective]	9-853-B
