[adjective]	1
are	2
cito	3
criminatio	4
diverto	5
explicatus	6
gelamen	7
indicibilis	8
judicium	9
matera, mairia	10
obsum	11
perstruo	12
producto produxi productum	13
recubo	14
sic	15
temporis	16
vestra, vestrum	17
