spirit	1-22444-B,7-59942-S,11-37198-S,15-29359-S,17-26839-S,17-66551-S,18-14959-S,18-34895-S,18-49199-S,23-55133-S,24-39821-B,24-44570-S,24-44908-B,25-24180-S,36-28488-B,36-31058-S,36-31830-B,38-10587-S,38-10587-S,38-30917-S,42-6513-S,43-41863-S,44-36065-S,44-39021-S,44-46725-S,46-51389-S,46-51678-S,46-55300-B,46-56051-S,46-62409-B,46-63211-S,47-6531-S,48-52303-B,48-52303-S,48-55012-B,48-59009-B,48-59349-B,51-15148-B,51-49306-S,56-11272-S,56-27640-S,63-19058-S,64-33227-S,67-51603-S,67-53590-B,70-563-S,70-30316-S,70-32462-S
spirit and marrow	46-62574-S
spirit and soul upside down 成语 saw	46-62766-S
spirit demanding vengeance for grievances	8-15304-S
spirit is willing but the flesh is weak	9-44949-S
spirit of cooperation	12-47100-S
spirit of loyalty and self sacrifice	51-13357-B
spirit or character of a political party	71-44623-S
spirit reaches to the rainbow	36-30814-B
spirit trembling with excitement 成语 saw	48-55736-B
spirit usually distilled from sorghum or maize	44-46725-B
spirit weary	48-54630-B,48-54697-B
spirit within a person i e blood and essential breath 血氣 血气 of traditional chinese medicine	4-15449-B
spirit world	67-52757-B
spirited	31-17972-S,31-18249-S,31-18304-S,35-31560-B,35-31878-B,36-28414-B,36-30129-B,40-33844-B,46-58356-B
spirited and vigorous	25-29605-S
spirited and vigorous step	31-18788-S
spirited horse	69-51563-B,69-53884-B
spirited start	18-18685-S
spiritless	54-42017-B
spirits	2-9264-S,3-13938-S,17-746-S,24-32378-S,27-3832-S,27-70315-S,31-17771-S,31-18614-S,31-65614-S,39-10073-S,40-59265-S,46-54055-S,48-6859-S,48-55736-S,48-59057-S,53-26121-S,53-26242-S,61-33974-S,63-7582-S,63-19011-S,63-39225-B,63-46405-S,63-47942-S,69-56843-S,70-15770-S
spirits dampened	28-11107-S
spirits exorcism	66-22685-S
spirits 成语 saw	46-61946-S,46-62079-S,48-56025-S
spiritual	21-27618-B,23-55133-S,24-39903-B,48-55115-B
spiritual being	46-55300-B
spiritual consolation	46-57695-B
spiritual culture	41-54961-S
spiritual desolation	46-58024-B
spiritual development	35-48337-S
spiritual father	46-58489-B
spiritual gift	67-53010-S
spiritual influence of mountains etc	67-52310-B
spiritual leader of a nation or church	48-57004-B
spiritual nature	67-51551-B
spiritual practice	37-34866-S
spiritual world	67-52707-B
spiritus	63-47942-B
spit	12-59978-S,12-60635-S,13-63850-B
spit at	13-56709-B
spit blood 成语 saw	56-24109-S
spit in contempt	13-16611-S
spit on and curse	13-57040-S
spit out	61-14872-S
spit out one s heart and spill blood 成语 saw	14-29882-S
spite	37-60655-S,47-12540-S
spite of	2-36505-S,6-56471-S
spite of all setbacks	44-54337-S
spite of oneself	60-55228-S
spite one s face	14-59606-S
spiteful	9-14804-B,26-512-B
spitting anger 成语 saw	24-52729-B
spitting distance 成语 saw	13-56746-S
spitting image of	43-55349-S
spittle	11-68518-B,13-56897-B,39-51914-B,44-15559-B,44-15596-B
spittoon	44-15643-B
spix	47-3227-S
splash	39-56675-B,40-11949-B,40-12024-B
splash of a fish	29-11900-B
splashing	37-35767-S
splashing festival at thai new year 13th 15th april	39-56895-S
splatter screen	65-61918-B
splattered drops	68-63870-B
splayed outwards	7-50541-S
spleen	52-35703-B,52-35793-B
splendid	10-63637-B,23-56544-B,41-14608-B,41-33012-B,48-51556-B,48-53214-B,49-48907-B,51-5880-B,54-31526-B,61-14059-B
splendid and magnificent houses 成语 saw	51-9234-B
splendid and powerful of story	37-40143-B
splendid attire	45-5320-B
splendid clothes	45-6066-B
splendid food	45-6357-B
splendid future prospects	53-51540-S
splendid gay female clothing	49-9171-B
splendid virtue	45-4966-B
splending and majestic	20-8739-B
splendor	7-8816-B,31-46314-B,34-41846-S,43-60974-S
splendor of fireworks	41-33075-S
splendor 成语 saw	64-13284-S
splice	52-48832-S
spline function math	34-59649-B
splint	17-70768-B
splinter	46-27739-B,56-54392-B
splinter from shell	23-49121-B
splints for baskets	48-35143-S
split	8-57967-S,15-47392-S,15-54379-B,28-2759-B,29-23374-B,40-33510-B,46-16477-S,56-53990-B,56-54093-B,56-54471-B,57-47102-S,61-56046-B
split a bonus	8-53076-S
split apart	8-50466-S
split apart in the creation	65-32969-S
split at the seam	50-11701-S
split bamboo with a big knife chop leaving the minor details to clear up later	61-44878-S
split chinese character	6-11178-S,6-12656-S,30-67012-S
split city in croatia	30-41031-B
split hairs	65-9835-S,65-10101-S
split in a surface	56-54392-S
split in two	9-40828-S
split open	9-40759-S,65-41441-S
split personality	48-55324-B
split phase elec 	8-56765-B
split second	1-15700-B,9-26757-B
split the bill	1-0-S
split up	8-53251-S,8-57967-B
split up and in pieces 成语 saw	14-46630-S
splits open and reveals its white interior	12-60756-S
splits 成语 saw	46-19461-S
splitting	14-40873-S,51-44064-S
splitting for road traffic	47-60282-S
splitting of leaves into lobes	51-16378-S
spoil	16-34473-S,18-61279-S,20-28457-S,23-23836-S,23-24311-B,29-36740-S,35-62128-S,39-25186-B,48-62636-B,60-51515-B
spoil a child	20-28572-B,39-25083-B
spoil cant 	61-5156-S
spoil one s appetite	5-59875-S,29-66483-B
spoil the broth	4-13833-S
spoil the child	18-40181-S
spoil the fun	41-5219-S
spoil the message 成语 saw	1-67379-S,1-67577-S
spoil things by impatience	28-47271-S
spoil things through excessive enthusiasm	27-34505-B
spoiled	16-34417-B,69-18584-B
spoiled child	29-6839-S
spoiled silk	49-20988-B
spoiling	27-19676-S
spoils	60-4393-B,61-59306-S
spoke	61-19656-S
spoke of a wheel	61-18375-B
spoke of wheel	60-59152-B
spoke publicly	44-25877-S
spoken	32-54780-S
spoken about it	71-37209-S
spoken and sung	58-31630-B
spoken by the buddha	14-47042-S
spoken chinese	7-21793-S,7-21924-S
spoken chinese language	2-64038-B
spoken form when spelling out numbers	22-53269-S,37-57313-S
spoken language	11-69845-B,44-46272-B,58-27149-B,58-27217-B
spoken lines in opera	44-35806-B,62-51599-B
spoken parts in an opera	11-68770-B
spoken pr gu3 lu1 lu1	70-1303-S
spoken sound	68-32657-S
spoken sounds	34-56392-S,58-5667-S
spoken term	56-6106-S
spoken to	13-29687-S
spoken to parents in law	20-62861-S
spoken word	11-69946-S
spoken words	58-15688-B
spoken 成语 saw	9-28374-S
spokes	61-6663-S,61-31179-B
spokesman	4-33417-B,30-54819-B
spokesperson	4-58567-S,14-5220-B,16-9472-B,37-4949-S,44-34106-B,63-8824-S,71-12369-S
sponge	38-23285-B
sponge bath	29-26356-S
sponge cake	70-26847-B
sponge cake light steamed flour or rice cake	56-3163-B
spongey	70-27342-B
spongiform encephalopathy	42-4786-S,44-17151-S
spongy	37-36817-B,38-23326-B
spongy cancellous bone tissue	47-27977-B
sponsor	60-3328-B
sponsor of an organization	32-25849-B
spontaneous	41-42819-S,53-12203-B
spontaneous combustion	53-9927-B
spontaneous recovery	53-2318-B
spontaneously from an illness	2-17048-S
spoof web based genre in prc acquiring cult status from 2005	25-21482-S
spoofing culture web based genre in prc acquiring cult status from 2005	25-21577-B
spool	50-17697-S,65-48046-S
spoon	10-11952-B,10-20475-S,10-37019-B,33-51473-B,39-14536-S,58-39057-B,64-49680-B
spoon golf	1-41228-B
spoonbill	71-2929-B
spoonful	1-3244-B
spoor	60-32997-B
sporadic	13-44550-B,31-40596-B,67-21407-B
spore	19-11373-B,19-11401-B
spores on stem of fungi	54-28388-S
sport	8-17319-S,8-42958-S,16-31636-S,29-19236-S,29-19847-S,42-51830-S,55-33128-S,60-44774-S,61-10511-S,70-6104-S
sport backspin	1-60190-B
sport bat	27-29273-B
sport club	42-51980-B
sport in former times	42-8385-S
sport involving shooting gelatin paintballs	39-43788-S
sport of judo	33-44723-S
sport rowing	60-923-B
sport to chop	9-16949-B
sport utility vehicle	60-28030-B
sport violation warning sign	71-21526-B
sporting	20-50270-S,60-483-S
sporting activity	70-9118-B
sporting bicycle	60-36216-B
sporting circles	70-6104-B
sporting coach	30-5490-B
sporting competition	14-54776-S,23-67450-S
sporting contest	47-6904-S
sporting trophy	45-1557-B
sporting world	70-9197-S
sports	8-16752-S,11-52763-S,14-18256-S,22-60933-S,23-46022-S,36-37880-S,42-52784-S,42-53108-S,43-37566-S,43-45421-S,43-47485-S,48-373-S,49-11380-S,50-53486-S,60-22475-S,60-22595-S,62-38806-B,66-65737-S,70-8870-B,70-8927-S,70-9118-B,70-9344-B
sports and physical culture commission	15-8103-S
sports car	60-36216-B
sports championship	56-37092-S
sports circles	70-9197-B
sports club member	42-51412-B
sports coach	30-3945-B,30-4012-B
sports college	70-7558-B
sports competition	62-39263-S
sports contest	3-64224-S
sports etc	36-11969-S
sports event	3-8156-S,3-8282-S,8-45634-S,19-53532-S,68-21597-B
sports field	29-21202-B,62-38919-B
sports game or for covering sth	1-54817-S
sports ground	42-51476-B
sports match	42-52738-B
sports matches	16-13020-S
sports pitch	16-13255-B
sports shoes	62-39459-B
sports some claiming spiritual development	35-48337-S
sports squad	68-35377-S
sports team	64-35445-S
sportsman	12-56221-S,62-39060-B
sportsman involved in fencing	9-43693-S,29-19285-S
sportswear	62-39329-B
sportswear company	66-12809-S
spot	10-3309-S,10-4287-S,11-35517-S,12-54448-S,13-45271-S,21-9488-S,23-45563-S,29-50082-S,30-32441-B,30-33493-B,38-14720-S,41-22917-S,43-64373-S,43-66298-S,43-66914-S,44-14983-S,45-19512-S,45-20304-S,55-48777-B,55-48777-S,60-46824-S,60-58473-S,71-6086-S,71-38769-B
spot check e g for drugs	27-17104-S
spot for sacrifices	16-28183-S
spot investigation	51-33220-S
spot on a leopard	47-58451-S
spot on a leopard 成语 saw	47-58539-S
spot on the leopard	1-10270-S
spot seeding	71-39458-B
spot survey	20-13970-S
spot 成语 saw	3-14163-S,64-984-S
spotless	39-57326-S,44-63240-B
spotless personal integrity	39-57177-B
spotlessly white	39-57400-B
spotlight	51-53510-S,51-53590-B
spots	12-54548-S,30-32568-S,31-55068-S
spots on body	71-46181-S
spotted	30-32441-B
spotted fever	30-32762-B
spotted seal phoca largha	30-32625-B
spouse	12-6548-S,20-47024-B,25-32736-B,63-37331-B
spouse husband or wife	51-25293-B
spouse literary	2-48262-S
spouses	11-28303-S
spout	14-36399-S,14-36494-B,34-13698-B,35-31091-S,35-31130-S,54-50247-S,70-21708-S
spout nonsense	39-36045-S,39-36140-S
spout the classics	39-35763-S
sprain	26-54126-S,26-54126-S,65-24406-S
sprain a limb	60-47301-S
spratly islands	11-354-S,11-412-B,30-41106-B
spray	14-36399-S,14-36494-B,14-37312-B,14-37359-S,14-37462-B,38-11961-B,38-11961-S,40-18316-S,41-4357-S,67-45471-B,68-63870-B
spray from sneeze or saliva	68-63870-B
spray head	14-37529-B
spray in all directions	68-64076-S
spray of molten steel	64-41382-S
spray paint or lacquer	14-37177-S
spread	4-64970-S,4-64970-B,5-15517-S,6-33187-S,6-35715-S,6-36570-S,6-37435-S,18-6770-B,22-13546-S,22-13546-B,23-10208-S,23-12832-S,23-16400-S,23-37289-S,28-30547-S,29-15119-B,29-29163-B,29-32491-S,30-8280-S,30-18397-S,38-1681-S,38-2002-S,38-2072-B,38-3037-S,38-5812-S,38-27896-S,39-27592-S,41-23015-S,45-4384-S,47-28063-S,55-10460-S,55-10500-S,58-61546-S,61-44485-S,64-36486-S,69-45329-B
spread a thousand miles 成语 saw	25-18892-S
spread abroad 俗语 common expression	19-64414-S
spread activation model	40-5102-B
spread all over the place	31-31406-B
spread by word of mouth	6-36505-S
spread everywhere	62-42531-B
spread fame	28-64791-S
spread fast	2-25383-B
spread like wildfire	2-25383-B,2-26091-B
spread news	6-42560-B
spread of food delicacies	21-31655-S
spread out	21-22023-S,27-11590-S,28-7310-B,29-35684-B,29-36333-S,30-19195-S,50-55770-S,50-57419-S,56-35596-S,64-36958-S,64-37538-S,64-38281-S
spread out material	64-37005-S
spread out widely	64-37950-S
spread over an area	29-30288-S
spread rapidly	61-44485-S
spread rumors	6-33349-S,38-6395-S
spread spectrum	60-45771-S
spread throughout the entire country	55-10553-S
spread to	37-37795-B
spread to others harm	62-23328-S
spread unchecked	36-55104-S,37-36174-S
spread widely	6-41803-B
spread wings and fly	18-18966-S
spread your wings and soar 成语 saw	21-22490-B
spreader	30-9217-S
spreading fame	6-34479-B
spreading geol 	38-19187-S,38-19270-S
spreading like wildfire	64-3729-B
spreads far and wide	62-61090-S
spreads like wildfire	25-18892-S
spreadsheet	8-60060-S,35-17949-S,58-13208-B
sprightful	26-53351-B
spring	5-58232-S,23-47326-B,23-49618-B,31-13768-S,31-14163-S,31-33120-B,31-35286-S,33-50232-S,33-50499-S,36-53352-S,37-28265-B,37-28515-S,38-62889-S,39-15870-S,39-22475-S,44-30350-B,46-44484-S,47-14727-S,47-61184-S,49-37529-S,50-39057-B,53-59418-S,65-36942-S,65-38271-S
spring 1933	31-35603-S
spring and autumn	31-34166-B
spring and autumn 770 476 bc and warring states 475 221 bc periods	31-34629-S
spring and autumn 770 476 bc and warring states 475 221 periods	31-34761-S
spring and autumn annals	21-58976-S,31-34526-S
spring and autumn annals 春秋	31-34293-S,71-10831-S
spring and autumn annals 春秋 edited by confucius	70-40126-S
spring and autumn by dong zhongshu	31-35032-S
spring and autumn period	69-16668-S
spring and autumn period 770 476 bc	31-34166-B,31-34409-S,31-34938-B,67-48896-S
spring balance	23-49660-B
spring barley	31-33201-B
spring break	31-32758-B
spring breeze	31-36113-S
