sai4	2-42585-S,6-53957-B,7-65707-S,8-13402-S,8-29409-S,8-45634-S,10-57624-S,10-58969-S,11-40787-S,12-12292-S,16-19432-B,18-13962-S,18-16881-S,19-12021-S,20-50270-S,24-4960-S,24-16590-S,24-17518-S,31-51303-S,35-25872-S,35-30354-S,36-10870-S,36-11969-S,37-540-S,38-42341-S,39-20953-S,41-22007-S,42-52738-S,43-37492-S,43-38128-S,48-1489-S,50-33778-S,54-4615-S,57-25511-S,59-23905-S,60-432-B,60-32812-S,60-39755-S,60-63877-S,62-3312-S,63-11530-S,64-45571-S,65-54621-S,68-30844-S,69-41527-S,69-42132-S
sai4 bai4 jiang1	65-70015-S
sai4 bai4 jiang1 ren2	65-70081-S
sai4 bin1	57-19559-S
sai4 chang3	36-12032-S,60-544-B
sai4 che1	60-1036-B
sai4 che1 nu:3 lang2	60-1079-B
sai4 che1 shou3	60-1204-B
sai4 da4	4-59237-S
sai4 dian3	60-1603-B
sai4 e2 bi3 ya4	15-57859-S
sai4 er3	22-19117-S,49-18120-S
sai4 er3 nan2	21-8574-S
sai4 hui4	60-744-B,61-45733-S
sai4 ke4	69-42174-S,70-36462-S
sai4 la1 fan2	16-19808-B
sai4 long2 chuan2	60-1729-B
sai4 long2 zhou1	60-1662-B
sai4 lu2	69-35468-S
sai4 luo2 na4	22-4563-S
sai4 ma3	60-1339-B
sai4 ma3 chang3	60-1395-B
sai4 ma3 qi2 shi1	60-1534-B
sai4 pao3	13-23133-S,28-25254-S,44-55828-S,53-22339-S,60-970-B,60-27889-S
sai4 qu3	69-42271-S
sai4 ren2	12-40385-S,37-29391-S
sai4 she2 er3 qun2 dao3	16-21110-B
sai4 shi4	60-483-B
sai4 ting3	60-923-B
sai4 wai4	16-19633-B
sai4 wei2 li3 nuo4	16-21237-B
sai4 ya4	23-51907-S
sai4 ya4 shu1	4-38928-S
sai4 yin1	55-26436-S
sai4 zhe3	11-40860-S
sai4 zhe5	48-1540-S
sai4 zu2	69-42223-S
sai5 fen1	54-793-S
san	1-4752-S,1-9623-S,1-29481-B,1-31418-S,2-15901-S,3-33444-S,6-28002-B,6-56311-S,8-3314-S,8-8188-S,8-53600-S,10-42118-S,11-41362-B,13-5629-S,14-46984-S,14-50311-S,17-4156-S,19-23173-S,23-25195-B,23-51277-S,25-63587-S,27-18984-S,28-25012-S,29-29163-S,30-6705-B,30-6787-B,31-30033-S,32-66928-S,33-55129-S,33-57948-S,34-60376-S,36-17390-B,36-31692-S,38-30418-S,39-29286-S,40-55088-S,41-2530-S,41-58912-S,44-2328-S,44-21243-S,44-29987-S,48-9694-S,48-12466-S,48-62280-B,50-40501-B,51-38269-S,51-54494-S,57-50189-S,60-44482-S,62-26641-S,62-63990-S,64-12187-S,64-59026-B,65-45296-S,66-18064-S,66-34814-S,66-58166-S,67-9978-S,67-14054-S,67-20368-S,68-55959-S,68-60641-S,69-56332-S,70-26208-S,70-26208-S,70-27984-B,70-50129-S
san Bo shi	33-19070-S
san ba	1-30903-B
san ba huo	30-46964-S
san ba xian	1-30982-B
san bai liang	35-41079-S
san bai yi	1-38319-B
san ban	30-8746-B
san bao	1-33773-B
san bei	1-30820-B
san bian xing	1-43329-B
san bing	6-28041-B,30-7165-B
san bing you yong	30-7255-B
san bo	30-8280-B
san bu	1-29511-B,30-7074-B,30-8880-B
san bu qu	1-43384-B
san bu si	1-65506-S
san bu zhao liang	54-53388-S
san bu zhi	1-4844-S
san cha ji	1-32276-B
san cha kou	1-33856-B
