saw amiable as a spring breeze	31-36113-S
saw brilliant	46-55582-S
saw dauntless	36-30129-S
saw dizzy and faint	68-37562-S
saw everything broken and in disorder	1-28985-S
saw family love and joy	17-43953-S
saw frivolous	61-11207-S
saw from mencius	11-59061-S,23-30388-S
saw from mencius 孟子	24-32792-S
saw fully displaying one s capabilities	17-40926-S
saw half true and half false	10-59406-S
saw in succession	28-25012-S
saw inharmonious	33-67308-S
saw just passable	22-0-S
saw labored breathing like a cow	36-27403-S
saw mill	64-39437-B
saw mocking scholastic pomposity	11-6746-S
saw nurture makes second nature	41-13067-S
saw palmetto drug used to treat benign prostate hypertrophy in men	64-39681-B
saw set expression of written chinese	26-12014-B
saw the fearlessness of youth	9-785-S
saw the trend of events brings forth the hero	31-39692-S
saw timber	64-39392-S
saw to continue in the same old rut	14-60267-S
saw to fail in imperial exam	12-58218-S
saw to faint and see stars	68-37668-S
saw to give advice	8-45152-S
saw to rely on the most favorable method	14-59355-S
saw to reserve a seat for sb	55-50775-S,55-54020-S
saw to talk in a roundabout way to cover up the truth	29-37873-S
saw to teach in line with the student s ability	14-60739-S
saw to use methods appropriate to the current situation	14-60620-S
saw to use methods in line with local circumstances	14-59805-S
saw too appalling to look at	6-44297-S
saw with steel wire blade	64-41192-S
saw you can only master a subject by assiduous study	34-32835-S
saw you won t get anywhere without equipment	21-60253-S
saw 外來成語 外来成语 from matthew 9 17	53-28635-S
saw 畫龍點睛 画龙点睛	71-40905-S
saw 蜻蜓點水 蜻蜓点水	71-40140-S
saw 衡情酌理	56-41108-S
saw 鑽牛角尖 钻牛角尖	65-9835-S
sawbit	64-39793-S
sawblade	64-39637-S
sawdust	64-39555-B
sawframe	64-39594-S
sawhorse	64-39502-S
sawtooth	64-39874-B
sawtooth shape	64-39915-B
sawyer	64-39350-S
sawyer by mark twain 馬克·吐溫 马克·吐温	39-14708-S
sax	55-22977-B,55-23109-B
saxon	45-3338-S,55-23276-B
saxon people	29-6313-B,29-6370-B,45-3244-S
saxony	55-23227-B
saxophone	55-22977-B,55-23109-B,55-23164-B
say	1-67379-S,1-67577-S,2-3929-S,2-8160-S,3-21588-S,3-44414-S,6-39978-S,11-70502-S,12-59978-S,13-8708-S,14-25930-S,29-24718-S,32-4260-S,47-34257-S,56-45851-S,57-55691-S,58-31085-S,58-31287-S,58-33219-S,58-33913-S,63-10625-S
say 	5-33566-S
say a few words	7-44012-S
say a word	1-69499-S
say die	17-50257-S
say everything that is on one s mind	6-46755-S,6-49335-S
say exactly the same thing usually derog 	1-24039-S
say for sure	58-31422-S
say good bye to	13-8843-S
say goodbye	23-28008-S,62-49835-S
say grapes are sour when you can t eat them	14-14139-S,58-33016-S
say hello to	13-62617-S
say more than is necessary	60-2445-S
say one s piece	24-57906-S
say one s prayers	46-52057-S,47-9749-S
say one thing but mean another	11-67094-S
say or do something appropriate	25-5464-S
say sth	58-33504-S
say sth personally	57-38211-S
say that	2-10441-S
say that 	27-63045-S
say that one is convinced	11-68289-S
say the least	53-18305-S
say three in the morning but four in the evening 成语 saw	32-47262-S
say what everyone says 成语 saw	4-5939-S
say what one thinks	24-35759-S,24-35876-S
say what you think	24-31251-S
say 成语 saw	27-53744-S
sayed arabic name	60-853-S
saying	1-6909-S,2-8160-S,2-29084-S,5-33512-S,5-33645-S,11-67593-S,11-70384-S,12-54688-S,12-58522-B,13-28660-S,13-45271-S,19-61691-S,20-31887-S,28-19252-S,32-61123-S,68-52159-S
saying a discussion with everybody talking at once	1-27226-B
saying a hundred flowers bloom	44-56695-B
saying advance in waves of people	9-24117-B
saying all one wants 成语 saw	31-63841-S
saying anything further 成语 saw	3-41678-S
saying as eternal and unchanging as the universe	17-54414-B
saying attributed to confucius by zhuangzi 莊子 庄子	13-32621-B
saying can t be better	8-8604-B
saying carefully	20-64187-B
saying coasting	40-53583-B
saying do over and over again	1-38143-B
saying every family	10-48731-B
saying goes 	58-24843-S
saying good at singing and dancing	52-27625-B
saying good bye	2-33063-S
saying lump different matters together	1-12313-B
saying meticulous planning and careful accounting	48-53603-B
saying neither servile nor overbearing	1-74252-B
saying outrageous	59-18502-B
saying outside actual experience	23-55239-B
saying repeated as cant	11-70384-S
saying selfish	53-12679-B
saying skill or proficiency	1-9253-B
saying social position and economic status be in harmony	65-23355-B
saying something	28-34226-S
saying stingy	1-13280-B
saying strangers coming together by chance	54-41668-B
saying the gains do not make up for the losses	24-6164-B
saying the new replaces the old	30-57940-B
saying the stream flows without stopping	21-50189-B
saying thoroughly	1-7750-B
saying to be completely perfect	10-44446-B
saying to be very scared and on edge	28-39022-B
saying to give up evil and return to good	29-46523-B
saying to have sound and color	32-38812-B
saying to say or do something appropriate	25-5464-B
saying to speak harshly but without any bad intent	32-30707-B
saying to sum it up 	35-54441-B
saying to think of or try every possible method to do sth	25-25773-B
saying very rarely seen	18-1699-B
saying when heaven and earth were split apart in the creation	65-32969-B
saying with many possible interpretations	43-18976-S
saying world famous	53-26540-B
sayings of confucius and his disciples	19-2811-S
sayram in xinjiang	60-1263-S
