miracle cure of medical operation	54-54426-S
miraculous	18-1884-B,46-56186-B
miraculous column of light	67-50765-S
miraculous feat	69-59540-S
miraculous hands of a healer	18-35529-B
mirage	22-53615-B,38-18962-B,56-3667-B
mire with sb 成语 saw	12-49154-S
mired in controversy	60-45420-B
mired in minor details	50-37846-B
mirky	40-6847-B
mirror	8-32302-S,8-32463-S,8-33497-S,8-33673-S,11-44342-S,11-50158-S,46-20670-S,64-57796-B,64-57954-B,64-58240-S,65-6261-B,65-6307-B,65-6307-S
mirror and the moon reflected in the lake 成语 saw	64-58033-S
mirror computing	64-57875-B
mirror etc	11-46587-S
mirror for aid in government	59-52142-S
mirror for revealing goblins	41-7089-S
mirror for the wise ruler or comprehensive mirror for aid in government	59-52142-S
mirror image	11-50158-B,64-57826-B
mirror newspaper	36-5796-S
misattributed book	6-24369-B
misbelieve	44-3563-S
miscalculate	23-24450-S
miscalculation	17-67034-B
miscanthus sacchariflorus amur silvergrass	54-38728-B
miscanthus sinensis a type of grass	53-49723-B
miscanthus sinensis feather grass	54-38728-B
miscarriage	38-5082-S
miscarriage of justice	8-14284-S,8-14713-B,8-14977-B,64-48121-S
miscellaneous	67-3486-B,67-6642-B
miscellaneous duties	67-5403-B
miscellaneous goods	67-3854-B,67-3907-B,67-6119-B
miscellaneous notes	43-365-B
miscellaneous scholars	67-4341-B
miscellany	67-5732-S,67-6477-S,67-6548-S
miscellany of writing from the western han former han	38-47146-B
mischief	5-6695-B,5-60516-B,25-19287-B,27-65042-S,28-55698-S,28-57620-S,28-58358-S
mischievous	25-19287-B,58-15062-S,58-38688-B,68-31193-B,68-31269-S
misconception	58-58454-B,58-58808-B,61-54969-B,64-48491-B
misconceptions	58-58538-S,69-47057-S
misconduct	62-56603-B
misconduct in official task	23-47405-S
misconstrued	43-9041-S
misdeed	40-52307-S,56-32347-B
misdeeds	2-1605-S
misdeeds 成语 saw	44-14453-S
misdemeanors	16-24591-S
miser	12-64619-S,20-66322-S,59-34225-B
miserable	8-24790-B,8-24998-B,14-63538-B,25-9901-B,25-46765-B,38-7236-S,38-41690-B,53-66869-B,61-33591-B
miserable circumstances	8-25101-B
miserable condition	25-48023-B
miserable state	55-3502-S
miserable 成语 saw	68-46305-S
miserably	12-12138-B,13-46389-S
miserere nobis	36-54115-B
miserly	12-64567-B,20-66113-B,63-31993-B
misery	25-53850-B,53-67551-S
misery loves company	12-50154-B
misfire	28-37777-S
misfortune	1-43677-S,2-7850-B,3-13768-S,22-51338-S,25-8213-B,40-39840-S,59-9111-B,60-19437-S,60-49600-B,62-66090-S,62-66485-S
misfortune never comes singly 成语 saw	47-1925-B
misfortune not visible from the surface	66-47656-B
misfortune on oneself	26-58900-S
misfortune on to sb else 成语 saw	18-57952-S
misfortunes are unpredictable	47-2422-S
misfortunes as decreed by fate	58-20232-S
misgivings	8-19934-S,42-12737-B,44-4470-B,44-4529-B,68-49506-B
