dòng	1-12068-S,1-73176-S,2-24549-S,3-4103-S,3-26459-S,3-44820-S,3-47695-S,3-48098-S,3-48299-S,4-9845-S,5-21636-B,5-31077-S,6-18855-S,6-34223-S,6-46433-S,6-50149-B,7-42153-S,8-9472-S,8-16752-S,8-16866-S,8-20682-S,8-27120-B,8-33154-S,8-36061-S,9-61885-S,9-68220-B,9-68275-S,10-4658-S,10-10507-S,10-59956-S,11-6184-S,11-45180-S,11-53350-S,12-2515-S,12-11712-S,12-69595-S,13-64627-S,14-11034-S,14-53251-S,15-14696-S,15-38857-S,15-42270-S,17-11425-S,17-46448-S,17-61464-S,18-32614-S,20-22354-S,20-32483-S,20-63579-S,21-31055-S,21-38859-B,22-16175-S,22-28268-S,23-37422-S,24-33563-S,24-63274-S,25-3411-B,25-39239-S,26-31921-S,26-41240-S,26-55254-S,27-3787-S,27-5334-S,27-16709-S,27-18314-S,27-62003-S,27-64379-S,27-67050-S,27-69641-S,27-70270-S,28-9936-S,28-11634-S,28-29981-S,28-49482-S,28-53025-S,28-53841-S,29-11950-S,29-13332-S,29-29543-S,29-31371-S,29-36690-S,29-43783-S,30-16909-S,30-31671-S,31-1559-S,31-66371-S,32-7259-S,33-22547-S,33-35738-S,33-36150-S,34-22678-B,35-2404-S,35-8405-S,36-26064-S,36-37880-S,36-56606-S,37-37654-S,37-49919-S,37-57313-B,37-63854-S,38-2341-S,38-12940-S,38-38346-S,39-28643-S,39-30030-S,39-34343-S,39-44564-S,40-4618-S,40-50586-S,41-10905-S,41-63163-S,43-18615-S,43-18976-S,43-26759-S,43-37566-S,44-26860-S,44-65414-S,45-48467-S,45-52065-S,45-64721-S,46-17987-S,46-22534-B,46-46107-S,46-48063-S,46-49676-S,47-26200-S,47-48706-S,47-51632-S,47-57912-S,48-1804-S,49-14823-S,49-15396-S,50-22844-S,51-12968-S,51-21218-S,51-57662-S,51-67447-S,52-3086-S,52-24129-B,52-29296-S,52-39367-S,52-44619-S,53-1715-S,53-5644-S,53-26800-S,55-31451-S,56-20830-S,56-31764-S,56-39183-S,56-51342-S,57-47585-S,57-50019-S,57-54266-S,58-9421-S,58-23902-S,58-34486-S,58-36118-S,59-4686-S,59-7501-S,60-16192-S,60-44559-S,61-11979-S,61-21491-S,61-31686-S,61-39476-S,62-16637-S,62-18238-S,62-38806-S,63-59932-S,65-9600-S,65-24964-S,65-30663-S,65-46932-S,65-59784-S,65-62836-S,66-62330-S,67-23076-S,67-26063-S,67-39967-S,67-44374-S,67-52093-S,68-49706-S,68-55685-S,68-60256-S,69-54923-S,69-55939-S,69-59639-S,70-5825-S,70-9118-S,70-9344-S,70-25770-S,71-31212-S,71-47822-S
dòng biàn sù qì	26-32078-S
dòng bu dòng	9-68275-B
dòng bào	10-4917-S
dòng bèng	36-26305-S
dòng bìng	62-39384-S
dòng bù dào	53-2929-S
dòng bù tóng bù	9-13330-S
dòng bǎi chū	39-44617-S
dòng chuān	8-27354-B
