字母 字母 [01\[ zì mǔ\]]	letter (of the alphabet)
字母順序 字母顺序 [01\[ zì mǔ shùn xù\]]	order of letters in an alphabet
字母順序概率 字母顺序概率 [01\[ zì mǔ shùn xù gài lǜ\]]	probability of letter sequences
字畫 字画 [01\[ zì huà\]]	the strokes of a character;calligraphy and painting
字眼 字眼 [01\[ zì yǎn\]]	wording
字碼 字码 [01\[ zì mǎ\]]	character code
字符 字符 [01\[ zì fú\]]	word-symbol;character
字符串 字符串 [01\[ zì fú chuàn\]]	string (computer science)
字符集 字符集 [01\[ zì fú jí\]]	character set (e.g. ascii 美國資訊交換標準碼|美国资讯交换标准码 or unicode 統一碼|统一码)
字節 字节 [01\[ zì jié\]]	byte
字節數 字节数 [01\[ zì jié shù\]]	byte count
字素 字素 [01\[ zì sù\]]	grapheme
字義 字义 [01\[ zì yì\]]	meaning of a character
字號 字号 [01\[ zì hào\]]	character size;font size (on website)
字裡行間 字里行间 [01\[ zì lǐ háng jiān\]]	(set phrase) between the lines;by implication
字詞 字词 [01\[ zì cí\]]	letters or words;words or phrase
字調 字调 [01\[ zì diào\]]	tone of a character
字謎 字谜 [01\[ zì mí\]]	letter puzzle
字跡 字迹 [01\[ zì jì\]]	handwriting
字集 字集 [01\[ zì jí\]]	character set
字面 字面 [01\[ zì miàn\]]	literal
字面意義 字面意义 [01\[ zì miàn yì yì\]]	literal meaning
字面解釋 字面解释 [01\[ zì miàn jiě shì\]]	literal explanation
字音 字音 [01\[ zì yì\]]	phonetic value of a character
字首 字首 [01\[ zì shǒu\]]	prefix
字體 字体 [01\[ zì tǐ\]]	calligraphic style;typeface;font
存 存 [01\[ cún\]]	exist;deposit;store;keep;survive
存亡 存亡 [01\[ cún wáng\]]	to live or die;to exist or perish
存亡攸關 存亡攸关 [01\[ cún wáng yōu guān\]]	a make-or-break matter;a matter of life and death
存儲 存储 [01\[ cún chǔ\]]	memory;storage
存儲器 存储器 [01\[ cún chǔ qì\]]	memory (unit)
存取 存取 [01\[ cún qǔ\]]	access
存在 存在 [01\[ cún zài\]]	to exist;to be
存在主義 存在主义 [01\[ cún zài zhǔ yì\]]	existentialism
存心 存心 [01\[ cún xīn\]]	deliberately
存戶 存户 [01\[ cún hù\]]	depositor (in bank or shares)
存折 存折 [01\[ cún zhé\]]	(bank) deposit book
存放 存放 [01\[ cún fàng\]]	to deposit;to leave in sb's care
存根 存根 [01\[ cún gēn\]]	stub
存檔 存档 [01\[ cún dàng\]]	to file;to save a file (computer)
存款 存款 [01\[ cún kuǎn\]]	to save money in a bank;bank deposit
存款準備金率 存款准备金率 [01\[ cún kuǎn zhǔn bèi jīn lǜ\]]	deposit-reserve ratio
存活 存活 [01\[ cún huó\]]	to survive (a serious accident);survival
存活率 存活率 [01\[ cún huó lǜ\]]	(med.) survival rate;(med.) recovery rate
存簿 存簿 [01\[ cún bù\]]	savings book;bank account passbook
存續 存续 [01\[ cún xù\]]	to continue to exist
存貨 存货 [01\[ cún huò\]]	stock
存車場 存车场 [01\[ cún chē chǎng\]]	bike park
存車處 存车处 [01\[ cún chē chù\]]	parking lot (for bicycles)
存量 存量 [01\[ cún liàng\]]	reserves
存錢 存钱 [01\[ cún qián\]]	to deposit money;to save money
孚 孚 [01\[ fú\]]	trust
孛 孛 [01\[ bèi\]]	comet
孛星 孛星 [01\[ bèi xīng\]]	comet (arch.)
孜 孜 [01\[ zī\]]	hard-working;industrious
孜孜 孜孜 [01\[ zī zī\]]	diligent;hardworking;industrious;assiduous
孜孜不倦 孜孜不倦 [01\[ zī zī bù juàn\]]	lit. diligent and without slacking (成语 saw); praise for hard and concentrated effort;assiduous (study);concentrating
孜然 孜然 [01\[ zī rán\]]	cumin
孜然芹 孜然芹 [01\[ zī rán qín\]]	cumin
孝 孝 [01\[ xiào\]]	filial
孝廉 孝廉 [01\[ xiào lián\]]	xiaolian
