眾生 众生	45-53510-B
破壞力 破坏力	46-17239-B
破壞性 破坏性	46-17300-B
破局	46-17357-S
破局 破局	46-17357-B
破布	46-17409-S
破布 破布	46-17409-B
破戒	46-17444-S
破戒 破戒	46-17444-B
破折号	46-17541-S
破折號 破折号	46-17541-B
破损	46-17617-S
破損 破损	46-17617-B
破敗 破败	46-17659-B
破敗不堪 破败不堪	46-17757-B
破敝	46-17835-S
破敝 破敝	46-17835-B
破旧	46-19963-S
破晓	46-17881-S
破曉 破晓	46-17881-B
破案	46-17923-S
破案 破案	46-17923-B
破洞	46-17987-S
破洞 破洞	46-17987-B
破浪	46-18027-S
破浪 破浪	46-18027-B
破涕为笑	46-18091-S
破涕為笑 破涕为笑	46-18091-B
破滅 破灭	46-18216-B
破灭	46-18216-S
破烂	46-18259-S
破爛 破烂	46-18259-B
破獲 破获	46-18298-B
破瓦寒窑	46-18385-S
破瓦寒窯 破瓦寒窑	46-18385-B
破產 破产	46-18456-B
破產者 破产者	46-18538-B
破甲弹	46-18598-S
破甲彈 破甲弹	46-18598-B
破的	46-18662-S
破的 破的	46-18662-B
破相	46-18752-S
破相 破相	46-18752-B
破碎	46-18847-S
破碎 破碎	46-18847-B
破碎的心	46-18909-S
破碎的心 破碎的心	46-18909-B
破碗破摔	46-18974-S
破碗破摔 破碗破摔	46-18974-B
破竹之势	46-19108-S
破竹之勢 破竹之势	46-19108-B
破竹建瓴	46-19229-S
破竹建瓴 破竹建瓴	46-19229-B
破約 破约	46-19303-B
破綻 破绽	46-19354-B
破綻百出 破绽百出	46-19461-B
破约	46-19303-S
破绽	46-19354-S
破绽百出	46-19461-S
破罐破摔	46-19607-S
破罐破摔 破罐破摔	46-19607-B
破胆	46-19744-S
破胆寒心	46-19827-S
破膽 破胆	46-19744-B
破膽寒心 破胆寒心	46-19827-B
破舊 破旧	46-19963-B
破获	46-18298-S
破裂	46-20002-S
破裂 破裂	46-20002-B
破解	46-20049-S
破解 破解	46-20049-B
破譯 破译	46-20122-B
破讀 破读	46-20221-B
破译	46-20122-S
破读	46-20221-S
破財 破财	46-20325-B
破費 破费	46-20391-B
破财	46-20325-S
破败	46-17659-S
破败不堪	46-17757-S
破费	46-20391-S
破釜沉舟	46-20447-S
破釜沉舟 破釜沉舟	46-20447-B
破鈔 破钞	46-20622-B
破鏡 破镜	46-20670-B
破钞	46-20622-S
破镜	46-20670-S
破门而入	46-20746-S
破门而入 破门而入	46-20746-B
破除	46-20852-S
破除 破除	46-20852-B
破除迷信	46-20927-S
破除迷信 破除迷信	46-20927-B
破鞋	46-21019-S
破鞋 破鞋	46-21019-B
破顏 破颜	46-21099-B
破颜	46-21099-S
砵	46-21171-S
砵 砵	46-21171-B
砷	46-21202-S
砷 砷	46-21202-B
砷化氢	46-21236-S
砷化氫 砷化氢	46-21236-B
砸	46-21289-S
砸 砸	46-21289-B
砸毀 砸毁	46-21348-B
砸毁	46-21348-S
砸碎	46-21400-S
砸碎 砸碎	46-21400-B
砸鍋 砸锅	46-21462-B
砸锅	46-21462-S
砹	46-21502-S
砹 砹	46-21502-B
砺	46-45474-S
砻	46-45678-S
砼	46-21535-S
砼 砼	46-21535-B
砾	46-45511-S
砾岩	46-45551-S
砾石	46-45604-S
础	46-42751-S
硃 朱	46-21579-B
硅	46-21611-S
硅 硅	46-21611-B
硅化木	46-21644-S
硅化木 硅化木	46-21644-B
硅晶片	46-21710-S
硅晶片 硅晶片	46-21710-B
硅橡胶	46-21769-S
硅橡膠 硅橡胶	46-21769-B
硅沙	46-21825-S
硅沙 硅沙	46-21825-B
硅片	46-21871-S
硅片 硅片	46-21871-B
硅肺病	46-21918-S
硅肺病 硅肺病	46-21918-B
硅谷	46-22047-S
硅谷 硅谷	46-22047-B
硅酸	46-22094-S
硅酸 硅酸	46-22094-B
硅酸氟鋁 硅酸氟铝	46-22150-B
硅酸氟铝	46-22150-S
硅酸盐	46-22228-S
硅酸盐水泥	46-22282-S
硅酸鹽 硅酸盐	46-22228-B
硅酸鹽水泥 硅酸盐水泥	46-22282-B
硅鋁質 硅铝质	46-22365-B
硅铝质	46-22365-S
硍	46-22452-S
硍 硍	46-22452-B
硎	46-22501-S
硎 硎	46-22501-B
硐	46-22534-S
硐 硐	46-22534-B
硐室	46-22572-S
硐室 硐室	46-22572-B
硒	46-22614-S
硒 硒	46-22614-B
硕	46-30070-S
硕士	46-30103-S
硕士学位	46-30155-S
硕士生	46-30233-S
硖	46-23641-S
硗	46-42335-S
硚口区	46-22646-S
硚口區 硚口区	46-22646-B
硜	46-22737-S
硜 硜	46-22737-B
硝	46-22770-S
硝 硝	46-22770-B
硝化甘油	46-22820-S
硝化甘油 硝化甘油	46-22820-B
硝基苯	46-22891-S
硝基苯 硝基苯	46-22891-B
硝氮	46-22972-S
硝氮 硝氮	46-22972-B
硝烟	46-23034-S
硝煙 硝烟	46-23034-B
硝石	46-23086-S
硝石 硝石	46-23086-B
硝酸	46-23159-S
硝酸 硝酸	46-23159-B
硝酸甘油	46-23206-S
硝酸甘油 硝酸甘油	46-23206-B
硝酸盐	46-23587-S
硝酸鈉 硝酸钠	46-23278-B
硝酸鈣 硝酸钙	46-23338-B
硝酸鉀 硝酸钾	46-23400-B
硝酸銀 硝酸银	46-23464-B
硝酸銨 硝酸铵	46-23525-B
硝酸钙	46-23338-S
硝酸钠	46-23278-S
硝酸钾	46-23400-S
硝酸铵	46-23525-S
硝酸银	46-23464-S
硝酸鹽 硝酸盐	46-23587-B
硤 硖	46-23641-B
硨 砗	46-23674-B
硫	46-23711-S
硫 硫	46-23711-B
硫代硫酸鈉 硫代硫酸钠	46-23742-B
硫代硫酸钠	46-23742-S
硫化	46-23846-S
硫化 硫化	46-23846-B
硫化氢	46-23931-S
硫化氫 硫化氢	46-23931-B
硫氰酸	46-24017-S
硫氰酸 硫氰酸	46-24017-B
硫氰酸盐	46-24146-S
硫氰酸酶	46-24079-S
硫氰酸酶 硫氰酸酶	46-24079-B
硫氰酸鹽 硫氰酸盐	46-24146-B
硫球	46-24215-S
硫球 硫球	46-24215-B
硫磺	46-24254-S
硫磺 硫磺	46-24254-B
硫酸	46-24296-S
硫酸 硫酸	46-24296-B
硫酸盐	46-24908-S
硫酸鈉 硫酸钠	46-24352-B
硫酸鈣 硫酸钙	46-24411-B
硫酸鉀 硫酸钾	46-24472-B
硫酸銅 硫酸铜	46-24535-B
硫酸銨 硫酸铵	46-24602-B
硫酸鋁 硫酸铝	46-24663-B
硫酸鋇 硫酸钡	46-24724-B
硫酸鎂 硫酸镁	46-24784-B
硫酸鐵 硫酸铁	46-24847-B
硫酸钙	46-24411-S
硫酸钠	46-24352-S
硫酸钡	46-24724-S
硫酸钾	46-24472-S
硫酸铁	46-24847-S
硫酸铜	46-24535-S
硫酸铝	46-24663-S
硫酸铵	46-24602-S
硫酸镁	46-24784-S
硫酸鹽 硫酸盐	46-24908-B
硫黃 硫黄	46-24961-B
硫黄	46-24961-S
硬	46-25003-S
硬 硬	46-25003-B
硬件	46-25049-S
硬件 硬件	46-25049-B
硬件平台	46-25093-S
硬件平臺 硬件平台	46-25093-B
硬体	46-26744-S
硬化	46-25169-S
硬化 硬化	46-25169-B
硬实	46-25290-S
硬實 硬实	46-25290-B
硬币	46-25393-S
硬席	46-25338-S
硬席 硬席	46-25338-B
硬幣 硬币	46-25393-B
硬干	46-25431-S
硬幹 硬干	46-25431-B
硬度	46-25562-S
硬度 硬度	46-25562-B
硬座	46-25604-S
硬座 硬座	46-25604-B
硬朗	46-25669-S
硬朗 硬朗	46-25669-B
硬木	46-25719-S
硬木 硬木	46-25719-B
硬水	46-25761-S
硬水 硬水	46-25761-B
硬盘	46-25807-S
硬盤 硬盘	46-25807-B
硬目标	46-25851-S
硬目標 硬目标	46-25851-B
硬着头皮	46-26333-S
硬石膏	46-25908-S
硬石膏 硬石膏	46-25908-B
硬碟	46-25969-S
硬碟 硬碟	46-25969-B
硬磁盘	46-26024-S
硬磁盤 硬磁盘	46-26024-B
硬糖	46-26089-S
硬糖 硬糖	46-26089-B
硬紙 硬纸	46-26135-B
硬纸	46-26135-S
硬脂酸	46-26191-S
硬脂酸 硬脂酸	46-26191-B
硬脂酸鈣 硬脂酸钙	46-26259-B
硬脂酸钙	46-26259-S
硬著頭皮 硬着头皮	46-26333-B
硬要	46-26482-S
硬要 硬要	46-26482-B
硬領 硬领	46-26596-B
硬领	46-26596-S
硬骨魚 硬骨鱼	46-26638-B
硬骨鱼	46-26638-S
硬體 硬体	46-26744-B
硭	46-26797-S
硭 硭	46-26797-B
确	46-26836-S,46-33016-S
确 确	46-26836-B
确保	46-33073-S
确信	46-33123-S
确凿	46-34130-S
确切	46-33235-S
确定	46-33291-S
确定性	46-33489-S
确定效应	46-33547-S
确实	46-33626-S
确山	46-33692-S
确是	46-33755-S
确有其事	46-33798-S
确立	46-33883-S
确认	46-34004-S
确证	46-34052-S
确诊	46-33941-S
硯 砚	46-26883-B
硯台 砚台	46-26915-B
硯山 砚山	46-26958-B
硷	46-42709-S
硻	46-27022-S
硻 硻	46-27022-B
硼	46-27055-S
硼 硼	46-27055-B
硾	46-27086-S
硾 硾	46-27086-B
碁	46-27126-S
碁 碁	46-27126-B
碃	46-27186-S
碃 碃	46-27186-B
碇	46-27217-S
碇 碇	46-27217-B
碉	46-27247-S
碉 碉	46-27247-B
碉堡	46-27290-S
碉堡 碉堡	46-27290-B
碌	46-27368-S
碌 碌	46-27368-B
碌曲	46-27461-S
碌曲 碌曲	46-27461-B
碍	46-42789-S
碍事	46-42841-S
碍口	46-42946-S
碍口识羞	46-43048-S
碍眼	46-43152-S
碍难	46-43225-S
碍难从命	46-43320-S
碍面子	46-43440-S
碎	46-27518-S
碎 碎	46-27518-B
碎块	46-27587-S
碎塊 碎块	46-27587-B
碎布条	46-27630-S
碎布條 碎布条	46-27630-B
碎掉	46-27680-S
碎掉 碎掉	46-27680-B
碎片	46-27739-S
碎片 碎片	46-27739-B
碎石	46-27803-S
碎石 碎石	46-27803-B
碎紙機 碎纸机	46-27851-B
碎纸机	46-27851-S
碎肉	46-27909-S
碎肉 碎肉	46-27909-B
碎裂	46-27964-S
碎裂 碎裂	46-27964-B
碏	46-28042-S
碏 碏	46-28042-B
碑	46-28071-S
碑 碑	46-28071-B
碑亭	46-28134-S
碑亭 碑亭	46-28134-B
碑刻	46-28194-S
碑刻 碑刻	46-28194-B
碑帖	46-28254-S
碑帖 碑帖	46-28254-B
碑座	46-28322-S
碑座 碑座	46-28322-B
碑座儿	46-28381-S
碑座兒 碑座儿	46-28381-B
碑志	46-28717-S
碑文	46-28454-S
碑文 碑文	46-28454-B
碑林	46-28514-S
碑林 碑林	46-28514-B
碑碣	46-28579-S
碑碣 碑碣	46-28579-B
碑記 碑记	46-28644-B
碑誌 碑志	46-28717-B
碑记	46-28644-S
碑銘 碑铭	46-28788-B
碑铭	46-28788-S
碑額 碑额	46-28850-B
碑额	46-28850-S
碓	46-28906-S
碓 碓	46-28906-B
碔	46-28955-S
碔 碔	46-28955-B
碗	46-29004-S
碗 碗	46-29004-B
碗柜	46-29035-S
碗櫃 碗柜	46-29035-B
碘	46-29077-S
碘 碘	46-29077-B
碘化鈉 碘化钠	46-29109-B
碘化鉀 碘化钾	46-29171-B
碘化銀 碘化银	46-29233-B
碘化钠	46-29109-S
碘化钾	46-29171-S
碘化银	46-29233-S
碘酸	46-29292-S
碘酸 碘酸	46-29292-B
碚	46-29338-S
碚 碚	46-29338-B
碛	46-38222-S
碜	46-38144-S
碞	46-29384-S
碞 碞	46-29384-B
碟	46-29412-S
碟 碟	46-29412-B
碟子	46-29445-S
碟子 碟子	46-29445-B
碡	46-29487-S
碡 碡	46-29487-B
碣	46-29521-S
碣 碣	46-29521-B
碧	46-29556-S
碧 碧	46-29556-B
碧土	46-29611-S
碧土 碧土	46-29611-B
碧玉	46-29669-S
碧玉 碧玉	46-29669-B
碧玺	46-29707-S
碧璽 碧玺	46-29707-B
碧瓦	46-29749-S
碧瓦 碧瓦	46-29749-B
碧綠 碧绿	46-29798-B
碧绿	46-29798-S
碧草如茵	46-29840-S
碧草如茵 碧草如茵	46-29840-B
碧蓝	46-29969-S
碧藍 碧蓝	46-29969-B
碧血	46-30011-S
碧血 碧血	46-30011-B
碩 硕	46-30070-B
碩士 硕士	46-30103-B
碩士學位 硕士学位	46-30155-B
碩士生 硕士生	46-30233-B
碪	46-30304-S
碪 碪	46-30304-B
碫	46-30333-S
碫 碫	46-30333-B
碬	46-30390-S
碬 碬	46-30390-B
碭 砀	46-30422-B
碭山 砀山	46-30468-B
碰	46-30533-S
碰 碰	46-30533-B
碰倒	46-30586-S
碰倒 碰倒	46-30586-B
碰到	46-30638-S
碰到 碰到	46-30638-B
碰壁	46-30707-S
碰壁 碰壁	46-30707-B
碰巧	46-30784-S
碰巧 碰巧	46-30784-B
碰损	46-30857-S
碰損 碰损	46-30857-B
碰撞	46-30927-S
碰撞 碰撞	46-30927-B
碰撞造山	46-30985-S
碰撞造山 碰撞造山	46-30985-B
碰碰車 碰碰车	46-31119-B
碰碰车	46-31119-S
碰磁	46-31176-S
碰磁 碰磁	46-31176-B
碰磁人	46-31310-S
碰磁人 碰磁人	46-31310-B
碰磁儿	46-31423-S
碰磁兒 碰磁儿	46-31423-B
碰見 碰见	46-31566-B
碰见	46-31566-S
碰触	46-31649-S
碰觸 碰触	46-31649-B
碰釘子 碰钉子	46-31692-B
碰钉子	46-31692-S
碱	71-4733-S
碱化	71-4781-S
碱土	71-4844-S
碱土金属	71-4891-S
碱基	71-4988-S
碱基互补配对	71-5050-S
碱基对	71-5219-S
碱基配对	71-5386-S
碱度	71-5532-S
碱式盐	71-5576-S
碱性	71-5639-S
碱性土	71-5683-S
碱性尘雾	71-5742-S
碱性岩	71-5812-S
碱性蓝	71-5918-S
碱性金属	71-5976-S
碱斑	71-6086-S
