shi2 li3	58-60519-S
shi2 li4	20-12094-B,20-12387-B,58-62057-B,60-62732-S
shi2 liang2	69-3260-B
shi2 liang2 yan2	64-13181-S
shi2 liang4	69-4421-B
shi2 liao2 yang3	69-6718-S
shi2 ling2	3-47591-S,27-54589-B
shi2 ling2 yu2	46-11091-B
shi2 ling4	31-39326-B
shi2 liu2	25-30422-S,37-43597-S
shi2 liu4	1-14878-S,1-31833-S,3-34202-S,7-43783-S,10-44580-B,14-47162-S,21-29933-S,48-12729-S
shi2 liu4 guo2	3-53358-S,10-44624-B
shi2 liu4 hao4	3-34326-S
shi2 liu4 jin4 zhi4	10-45016-B
shi2 liu4 shi4	32-65746-S
shi2 liu4 sui4	3-34259-S
shi2 liu4 wan2 zhi2	10-44917-B
shi2 liu4 zi4 mu3	1-31891-S
shi2 liu5	43-57116-S,46-7267-B
shi2 liu5 shi2	46-7371-B
shi2 liu5 zi3	46-7311-B
shi2 lu4	38-60402-S
shi2 lun4	45-64664-S
shi2 luo2	54-61455-B
shi2 luo2 zi3	54-61500-B
shi2 mao2	31-42950-B
shi2 mei3	10-44446-S
shi2 mi3 er3	7-14686-S
shi2 mian2 wa3	46-7208-B
shi2 mian4	62-17524-S
shi2 mian4 ti3	3-35037-S
shi2 mo4	46-5340-B
shi2 mo4 chen2 zhuo2 bing4	46-6616-B
shi2 mo4 fei4	46-6768-B
shi2 mo4 qi4 leng3 dui1	46-5401-B
shi2 nan2 shu3	46-4264-B
shi2 nan2 shu4	46-4316-B
shi2 ni2 ke1 fu1	11-14263-S
shi2 nian2	10-46790-B,22-57388-S
shi2 nian2 dai4	1-27001-S
shi2 nian2 lai2	1-32122-S
shi2 nian2 mu4 du3 zhi1 guai4 xian4 zhuang4	3-34813-S
shi2 nian2 pa4 jing3 sheng2	1-8019-S
shi2 nu:3	20-12671-B,46-5487-B
shi2 pei2 xun4	62-14138-S
shi2 pian4	46-9040-B
shi2 pin3	41-1569-S,49-66030-S,69-1913-B
shi2 pin3 an1 quan2	69-1972-B
shi2 pin3 tan1	69-2039-B
shi2 pin3 xiang4 mu4	46-7903-S
shi2 pin3 yao4 pin3 jian1 du1 guan3 li3 ju2	15-7933-S,69-2233-B
shi2 pin3 yao4 pin3 jian1 du1 ju2	69-2105-B
shi2 po4	58-63090-B
shi2 po4 tian1 jing1	46-9262-B
shi2 pu3	69-4210-B
shi2 qi1	1-31359-S,3-33313-S,8-18540-S,10-41954-B,12-48377-S,30-52953-S,31-40898-B,48-12412-S,62-46823-S
shi2 qi1 guo2 ji2 tuan2	1-26914-S
shi2 qi1 hao4	3-33371-S,14-50994-S
shi2 qi2 guo3	53-15509-S
shi2 qi4	26-48844-S,30-52900-S,46-5008-B,46-40808-S
shi2 qi4 shi2 dai4	30-53031-S,46-5067-B,53-28904-S
shi2 qi4 shi2 qi1	30-52953-S
shi2 qia4 wen2	11-10353-S
shi2 qiao2	17-29144-S
shi2 qiao2 shi4	17-29263-S
shi2 qing1	46-10765-B
shi2 qing2 kuang4	42-50178-S
shi2 qu1	31-39837-B
shi2 qu4	58-63531-B
shi2 quan1	21-36524-S,30-40559-S
shi2 quan2 shi2 mei3	10-44446-B
shi2 r5	38-34286-S
shi2 ren2	42-28888-S,69-1726-B
shi2 ren2 sha1	69-1819-B
shi2 ren2 ti4 tuo4	27-53621-B
shi2 ren2 ya2 hui4	27-53744-B
shi2 ri4	31-40706-B
shi2 rou4	69-3308-B
shi2 rou4 dong4 wu4	69-3365-B
shi2 rou4 lei4	69-3668-B
shi2 rou4 mu4	69-3615-B
shi2 rou4 qin3 pi2	69-3430-B
shi2 rui3	46-10121-B
shi2 rui3 shi4 zhi3	46-10204-B
shi2 san1	1-31418-S,3-33444-S,10-42118-B,14-46984-S,48-12466-S
shi2 san1 jing1	10-42232-B
shi2 san1 ling2	31-22362-S
shi2 san1 ri4	10-42163-B
shi2 se4	3-47090-S,69-3732-B
shi2 se4 xing4 ye3	69-3795-B
shi2 shan1	53-25586-S
shi2 shang4	3-30175-S,30-49372-S,31-40305-B
shi2 sheng4 yu2 xiong2 bian4	3-30289-S
shi2 shi1	20-13361-B
shi2 shi2	20-13420-B,25-21050-S,31-40743-B,55-54110-S,60-47001-S
shi2 shi2 bian4	2-30720-S
shi2 shi2 cao1 zuo4 huan2 jing4	20-13610-B
shi2 shi2 da2 wu4	58-62952-B
shi2 shi2 ji4 shu4	20-13538-B
shi2 shi2 jia1 gong1	20-13463-B
shi2 shi2 tong1 bian4	58-62867-B
shi2 shi2 wu4	2-30554-S
shi2 shi2 wu4 zhe3 wei4 jun4 jie2	58-62673-B
shi2 shi4	14-1132-S,20-11902-B,20-21272-S,31-39098-B,31-40510-B,46-37310-S,65-69358-S,71-22057-S
shi2 shi4 ji4	3-33503-S
shi2 shi4 qiu2 shi4	20-11970-B
shi2 shi4 zao4 ying1 xiong2	31-39692-B
shi2 shu1	31-17121-B
shi2 shu4	20-13185-B
shi2 shu4 liu2	33-32803-S
shi2 shu4 zhi2	20-13251-B
shi2 si4	1-32007-S,3-34400-S,10-45350-B,33-30080-S
shi2 si4 gua4	7-66489-S
shi2 si4 hang2 shi1	10-45394-B
shi2 si4 hao4	3-34689-S
shi2 si4 jie2 qi5	3-34608-S
shi2 si4 shi3	3-34457-S
shi2 si4 wan4	7-66573-S
shi2 song1	46-11028-B
shi2 su4	31-41858-B
shi2 suan1	63-40252-S
shi2 sui4	3-47162-S
shi2 sun3	46-9618-B
shi2 ta3	46-37794-S
shi2 tai2 ju3	2-30434-S
shi2 tai4	31-40550-B
shi2 tan4	46-8651-B
shi2 tan4 suan1	46-8966-B
shi2 tan4 xi4	46-8785-B
shi2 tang2	69-2371-B
