chui1 xi1	13-5889-B
chui1 xi2	13-6624-B
chui1 xiao1	13-298-S,13-6199-B,42-29584-S
chui1 xiao1 qi3 shi2	13-6329-B
chui1 xu1	13-5442-B
chui1 yu2 shou3	13-5998-B
chui1 zhe3	71-48019-S
chui1 zi4 lei2	53-3557-S
chui1 zou4	13-5483-B
chui2	1-38542-S,1-59118-S,2-63801-S,4-67810-S,15-21225-B,15-54430-B,15-57488-B,17-37531-S,20-65580-S,26-1966-S,26-36691-S,27-34997-S,28-8440-B,28-57865-B,34-20755-S,34-24008-B,34-25719-B,34-44015-B,36-31208-S,42-59827-S,47-35300-S,48-25111-B,49-25967-S,51-33463-S,57-23833-S,63-13879-S,64-43488-B,64-52951-B,66-26201-B
chui2 bu4 xiu3	36-49842-S
chui2 cheng2	9-49161-S
chui2 da3	28-8541-B
chui2 diao4	15-55640-B
chui2 gu3	64-43645-B
chui2 gu3 bing3	64-43715-B
chui2 gua4	15-54804-B
chui2 ji1	28-8600-B
chui2 mu4	15-54659-B
chui2 qing1 shi3	12-54992-S
chui2 qiu2	34-44059-B
chui2 shi4	51-33522-S
chui2 si3	15-54919-B
chui2 si3 zheng1 zha2	15-54958-B
chui2 tang2	15-50613-S
chui2 ti3	15-55790-B,52-39165-S,52-45694-S
chui2 tou2 sang4 qi4	15-55683-B
chui2 tou2 sha1	64-43581-B
chui2 wei1	15-54583-B
chui2 xia4	15-54536-B
chui2 xian2	33-42911-S
chui2 xian2 san1 chi3	15-55030-B
chui2 xiong1	28-8650-B,60-34829-S
chui2 xiong1 dun4 zu2	28-8706-B
chui2 xuan2 fen1 ci2	15-54699-B
chui2 yang2 liu3	15-54861-B
chui2 zhi2	15-55148-B
chui2 zhi2 gan3 ran3	36-3779-S
chui2 zhi2 he2 duan3 ju4 qi3 luo4 fei1 ji1	15-55205-B
chui2 zhi2 qi3 luo4 fei1 ji1	15-55525-B
chui2 zhi2 sou1 suo3	15-55361-B
chui2 zhi2 xian4	15-55465-B
chui2 zi5	28-8502-B,64-43542-B
chui4	71-63853-B
chun	1-24533-S,1-25790-S,1-47868-S,1-59033-S,2-43558-S,2-43629-S,2-45117-S,3-15288-S,3-17043-S,3-32729-S,3-39163-S,3-40025-S,3-43318-S,4-49525-S,7-22582-S,12-34161-S,13-49019-B,14-20373-S,14-32510-S,18-35667-S,19-12074-S,19-49803-S,21-30590-S,25-26586-B,25-32028-S,26-6258-S,28-41467-S,28-41764-S,30-12577-S,30-33017-S,31-14163-S,31-32686-B,32-53974-S,33-5847-S,33-26804-B,33-48793-S,34-26871-B,34-26919-B,36-51641-S,37-14372-S,38-52142-B,39-47187-B,42-60345-S,43-15401-S,43-39256-S,43-41863-S,44-63675-S,47-61184-S,49-20102-B,49-65056-S,52-32022-B,52-50569-S,54-54426-S,54-61288-B,55-9419-B,55-9480-B,55-36229-S,56-9853-B,56-21615-B,59-58945-S,61-17194-B,63-44102-S,63-46478-B,64-43944-B,65-15180-S,65-36942-S,66-1429-S,66-23765-S,66-35520-S,66-61029-S,67-55515-S,68-47448-S,70-17040-S,70-44298-B,70-45565-B,70-57101-S,70-57101-S,70-57775-B
chun an	66-67021-S
chun bai	49-20557-B
chun ben	56-21761-B
chun bing	31-36534-B
chun bo	31-33577-B
chun cai	54-61349-B,55-9521-B,56-21721-B
chun cha	31-35428-B
chun chi	13-49325-B
chun chi xiang yi	13-49428-B
chun cui	49-20690-B
chun cui shu xue	49-20731-B
chun da mai	31-33201-B
chun di qu	19-49876-S
chun dou	67-55634-S,67-55685-S
chun du	49-20359-B
chun fen dian	31-32999-B
chun feng	31-35831-B,39-41770-S
chun feng de yi	31-36208-B
chun feng he qi	31-36113-B
chun feng hua yu	31-35967-B
chun feng man mian	31-36434-B
chun feng yi du	31-35878-B
chun gao	13-49282-B
chun geng	31-35286-B
chun gong	31-33354-B
chun gu	31-35508-B
chun guan	31-33990-B
chun guang	31-32805-B
chun guang ming mei	31-32857-B
chun han	5-58232-S
chun hua	16-10905-S,61-45591-S
chun huo	56-21802-B
chun ji	31-33310-B
chun jia	31-32758-B
chun jian	49-20892-B
chun jie	31-35217-B,49-20501-B
chun jin	49-20804-B
chun jing	49-20153-B
chun juan	31-33064-B
chun li	49-20207-B
chun lian	31-35351-B
chun lin	31-35784-B
chun mei	63-46568-B
chun pao zhen	14-20432-S
chun pao zhen bing du	14-20511-S
chun pin	49-20251-B
chun pu	38-52378-B,49-20399-B
chun qi	67-55569-S
chun qiang she jian	13-49179-B
chun qiu	7-63802-S,10-45456-S,13-1945-S,13-7576-S,21-58976-S,31-34166-B,31-44377-S,56-18065-S
chun qiu Zuo shi zhuan	31-34526-B
chun qiu ding sheng	31-35134-B
chun qiu fan lu	31-35032-B
