文藝復興 文艺复兴	30-30864-B
施 施	30-65228-B
施乐	30-65861-S
施事	30-65313-S
施事 施事	30-65313-B
施加	30-65360-S
施加 施加	30-65360-B
施压	30-65420-S
施壓 施压	30-65420-B
施展	30-65464-S
施展 施展	30-65464-B
施工	30-65525-S
施工 施工	30-65525-B
施捨 施舍	30-65572-B
施政	30-65624-S
施政 施政	30-65624-B
施政報告 施政报告	30-65674-B
施政报告	30-65674-S
施教	30-65753-S
施教 施教	30-65753-B
施明德	30-65796-S
施明德 施明德	30-65796-B
施樂 施乐	30-65861-B
施洗	30-65899-S
施洗 施洗	30-65899-B
施洗約翰 施洗约翰	30-65939-B
施洗约翰	30-65939-S
施洗者約翰 施洗者约翰	30-66010-B
施洗者约翰	30-66010-S
施特劳斯	30-66092-S
施特勞斯 施特劳斯	30-66092-B
施瓦布	30-66153-S
施瓦布 施瓦布	30-66153-B
施瓦辛格	30-66209-S
施瓦辛格 施瓦辛格	30-66209-B
施用	30-66292-S
施用 施用	30-66292-B
施甸	30-66346-S
施甸 施甸	30-66346-B
施秉	30-66410-S
施秉 施秉	30-66410-B
施罗德	30-66475-S
施羅德 施罗德	30-66475-B
施耐庵	30-66561-S
施耐庵 施耐庵	30-66561-B
施肥	30-66626-S
施肥 施肥	30-66626-B
施舍	30-65572-S
施蒂利尔	30-66669-S
施蒂利尔州	30-66748-S
施蒂利爾 施蒂利尔	30-66669-B
施蒂利爾州 施蒂利尔州	30-66748-B
施行	30-66839-S
施行 施行	30-66839-B
斾	30-66919-S
斾 斾	30-66919-B
斿	30-66956-S
斿 斿	30-66956-B
旁	30-67012-S
旁 旁	30-67012-B
旁听	30-67308-S
旁敲侧击	30-67114-S
旁敲側擊 旁敲侧击	30-67114-B
旁白	30-67184-S
旁白 旁白	30-67184-B
旁聽 旁听	30-67308-B
旁觀 旁观	30-67363-B
旁觀者 旁观者	30-67424-B
旁观	30-67363-S
旁观者	30-67424-S
旁路	30-67489-S
旁路 旁路	30-67489-B
旁边	30-67818-S
旁边儿	30-67885-S
旁遮普	30-67532-S
旁遮普 旁遮普	30-67532-B
旁遮普省	30-67626-S
旁遮普省 旁遮普省	30-67626-B
旁遮普邦	30-67711-S
旁遮普邦 旁遮普邦	30-67711-B
旁邊 旁边	30-67818-B
旁邊兒 旁边儿	30-67885-B
旂	30-67960-S
旂 旂	30-67960-B
旃	30-68001-S
旃 旃	30-68001-B
旄	30-68043-S,30-68101-S
旄 旄	30-68043-B,30-68101-B
旅	30-68128-S
旅 旅	30-68128-B
旅客	30-68161-S
旅客 旅客	30-68161-B
旅居	30-68209-S
旅居 旅居	30-68209-B
旅店	30-68288-S
旅店 旅店	30-68288-B
旅游	30-68933-S
旅游业	30-69107-S
旅游团	30-68998-S
旅游客	30-69055-S
旅游热点	30-69166-S
旅游的	30-69260-S
旅游者	30-69315-S
旅程	30-68337-S
旅程 旅程	30-68337-B
旅舍	30-68384-S
旅舍 旅舍	30-68384-B
旅行	30-68439-S
旅行 旅行	30-68439-B
旅行团	30-68479-S
旅行團 旅行团	30-68479-B
旅行支票	30-68535-S
旅行支票 旅行支票	30-68535-B
旅行社	30-68610-S
旅行社 旅行社	30-68610-B
旅行者	30-68668-S
旅行者 旅行者	30-68668-B
旅行袋	30-68721-S
旅行袋 旅行袋	30-68721-B
旅行装备	30-68776-S
旅行裝備 旅行装备	30-68776-B
旅費 旅费	30-68841-B
旅费	30-68841-S
旅途	30-68889-S
旅途 旅途	30-68889-B
旅遊 旅游	30-68933-B
旅遊團 旅游团	30-68998-B
旅遊客 旅游客	30-69055-B
旅遊業 旅游业	30-69107-B
旅遊熱點 旅游热点	30-69166-B
旅遊的 旅游的	30-69260-B
旅遊者 旅游者	30-69315-B
旅順 旅顺	30-69383-B
旅順口 旅顺口	30-69479-B
旅順口區 旅顺口区	30-69578-B
旅順港 旅顺港	30-69687-B
旅顺	30-69383-S
旅顺口	30-69479-S
旅顺口区	30-69578-S
旅顺港	30-69687-S
旅館 旅馆	30-69745-B
旅馆	30-69745-S
旆	30-69784-S
旆 旆	30-69784-B
旋	30-69823-S,30-69854-S
旋 旋	30-69823-B,30-69854-B
旋乾轉坤 旋乾转坤	30-69909-B
旋乾转坤	30-69909-S
旋前肌	30-70050-S
旋前肌 旋前肌	30-70050-B
旋即	30-70135-S
旋即 旋即	30-70135-B
旋回	30-70187-S
旋回 旋回	30-70187-B
旋子	30-70230-S,30-70288-S
旋子 旋子	30-70230-B,30-70288-B
旋工	30-70453-S
旋工 旋工	30-70453-B
旋床	30-70525-S
旋床 旋床	30-70525-B
旋律	30-70568-S
旋律 旋律	30-70568-B
旋木	30-70615-S
旋木 旋木	30-70615-B
旋梯	30-70676-S
旋梯 旋梯	30-70676-B
旋流	30-70760-S
旋流 旋流	30-70760-B
旋涡	30-70808-S
旋涡星系	31-0-S
旋涡状	31-69-S
旋渦 旋涡	30-70808-B
旋渦星系 旋涡星系	31-0-B
旋渦狀 旋涡状	31-69-B
旋筒	31-130-S
旋筒 旋筒	31-130-B
旋繞 旋绕	31-179-B
旋绕	31-179-S
旋翼	31-239-S
旋翼 旋翼	31-239-B
旋臂	31-283-S
旋臂 旋臂	31-283-B
旋舞	31-327-S
旋舞 旋舞	31-327-B
旋裡 旋里	31-375-B
旋覆花	31-423-S
旋覆花 旋覆花	31-423-B
旋踵	31-514-S
旋踵 旋踵	31-514-B
旋轉 旋转	31-612-B
旋轉力 旋转力	31-686-B
旋轉台 旋转台	31-753-B
旋轉指標 旋转指标	31-835-B
旋轉曲面 旋转曲面	31-909-B
旋轉木馬 旋转木马	31-999-B
旋轉極 旋转极	31-1088-B
旋轉球 旋转球	31-1151-B
旋轉行李傳送帶 旋转行李传送带	31-1208-B
旋轉角 旋转角	31-1332-B
旋轉角速度 旋转角速度	31-1398-B
旋轉軸 旋转轴	31-1494-B
旋轉運動 旋转运动	31-1559-B
旋轉餐廳 旋转餐厅	31-1641-B
旋转	31-612-S
旋转力	31-686-S
旋转台	31-753-S
旋转指标	31-835-S
旋转曲面	31-909-S
旋转木马	31-999-S
旋转极	31-1088-S
旋转球	31-1151-S
旋转行李传送带	31-1208-S
旋转角	31-1332-S
旋转角速度	31-1398-S
旋转轴	31-1494-S
旋转运动	31-1559-S
旋转餐厅	31-1641-S
旋里	31-375-S
旋鈕 旋钮	31-1721-B
旋钮	31-1721-S
旋閘 旋闸	31-1790-B
旋闸	31-1790-S
旋風 旋风	31-1842-B
旋風腳 旋风脚	31-1895-B
旋风	31-1842-S
旋风脚	31-1895-S
旌	31-1972-S
旌 旌	31-1972-B
旌德	31-2016-S
旌德 旌德	31-2016-B
旎	31-2077-S
旎 旎	31-2077-B
族	31-2118-S
族 族	31-2118-B
族类	31-2280-S
族群	31-2184-S
族群 族群	31-2184-B
族譜 族谱	31-2239-B
族谱	31-2239-S
族類 族类	31-2280-B
旐	31-2322-S
旐 旐	31-2322-B
旒	31-2352-S
旒 旒	31-2352-B
旓	31-2381-S
旓 旓	31-2381-B
旖	31-2437-S
旖 旖	31-2437-B
旗	31-2477-S
旗 旗	31-2477-B
旗丁	31-2560-S
旗丁 旗丁	31-2560-B
旗下	31-2617-S
旗下 旗下	31-2617-B
旗人	31-2669-S
旗人 旗人	31-2669-B
旗兵	31-2744-S
旗兵 旗兵	31-2744-B
旗号	31-3456-S
旗子	31-2796-S
旗子 旗子	31-2796-B
旗官	31-2838-S
旗官 旗官	31-2838-B
旗山鎮 旗山镇	31-2891-B
旗山镇	31-2891-S
旗帜	31-3044-S
旗幅	31-2965-S
旗幅 旗幅	31-2965-B
旗幟 旗帜	31-3044-B
旗开得胜	31-3858-S
旗手	31-3088-S
旗手 旗手	31-3088-B
旗杆	31-3202-S
旗校	31-3150-S
旗校 旗校	31-3150-B
旗桿 旗杆	31-3202-B
旗津区	31-3245-S
旗津區 旗津区	31-3245-B
旗牌	31-3316-S
旗牌 旗牌	31-3316-B
旗籍	31-3363-S
旗籍 旗籍	31-3363-B
旗舰	31-3414-S
旗艦 旗舰	31-3414-B
旗號 旗号	31-3456-B
旗袍	31-3694-S
旗袍 旗袍	31-3694-B
旗語 旗语	31-3756-B
旗语	31-3756-S
旗開得勝 旗开得胜	31-3858-B
旗鼓相当	31-4042-S
旗鼓相當 旗鼓相当	31-4042-B
旛	31-4213-S
旛 旛	31-4213-B
旝	31-4243-S
旝 旝	31-4243-B
旟	31-4273-S
旟 旟	31-4273-B
无	40-45824-S
无上	40-45887-S
无业游民	40-55024-S
无业闲散	40-55088-S
无为	40-56204-S,40-56315-S
无为县	40-56377-S
无争议	40-56711-S
无事	40-45929-S
无事生非	40-45983-S
无产者	40-57273-S
无产阶级	40-57351-S
无人	40-46068-S
无人区	40-46121-S
无人驾驶	40-46185-S
无从	40-51147-S
无价	40-46746-S
无价之宝	40-46799-S
无价珍珠	40-46872-S
无伴奏合唱	40-46258-S
无依无靠	40-46343-S
无保留	40-46475-S
无倚无靠	40-46578-S
无做作	40-46667-S
无偿	40-46948-S
无党派	40-64557-S
无关	40-63455-S
无关紧要	40-63535-S
无农药	40-62544-S
无冬无夏	40-47008-S
无出其右	40-47106-S
无力	40-47207-S
无动于衷	40-47419-S
无助	40-47265-S
无助感	40-47343-S
无原则	40-47505-S
无取胜希望者	40-47561-S
无可	40-47697-S
无可奈何	40-47734-S
无可奉告	40-47822-S
无可救药	40-47895-S
无可置疑	40-47984-S
无可非议	40-48067-S
无名	40-48134-S
无名小卒	40-48184-S
无名战士墓	40-48296-S
无名战死	40-48390-S
无名指	40-48488-S
无名英雄	40-48544-S
无味	40-48615-S
无品	40-48666-S
无国界	40-48729-S
无国界医生	40-48955-S
无国界记者	40-48848-S
无地自容	40-49086-S
无垠	40-49177-S
无声	40-60640-S
无处	40-61198-S
无处容身	40-61238-S
无大无小	40-49224-S
无奇不有	40-49341-S
无奈	40-49445-S
无妨	40-49492-S
无孔不钻	40-49606-S
无字碑	40-49737-S
无定形碳	40-49824-S
无害	40-49897-S
无家可归	40-49938-S
无容置疑	40-50000-S
无将牌	40-50085-S
无尾熊	40-50156-S
无尾猿	40-50207-S
无常	40-50255-S
无序	40-50407-S
无底	40-50452-S
无底坑	40-50494-S
无底洞	40-50586-S
无度	40-50646-S
无异	40-57468-S
无形	40-50723-S
无形中	40-50815-S
无形贸易	40-50885-S
无形输出	40-50958-S
无影无踪	40-51030-S
无征不信	40-51364-S
无微不至	40-51264-S
无忧无虑	40-52604-S
无性	40-51467-S
无性繁殖	40-51523-S
无怨无悔	40-51599-S
无怪	40-51705-S
无怪乎	40-51764-S
无恒	40-51833-S
无恙	40-51883-S
无恶不作	40-52307-S
无患子	40-52025-S
无情	40-52113-S
无情无义	40-52184-S
无意	40-52417-S
无意识	40-52471-S
无愧	40-52527-S
无懈可击	40-52668-S
无成	40-52733-S
无我	40-52785-S
无所不为	40-53009-S
无所不包	40-52854-S
无所不卖	40-53365-S
无所不在	40-52944-S
无所不用其极	40-53106-S
无所不知	40-53236-S
无所不能	40-53300-S
无所事事	40-53454-S
无所作为	40-53583-S
无所谓	40-53688-S
无所适从	40-53763-S
无把握	40-53888-S
无拘无束	40-53957-S
无援	40-54041-S
无支祁	40-54099-S
无政府主义	40-54206-S
无故	40-54281-S
无效	40-54336-S
无敌	40-54399-S
无数	40-54465-S
无暇	40-54530-S
无期徒刑	40-54606-S
无机	40-55309-S
无机化学	40-55358-S
无机物	40-55431-S
无机盐	40-55491-S
无权	40-55548-S
无条件投降	40-54871-S
无极	40-55162-S,40-55215-S
无核	40-54677-S
无核化	40-54725-S
无核区	40-54805-S
无棣	40-54964-S
无毒不丈夫	40-55615-S
无比	40-55720-S
无毛	40-55761-S
无氧	40-55802-S
无法	40-55875-S
无法形容	40-55923-S
无法忍受	40-56004-S
无法无天	40-56070-S
无济于事	40-56130-S
无烟	40-56451-S
无烟炭	40-56513-S
无烟煤	40-56571-S
无照经营	40-56625-S
无独有偶	40-56859-S
无猜	40-56780-S
无理	40-56946-S
无理取闹	40-57001-S
无瑕	40-57162-S
无生命	40-57212-S
无用	40-57417-S
无疑	40-57568-S
无病呻吟	40-57620-S
无病自灸	40-57763-S
无的放矢	40-57922-S
无益	40-58096-S
无着	31-4329-S
无知	40-58163-S
无知觉	40-58205-S
无礼	40-58373-S
无神论	40-58258-S
无神论者	40-58310-S
无私	40-58416-S
无秩序	40-58480-S
无稽	40-58531-S
无稽之谈	40-58571-S
无穷	40-58653-S
无穷小	40-58719-S
无穷远点	40-58810-S
无端	40-58919-S
无端端	40-58973-S
无符号	40-59032-S
无籁	40-59108-S
无精打彩	40-59150-S
无精打采	40-59265-S
无糖	40-59363-S
无纸化办公	40-59407-S
无线	40-59598-S
无线电	40-59712-S
无线电接收机	40-59766-S
无线电收发机	40-59861-S
无线电波	40-59975-S
无线电话	40-60065-S
无线网路	40-59640-S
无缘	40-60156-S
无缝	40-60322-S
无缝连接	40-60364-S
无缺	40-60440-S
无网格法	40-59490-S
无罪	40-60478-S
无翅	40-60551-S
无耻	40-51942-S
无聊	40-60592-S
无能	40-60703-S
无能为力	40-60766-S
无脊椎	40-60861-S
无脊椎动物	40-60917-S
无色	40-60995-S
无花果	40-61036-S
无菌性	40-61083-S
无菌的	40-61135-S
无著 无着	31-4329-B
无补	40-61403-S
无表情	40-61310-S
无视	40-61471-S
无计可施	40-61520-S
无论	40-61803-S
无论何事	40-61882-S
无论何人	40-61953-S
无论何处	40-62076-S
无论何时	40-62014-S
无论如何	40-62147-S
无话可说	40-61628-S
无误	40-61752-S
无赖	40-62222-S
无路可走	40-62269-S
无轨	40-62362-S
无轨电车	40-62404-S
无辜	40-62470-S
无边	40-62761-S
无边无际	40-62824-S
无连接	40-62643-S
无道	40-62702-S
无邪	40-62897-S
无量寿	40-62943-S
无针注射器	40-63041-S
无锡	40-63119-S
无锡县	40-63268-S
无锡市	40-63188-S
无间	40-63334-S
无限	40-63616-S
无限制	40-63669-S
无限小	40-63736-S
无限期	40-63812-S
无限风光在险峰	40-63881-S
无需	40-64073-S
无霜期	40-64113-S
无非	40-64176-S
无须	40-64226-S
无颌	40-64297-S
无题	40-64353-S
无风不起浪	40-64393-S
无齿翼龙	40-64650-S
旡	31-4390-S
旡 旡	31-4390-B
