ling	1-67-B,1-40260-S,1-58388-S,2-8947-S,2-36338-S,2-43404-S,2-67120-S,3-25640-S,3-47591-S,4-6306-S,4-33907-B,4-60679-B,5-1975-S,6-5839-S,6-33656-S,7-3235-S,7-53215-S,7-53963-S,8-12180-S,8-18873-S,8-25747-B,8-55718-S,9-16235-S,9-32005-S,9-47646-S,9-67182-S,10-23835-S,10-70562-S,11-4934-S,11-58658-S,11-65428-S,11-67353-S,12-6450-B,12-10883-S,12-23771-S,12-52957-S,13-10443-B,13-20022-S,13-47183-S,13-64376-S,14-29268-S,14-51661-S,14-63926-B,15-59655-S,16-7069-B,16-39908-B,16-40119-S,17-7124-S,17-57006-S,17-68188-S,17-69238-S,18-36010-S,18-49199-S,18-54203-S,19-14020-S,19-19794-S,19-35439-S,19-36241-S,20-20261-S,20-37565-S,20-68826-S,21-27618-S,21-29597-S,21-49091-B,21-57597-S,22-29418-S,22-50739-S,22-55583-S,23-15730-S,23-31308-S,23-39813-S,23-42477-S,24-39821-S,24-40022-S,25-34399-S,25-42769-S,25-55896-S,26-13505-S,26-27005-S,26-54506-S,27-54589-S,27-57357-S,28-33509-S,28-41632-S,28-42947-S,29-53792-S,30-32965-S,31-22362-S,31-23176-S,31-32654-B,31-39326-S,32-42389-S,32-67378-S,33-25594-S,33-36536-S,33-40499-B,34-1818-S,34-19617-S,34-46181-S,34-50020-S,35-5908-S,35-17588-B,35-19717-B,35-23347-S,36-61568-S,37-4242-S,37-29341-S,37-36758-B,37-45804-S,38-25194-S,38-36914-S,38-44808-B,39-20587-S,40-26211-S,40-28344-S,40-33604-S,42-29295-S,42-37126-S,42-41158-B,42-41273-S,42-59084-S,43-12028-B,43-42704-S,43-44705-S,44-470-S,44-33339-S,44-48187-S,44-58212-S,45-54309-B,46-19229-S,46-26596-S,46-62409-S,47-218-S,47-317-S,47-1662-S,47-14260-S,47-23836-S,47-23950-S,47-24151-S,47-25250-S,47-50044-S,47-63407-S,48-13510-B,48-59009-S,49-54268-S,50-5160-S,50-11965-B,50-28455-S,50-32484-S,50-40717-S,51-9840-B,51-17550-B,51-29349-S,51-32047-S,51-43003-B,51-52313-S,52-31646-S,52-45494-S,53-30631-S,53-31927-S,53-37139-B,53-64283-B,54-11666-S,54-15730-S,54-36619-B,55-942-S,55-9946-B,55-12751-S,55-14200-S,55-29217-S,55-30278-S,55-31532-S,55-60494-B,56-5999-S,56-32962-S,56-49417-S,57-28043-S,57-52888-S,57-64121-S,58-6063-B,58-6781-S,58-9046-S,58-22621-S,59-1992-S,59-40430-S,60-25271-S,60-60521-S,61-4992-B,61-29876-S,61-36402-S,61-49246-S,61-51942-S,62-52689-S,62-55687-S,63-19011-S,63-28064-S,63-32625-S,63-36094-B,63-51404-S,63-51680-B,64-17051-S,64-17510-S,64-22114-B,64-30883-S,65-2528-S,65-14056-S,65-24044-S,65-52647-S,66-30524-B,67-19536-B,67-38495-S,67-41554-B,67-45007-B,67-50485-B,67-68597-S,68-33308-B,68-40354-S,68-61660-S,69-24587-S,70-23311-S,70-24201-S,70-27197-S,70-29794-S,70-44935-B,70-49478-S,70-54171-B,70-56658-S,71-17462-S,71-24653-S,71-45685-S,71-56116-B,71-56143-B,71-62352-S
ling Hai	44-36264-S
ling ba luo	1-28985-S
ling ba sui	1-28895-S
ling ban	6-32442-S
ling bao zuan	48-59057-S
ling bing	6-33713-S
ling bu	12-23878-S,50-32610-S
ling bu jian	67-21652-B
ling chen	8-25976-B
ling cun wei	12-6883-B
ling da sui qiao	67-20251-B
ling da xue	64-17128-S
ling dai	68-34422-B
ling dang	64-22269-B
ling dang lang	1-25915-S
ling dao	68-33965-B
ling dao ceng	68-34090-B
ling dao neng li	68-34299-B
ling dao quan	68-34180-B
ling dao ren	4-35073-B,68-34038-B
ling dao xiao zu	60-64257-S
ling dao zhe	68-34247-B
ling de	67-21030-B
ling de shi jie	67-52757-B
ling deng dai zhuang tai	67-21156-B
ling di	10-36462-S,68-33809-B,69-24242-S
ling di qu	38-36976-S,65-2672-S,67-21787-S
ling dian liu	67-22141-B
ling ding	4-60757-B
ling du	49-46741-S,67-20206-B
ling dui	68-35377-B
ling dun	18-49272-S,25-18568-S
ling dun guo jia gong mu	66-13818-S
ling dāng lāng	1-25915-S
ling fan	67-52407-B
ling fu	67-52888-B
ling gan	67-51656-B
ling gong lu: dui	67-19827-B
ling guai	67-51603-B
ling guan	5-15759-S,67-51939-B,68-35532-B
ling guan yuan	5-15670-S
ling guang	67-50765-B
ling guo le meng	64-46423-S
ling hai	68-34774-B
ling hai xia	44-36320-S
ling he gan san lin suan	52-45563-S
ling hua	51-32096-S
ling hui	68-34671-B
ling hun	67-53590-B
ling huo	67-52454-B
ling huo xing	67-52510-B
ling ji	12-6945-B,67-52023-B
ling ji chu	67-20137-B
ling ji yi dong	67-52093-B
ling jian	67-19680-B
ling jian gong huo shang	67-19734-B
ling jiang	14-29049-S,15-28412-S,68-34827-B
ling jiao	54-36712-B
ling jie	54-48411-S,67-52707-B
ling jin	49-13886-S,68-34366-B
ling jiu	67-51878-B
ling ju li	67-21582-B
ling ke	69-33576-S
ling kong	8-26758-B,68-34975-B
ling kou	4-70544-S,68-35122-B
ling kuai	67-51504-B
ling lan	34-185-S
ling lan dao	34-239-S
ling lei yi liao	12-7364-B
ling li	4-60815-B,4-60924-B,11-70949-S,67-50890-B,70-45056-B
ling li jia	70-45137-B
ling li ke	70-45229-B
ling ling	19-14020-S,42-41273-B
ling liu yu	16-29346-S
ling long	7-53432-S,42-41342-B
ling lu	68-35073-B
ling lu:e	68-34896-B
ling luan	8-25807-B,67-19617-B
ling luo	67-21407-B
ling mao	67-53068-B
ling mao lei	67-53178-B
ling mei kuang	54-36761-B
ling mi xin huan	12-7123-B
ling miao	67-51210-B
ling min	67-51767-B
ling min du	28-26177-S,67-51811-B
ling ming	67-51013-B
ling ming zi	27-57417-S
ling mu	56-6053-S,66-30624-B
ling niao	44-58251-S
ling niu	51-9872-B
ling pai huan	4-35161-B
ling pai huan wang	4-35218-B
ling ping	4-60873-B,17-33774-S
ling qi	67-52310-B
ling qi dian	67-21480-B
ling qi lu zao	12-7259-B
ling qian	67-21708-B
ling qiang	44-26086-S
ling qiao	67-51463-B
ling qiao sui da	67-20412-B
ling qin	66-30760-B
ling qing	68-34526-B
ling qiu	5-41860-S
ling qu	33-25684-S,34-29577-S,68-33592-B
ling qu lu:	67-20773-B
ling r	61-29946-S
ling re	44-45775-S
ling ren	4-33981-B,4-60709-B,45-5553-S
ling ren bu kuai	4-34113-B
ling ren fa zhi	4-34664-B
ling ren gu wu	1-67151-S,4-34796-B
ling ren jing yi	4-34595-B
ling ren qin pei	4-34450-B
ling ren tan	4-34194-B
ling ren tan wei guan zhi	4-34251-B
ling ren zhen fen	4-34366-B
ling ren zhen jing	4-34516-B
ling ru	8-26886-B
ling ruo	62-56679-S,62-56839-S
ling san	67-20368-B
ling shang	24-39903-S
ling shen hui	24-40189-S
ling sheng	64-22190-B,67-37731-S
ling sheng mu	67-21243-B
ling shi	7-54052-S,16-40175-S,50-36236-S,64-30958-S,65-2770-S,67-20720-B,67-22079-B,68-33362-B
ling shi guan	50-36297-S,68-33403-B
ling shi zhong	70-29842-S
ling shou	67-19902-B,68-33642-B,68-34605-B
ling shou dian	67-20009-B
ling shou shang	67-19944-B
ling shu	69-43690-S
ling shu zhan dao	47-24321-S
ling sui	67-21075-B
ling tang	4-34873-B,4-34990-S,67-51083-B
ling tian xia	28-1260-S
ling ting	51-43048-B
ling tong	21-2056-S
ling tong ren shi	38-29998-S
ling tou	67-22025-B
ling tu	68-33687-B,70-14236-S
ling tu wan zheng	68-33730-B
ling wai	12-6782-B
ling wei	67-50715-B
ling wen	48-59209-S
ling wu	68-34465-B
ling wu shi yi	1-3796-S
ling xi	68-34733-B
ling xi ling	57-52888-S
ling xia	67-19572-B
ling xian	36-61635-S,40-28725-S,55-14269-S,65-2905-S,65-14128-S,68-33459-B,68-35170-B
ling xian di wei	68-33517-B
ling xian zhu yan	68-35284-B
ling xing	47-812-S,54-36669-B,67-20647-B,67-51551-B
ling xing jin zhi	4-35506-B
ling xiu	48-57004-S,68-35032-B
ling xun	8-26032-B,51-43105-B
ling ya li chi	4-60975-B
ling yan	67-53525-B
ling yan xiang kan	12-7042-B
ling yang	20-69381-S,31-49127-S,51-9936-B,55-31611-S,68-35471-B
ling yi	8-25848-B,12-6507-B,34-53088-S,66-30672-B
ling yi ban	12-6548-B
ling yi fang mian	12-6633-B
ling yi ye	1-3691-S
ling yi zhong	12-6723-B
ling ying	16-40253-S
ling yong	12-6997-B,67-20836-B
ling yong jin	67-20913-B
ling yong qian	67-20970-B
ling yu	14-63967-B,14-64007-B,15-33090-S,46-11091-S,46-14527-S,54-15163-S,67-53010-B,68-33852-B,70-45018-B
ling yuan	12-23823-S,66-30572-B
ling za	8-26929-B,67-21884-B
ling za mi yan	8-26974-B
ling za r	67-21952-B
ling zai ou zhou you dang	1-2375-S
ling zhang lei	67-53372-B
ling zhang lei dong wu	67-53447-B
ling zhang mu	67-53299-B
ling zhe	5-2042-S,11-65474-S
ling zhen xing	1-22444-S
ling zhi	67-52939-B
ling zhu hou	28-1416-S
ling zhuang	4-35295-B,60-63755-S
ling zi	68-33920-B
ling zu	67-20529-B
ling zui	67-20074-B
ling zun	4-34932-B
ling zun ling tang	4-34990-B
ling1	31-32654-B
ling1 sheng1 mu3	67-21243-B
ling2	1-67-B,1-40260-S,2-36338-S,2-43404-S,3-25640-S,3-47591-S,4-6306-S,4-60679-B,8-18873-S,8-25747-B,10-23835-S,11-4934-S,12-10883-S,12-52957-S,13-10443-B,13-47183-S,13-64376-S,14-51661-S,14-63926-B,16-7069-B,16-39908-B,17-68188-S,17-69238-S,18-36010-S,18-49199-S,18-54203-S,19-14020-S,19-19794-S,19-35439-S,19-36241-S,20-20261-S,20-68826-S,21-27618-S,21-57597-S,22-50739-S,22-55583-S,23-15730-S,23-39813-S,24-39821-S,25-34399-S,25-42769-S,25-55896-S,26-27005-S,26-54506-S,27-54589-S,28-33509-S,30-32965-S,31-22362-S,31-23176-S,32-42389-S,33-25594-S,33-40499-B,34-19617-S,34-46181-S,34-50020-S,35-5908-S,35-17588-B,35-19717-B,35-23347-S,36-61568-S,37-4242-S,37-36758-B,37-45804-S,38-36914-S,38-44808-B,40-28344-S,40-33604-S,42-37126-S,42-41158-B,42-41273-S,42-59084-S,43-12028-B,44-470-S,44-58212-S,45-54309-B,46-19229-S,46-62409-S,47-23836-S,47-23950-S,47-25250-S,47-63407-S,48-13510-B,48-59009-S,50-11965-B,51-9840-B,51-17550-B,51-32047-S,51-43003-B,51-52313-S,52-45494-S,53-30631-S,53-31927-S,53-37139-B,53-64283-B,54-11666-S,54-15730-S,54-36619-B,55-942-S,55-9946-B,55-29217-S,55-31532-S,55-60494-B,56-5999-S,57-52888-S,58-6063-B,59-1992-S,60-25271-S,60-60521-S,61-4992-B,61-29876-S,61-49246-S,63-19011-S,63-28064-S,63-32625-S,63-36094-B,63-51404-S,63-51680-B,64-17051-S,64-22114-B,64-30883-S,65-24044-S,65-52647-S,66-30524-B,67-19536-B,67-38495-S,67-41554-B,67-45007-B,67-50485-B,67-68597-S,68-61660-S,70-23311-S,70-24201-S,70-27197-S,70-29794-S,70-44935-B,70-49478-S,70-54171-B,70-56658-S,71-17462-S,71-24653-S,71-45685-S,71-56116-B,71-56143-B,71-62352-S
ling2 ba1 luo4	1-28985-S
ling2 ba1 sui4	1-28895-S
ling2 bao3 zuan4	48-59057-S
ling2 bu4 jian4	67-21652-B
ling2 chen2	8-25976-B
ling2 da3 sui4 qiao1	67-20251-B
ling2 da4 xue2	64-17128-S
ling2 dang1	64-22269-B
ling2 de5	67-21030-B
ling2 de5 shi4 jie4	67-52757-B
ling2 deng3 dai4 zhuang4 tai4	67-21156-B
ling2 di4 qu1	38-36976-S,67-21787-S
ling2 dian3 liu4	67-22141-B
ling2 ding1	4-60757-B
ling2 du4	49-46741-S,67-20206-B
ling2 dun4	18-49272-S,25-18568-S
ling2 dun4 guo2 jia1 gong1 mu4	66-13818-S
ling2 fan4	67-52407-B
ling2 fu2	67-52888-B
ling2 gan3	67-51656-B
ling2 gong1 lu:4 dui1	67-19827-B
ling2 guai4	67-51603-B
ling2 guan1	67-51939-B
ling2 guang1	67-50765-B
ling2 guo1 le4 meng2	64-46423-S
ling2 he2 gan1 san1 lin2 suan1	52-45563-S
ling2 hua4	51-32096-S
ling2 hun2	67-53590-B
ling2 huo2	67-52454-B
ling2 huo2 xing4	67-52510-B
ling2 ji1	67-52023-B
ling2 ji1 chu3	67-20137-B
ling2 ji1 yi1 dong4	67-52093-B
ling2 jian4	67-19680-B
ling2 jian4 gong1 huo4 shang1	67-19734-B
ling2 jiang1	14-29049-S
ling2 jiang3	15-28412-S
ling2 jiao3	54-36712-B
ling2 jie2	54-48411-S
ling2 jie4	67-52707-B
ling2 jiu4	67-51878-B
ling2 ju4 li2	67-21582-B
ling2 ke1	69-33576-S
ling2 kong1	8-26758-B
ling2 kuai4	67-51504-B
ling2 lan2	34-185-S
ling2 lan2 dao3	34-239-S
ling2 li3	70-45056-B
ling2 li3 jia3	70-45137-B
ling2 li3 ke1	70-45229-B
ling2 li4	4-60815-B,4-60924-B,11-70949-S,67-50890-B
ling2 ling2	19-14020-S,42-41273-B
ling2 long2	7-53432-S,42-41342-B
ling2 luan4	8-25807-B,67-19617-B
ling2 luo4	67-21407-B
ling2 mao1	67-53068-B
ling2 mao1 lei4	67-53178-B
ling2 mei3 kuang4	54-36761-B
ling2 miao4	67-51210-B
ling2 min3	67-51767-B
ling2 min3 du4	28-26177-S,67-51811-B
ling2 ming4	67-51013-B
ling2 mu4	56-6053-S,66-30624-B
ling2 niao3	44-58251-S
ling2 niu2	51-9872-B
ling2 ping1	4-60873-B
ling2 ping2	17-33774-S
ling2 qi3 dian3	67-21480-B
ling2 qi4	67-52310-B
ling2 qian2	67-21708-B
ling2 qiao1 sui4 da3	67-20412-B
ling2 qiao3	67-51463-B
ling2 qin3	66-30760-B
ling2 qiu2	5-41860-S
ling2 qu1	33-25684-S,34-29577-S
ling2 qu1 lu:4	67-20773-B
ling2 r5	61-29946-S
