niu2 te4	51-17038-S
niu2 te4 qi2	51-17116-S
niu2 tou2 quan3	41-49526-B
niu2 wa1	41-48985-B
niu2 xi1	41-48807-B
niu2 xing1	41-64222-S
niu2 yin3	41-49579-B
niu2 you2	41-47850-B
niu2 you2 guo3	41-47890-B
niu2 zai3	41-47378-B
niu2 zai3 ku4	41-47418-B
niu2 zhi4	41-48893-B
niu2 zuo4	64-12676-S
niu2 zuo4 ma3	13-19119-S
niu3	24-50439-B,26-54070-B,27-63406-S,31-1721-S,33-26944-B,34-57141-S,35-50110-S,42-5591-B,49-18513-B,49-48548-S,61-26969-S,64-21542-B,67-38431-S
niu3 ai1 er3	53-48359-S
niu3 bai3	26-54366-B
niu3 dai4	49-18777-B,64-21583-B
niu3 jiao3 ling2	26-54506-B
niu3 ju3	26-54453-B
niu3 ka3 su4	49-18725-B
niu3 kou4	49-18905-B
niu3 li4	26-54188-B
niu3 nie1 nie1	26-54249-S
niu3 nie5	26-54319-B
niu3 niu3	35-50110-S
niu3 niu3 nie1 nie1	26-54249-B
niu3 qu1	26-54408-B
niu3 shang1	26-54126-B
niu3 si1	50-4115-S
niu3 te4	14-61639-S
niu3 te4 ren2	14-61758-S
niu3 zhuan3	26-54593-B
niu4	27-37991-B
niu5	23-46757-S
niàn	1-22248-S,1-46146-S,4-8969-S,5-44339-S,10-52743-B,11-65265-S,13-56504-B,15-69359-S,18-32813-S,23-23163-B,23-45936-S,24-49883-B,24-54594-S,25-11382-S,25-25692-S,25-29229-S,25-40648-S,26-430-S,26-2360-S,28-19534-S,33-947-S,34-37097-S,35-22889-S,35-61332-S,42-54738-S,43-49806-S,44-4321-S,45-47007-S,47-9749-S,49-2786-S,49-46646-S,57-42578-S,61-23384-S,61-57016-S,63-18580-S,65-25452-S,68-49305-S,70-6815-S,71-36251-S,71-55979-B
niàn bù wàng	24-50107-S
niàn bēi	4-13039-S,49-3098-S
niàn dao	24-50058-B
niàn de jīng	19-61691-S
niàn fó	24-49978-B
niàn guǎn	21-19890-S,49-3227-S
niàn jiǎng	49-3045-S
niàn jīng	24-50313-B
niàn niàn bù wàng	24-50107-B
niàn niàn yǒu cí	13-56542-B
niàn pǐn	49-2846-S
niàn qū dòng jiā gōng	34-37249-S
niàn rì	24-50204-B,49-2968-S,49-40664-S
niàn shū	24-50268-B
niàn tou	24-50383-B,24-64903-S
niàn táng	2-74564-S,36-13320-S,49-2899-S
niàn yóu piào	49-3151-S
niàn yī cún mó xíng	34-37144-S
niàn yǒu cí	13-56542-S
niàn zhū	13-56629-B
niàng	5-11609-S,63-48930-S,63-51507-B,63-51773-B
niàng jiǔ yè	63-51850-B
niàng zào	63-51810-B
