filmmaking	63-38932-S,67-30383-B
films	45-10003-S
films and broadcast media	15-5246-S,23-13405-S,23-15372-S,23-15540-S
films of 1998 and 2006 based on novel by jinyong 金庸	46-62196-S,46-63035-S
filmstrip	22-53854-B
filter	6-12872-S,38-40562-S,38-42090-S,40-12103-S,40-12144-B,40-12324-B,40-12466-S,40-12563-B,48-34468-S,48-34669-S,62-46958-S,62-46958-B,66-21794-S
filter and purify	40-12412-S
filter out	40-12652-S
filter out suspended particles	66-21704-S
filter paper	40-12518-B
filter tipped cigarette	62-47007-B
filtered out residue	35-63026-B
filtering	7-70944-S,40-12283-B
filth	36-57117-B,36-57209-B,36-62434-B,36-62688-B,47-41340-B
filth and bring in fresh water 成语 saw	28-45128-S,40-5307-S
filthy	1-66209-B,10-62170-S,23-3568-B,36-57117-B,36-57209-B,36-62434-B,36-63255-B,52-36413-B,52-53874-B,52-53908-B,70-3293-B,70-3328-B,70-4384-B,71-34091-B,71-56422-B,71-57036-B,71-57106-B
filthy lucre i e money	34-33207-B
filthy mouthed	39-36308-B
filthy speech	36-63401-B
filtrate	40-12372-B
filtration equipment	40-12182-B
fin	70-37691-S,70-38972-B
fin soup	70-37733-S
final	2-15204-S,7-21726-S,7-21924-S,24-16590-S,32-20348-B,32-21170-B,33-29344-S,49-36251-B,57-6842-S,68-17534-S
final account	37-215-B
final analysis	35-54520-S,43-55088-S
final appeal	49-35336-S
final bill	37-215-S
final conclusion	19-47880-B
final destination	35-53885-B
final document	47-36470-S
final effort	9-50432-S
final exclamatory particle	14-39-B,14-44136-B
final fantasy video game	32-21220-B
final generation	32-59533-B
final month of spring i e third month of lunar calendar	19-12074-B
final month of summer i e sixth month of lunar calendar	19-11789-B
final month of winter i e twelfth month of lunar calendar	19-11592-B
final name of the shang dynasty after their move to yinxu 殷墟 in modern henan province	35-65889-B
final of a chinese syllable excluding initial consonant and tone	68-17732-S
final or r ization	7-21793-S
final part	24-191-B
final particle	3-10181-S,13-49811-B,14-40733-B,45-63015-S,50-54228-B,71-16509-S
final particle equivalent to 了	14-29364-B
final particle esp in yunnan similar to 了 le	14-37580-S
final particle expressing approval or doubt	65-65575-B
final particle expressing imperative	13-56440-B
final particle expressing question	13-2812-B
final particle expression doubt or surprise	35-31418-B
final particle in classical chinese	3-11492-B
final particle serving as copula	3-21403-S
final particle sim to 呢 or 啦	13-44488-S
final particle similar to 了	13-29418-B
final particle which transforms statements into questions that indicate doubt or surprise	13-28388-S
final phase	19-11485-B,32-59951-B
final r of putonghua	11-26979-S,28-8090-S
final r 儿 added to a word in spoken chinese	7-21793-S,7-21924-S
final remarks at the end of a book or article	41-4987-B
final rhyming syllable must be classical first or second tone 平聲 平声	27-16295-S
final scene of a play	49-41217-B
final segment	24-191-B
final sound	68-17732-B
final sound of a syllable	21-15772-B
final stage	32-59385-B
final stop on rail or bus line	49-37378-B
final time limit for project	32-20601-B
final vows in a religious order or congregation of the catholic church	32-60224-B
final years of a regime	32-59711-S
final years of the ch ing or qing dynasty	38-61764-S
final years of yuan dynasty 1279 1368	6-62513-B
finalize	20-20979-S
finally	9-9327-B,9-9555-B,9-10442-B,32-20348-B,32-59833-B,45-30751-S,49-36132-B,49-41797-B,50-34574-B
finally a soap bubble 成语 saw	49-35613-B
finally settles	35-53885-S
finals	10-57624-S,14-22659-S
finals of a competition	37-540-B
finance	2-65870-S,7-57468-S,7-57468-S,10-39533-B,16-65544-S,19-62906-S,20-55767-S,31-4798-S,32-64464-S,35-19113-S,42-56823-B,47-50860-S,59-33481-S,59-34277-S,64-14827-B,64-15251-S
finance and accounting	59-33546-B
finance and economics	59-34118-B
finance and trade	59-34174-B
finance corporation	15-20156-S
finances	20-22839-S,59-34277-S
finances public	59-33308-B
financial	22-922-S,28-52494-S,59-33308-B,64-14827-B
financial affairs	59-32906-B
financial aid	59-50871-S
financial analysis	15-48363-S,47-26276-S,47-26383-S
financial balance	29-41194-B
financial control	59-33658-B
financial crisis	64-14887-B,64-15353-B
financial deficit	60-6139-B
financial etc difficulty	14-63603-B
financial glossary	60-43956-S
financial group	59-33114-B
financial group macau	10-38385-S
financial index s p	34-54379-S
financial loss	46-20325-S,55-56176-B
financial magnate	59-34359-B
financial management	42-56823-B
financial management science	42-56884-B
financial market	64-14959-B
financial markets	5-57158-S,27-2297-S
financial power	59-33658-B
financial reform	64-15034-B
financial resources	59-32854-B,59-33756-B
financial responsibility	45-2340-S,53-14422-S
financial securities	58-59954-B
financial services company	29-1217-S
financial situation	19-61457-S
financial software	59-33019-B
financial straits	27-47877-S,27-47953-S
financial subsidy	56-57052-B
financial system	64-15178-B
financial times	64-15106-B
financial year	48-8900-S,48-9979-S,48-11179-S,48-12948-S,59-33371-B
financially autonomous	45-2340-B,53-14422-B
financing	56-11736-B
finch	66-52611-S
finch or brambling fringilla montifringilla	41-29352-S
find	26-58729-S,26-58729-S,26-58846-S,28-56529-S,32-58297-S,37-9588-S,44-31357-S,44-34001-B
find a defect 成语 saw	40-815-S
find a path	28-24039-S
find a place for	19-32247-B,19-34558-B
find a way	32-33225-S,49-35765-S
find a way out	1-17121-S
find a way through	17-50257-S
find a way through esp corrupt	65-10751-S
find acceptable	25-6291-S
find an excuse	6-115-S,26-59290-S
find an opportunity to speak	14-30023-S
find another cropping up	27-61868-S
find any way of doing sth	42-38323-S
find appropriate responses to difficult or delicate situation	58-63531-S
find differing aspects	10-40561-S
find excuses to get off a charge	8-44147-S
find fault	26-59234-S,26-59384-S,26-59545-S,26-59834-S,27-65442-S,40-815-S,58-58194-B
find fault in minor details	13-35409-S,58-8413-S
find fault with	27-60989-S
find guarantor	8-4662-S
find help all around	24-9306-S
find it embarrassing to do sth	2-3813-B
find it too late	1-74745-B
find it too much	2-33314-B
find many excuses to delay working	25-63967-S
find no way out	4-39986-S
find out	2-8868-S,33-45654-S,33-46122-S,42-23741-S,45-60056-S
find out and know	24-8684-B
find out by tactful indirect questioning	18-8875-S
find sth both funny and annoying	13-46829-B
find sth embarassing	46-43225-S
find surety	8-4662-S
find that	57-41048-B
find the right way to solve it	20-53110-S,20-53317-S
find the time to do sth	27-17530-S
find time in the midst of pressing affairs	29-11780-B
find what one was searching for	26-59145-B
find when critically ill 成语 saw	44-9959-S
finders keepers	27-54268-B
finding	26-59145-S,44-31410-B
finds its way in by the mouth	44-9865-S
fine	2-32052-B,6-58401-B,6-58456-B,23-63803-S,28-35377-S,41-41718-B,42-41342-S,46-13134-S,47-6286-B,48-52303-S,48-53440-B,48-57431-B,48-57559-B,48-57692-B,49-31153-B,49-31393-B,49-31443-B,49-32212-B,50-46853-B,50-46897-B,50-47228-B,50-53413-S,50-53697-B,51-5833-B,53-40913-B,57-25838-B,59-59619-B,68-7884-B
fine and careful	50-12355-B
fine and close	47-35668-B,50-24880-B,50-25763-B
fine and detailed	7-24777-B
fine and loose cloth	50-39668-B
fine and smooth	50-25942-B
fine animal hair	36-17151-B
fine arts	10-27882-S,51-8713-B
fine black hair	50-25992-B,67-57283-B,71-33840-B
fine craft 成语 saw	46-57065-S,70-31516-S
fine details prevents one making progress	42-40017-S
fine doctor cf dr dong feng 董奉	33-6563-S
fine dust	15-54072-B
fine evening	53-40973-B
fine example	34-59094-B
fine feather	47-14996-S
fine fibers of hemp	49-55510-B
fine floss silk or cotton	49-47958-B,50-43777-B
fine for animals	54-23186-S
fine hair	36-17530-S
fine hair on the human body	20-9616-B
fine hairs when decking out a bride	65-40767-S
fine horse	69-51866-B
fine instead of punishment	59-41803-B
fine jade	42-60311-B,43-3684-S,43-7605-B
fine linen	50-19520-B
fine looking woman	59-22237-B
fine monetary	50-53413-B
fine needle used in acupuncture	64-29349-S
fine needle 成语 saw	46-39515-S
fine or payment to end a legal dispute	13-25276-S
fine powder	48-47376-B
fine product	25-49136-S
fine quality jade	43-3936-B
fine rain	38-27845-B,39-18893-B,45-61397-B,49-34049-B,67-14708-B,67-39633-B
fine sb	47-16590-S
fine scholar and soldier	30-29047-B
fine sculpting 成语 saw	48-53267-S,48-58875-S
fine silk	49-1263-B,50-25066-B,50-42526-B
fine silk gauze	50-26179-B
fine silver	49-15351-B
fine steel	65-6184-B
fine talk	43-17471-B
fine texture	49-31257-B,50-25801-B,50-25855-B
fine textured	16-5418-S
fine time	53-43340-B,53-43406-B
fine toothed comb	48-34272-B,48-34319-S
fine tuning	62-65111-S
fine weather	31-55159-B
fine work	21-55361-B
fine work of art	18-35476-S
fine woven grass mat	48-35874-B
fine writing paper	19-55266-B
finely	50-17961-S
finesse	26-35265-B
finest blossoms in the garden of literature	30-30569-B
finest competitors	68-20086-B
finger	2-72038-S,17-18911-S,20-64644-S,26-33448-B,27-56927-B,27-61240-B,28-61572-S,28-63127-S,29-3384-S,33-42911-S,40-48488-S,43-4474-S,53-27031-S
finger game	59-16257-S
finger guessing game	8-65200-B,27-20104-B,42-12618-S,59-16582-B
finger in the pie	33-42747-S,33-42986-S
finger in the tripod 成语 saw	33-42986-S
finger method in painting	27-60242-B
finger print	27-60931-B
finger ring	26-13945-B,64-53259-S
finger 成语 saw	33-42747-S
fingerboard of lute or guitar	13-34140-S
fingered bass	26-32832-B
fingernail	27-60440-B
fingerprint	27-60931-B,48-39893-S,49-14630-S,49-15010-S,49-15196-S,56-14536-S
fingers	23-46939-S,23-48555-S,27-20244-S,27-30559-S,27-50446-S,28-3101-S,28-9687-S,28-53446-S,29-9503-S,45-66107-S
fingers between children as a promise	27-21394-S
fingers burnt	25-27008-S,42-39839-S
fingers in automatic car windows	65-60298-S
fingers of one hand	21-20015-S
fingers to pledge	27-26092-S
fingers 成语 saw	1-8366-S,23-48663-S
fingertips	27-58476-B,62-40403-S
finicky	18-61343-B
finish	1-21083-S,3-28532-S,6-32506-B,6-57048-S,6-61047-S,19-36468-S,19-38032-S,19-38093-S,26-7394-B,29-40732-S,43-54040-S,45-7675-S,47-64396-B,49-35074-B,49-41844-S,50-54159-S,53-4673-S,53-18227-S,65-29825-S
finish a drink	14-10207-S,14-10363-S
finish a trial	20-22192-S
finish an exam	51-33092-S
finish apprenticeship	8-39151-S,39-38196-S
finish eating	12-27214-S
finish off	41-4786-S
finish school	43-54755-S,49-42442-S
finish sth	59-40430-S
finish up or off	10-13782-B
finish work	1-45643-S,1-61717-S
finish 成语 saw	18-38918-S
finished	19-38409-B,19-46679-B,24-5886-B,24-6543-S,30-8575-B,42-38601-B,43-34668-B,43-54040-B,45-7675-B,57-65319-B
finished articles	10-57681-S
finished goods	8-39565-S,26-8990-B
finished product	9-11306-B,26-8990-S
finished products	10-57681-S
finishing a building project	20-34465-S
finishing line	49-37466-B
finishing line in a race	49-37199-B
finishing off a job	27-36036-S
finishing touch	43-59492-S,71-40905-S,71-41034-S
finite	32-40893-B
finite element method	32-40942-B,32-41012-B,32-41174-B
finite group math 	32-41255-B
finland	15-27295-S,53-53539-B
finn by mark twain 馬克·吐溫 马克·吐温	13-36858-S
finnicky	18-61403-B
