Xia4 mu4 shu4 shi2	16-41490-B
Xia4 wa2	16-40642-B
Xia4 wei1 yi2	16-40463-B
Xia4 wei1 yi2 dao3	16-40513-B
Xia4 wei1 yi2 zhou1	16-40581-B
Xia4 xian4	16-41572-B
Xia4 yi4	16-41817-B
Xia4 ying2 xiang1	1-61596-B
Xia4 zhi4	16-41640-B
Xia4 zhi4 dian3	16-41699-B
Xian	8-24043-B,13-29924-B,46-51502-B
Xian Hai	71-4103-B
Xian Xing hai	8-24079-B
Xian bei	70-43066-B
Xian dao	46-51583-B
Xian di	39-50589-S
Xian feng	13-30305-B
Xian feng dui	2-58094-S
Xian jiao	46-51533-B
Xian jing nan dao	71-4411-B
Xian ju	4-28970-B
Xian long	33-6121-S
Xian luo	32-1113-B
Xian luo yu	32-1184-B
Xian nian	33-947-S
Xian ning	13-29960-B
Xian ning di qu	13-30035-B
Xian ning shi	13-30123-B
Xian nu: xing xi	4-28782-B
Xian nu: zuo da xing yun	4-28475-B
Xian nu: zuo xing xi	4-28602-B
Xian qu Lun tan bao	15-14511-S
Xian sheng	55-33328-S
Xian sheng zhou	68-51473-B
Xian tai	4-28182-B
Xian tao	4-29279-B
Xian tao shi	4-29356-B
Xian xi xiang	50-17553-B
Xian xian	42-26192-B
Xian yang	13-30413-B
Xian yang di qu	13-30507-B
Xian yang qiao	71-4517-B
Xian yang shi	13-30606-B
Xian you	4-29724-B
Xian you xian	4-29783-B
Xian zhi	42-32782-S
Xian zhong	23-40845-S
Xian1	46-51502-B
Xian1 bei1	70-43066-B
Xian1 dao4	46-51583-B
Xian1 feng1 dui4	2-58094-S
Xian1 jiao4	46-51533-B
Xian1 ju1	4-28970-B
Xian1 luo2	32-1113-B
Xian1 luo2 yu3	32-1184-B
Xian1 nian4	33-947-S
Xian1 nu:3 xing1 xi4	4-28782-B
Xian1 nu:3 zuo4 da4 xing1 yun2	4-28475-B
Xian1 nu:3 zuo4 xing1 xi4	4-28602-B
Xian1 qu1 Lun4 tan2 bao4	15-14511-S
Xian1 sheng5	55-33328-S
Xian1 tai2	4-28182-B
Xian1 tao2	4-29279-B
Xian1 tao2 shi4	4-29356-B
Xian1 you2	4-29724-B
Xian1 you2 xian4	4-29783-B
Xian1 zhi1	42-32782-S
Xian2	13-29924-B
Xian2 Hai3	71-4103-B
Xian2 feng1	13-30305-B
Xian2 jing4 nan2 dao4	71-4411-B
Xian2 ning2	13-29960-B
Xian2 ning2 di4 qu1	13-30035-B
Xian2 ning2 shi4	13-30123-B
Xian2 yang2	13-30413-B
Xian2 yang2 di4 qu1	13-30507-B
Xian2 yang2 qiao2	71-4517-B
Xian2 yang2 shi4	13-30606-B
Xian3	8-24043-B
Xian3 Xing1 hai3	8-24079-B
Xian3 long2	33-6121-S
Xian3 sheng1 zhou4	68-51473-B
Xian4 di4	39-50589-S
Xian4 xi1 xiang1	50-17553-B
Xian4 xian4	42-26192-B
Xian4 zhong1	23-40845-S
Xiang	18-12497-S,39-11749-B,55-12096-S,70-20458-S
Xiang Gang Da xue	69-27086-B
Xiang Gang Dian tai	69-28540-B
Xiang Gang Gong hui Lian he hui	69-27235-B
Xiang Gang Hong Shi zi hui	69-27813-B
Xiang Gang Ji tuan	2-82774-S
Xiang Gang Jing cha	44-61267-S,69-27976-B
Xiang Gang Ke ji Da xue	69-27689-B
Xiang Gang Li gong Da xue	69-27577-B
Xiang Gang Mao yi Fa zhan ju	69-28071-B
Xiang Gang Yin hang Gong hui	69-28427-B
Xiang Gang Zhong wen Da xue	69-26806-B
Xiang Gang Zu qiu Zong hui	69-28196-B
Xiang Gang dao	69-27171-B
Xiang Gang jiao	69-27913-B
Xiang Ying	68-21726-B
Xiang Yu	68-21657-B
Xiang ba ping cuo	12-62912-B
Xiang bi shan	59-24258-B
Xiang cheng	57-9755-B,63-29910-B,68-21418-B
Xiang cheng shi	68-21502-B
Xiang dong	39-11919-B
Xiang dong qu	39-12012-B
Xiang fan	57-9824-B
Xiang fan shi	57-9899-B
Xiang fen	57-9985-B
Xiang gang	69-26760-B
Xiang gang Jin rong Guan li ju	69-28307-B
Xiang gang Wen hua Zhong xin	69-27364-B
Xiang gang shi di gong yuan	69-27472-B
Xiang ge li la	69-25740-B
Xiang gen	48-27966-B
Xiang gong	19-36330-S
Xiang gui yun he	39-12115-B
Xiang he xian	69-26418-B
Xiang huang qi	65-7919-B
Xiang jiang	39-12190-B
Xiang ju	39-11873-B
Xiang mei	66-30380-S
Xiang ning	63-29981-B
Xiang qian	39-12942-B
Xiang ru	55-35786-S
Xiang shan	59-23036-B
Xiang shan qu	69-25391-B
Xiang shui	68-19113-B
Xiang tan	39-12266-B
Xiang tan di qu	39-12341-B
Xiang tan shi	39-12438-B
Xiang xi Tu jia zu Miao zu zi zhi zhou	39-12625-B
Xiang xiang	39-12809-B
