xin4 xi1 zi1 yuan2	5-44930-B
xin4 xi4	63-52093-B
xin4 xi4 tong3	23-27840-S
xin4 xian4	18-45074-S
xin4 xiang1	5-45986-B,63-25849-S,67-27546-S
xin4 xin1	5-44274-B,53-1176-S
xin4 yang3	5-42850-B
xin4 yang3 zhe3	5-42907-B,29-45696-S
xin4 yong4	1-68572-S,5-45275-B,19-21628-S
xin4 yong4 deng3 ji2	5-45443-B
xin4 yong4 e2	5-45648-B
xin4 yong4 feng1 xian3	5-45704-B
xin4 yong4 ka3	5-45387-B
xin4 yong4 ping2 deng3	5-45512-B
xin4 yong4 zheng4	5-45584-B
xin4 yu4	5-46458-B
xin4 yun4 chou1 jiang3	22-51925-B
xin4 zao4 bi3	5-43134-B
xin4 zhi2 jing4	50-47828-S
xin4 zhi3	5-46029-B
xin4 zi3	68-53431-S
xin5	71-39292-S
