you2 zhe3	16-45946-S,30-69315-S
you2 zheng4	17-3172-S,63-25807-B
you2 zheng4 bian1 ma3	63-25991-B
you2 zheng4 ju2	63-25924-B
you2 zheng4 xin4 xiang1	63-25849-B
you2 zhi1	37-23400-B,63-42558-S
you2 zhi1 lu4	24-41621-S
you2 zhi2 ye4	53-11463-S
you2 zhong1	43-38989-B
you2 zhu3 yi4	53-10166-S
you2 zhuang4	44-5619-B
you2 zhuo2 zhang1	42-29046-S
you2 zi4 zai4	53-11541-S
you2 zi4 zhu3	2-19193-S
you2 zong1	37-22628-B
you2 zou3	62-38375-B
you2 zui3 hua2 she2	37-22161-B
you3	1-14127-S,1-25712-S,2-22668-S,3-16898-S,3-67685-S,4-2153-S,4-70718-S,5-1810-S,5-37458-S,7-60523-S,7-71863-S,8-4899-S,9-20489-S,10-23974-S,11-17028-B,11-33414-S,11-42967-B,12-8109-S,12-67811-S,15-492-S,15-9650-S,17-21052-S,18-19633-S,19-56135-S,20-3869-S,20-7544-S,20-39319-S,20-65461-S,21-4455-S,22-2003-S,22-26153-S,22-28512-S,22-47759-S,22-56270-S,23-38297-S,24-10676-S,25-17287-S,25-46699-S,25-59974-S,25-60015-S,25-62746-B,26-17361-S,26-25204-S,26-28688-S,27-13217-S,27-56583-S,29-3070-S,29-17799-S,29-24278-S,29-24445-S,29-59123-S,30-1488-S,31-4949-S,32-2844-S,32-3961-S,32-22231-S,32-29282-B,33-52783-S,34-46736-B,37-9795-S,37-29033-B,40-49341-S,41-46296-B,41-59637-S,42-6218-S,42-50461-S,44-9300-S,44-23207-S,44-31203-S,45-7076-S,46-63850-S,47-12641-S,47-27773-S,48-14615-S,49-47105-S,50-5430-S,50-50834-S,51-9707-B,52-49796-S,53-40651-S,54-23381-B,54-27164-S,54-45529-S,55-7805-S,56-61344-S,57-26097-S,57-38156-S,57-39487-S,58-43613-S,59-31940-S,60-13767-S,61-33516-S,63-10296-S,63-36399-B,64-32605-B,66-38417-S,68-1288-S,69-34755-S,71-37517-B
you3 ai4	11-43196-B
you3 ban4 fa3	37-10903-S
you3 bang1	11-43444-B
you3 bang1 zhu4	32-32041-B
you3 bao3 he2 bi4 ren2 qian2 kua1	32-31814-B
you3 ben3 nan2 nian4 de5 jing1	19-61691-S
you3 bi4 yao4	37-10330-S
you3 bing4	56-23970-S
you3 bu4 ce4 feng1 yun2	17-48173-S
you3 bu4 qi2	53-42995-S
you3 cai2 chan3	47-12827-S
you3 cai2 gan4	32-33839-B
you3 cha1 bie2	37-10160-S
you3 chang2	62-32148-S
you3 cheng2 xiao4	10-63267-S
you3 cheng2 zhu2	52-24832-S
you3 chuang4 zao4 li4	32-30348-B
you3 ci2	13-56542-S,27-70445-S,27-70599-S
you3 ci3 li3	59-18502-S
you3 ci4 xu4	32-35993-B
you3 da4 hui4	30-1536-S
you3 dai4	32-32452-B
you3 dan3 liang4	32-38967-B
you3 dao4	43-29895-S
you3 dao4 de2	32-40099-B
you3 dao4 li3	32-40149-B
you3 de2 xing2	32-32508-B
you3 de5	9-20559-S,32-36651-B
you3 de5 shi4	32-36725-B
you3 dian3	32-41885-B
you3 dian3 er5	32-41928-B
you3 dian4	32-41430-B
you3 ding4	36-8070-S
you3 dong4 tian1	9-3784-S
you3 du2	32-36043-B
you3 du2 zhong1	25-14550-S,25-14644-S
you3 e4 bao4	25-21703-S
you3 er3	66-40208-S
you3 fang1	32-34472-B
