jia1 pin2 ru2 xi3	19-64155-B
jia1 ping2 lun4	20-38755-S
jia1 ping2 ru2 chao2	5-11525-B
jia1 po1	30-44344-S
jia1 po1 Guo2 li4 Da4 xue2	30-44482-S
jia1 po1 ren2	30-44397-S
jia1 po4 ren2 wang2	19-63585-B
jia1 pu3	19-64101-B
jia1 qi1 jia1 ba1	17-69683-B
jia1 qi2 jing3	44-61482-S
jia1 qi3 wei3 ba5	17-71542-B
jia1 qi4	9-56784-B,49-30792-S
jia1 qian2	17-71852-B
jia1 qian2 shu1	22-24176-S
jia1 qiang2	9-55266-B
jia1 qiang2 guan3 zhi4	9-55423-B
jia1 qiang2 kong4 zhi4	9-55340-B
jia1 qiao2 fu1	31-47415-S
jia1 qin2	19-63733-B
jia1 qing1 you2	9-56839-B
jia1 qu2	3-49048-S
jia1 qu2 shi4	3-49216-S
jia1 quan2 ping2 jun1	9-56710-B
jia1 qun2 dao3	39-14409-S
jia1 r5	6-26561-S
jia1 re4	9-57835-B,63-59865-S
jia1 ren2	1-6781-S,5-10944-B,8-38370-S,19-51582-S,19-60901-B,26-37448-S
jia1 rong2 yao4 yu2	9-56647-B
jia1 ru4	9-51435-B
jia1 sai1 r5	17-69864-B
jia1 sen1 lin2 gong1 yuan2	17-70060-S
jia1 sha1	56-50031-B
jia1 shan1	13-51217-S
jia1 shang4	9-50978-B
jia1 shen1	9-57423-B
jia1 shen1 chi4	14-41488-S
jia1 shen1 li3 jie3	9-57559-B
jia1 shen1 yin4 xiang4	9-57467-B
jia1 sheng1	17-71041-B
jia1 sheng1 fan4	17-71108-B
jia1 shi1 qi4	9-57781-B
jia1 shi2	9-56544-B
jia1 shi2 pin3 yao4 pin3 jian1 du1 guan3 li3 ju2	15-7933-S
jia1 shi2 yan2 shi4	22-18780-S
jia1 shi4	19-60858-B,19-61653-B
jia1 shu1	23-51957-S
jia1 shu3	19-61853-B,20-63319-S
jia1 shuang1	67-15405-S
jia1 si1	9-55810-S,27-23685-S
jia1 si1 jia1	69-43312-S
jia1 si1 suo3	1-73071-S
jia1 su4	9-59870-B
jia1 su4 du4	9-60009-B
jia1 su4 qi4	9-59922-B,12-48820-S,14-56015-S,45-23254-S,45-23338-S,48-48125-S,57-36295-S
jia1 sui3	38-45291-S
jia1 suo3	16-52064-S,33-39904-B,43-54243-S,70-12223-S
jia1 te4	30-39393-S
jia1 te4 lin2	9-58006-B
jia1 ti3 wei3	15-8103-S
jia1 tian1	9-57643-B
jia1 tian2	9-58223-B
jia1 ting2	14-21562-S,19-62120-B
jia1 ting2 bao4 li4	19-62363-B
jia1 ting2 jiao4 shi1	19-62300-B
jia1 ting2 xiao1 fei4 zhe3	19-62436-B
jia1 ting2 yuan4	61-40424-S
jia1 ting2 zhu3 fu4	19-62171-B
jia1 ting2 zuo4 ye4	19-62236-B
jia1 tong1 bao4	11-32422-S
jia1 tu2 shu1 guan3	15-4810-S
jia1 tun2	43-33544-S
jia1 tun2 qu1	43-33642-S
jia1 wan1 gang3	30-42984-S
jia1 wan4 hu4	10-48731-S
jia1 wei1 de2	59-53751-S
jia1 wei2	65-68010-S
jia1 wei4 guo2	5-36487-S
jia1 wen2 wu4 jian4 ding4 wei3 yuan2 hui4	15-5708-S
jia1 wen2 wu4 ju2	15-5591-S
jia1 wen2 wu4 wei3 yuan2 hui4	15-5463-S
jia1 wu4	19-61175-B,66-15321-S
jia1 xi4 tong3	20-38684-S
jia1 xian4	17-72001-B,36-49693-S
jia1 xiang1	19-64277-B,43-848-S
jia1 xiang1 ji1	19-64334-B
jia1 xin1	9-59177-B,17-70359-B
jia1 xin4	19-61008-B
jia1 xing4	44-52644-S,44-52743-S
jia1 xing4 de5	45-27021-S
jia1 xu3	14-28952-B
jia1 xue2 hui4	44-61095-S
jia1 ya1	19-64963-B
jia1 ya1 lu:4 tou2 ya1	19-65005-B
jia1 yan1	67-17077-S
jia1 yan4	19-63060-B
jia1 yang3	19-64898-B
jia1 ye1 qin2	4-63295-B
jia1 yi1 ji2 bao3 hu4	15-4429-S
jia1 yi3	9-51084-B
jia1 ying1	50-56978-S
jia1 ying2	19-63953-B
jia1 yong4	19-63156-B
jia1 yong4 dian4 nao3	19-63327-B
jia1 yong4 dian4 qi4	19-63243-B
jia1 you2	9-57004-B,40-19642-S
jia1 you2 tian1 cu4	9-57093-B
jia1 you2 zhan4	9-57187-B
jia1 you3 ben3 nan2 nian4 de5 jing1	19-61691-S
jia1 yu2	9-60533-B
jia1 yu3	19-2811-S,19-51638-S
jia1 yu3 hang2 he2 tai4 kong1 shu3	15-5023-S
jia1 yu4 hu4 xiao3	19-61234-B
jia1 yuan2	19-61353-B
jia1 yuan2 shou3	15-4668-S
jia1 za2	17-71892-B
jia1 zao4	19-63020-B
jia1 zhang3	19-64609-B
jia1 zhang3 zhi4	19-64678-B
jia1 zhe3	11-39065-S
jia1 zhen4	39-30747-S
jia1 zheng1 ming2	44-52813-S
jia1 zheng4	19-62523-B
jia1 zheng4 quan2	41-11022-S
jia1 zheng4 xue2	19-62637-B
jia1 zheng4 yuan2	19-62571-B
jia1 zhi1 quan3	14-12039-S
jia1 zhi2	49-59915-S
jia1 zhi2 wu4	48-26001-S
jia1 zhi2 xing2 wang3 lu4	9-51293-B
jia1 zhi4 liang4 jian1 du1 jian3 yan4 jian3 yi4 zong3 ju2	15-7223-S
jia1 zhong1	19-60810-B
jia1 zhong4	9-60436-B
jia1 zhou1	7-28044-S,66-4251-S
jia1 zhu2 tao2	17-71308-B
jia1 zhu3 yi4	15-4539-S
jia1 zhuang1	46-5631-S
jia1 zhuang1 di4 qu1	46-5768-S
jia1 zhuang1 shi4	46-5881-S
jia1 zi3	29-66013-S
jia1 zi3 di4	29-59978-S
jia1 zi4 ran2 bao3 hu4 qu1	27-26789-S
jia1 zi5	1-6851-S,17-69939-B
jia1 zi5 qi4	20-63247-S
jia1 zu2	4-15677-S,15-30486-S,19-62802-B
jia1 zu2 Miao2 zu2 zi4 zhi4 zhou1	25-2443-S,39-12625-S
jia1 zu2 shu4	19-62849-B
jia1 zu2 zi4 zhi4 xian4	3-49518-S,37-26979-S,46-6997-S,65-20661-S
jia1 zui4	41-11202-S
jia1 · Ai4 lun2 · Po1	15-58457-S
jia1 · Si1 nuo4	15-58576-S
jia2	17-69630-B,23-47765-S,25-227-B,26-14934-B,26-58354-S,34-13769-B,44-58696-S,52-52704-S,54-23427-B,56-1430-B,56-52717-B,56-55653-B,60-44379-B,63-21899-B,64-35307-B,68-4117-S,68-40918-B
jia2 er3 ni2	69-37721-S
jia2 er3 ni2 shi3 tuan2	69-37807-S
jia2 guo3	54-23453-B
jia2 jiao3	17-71478-B
jia2 mo4 zu3 zhi1 bao1 jiang1 jun1	54-23493-B
jia2 ran2	26-14979-B
jia2 shu4	44-58771-S
jia3	1-64969-S,2-43314-S,4-39591-B,5-5628-S,5-10576-S,5-56887-S,6-5434-B,10-59406-S,11-11487-S,14-29605-B,16-50860-S,19-16033-S,20-24082-S,21-36975-B,23-24351-S,26-6968-S,29-4735-S,29-33095-S,30-37066-B,34-26686-B,34-38889-B,35-12460-B,36-34619-S,36-35988-S,36-36960-S,36-37302-S,39-23936-S,39-36865-S,43-39052-B,44-17656-B,45-3843-S,46-23400-S,46-24472-S,46-29171-S,46-32646-S,47-51302-S,52-20061-B,52-25251-S,53-58746-S,53-65242-S,55-50866-S,57-145-S,57-3844-S,57-51326-S,62-7816-S,64-22704-B,64-53389-S,66-1755-S,69-33746-S,69-40447-S,70-23097-S,70-45137-S,70-47488-S,70-48104-S
jia3 Hai3 xia2	69-33836-S
jia3 an1 ji1	43-40703-B
jia3 an4	6-8520-B
jia3 an4 lin2	43-41534-B
jia3 ban3	43-40250-B
jia3 ban4	6-8183-B
jia3 bao4 gao4	6-7348-B
jia3 ben3	1-38659-S,3-39557-S,36-37506-S,43-41600-B
jia3 che1	57-195-S
jia3 chen2	43-41705-B
jia3 cheng2 zhen1	23-23495-S
jia3 chong1	6-6440-B
jia3 chong2	43-41663-B
jia3 chun2	43-41863-B
jia3 chun2 zhong1 du2	43-41952-B
jia3 ci2 die2 ci2	6-9460-B
jia3 cuo4 an4	8-13679-S
jia3 da4 kong1	6-7461-B
jia3 dan4	46-18598-S
jia3 dao4	6-10164-B
jia3 de2	7-32369-S,53-46873-S
jia3 de5	6-8841-B
jia3 deng3	43-41317-B
jia3 ding4	6-7565-B
jia3 er2	6-8902-B
jia3 er4 chun2	43-39256-B
jia3 fa4	6-10335-B
jia3 fang1	43-40115-B
jia3 fen1 shu4	6-6833-B
jia3 fou3 ding4 ju4	6-7139-B
jia3 gan1	43-41489-B
jia3 gong1 ji4 si1	6-6513-B
jia3 gong3	6-8367-B
jia3 gu3	43-42180-B,52-12668-S,71-51756-S
jia3 gu3 wen2	43-42322-B
jia3 gu3 wen2 zi4	43-42438-B
jia3 gui1 tian2	57-51402-S
jia3 hu3 wei1	42-6057-S
jia3 hua4	6-9531-B
jia3 huang2 lin2 ding4	43-41238-B
jia3 huo4	6-9873-B
jia3 ji1	43-39691-B
jia3 ji1 shen1 suan1	3-39329-S,3-39443-S
jia3 ji2	43-41371-B
jia3 ji2 zhan4 fan4	43-41411-B
jia3 jian4	65-3952-S
jia3 jie4	6-5978-B
jia3 jie4 yi4	6-6380-B
jia3 jie4 zi4	6-6174-B
jia3 kai3	43-42141-B
jia3 ke2 chong2 lei4	43-40483-B
jia3 ken3 ding4 ju4	6-8997-B
jia3 li4	6-7052-B
jia3 ling4	6-5839-B
jia3 liu2 an1 suan1	43-41166-B
jia3 luo4	64-22738-B
jia3 mao4	6-6677-B
jia3 mao4 pin3	6-6765-B
jia3 mei2 na4	25-3026-S
jia3 mei4	6-7661-B
jia3 mi2	43-42034-B
jia3 mian4	6-10371-B
jia3 mian4 ju4	6-10251-B
jia3 ming2	6-6914-B,22-37475-S,41-44041-S
jia3 na4	63-55470-S
jia3 nan2 bian4	45-40885-S
jia3 ni2	27-22010-S
jia3 qiao4	43-40304-B
jia3 qiao4 dong4 wu4	43-40365-B
jia3 qiao4 lei4	43-40550-B
jia3 qiao4 su4	43-40432-B
jia3 qing4 lin2	59-53946-B
jia3 quan2	43-42087-B
jia3 ren2	6-5530-B
jia3 ren2 jia3 yi4	6-5571-B,6-5751-B
jia3 ren2 xiang4	6-5695-B
jia3 ru2	6-7530-B
jia3 ruo4	6-9113-B
jia3 sang3 zi5	6-7285-B
jia3 shan1	6-7737-B
jia3 shan4 ren2	6-7209-B
jia3 she4	6-9324-B,31-52467-S,49-51536-S,62-24692-S
jia3 she4 yu3 qi4	6-9395-B
jia3 shen1	43-41090-B
jia3 shi3	6-5916-B
jia3 shi4	6-10211-B
jia3 shou3	6-8121-B
jia3 shuo1	6-9600-B,8-9129-S
jia3 si1 suo3	1-69119-S
jia3 si1 tan3	51-12140-S
jia3 si1 tan3 bang1	27-25743-S
jia3 si3	6-8709-B
jia3 su4	4-4908-S
jia3 suan1	43-41780-B,54-1119-S
jia3 suan1 zhi3 lei4 hua4 he2 wu4	36-33229-S
jia3 ti4 se4 an1 suan1	43-40180-B
jia3 tu2 mie4 Guo2	6-9948-B
jia3 tui3	6-9070-B
jia3 tuo1	6-9267-B
jia3 wan2	3-38582-S,36-36589-S,43-40764-B
jia3 wu3	43-39398-B
jia3 xi4 zhen1 chang4	6-8009-B
jia3 xian1 lu:4	54-1038-S
jia3 xiang1	7-68434-S
jia3 xiang3	6-7902-B
jia3 xiang4	6-9759-B
jia3 xiang4 ya2	6-9818-B
jia3 xing2	43-39568-B
jia3 xing2 gan1 yan2	43-39623-B
jia3 xing2 qiu2 dan4 bai2	43-39938-B
jia3 xing4	6-7791-B
jia3 xing4 jin4 shi4	6-7833-B
jia3 xu1	43-40044-B
jia3 ya2	6-8788-B
jia3 yang3 xi1 lin2	43-40606-B
jia3 yang3 xi1 lin2 jin1 pu2 jun1	27-6920-S
jia3 yao4	6-9167-B
jia3 yi3	43-39169-B
jia3 yi4	6-5571-S,6-5751-S,6-7955-B,55-51749-S
jia3 yin2	43-39864-B
jia3 you2	27-60539-S
jia3 you2 kuang4 shi2	64-20219-S
jia3 yu2	43-42561-B
jia3 zao4	6-10094-B
jia3 zhao1 zi5	6-8283-B
jia3 zhen4	17-28479-S,19-18855-S
jia3 zheng4	6-9645-B
jia3 zheng4 jian4	6-9696-B
jia3 zheng4 jing1	6-8652-B
jia3 zhi1	6-8937-B
jia3 zhi4 du4	5-38017-S
jia3 zhuang1	6-9211-B
jia3 zhuang4 xian4	43-40809-B
jia3 zhuang4 xian4 su4	43-40871-B
jia3 zhuang4 xian4 zhong3	43-40991-B
jia3 zi3	43-39749-B,62-7946-S
