result	5-8176-B,9-10442-S,9-46939-S,9-47562-B,12-55194-B,14-60908-S,14-62011-S,14-62011-S,24-59123-S,26-9585-S,26-9895-B,26-10355-B,26-27629-S,28-56834-S,29-62539-B,30-64938-S,33-35566-B,35-41831-S,35-53885-S,39-4710-S,47-44284-B,49-42036-B
result becomes apparent	8-54277-S,22-2543-S
result in	53-18946-B
result in death	20-59616-S
result in sth	35-53228-S,35-54243-S
result of	43-32369-B,43-38789-S
result of brain damage	17-67371-S
result of continents colliding	46-30985-S
result of having lost a bet	50-53621-S
result of multiplication	3-13869-S,47-38278-S
result of subtraction	22-271-S
resulting from grievances	8-13597-S
resulting from vegetarian diet	54-30065-S
resulting in	54-49897-B
resulting in 	39-9440-B
resulting in sb s death	8-34386-B
results	13-6454-S,18-5644-S,24-6805-S,32-58297-S,49-53500-S,50-36730-B,58-61204-S,62-16886-S
results of an investigation	58-38328-B
results of election	64-2746-S
results 成语 saw	24-59123-S
resume	21-26132-B,24-12792-S,25-342-S,28-64380-B,48-37403-S,50-34643-B,63-60357-B
resume a meat diet	65-41265-S
resume a meeting	24-14601-B
resume a post	24-15505-S
resume classes	24-16369-S
resume drinking after a break	65-35089-S
resume one s studies	24-14220-S
resuming a dialog with taiwan	36-57755-S
resurrected army cctv documentary series about the terracotta army	24-14821-S
resurrection	24-14776-B,32-8929-B
retail	67-19902-B
retail department	65-22061-B
retail department or section inside a larger business	21-1104-B
retail group	7-49011-S
retail store	8-59171-B,8-59231-B,65-22061-S,67-20009-B
retain	5-37458-S,5-38150-S,43-48324-S
retain e g water	38-38683-S
retain gram stain	68-5397-S
retain it	28-40718-S
retain one s job	43-51214-S
retained earnings	43-49006-B
retained portion of a sum of money	43-50141-S,43-50258-S
retainers duty to pay respect to sovereign	32-48900-B
retaining previous legislature after transition to chinese rule in hong kong or macao	45-25002-S
retake	29-40493-S
retaliate	16-10272-B,24-12792-S,63-10074-S
retaliation	4-38100-S,14-55027-B,16-10272-B
retard	23-18112-S,27-36477-S,38-66785-B,39-1015-S
retarded	23-36817-B,31-57635-B
retarded person	31-57712-B
retching	11-52569-B
retell	6-41558-S,24-16853-B
retention of urine	44-20399-B,44-20451-B
retentive memory	11-9483-S
reticent	27-38852-B,37-8077-B
reticulata	33-42508-S
reticulum	7-13859-S,48-62006-S
reticulum constellation	50-8902-B
reticulum er	7-32580-S
reticulum second stomach of ruminants	56-2610-B
retina	2-65775-S,52-30200-S,57-35860-S,57-35982-S,57-36522-B
retina anat 	50-9038-B
retinitis	21-61906-S
retinue	4-9258-B,26-31273-B
retire	28-29668-S,61-61388-S,67-8787-S,67-10450-B
retire a runner in baseball	8-38622-S
retire for the night	19-30164-B
retire from public life	63-10750-S
retire from service	61-61494-S
retire from society	66-50177-S
retire from the military	61-62234-S
retire from view	30-24969-S
retired from use e g and obsolete product	61-62234-S
retired personnel	11-52507-S
retired professor	12-58664-S
retirement	31-15660-S,49-17066-S
retirement from work	61-61690-B
retirement of old cadres	67-8787-S
retirement pay	61-61746-B
retirement pension	61-61431-B
retort	11-56493-S,32-6678-B,61-39020-S,63-9834-S,63-9893-S
retort with challenging questions	5-30539-B
retract testimony	51-20985-S
retread a tire	51-21766-S
retreat	11-27977-S,23-68324-S,24-2380-B,29-10761-B,29-10819-S,29-11225-S,29-11288-B,46-20447-S,61-61322-B,61-62041-S,61-62858-S,62-31481-S,62-31760-S,62-32148-S,62-32566-S
retreat in defeat	30-47-B
retreat into privacy	38-34176-S
retreat three day s march 成语 saw	61-62965-S
retreat 成语 saw	62-31596-S,62-31841-S,62-32013-S,62-32227-S,62-32397-S
retreating enemy	3-12783-S,3-12870-S
retribution	16-10405-B,25-20115-B,54-38528-S
retribution for one s actions	33-35933-S
retribution for sins of a previous incarnation	34-33207-B
retribution in buddhism	25-21887-B
retribution 成语 saw	16-10460-S,25-21703-S
retrieval	35-14081-B
retrieve	28-602-S,35-14081-B
retrieve lost ground	11-49630-S
retriever dog breed	64-11655-S
retro fashion style based on nostalgia	24-13666-B
retroactively	56-57938-S,61-59979-S
retroflex	51-20554-B,53-29707-B
retroflex final	7-21726-B,7-21924-B
retroflex final or r ization	7-21793-S
retroflex vowel e g the final r of putonghua	11-26979-B,28-8090-B
retrogress	54-49799-S
retrogressive	65-30075-B
retrospect	3-30496-S
retrospect 成语 saw	3-30572-S
retrospective	14-56940-B
retrospective used in titles of news articles	61-59555-S
retrovirus	11-55158-B
return	6-7348-S,11-43612-S,14-54252-S,14-54515-B,14-54730-B,14-55027-S,14-55832-S,14-57893-S,16-8728-S,16-9691-S,16-11499-S,24-12792-S,24-12792-S,24-14721-S,26-25723-S,26-58729-S,28-46041-S,35-53185-S,35-55470-B,36-38454-S,44-27349-B,48-20432-B,50-32817-S,50-33286-S,61-26637-S,61-53132-S,63-9417-B,63-10487-S,63-42990-B,63-57039-B
return a borrowed object with thanks	43-4141-B
return a compliment	14-55832-S
return a courtesy	48-21109-S
return a politeness	63-10487-S
return a visit	48-20800-S,48-21277-S
return after victory	42-46848-B
return banquet	63-10015-S
return books	63-10249-B
return empty handed	47-47435-S
return equal to the capital	20-51246-S
return fire	14-55661-S,63-10134-S
return for one s hard earned savings e g after a company collapse	56-25487-S
return from a rewarding journey	39-41436-S
return from abroad	35-53793-S
return from the grave	63-10833-S
return gift	48-21109-B
return goods	61-62371-S
return home	14-55136-S,26-49604-S,31-375-S,61-49511-S,63-10750-S
return home after a lifetime s absence	35-54338-S
return home with honor	34-41514-S
return in a swirl of dust	11-26205-S
return journey	5-17354-B,26-40825-S,60-9578-S
return of a prodigal son	38-11568-S
return of stolen goods	61-60272-S
return of the condor heroes classic wuxia martial arts tv films of 1998 and 2006 based on novel by jinyong 金庸	46-62196-S,46-63035-S
return of the prodigal son	29-65932-B
return of waves	40-3997-S
return property to its owner	27-54456-S
return relation	68-57982-S
return something intact to its rightful owner	19-37869-S
return sth	4-343-S
return sth borrowed etc	61-63140-S
return sth to sb	63-10571-S
return the jade annulus to zhao 成语 saw	19-37869-S
return to	14-54614-B,61-49353-S,61-49390-B,64-1640-B
return to a normal or original state	24-12792-S
return to china e g hong kong	14-56479-S
return to chinese sovereignty	14-56359-S
return to civilian life	57-51326-S,57-51402-S
return to good	29-46523-S
return to normal life leaving a monastic order	63-9469-S
