shui	1-5743-S,1-5743-S,1-44971-S,1-51245-S,1-60832-S,1-60969-S,1-60969-S,2-33604-S,3-56645-S,4-18303-S,5-22549-S,5-24520-S,5-48284-S,5-60392-S,6-23448-S,6-59338-S,7-20991-S,7-25309-S,7-68512-S,8-18351-S,8-20903-S,8-21629-S,8-40515-S,9-6681-S,10-38635-S,11-21245-S,11-50948-S,11-68477-S,12-34984-S,12-41056-S,12-67912-S,13-3883-S,13-30209-S,13-60709-S,15-37948-S,15-43845-S,15-44713-S,15-46665-S,16-11316-S,16-26247-S,16-28629-S,17-24423-S,17-48972-S,18-5531-S,18-23992-S,18-29144-S,18-32123-S,19-44337-S,21-15087-S,21-30807-S,22-25990-B,23-9185-S,23-14070-S,23-21748-S,24-4274-S,24-23581-S,25-18273-S,25-22170-S,25-25996-S,26-25878-S,26-28449-S,26-47274-S,26-49121-S,27-5827-S,27-6542-S,27-35260-S,27-35393-S,27-37181-S,28-4187-S,28-16885-S,28-52739-S,30-8944-S,30-29405-S,31-25068-S,31-26901-S,32-5001-S,32-36135-S,33-38577-S,33-44372-S,33-45190-S,34-7839-S,35-15506-S,35-47347-S,36-37779-B,36-62941-S,36-64638-S,37-824-S,37-2352-S,37-2696-S,37-3136-S,37-3997-S,37-6811-S,37-20133-S,37-21790-S,37-28467-S,37-35525-S,37-55041-S,37-58440-S,37-59532-S,37-61324-S,38-4364-S,38-9069-S,38-20681-S,38-32498-S,38-37593-S,38-39360-S,38-42848-S,38-43493-S,38-46115-S,38-48097-S,38-50357-S,38-52653-S,38-56838-S,38-62215-S,39-972-S,39-1485-S,39-5151-S,39-13750-S,39-14312-S,39-18970-S,39-25238-S,39-28844-S,39-32163-S,39-34498-S,39-43480-S,39-44313-S,39-44814-S,39-50355-S,39-51646-S,39-54071-S,39-56712-S,39-59201-S,39-63160-S,40-0-S,40-1998-S,40-13512-S,40-15196-S,40-16119-S,40-17356-S,40-18375-S,41-15764-S,41-19991-S,41-31689-S,41-45305-S,41-53609-S,42-35659-S,43-22295-S,43-26448-S,44-40844-S,44-47385-S,45-21934-S,45-49347-S,45-51742-S,45-54731-B,45-58301-S,46-25761-S,46-44434-S,46-44535-S,47-22862-S,47-28470-B,47-57091-S,48-29346-S,48-61019-S,49-9010-S,49-17156-S,49-41612-S,50-28082-S,50-49336-S,51-70-S,51-15384-S,51-18739-S,51-36492-S,51-48270-S,52-14291-S,52-33435-S,52-48939-S,53-953-S,53-21354-S,53-50235-S,54-50114-S,55-2421-S,55-4706-S,55-26743-S,55-34295-S,55-34377-S,55-38960-S,56-6398-S,56-19623-S,56-26195-S,56-27146-S,56-40850-S,56-58375-S,58-31039-B,59-20808-S,59-25493-S,59-48329-S,59-59577-S,60-6475-S,60-12222-S,60-34665-S,60-43304-S,60-44774-S,60-48182-S,61-10981-S,61-65155-S,61-67384-S,62-970-S,62-12767-S,62-38300-S,63-7369-S,63-35170-S,63-61105-S,65-3798-S,65-38061-S,65-46496-S,65-56301-S,65-61799-S,66-17186-S,66-66756-S,67-5403-S,67-14486-S,67-47214-S,67-54766-S,68-19113-S,68-25332-S,68-55283-S,68-62063-S,69-6090-S,69-6452-S,69-26366-S,69-36405-S,70-4629-S,71-3553-S,71-9567-S,71-20317-S,71-30920-S,71-40140-S
shui Li zu zi zhi xian	66-30881-S
shui Miao zu zi zhi xian	56-11042-S
shui ba	36-40307-B
shui beng	27-17275-S,36-42771-B
shui bi lei	65-56504-S
shui bian	36-47122-B
shui biao	16-11499-S,36-46510-B
shui bing	24-69431-S,36-38889-B
shui bo	36-42678-B
shui bu fan he shui	3-56645-S
shui bu fan jing shui	37-20133-S
shui bu jie jin ke	62-61567-S
shui bu lou	39-32924-S,71-40283-S
shui bu xing	15-35976-S
shui cai hua	36-41001-B
shui cao	36-42301-B,36-45774-B
shui chan	36-44542-B
shui chan ye	36-44601-B
shui chang	21-33595-S
shui chang pu	36-45857-B
shui che	40-18420-S,68-53606-S
shui che xin	33-13633-S
shui chi	14-37078-S,36-42465-B
shui chu	59-41543-S
shui chu li	36-46164-B
shui chu li chang	36-63034-S
shui chuan ci	51-120-S
shui chuan shi	39-33298-S
shui dai	41-20227-S,45-55381-B
shui dan	16-11415-S
shui dao	1-61085-S,36-45068-B,36-47079-B,39-59241-S
shui di	36-40749-B,36-43316-B
shui di qu	17-49047-S,56-40925-S,71-9641-S
shui di shi chuan	36-43354-B
shui di xiang ji	36-40884-B
shui di xie zi ban	36-40793-B
shui dian	36-47720-B
shui dian zhan	19-61539-S,36-47775-B
shui diao	36-46635-B
shui dou	36-44773-B
shui er	16-28666-S
shui fan ying dui	61-11112-S,63-61196-S
shui fei	36-45547-B,36-46742-B
shui fei xi tong	20-5906-S
shui fen	16-59840-S,36-38948-B
shui fu bing	39-59353-S
shui fu rong	8-40597-S
shui fu zheng	39-59416-S
shui gang	36-45376-B,63-7428-S
shui gong cheng	23-29090-S
shui gou	28-16978-S
shui guan	6-59387-S,28-17030-S,36-45113-B,47-28716-B,47-29012-B,53-1021-S,54-50247-S,61-17750-S
shui guan gong	36-45159-B
shui guan gong ren	36-45214-B
shui guo	36-41913-B
shui guo jing	65-56431-S
shui guo jiu	36-41953-B
shui guo tou	45-55491-B
shui hai	36-40389-B
shui he	36-39584-B,38-62280-S
shui heng zhi	36-42340-B
shui hou	47-28778-B
shui hu	36-40349-B,38-43583-S,71-3889-S
shui hu hou zhuan	36-43826-B
shui hu zhuan	36-43602-B
shui hua he wu	46-32025-S
shui huo	3-38942-S,36-46693-B
shui huo bu rong	36-43903-B
shui ji	27-17219-S,52-33532-S,69-6221-S
shui jiang	8-21720-S,37-43079-S
shui jiang zi ran bao hu qu	44-40909-S
shui jiao	36-47897-B,45-55428-B
shui jiao r	36-47961-B
shui jie	36-46582-B,39-56895-S
shui jie mei	16-17145-S,37-16164-S
shui jing	36-38406-B,36-41528-B,49-28838-S,71-20428-S
shui jing qiu	36-41637-B
shui jiu bu liao jin huo	62-61757-S
shui juan ji zheng chu	47-28822-B
shui ke	58-31787-B
shui keng	36-39963-B,36-62981-S
shui ku	1-34052-S,19-41665-S,36-40958-B
shui kuan	47-28964-B
shui lan jiao	45-54866-B
shui lao ya	36-45477-B
shui lei	36-47675-B
shui li	1-61022-S,36-38999-B,36-39147-B
shui li fa dian	36-39292-B
shui li fa dian zhan	36-39364-B
shui li gong cheng	36-39067-B
shui li gu feng	36-39457-B
shui li xue	36-39237-B
shui lian	45-55229-B
shui liang	28-17097-S,36-47265-B,66-17263-S
shui ling	8-55718-S
shui liu	36-42950-B
shui long tou	36-48131-B
shui lou tai	61-48430-S
shui lu	36-46982-B
shui lu shi	36-47535-B
shui lun	36-47024-B
shui lun liu	68-55336-S
shui lun liu zhuan	68-55421-S
shui luo shi chu	36-45944-B
shui ma long	60-59203-S
shui ma tong	27-17333-S
shui mi tao	36-46384-B
shui mian	36-47848-B,45-54960-B
shui mian chong	45-55066-B
shui mian zhe	45-55012-B
shui mo	36-40137-B
shui mo hua	36-40193-B
shui mo yu	38-54113-S,39-7964-S
shui mu	36-42422-B
shui neng	36-45596-B
shui neng yuan	36-45651-B
shui ni	36-42731-B,44-41066-S,46-22282-S,64-40737-S,64-41892-S
shui nian	36-44977-B
shui niao	36-48083-B,38-35195-S
shui niu	36-44161-B
shui nuan gong	36-41715-B
shui pao	36-42629-B,36-44842-B,53-52396-S
shui pao bing	59-25777-S
shui pen	36-44884-B
shui ping	7-6131-S,31-60197-S,36-40553-B,37-11016-S,41-20153-S,43-22568-S
shui ping jia	16-28712-S
shui ping kao shi	39-51086-S
shui ping mian	36-40696-B
shui ping zhou	36-40635-B
shui qi	33-38639-S,36-42095-B,36-42569-B,41-20034-S
shui qian	47-28506-B
shui qian shan	54-45956-S
shui qing	70-37140-S
shui qiu	36-44309-B
shui qiu chang	36-44354-B
shui qu	5-38636-S,28-16925-S,36-43061-B,39-1633-S
shui qu dao	21-15166-S
shui quan	36-39636-B
shui r	37-55099-S,55-34432-S
shui ren	49-17202-S
shui ren qing	68-25384-S
shui rong xing	36-43239-B
shui shan	36-41787-B
shui shang	36-37827-B
shui shang fei ji	36-38070-B
shui shang yun dong	36-37880-B
shui she zuo	36-46224-B
shui shen	36-42997-B,36-45023-B
shui sheng chan	63-61292-S
shui shi	7-68606-S,10-33160-S,17-49144-S,21-30852-S,36-40498-B,56-41022-S,71-9737-S
shui shi chuan	39-33050-S
shui shi xue tang	69-36481-S
shui shou	36-41187-B,47-28920-B
shui shu	45-55608-B
shui si yuan	69-6139-S
shui ta	36-44209-B
shui tan	8-21802-S
shui ti	36-48036-B
shui tian	36-44658-B
shui tian jie	36-44716-B
shui tian tang	61-65201-S
shui ting	39-59534-S
shui tong	36-42053-B
shui tong meng	65-56358-S
shui tu	2-15376-S,36-39715-B
shui tu bao chi	36-39890-B
shui tu bu fu	36-39820-B
shui tu zhi	52-59951-S
shui tui chuan	68-25632-S
shui tui zhou	68-25473-S
shui wang di chu liu	36-41067-B
shui wei	36-38676-B
shui wen	36-41244-B
shui weng cai	36-46073-B
shui wu	47-28562-B
shui wu jiao	45-54763-B
shui wu ju	47-28635-B
shui wu ran	36-42509-B
shui xi	36-45327-B,36-46452-B
shui xia	36-38136-B
shui xia he bao zha	36-38196-B
shui xia he shi yan	36-38316-B
shui xian	1-37168-S,5-48352-S,8-55787-S,12-41119-S,14-4367-S,36-38454-B,36-38836-B
shui xian hua	36-38611-B
shui xiang	3-39015-S,6-59495-S,36-44924-B,36-45280-B,47-11540-S
shui xiang feng	54-41668-S
shui xie bu tong	36-42817-B
shui xing	36-41476-B,45-55546-B,51-36537-S,57-39693-S,62-1037-S
shui xing zhou	61-67446-S
shui xue	38-35108-S
shui ya	36-40259-B
shui yang suan	36-42152-B
shui yi	39-59591-S,45-54822-B,45-54921-B,45-55275-B
shui yi chuan	36-45421-B
shui yi ge pao	1-23668-S
shui yi ku	45-55330-B
shui yi zhan	52-18052-S
shui yin	36-47334-B
shui yin deng	36-47388-B
shui yin zhu	36-16829-S
shui yu	36-40083-B,36-44248-B,38-43719-S
shui yu bing	36-38722-B
shui yu mao yi zong xie ding	65-56572-S
shui yuan	36-43115-B,39-59298-S
shui yue	64-58033-S
shui zai	36-44019-B
shui zao	41-20090-S
shui zha	36-47453-B
shui zhang ai	36-47609-B
shui zhao	45-55187-B
shui zhe	39-59480-S
shui zhen	38-43644-S,38-62366-S,71-6990-S
shui zheng qi	36-46021-B
shui zhi	36-46292-B,36-46863-B,58-34217-B
shui zhi su	36-46332-B
shui zhi wu ran	36-46911-B
shui zhong	2-70610-S,36-45718-B,52-14732-S,52-40151-S
shui zhu	36-42003-B
shui zhu yu	36-44072-B
shui zhuan hun tian yi	39-44366-S
shui zhuang bei tuo lun xiang	39-59648-S
shui zhun	36-43198-B
shui zi yuan	36-46787-B
shui zu guan	36-41403-B
shui zu xiang	36-41338-B
shui zu zi zhi xian	1-43434-S
shui2 zhi1	58-34217-B
