sacrificum	23-4981-B
sacrilegium	23-5003-B
sacrilegus	23-5025-B
saecula saeculorum	27-6544-B
saeculorum	27-6544-S
saepe, sepe	15-1584-B,20-131-B
saepenumero	23-341-B
saepio	33-3494-B
saepius sepius	20-174-B
saeptum	11-5187-B
saeta	14-4966-B
saeta equina	15-3588-B
saevio	35-7314-B,39-242-B
saevus	14-459-B
sagaciter	42-315-B
saggiti, -orum (m.)[noun]	5-6146-B
saggitus, -i (m.)[noun]	5-6100-B
sagino	32-1788-B
sal, salis	23-5655-B
salis	23-5655-S
salsus	23-5677-B
saltem	4-5969-B,6-1077-B
salubris	5-158-B
salubriter	5-181-B
salus	15-965-B,23-5411-B,23-5424-B
salutatio[noun]	41-3131-B
salutifer	23-5698-B
saluto	39-2699-B
salutor	41-120-B
salvator[noun]	23-5985-B
salveo	28-7260-B,28-7298-B
salvifico, salvo	23-5931-B
salvo	23-5931-S
salvus	40-1688-B
sanctifico	36-5886-B
sanctimonia	18-6083-B,22-2085-B
sanctimonialis	19-4897-B
sanctio	22-4274-B,36-38-B
sanctus	15-3143-B
sanctus egidius	25-3223-B
sanctus eleutherius	25-3190-B
sanctus rodoenus	25-3271-B
sane	1-5965-B,22-4316-B
sanitas	15-1022-B
sanna	18-5377-B
sano	33-3345-B
santiago	25-3251-B
sanus	25-1652-B
sapiens	2-9364-B,42-290-B
sapienter	42-388-B
sapientia	42-272-B
sapio	31-1630-B
sapor	26-3080-B
sarcalogos	8-2831-B
sarcina	7-4082-B
satago	15-321-B,29-5301-B,35-1361-B
satan)[noun]	10-4742-S
satellites	5-5715-B
satio	36-5921-B
satis	11-5767-B
satis (indecl.)[noun]	11-5738-B
sato	37-3490-B
sator	21-2289-B
satraps	40-5984-B
satura	23-5779-B
saturo	32-2791-B
satus	20-3461-B
saxum	17-1728-B
scaber	23-6038-B
scabies	26-5891-B
scabrosus	23-6060-B
scaccarium	8-2492-B
scaena, scena	25-3344-B
scaldus	23-6432-B
scamnum	6-6076-B
scandali	22-3020-S
scandalum	25-6017-B
scando	28-1109-B
scaphium (sciphus	2-1979-B
scapulare	26-2121-B
scapulus	27-752-B
scelerata	4-4762-B
sceleratus, scelero	35-3288-B
scelero	35-3288-S
scelestus	41-5054-B
scelus	4-4718-B,9-5038-B
scena	25-3344-S
scensi, scensum	28-1134-S
scensum	28-1134-S
sceptrum	23-4378-B
schema	23-2260-B
schola	23-6553-B
scholasticus	23-6507-B
scientia	17-741-B,17-797-B
scilicet	12-988-B,19-1291-B,23-2865-B
scindere[verb]	26-3320-B
scindo	30-5695-B
scio	33-7076-B
sciphus	2-1979-S
sciscitor	28-1630-B
scisco	16-5035-B,28-1234-B
scissura[noun]	26-3610-B
scissurae[noun]	26-3787-B
scitus	20-3318-B
scius	10-5787-B
scopae	7-3927-B
scribo, scripsi scriptum	39-3360-B
scrinium	7-1969-B,8-2580-B
scripsi scriptum	39-3360-S
scriptor	42-2945-B
scriptum	39-3360-S
scrupulosa	16-4912-B
scrupulositas	23-3914-B
sculpta	11-5644-B
scutulatus	10-4874-B
scutum	19-5355-B
se	28-4477-S,38-3239-S
se astringo	30-1752-B
se de	36-4280-S
se ferre	37-1581-S
se ferre / pre se ferre	37-1581-S
se gero	30-2753-B
se habere	33-6551-B
se teneo	25-3842-B
secedo	32-7352-B,39-2859-B
secerno secrevi secretum	36-7825-B
secessus	25-621-B
secludo	37-1931-B
seco	32-3797-B,37-723-B
seco, secui, sectum	30-5630-B
secretarius	21-6019-B
secretum	24-516-B,36-7825-S
secrevi secretum	36-7825-S
sectator, sector	22-2351-B
sector	22-2351-S
sectum	30-5630-S
secui, sectum	30-5630-S
secundum	1-2570-B,1-4774-B,4-4525-B
secundus	24-438-B
securis	6-2880-B
securitas	3-42-B
securus	3-407-B,3-683-B,23-5328-B
secus	13-6435-S,16-6717-S,20-3879-B,42-3122-B
secus + atque or quam	10-5110-B
secus, haud secus	16-6717-S
secus, non secus, haud secus	16-6717-B
secuutus	13-1731-B
sed	7-4658-B
sed etiam	19-3633-S,19-3678-S
sed[conjunction]	7-4360-B
sedatus	7-5625-B
sedeo	37-766-B,37-2499-B
sedes	23-849-B
seditio	11-391-B,24-750-B
sedo	37-828-B
seductor	24-768-B
sedulo	42-4113-B
sedulus	42-4077-B
seges	41-3814-B
segnis	24-6012-B
sem	21-5254-B
semel	4-193-B
semen	24-846-B
semestris	24-5016-B
seminarium	41-1336-B
semino	35-2489-B
semita	7-5426-B
semotus	11-495-B
semoveo	36-2580-B
semper	5-2829-B,13-3463-B
sempiterna	12-481-B
senatus, -us (m.)[noun]	24-1190-B
senectus	20-325-B
seneo	28-5587-B
senesco	33-1493-B
senex, senis	20-406-B
senilis	5-3711-B
senior	17-5694-B
senipes	25-4106-B
senis	20-406-S
senium	14-2035-B,20-351-B
sensa	27-3356-B
sensilis	24-1374-B
sensim	24-5860-B
sensus	12-5290-B
sententia	20-2303-B,24-1446-B
sententiosus	24-1420-B
sentina	11-2157-B
sentio	32-2169-B,35-1496-B
sentus	19-2235-B
seorsum	5-4941-B
sepe	15-1584-S,20-131-S
sepelio	36-4953-B
sepes	12-5418-B
sepius	20-174-S
sepono	24-1814-B
seposita	11-531-B
septem	24-2455-B
septem (indecl.)[adjective]	24-2421-B
septiformus	24-2469-B
sepulchrum	14-3432-B
sepulcrum	39-3669-B
sepultura	7-4189-B
seputus	7-4207-B
sequax	13-1759-B
sequor	32-4113-B
sereno	34-4761-B
serenus	24-1840-B
series	24-1797-B
serio	24-1887-B
serius	24-1856-B
sermo	10-6130-B,26-2900-B
sermocinare	38-2119-B
sermocinatio	11-242-B
sermonibus	5-2692-S
sero	6-747-B,29-419-B,37-3510-B
servare[verb]	23-5912-B
servat[verb]	23-5966-B
servile villicus	12-336-B
servio	1-1712-B
servitium	20-6596-B,28-5213-S
servitus	24-2133-B
servo	35-4385-B,39-1390-B
servus	24-1904-B
servus scandali	22-3020-B
sese	15-2363-B
sesqui	20-1165-B
sesquialter	20-1046-B
sesquimellesimus	3-2155-B
sesquioctavus	9-701-B
sesquitertia	20-1219-B
sessio	24-4937-B
seu	1-7491-B,20-2906-S
severitas	24-2492-B
severiter	14-5860-B
severus	25-4441-B
sexaginta	24-5038-B
shade of an umbrella)[noun]	24-2586-S,24-2668-S
si	15-5331-B,16-6557-S
si quando	15-5199-S
si-sum	3-2221-S
sibi velle)	34-6107-S
sibimet	38-2827-B
