babyhood.	16-2796-S
back /hire, buy, procure.	36-1095-S
back /silence.	29-7478-S
back /skin, hide, leather.	26-5011-S
back a message, refer.	29-3696-S
back and forth, flutter, flit about / hurry, hasten.	36-5421-S
back and forth, in and out.	33-609-S
back and forth.	36-5058-S
back at.	38-1804-S
back from imprisonment.	20-1249-S
back from now, henceforth, hereafter.	5-1105-S
back upon, be reduced to, be brought to.	32-504-S
back upon.	28-5881-S
back water /practice.	33-4086-S
back word, respond.	34-7368-S
back, again.	20-786-S
back, bring back, return.	29-6214-S,34-649-S
back, check, catch.	29-2059-S
back, come back, return /(revenue) to come in.	32-7545-S
back, cut short, diminish.	30-5356-S
back, detain, hang onto.	33-6406-S
back, detain.	15-2689-S
back, farming taxes.	22-3777-S
back, give up.	32-6174-S
back, hinder, keep to oneself.	33-3906-S
back, hold back, reserve /keep, preserve.	17-58-S
back, make, reduce.	29-3752-S
back, pass away, depart.	32-559-S
back, provide for, respect, have regard for.	34-3325-S
back, pull back.	31-3298-S
back, rear.	24-5411-S
back, recommence.	36-6620-S
back, recover, refer, revoke.	29-5503-S
back, repel.	31-4144-S
back, replace, reinstate, repair.	23-1596-S
back, reply, answer.	36-5945-S
back, repress.	8-6833-S
back, requite.	36-0-S
back, reserve /keep, preserve.	17-58-S
back, restore, return /answer, translate, render.	32-6204-S
back, restrain, detain, keep, maintain.	33-3954-S
back, restrain.	9-6370-S,33-4010-S
back, retire, recede, retreat.	32-7604-S
back, retreat /place of retreat, quiet place.	3-5141-S
back, retreat, retire, disappear.	32-7667-S
back, retreat, return.	34-5821-S
back, return /(revenue) to come in.	32-7545-S
back, return, revert.	32-7714-S
back, return.	29-6214-S,30-1067-S,34-649-S
back, set aside, take away.	31-3351-S
back, waver.	29-1154-S
back, withhold, restrain.	33-4043-S
back.	18-82-S,30-891-S,31-3298-S,32-4380-S,32-7750-S,35-87-S,36-461-S,36-4138-S,38-3472-S,38-5963-S
backward	6-2914-B
backward.	3-4119-S
backwardness, reulctance, evasion.	6-2942-B
backwards.	32-7769-S
bad	6-2991-B
bad deed, crime, villainy/ deed, action.	6-3012-B
bad health.	15-923-S
bad luck /punishment.	18-5022-S
bad luck, misfortune,.	6-3066-B
bad odor, stink.	33-2951-S
bad smell, a stink.	4-2010-S
bad, wicked, evil.	6-3101-B
bad, wicked, injurious, culpable, evil.	6-3141-B
bad, wicked, persistent, perverse, bold.	16-2844-S
bad.	17-2601-S,19-2478-S,37-2906-S,37-5884-S,42-2561-S
badge.	6-3188-B
badly, ill, wrongly.	6-3203-B
badly, not as one would wish.	42-3122-S
badness, wickedness.	42-2602-S
bag, little sack.	22-2310-S
bag, purse / funds, store of cash.	6-3245-B
bag, purse, bellows, puffed-out cheeks.	3-5847-S
bag, small purse, little sack.	24-6086-S
bag.	41-706-S
baggage wagon.	13-5175-S
bailiff, agent.	18-1479-S
bailiff, prior.	18-1776-S
bait.	13-1933-S
balance, equilibrium.	6-3288-B
balance, weigh.	28-2865-S
balance.	21-3159-S
bald /light-armed.	17-4061-S
bald.	6-3318-B
baldness.	6-3331-B
baleful, destructive, mischievous person.	6-3351-B
baleful.	23-5227-S
balm, ointment.	23-5726-S
balsam gum.	6-3402-S
balsam tree /balsam gum.	6-3402-B
band of armed retainers.	6-3436-B
band of warriors.	15-3729-S
band, girdle, girth.	6-3495-S
band, girdle.	6-3474-B
band, handwriting.	14-5165-S
band.	39-4474-S
bandage, band, girdle, girth.	6-3495-B
bandit / mercenary soldier.	15-2263-S
bandit, brigand.	23-3410-S
bandit.	6-3532-B
banish.	24-1814-S,31-4270-S,33-3844-S
banished, migratory.	13-1132-S
banished.	6-3546-B
banishment.	12-1859-S
bank of the scheldt.	15-1694-S
banking on.	3-1905-S
bankrupt, a fool parted from his money.	4-646-S
bankrupt.	1-8987-S
banner, standard /troop, company, small unit.	13-843-S
banquet, dine.	32-1939-S
banquet, feast / food / dishes, courses of a meal.	4-2039-S
banquet, feast.	3-2365-S,26-802-S
banquet.	6-3568-B
banter /delude, deceive.	35-2611-S
baptism.	38-6876-S
bar /cutting, slip.	23-3508-S
bar, prison, den, pen, enclosure/ cloister.	7-1835-S
bar.	29-2532-S
barbarian.	6-3582-B
barbarian/ foreigner/ rude, uncouth, rough, savage.	6-3602-B
barbarity, horror.	14-5921-S
barbarous, inhuman, uncivil, uncivilized.	9-5722-S
barbarously, uncouthly, savagely/ in a foreign manner.	6-3663-B
barber.	6-3726-B
bard, prophet.	6-3741-B
bare, disclose.	38-6778-S
bare, exposed, to be revealed.	28-5316-S
bare, reveal, make clear.	38-6827-S
barely.	23-6251-S
bargain or agreement, covenant, deal.	34-4150-S
bargain, make a deal.	37-6775-S
bargain.	23-5618-S
bark, bay / rant /runble, roar.	1-6258-S
bark, shell / inlay, embossing.	23-2895-S
bark/ sweet-smelling mezereon.	4-1264-S
barker (such as a dog).	3-2390-S
barking.	6-3762-B
barley groats.	20-6884-S
barley, barley groats.	20-6884-S
barley.	6-3780-B
barren, sterile.	6-3804-B
barren, unproductive, infertile.	40-1429-S
barren, useless, unproductive, vain/ + gen., deprived of.	6-3832-B
barrenness, sterility.	6-3899-B
barrenness.	27-2490-S
barrier, defending wall.	6-3935-B
barrier.	6-3966-B
barter [away].	28-2892-S
base / pedestal / pier, quay / dam.	2-2520-S
base, foundation.	6-3980-B
base/ foundation/ pedestal.	3-2425-S
baseness.	6-4010-B
bashful, modest.	6-4030-B
bashfulness.	12-5213-S,18-5690-S
basic constituent.	13-251-S
basin, cauldron.	9-2759-S
basket, bed (of a river).	15-3085-S
basket.	3-2461-S,3-5204-S
bastard	6-4057-B
bath, bathhouse, bathing-place.	6-4078-B
bath-tub.	8-1415-S
bath.	3-2480-S,6-4128-B
bathe.	28-2919-S
bathe/ moisten, get wet / wash away.	39-1256-S
bathed, cleaned / fine, elegant, refined.	41-1476-S
bathhouse /bathhouse.	21-1028-S
bathhouse, bathing-place.	6-4078-S
bathhouse.	17-113-S,21-1028-S
bathing tub.	17-4596-S
bathing-place.	6-4078-S
bathing.	41-1533-S
baths.	41-1270-S
batter.	28-2934-S
battle /sails, oars.	41-6030-S
battle in the shape of a wedge.	39-5887-S
battle, conflict, set-to.	12-6065-S
battle, fracas.	11-268-S
battle-axe.	6-2880-S,6-4143-B
battle-horse, war horse.	8-2036-S
battle-line, battlefield.	17-0-S
battle.	6-4164-B,6-4181-B,21-5420-S,21-5474-S,31-2682-S,33-6096-S
battlefield.	17-0-S
battlements, parapets /threats, menaces.	6-4198-B
bawl out for.	28-2952-S
bay / rant /runble, roar.	1-6258-S
bay tree / triumph, victory, success.	27-40-S
bay, gulf.	10-135-S
bc (spain).	3-2315-S
bcome cold / to catch cold.	28-2977-S
be	6-4245-B
be a consequence or result of something.	28-3992-S
be a public crier, to herald, proclaim.	28-3016-S
be a servant, to serve, attend, obey.	28-3079-S
be a slave to, serve.	1-1712-S
be a slave, serve, be devoted to.	28-3128-S
be able to, to succeed in (doing something).	28-3174-S
be able, avail, have influence.	28-3228-S
be able, to be capable.	28-3282-S
be able, to be impossible.	19-3917-S
be able.	19-3958-S,28-3316-S,33-1621-S
be above, have the upper hand, surpass, conquer, overcome.	28-3333-S
be absent, be away, be missing, be gone.	28-3402-S
be accustomed to, have the habit of, make a practice of.	28-3452-S
be accustomed, be used to.	28-3519-S
be active, do.	28-3555-S
be added.	28-481-S
be advantageous, accomplish.	33-147-S
be afflicted with.	38-27-S
be afflicted, be troubled.	2-2715-S
be afflicted.	28-3580-S
be affluent, avail for, to afford, supply, furnish with.	28-3604-S
be afraid of.	38-5388-S
be afraid, dread.	32-1853-S
be afraid.	36-3626-S
be after.	33-6054-S
be agreeble to.	1-2112-S
be alert, be watchful /[trans.] work hard at.	28-2742-S
be alive.	34-2933-S
be an informant.	28-3673-S
be angry, to be wrathful.	28-3704-S
be appropriate, suitable, fit.	28-3749-S
be ashamed of, worth blushing over.	25-1047-S
be ashamed,.	28-3791-S
be astonished at.	39-2975-S
be astounded.	28-3813-S
be at ease / stop (doing something).	36-3743-S
be at hand/ to come.	38-3728-S
be at the head of, be in charge of.	28-3837-S
be at war, be in a state of war.	39-491-S
be avoided must be endured.	2-5888-S
be awake, watch, be vigilant /to keep vigil.	28-3891-S
be away, be missing, be gone.	28-3402-S
be before.	40-4569-S
be better, preferable.	3-794-S
be boiling hot, boil, seethe, glow.	28-3946-S
be born / to be a consequence or result of something.	28-3992-S
be born again.	28-4055-S
be born, spring forth.	28-4082-S
be born.	28-5718-S
be borne.	28-4127-S
be bound by.	35-678-S
be bright, glow, be sleek, flourish.	37-1284-S
be bright.	14-1940-S
be brought to a standstill, keep at, hesitate.	28-4159-S
be brought to.	32-504-S
be built on/ distinction/distinguished, excellent/excellence.	28-4215-S
be capable.	28-3282-S
be changed.	3-1959-S
be classed among, be condemned to.	28-4291-S
be clear, plain.	28-5945-S
be clear.	28-5818-S
be cold.	1-8948-S
be concealed.	33-6578-S,34-2209-S
be condemned to.	28-4291-S
be confident of, rely upon.	15-265-S
be deceived, to be mistaken.	28-4338-S
be delighted.	28-4383-S
be deprived of, lack, want.	1-61-S
be destroyed, perish.	35-941-S
be determined, resolve.	31-983-S
be devoid of whatever.	3-448-S
be devoted to.	28-3128-S
be different.	30-6591-S
be diifferent, vary, disagree.	31-1230-S
be diligent, strive after.	28-4407-S
be dirty, appear vile.	28-4444-S
be disgusted at.	28-4477-S
be distinguished for.	27-3927-S
be distinguished.	35-4418-S
be distrustful, distrust, despair.	28-4507-S
be done, become.	6-4295-S
be dreaming.	28-4553-S
be eager for.	1-2155-S
be earnestly engaged in, draw nigh.	28-4577-S
be easy, to be clear.	28-5818-S
be effective.	33-3150-S
be endured.	2-5888-S
be engaged in.	36-2214-S
be enough.	28-6637-S
be entitled to, merit.	10-3869-S
be established, stand firm, stop, endure.	28-4622-S
be excited by passion, rage.	6-4259-B
be exposed.	28-5655-S
be extant, appear, project, show itself.	37-5153-S
be failed by, disappointed by something.	28-4674-S
be favorable to, aid, support, help.	1-1486-S
be firmly placed.	24-4891-S
be fond of, cherish.	34-3832-S
be for sale.	28-7094-S
be forgotten /pour out, leak, seep /become known.	39-24-S
be formed of, consist/ stop, stay.	1-0-S
be free from work, of a master, of property.	28-4726-S
be frightened.	32-1886-S
be fruitless, kill.	32-2207-S
be furious, take violent action.	35-7314-S
be gone.	28-3402-S
be grieved.	28-6079-S
be hard, persist, endure, last, hold out.	28-4779-S
be horrified at.	27-4355-S
be horrified, to shake, shudder /dread, tremble at.	28-4831-S
be hungry, to hunger / long for, desire, yearn.	28-4897-S
be ignorant of, not know / rarely: neglect, overlook.	28-4955-S
be ignorant, be unaware, not know, be unkowing.	28-5019-S
be ignorant, disregard, not be recognized.	28-5077-S
be ill in bed.	34-2166-S
be imitated,.	26-4621-S
be imminent, threaten.	33-2325-S
be imminent.	33-2433-S
be impossible.	19-3917-S
be in a state of war.	39-491-S
be in an uproar, raise a tumult, [make a] bustle.	28-5130-S
be in attendance,.	28-1966-S
be in charge of.	28-3837-S
be in dread of, to be afraid.	36-3626-S
be in good health.	28-7260-S
be in heat.	28-5193-S
be in mourning, grieve/(tans,) to lament, bewail.	34-6743-S
be in one's service.	28-5213-S
be in or on, contained in, within.	3-1185-S
be in the habit of using.	28-5253-S
be in want.	1-8235-S,41-1828-S
be inclined to do.	1-2474-S
