zhàn yòng	5-1878-B
zhàn yōu shì	5-1535-B
zhàn yǐ hòu	8-21179-S
zhàn yǒu	5-1810-B,26-17361-B
zhàn yǒu lǜ	11-12585-B,22-12290-S
zhàn zhàn jīng jīng	26-18491-B
zhàn zhù	47-62610-B
zhàn zhēng	2-75273-S,7-19448-S,7-67631-S,10-28696-S,11-48193-S,15-2106-S,17-58728-S,22-14177-S,26-19060-B,27-5101-S,31-5164-S,32-50308-S,34-30346-S,38-22134-S,42-20683-S,42-41029-S,43-39472-S,45-22837-S,51-4552-S,55-12433-S,57-49587-S,59-4342-S,59-4893-S,60-4870-S,60-26642-S,70-53851-S
zhàn zhēng yǔ hé píng	26-19235-B
zhàn zhēng zuì	26-19109-B
zhàn zhēng zuì xíng	26-19166-B
zhàn zhě	27-64772-S
zhàn zhě hào	27-64829-S
zhàn zī	47-62800-B
zhàn zǔ zhī	4-49395-S
zhàn áo tóu	42-17952-S,42-18048-S
zhàng	1-29407-B,2-29576-S,2-31739-S,3-68100-S,4-25681-B,4-27857-S,5-15392-S,5-40874-S,5-61375-S,5-63273-S,6-1499-S,7-53874-S,8-60060-S,11-71357-S,13-7992-S,14-7893-S,16-10005-S,16-35386-S,18-38000-S,18-39536-S,18-43244-S,20-46773-S,21-21851-S,21-25215-S,21-47329-B,22-27465-B,22-34731-B,25-19226-S,25-20907-S,25-54889-S,26-34023-S,26-40760-S,26-43177-S,26-48109-S,27-15243-S,27-19744-S,27-31038-S,28-657-S,29-17432-S,29-61657-S,29-65744-S,31-57635-S,33-7999-B,34-33207-S,35-18871-S,35-56623-S,35-59655-S,35-63668-S,39-31826-S,39-53871-B,40-20102-S,41-5106-S,41-36503-S,44-19852-B,44-36715-S,45-59025-B,47-7567-S,47-14532-S,48-60131-S,49-41163-S,52-35556-B,52-40838-S,52-49647-S,55-57752-S,56-29852-S,57-63636-S,57-66309-S,57-67268-S,58-22310-S,59-45252-S,59-45581-S,59-54863-S,59-61417-B,59-62932-S,60-28132-S,60-44239-S,61-22875-S,61-28399-S,62-12252-S,62-14584-S,62-31377-S,63-10692-S,63-58084-S,64-33781-S,64-34128-S,65-3090-S,66-42079-B,68-38261-S,68-39317-S,70-35779-S
zhàng bù	59-61868-B
zhàng běn	59-61701-B
zhàng cè	59-61449-B
zhàng dà	52-35621-B
zhàng dān	22-27535-B,59-61515-B
zhàng fu	1-29440-B,40-55615-S
zhàng fáng	59-61604-B
zhàng huǒ	4-25990-B
zhàng hài	60-57638-S
zhàng hàn guó	64-10253-S
zhàng hào	22-27799-B,59-61927-B
zhàng hù	12-58008-S,22-27671-B,59-61555-B
zhàng jiān dū	5-40945-S
zhàng jiān dū de shè shī	11-59850-S
zhàng kuǎn	25-58874-S,25-59894-S,59-61749-B
zhàng kǎ	61-28481-S
zhàng lián	22-27627-B
zhàng lǜ	62-12298-S
zhàng miàn	59-62051-B
zhàng mù	59-61805-B
zhàng mǎn	39-54127-B
zhàng mǔ	11-56791-S
zhàng peng	22-27711-B,22-27759-B
zhàng pái chú	29-61780-S
zhàng qǐ	52-35663-B
zhàng rén	11-56732-S
zhàng rén shì	31-57712-S,42-7048-S
zhàng shì	4-25777-B,4-25931-B
zhàng shì qī rén	4-25829-B
zhàng tóu mù ǒu	33-8056-B
zhàng yuán	57-66350-S
zhàng yì	4-26032-B,44-3099-S
zhàng yì shū cái	4-26250-B
zhàng yì zhí yán	4-26114-B
zhàng yāo	4-26405-B
zhàng yǎn	66-42134-B
zhàng zi	22-27581-B
zhàng zǎi	59-61979-B
zhàng ài	30-26603-S,36-47609-S,38-49682-S,42-23582-S,58-27728-S,60-56332-S,65-50125-S,66-42217-B
zhàng ài xìng pín xuè	66-42301-B
zhào	1-62964-S,2-22473-S,2-79687-S,2-79777-S,3-23249-S,4-45480-S,5-25497-S,7-893-B,7-3420-S,7-3935-S,7-10986-S,9-24207-S,10-68353-S,11-3288-S,11-39607-S,11-51387-S,11-69200-S,12-10008-B,12-35578-S,12-38966-S,13-17658-S,15-56769-B,15-65476-S,18-3215-S,18-4602-S,18-24400-S,19-37869-S,20-23790-S,20-52613-S,24-1891-S,24-22943-S,24-23142-S,24-34563-S,25-39828-S,25-55564-S,26-61662-S,27-29950-S,27-62634-S,31-2322-B,31-10321-S,31-10395-S,31-32545-S,31-50205-S,32-1871-B,33-4192-S,33-5449-S,35-16299-B,36-11059-S,40-29666-B,41-6501-B,41-25659-S,41-29214-S,41-45999-S,45-51388-S,46-3500-S,47-4655-S,48-4044-B,48-44415-S,49-21120-S,50-51383-B,52-4066-B,52-5046-B,52-25347-S,54-62220-S,55-55243-S,57-3255-S,58-6743-B,58-42620-S,58-60947-S,59-5092-S,59-18866-S,60-29277-B,61-19703-S,62-68579-S,62-70383-S,63-3154-S,63-3796-S,65-333-S,65-56167-S,66-45617-S,68-2873-S,68-28560-S,68-39159-S,69-49260-S,69-49882-S,70-57139-B
zhào bàn	41-9730-B
zhào bì	41-7001-B
zhào bù xuān	24-34638-S
zhào bān	41-7641-B
