革蘭氏陰性 革兰氏阴性 [01\[ gé lán shì yīn xìng\]]	gram negative (bacteria that do not retain gram stain
革蘭陽 革兰阳 [01\[ gé lán yáng\]]	gram-positive (bacteria)
革蘭陽性 革兰阳性 [01\[ gé lán yáng xìng\]]	gram-positive (bacteria)
靪 靪 [01\[ dīng\]]	to cobble
靮 靮 [01\[ dí\]]	reins;bridle
靰 靰 [01\[ wù\]]	leg warmer
靳 靳 [01\[ jìn\]]	martingale;stingy;surname jin
靴 靴 [01\[ xuē\]]	boots
靴子 靴子 [01\[ xuē zi\]]	boots
靶 靶 [01\[ bǎ\]]	target;mark
靶場 靶场 [01\[ bǎ chǎng\]]	shooting range;range
靶子 靶子 [01\[ bǎ zi\]]	target
靶心 靶心 [01\[ bǎ xīn\]]	bull's eye
靶機 靶机 [01\[ bǎ jī\]]	target drone
靶紙 靶纸 [01\[ bǎ zhǐ\]]	target sheet
靶船 靶船 [01\[ bǎ chuán\]]	target ship
靷 靷 [01\[ yǐn\]]	traces (of a carriage)
靸 靸 [01\[ sǎ\]]	laborers;shoes;slippers
靺 靺 [01\[ mò\]]	name of a tribe;socks;stockings
靼 靼 [01\[ dá\]]	(phonetic);dressed leather
靿 靿 [01\[ yào\]]	the leg of a boot
鞀 鞀 [01\[ táo\]]	hand drum used by peddlers
鞃 鞃 [01\[ hóng\]]	a leaning board on carriage
鞄 鞄 [01\[ páo\]]	to work hides;leather bag
鞅 鞅 [01\[ yǎng\]]	martingale
鞋 鞋 [01\[ xié\]]	shoe
鞋匠 鞋匠 [01\[ xié jiang\]]	shoemaker;cobbler
鞋子 鞋子 [01\[ xié zi\]]	shoe
鞋帶 鞋带 [01\[ xié dài\]]	shoelace
鞋幫 鞋帮 [01\[ xié bāng\]]	uppers of a shoe
鞋底 鞋底 [01\[ xié dǐ\]]	sole (of a shoe)
鞋拔 鞋拔 [01\[ xié bá\]]	shoe horn
鞋油 鞋油 [01\[ xié yóu\]]	shoe polish
鞌 鞌 [01\[ ān\]]	graphic variant of 鞍
鞍 鞍 [01\[ ān\]]	saddle
鞍山 鞍山 [01\[ ān shān\]]	anshan prefecture level city in liaoning
鞍山市 鞍山市 [01\[ ān shān shì\]]	anshan prefecture level city in liaoning
鞍馬 鞍马 [01\[ ān mǎ\]]	pommel horse (gymnastics)
鞍點 鞍点 [01\[ ān diǎn\]]	saddle point (math.)
鞏 巩 [01\[ gǒng\]]	secure;solid
鞏俐 巩俐 [01\[ gǒng lì\]]	gong li
鞏固 巩固 [01\[ gǒng gù\]]	consolidate
鞏留 巩留 [01\[ gǒng liú\]]	(n) gongliu (place in xinjiang)
鞏縣 巩县 [01\[ gǒng xiàn\]]	gong county in henan
鞏膜 巩膜 [01\[ gǒng mò\]]	sclera (white of the eye)
鞗 鞗 [01\[ tiáo\]]	reins of leather
鞘 鞘 [01\[ qiào\]]	scabbard;sheath
鞘翅 鞘翅 [01\[ qiào chì\]]	elytrum (hardened forewing of coleoptera beetle
鞘翅目 鞘翅目 [01\[ qiào chì mù\]]	coleoptera (insect order including beetles)
鞘脂 鞘脂 [01\[ qiào zhī\]]	sphingolipid
鞙 鞙 [01\[ xuàn\]]	fine
鞚 鞚 [01\[ kòng\]]	bridle;reins
鞝 鞝 [01\[ zhǎng\]]	patch of leather
鞞 鞞 [01\[ bǐng\]]	scabbard
鞠 鞠 [01\[ jū\]]	to bring up;to rear;surname ju;taiwan pr. ju2
鞠躬 鞠躬 [01\[ jū gōng\]]	to bow
鞡 鞡 [01\[ la\]]	leg warmer
鞣 鞣 [01\[ róu\]]	suede;chamois;tannin;to tan
鞣製 鞣制 [01\[ róu zhì\]]	to tan (leather);tanning
鞦 秋 [01\[ qiū\]]	a swing
鞦韆 秋千 [01\[ qiū qiān\]]	swing;seesaw;trapeze
鞨 鞨 [01\[ hé\]]	buskin;name of a tribe;turban
鞫 鞫 [01\[ jú\]]	to interrogate;to question
鞬 鞬 [01\[ jiān\]]	a quiver on a horse;a store
鞭 鞭 [01\[ biān\]]	a whip or lash;to flog;to whip
鞭子 鞭子 [01\[ biān zi\]]	whip
鞭打 鞭打 [01\[ biān dǎ\]]	whip;lash;flog;thrash
鞭撻 鞭挞 [01\[ biān tà\]]	lash;castigate
鞭毛 鞭毛 [01\[ biān máo\]]	flagellum
鞭痕 鞭痕 [01\[ biān hén\]]	welt;whip scar;lash mark
鞭砲 鞭炮 [01\[ biān pào\]]	firecrackers;a string of small firecrackers
鞭笞 鞭笞 [01\[ biān chī\]]	to flog;to lash;to whip;to goad along
鞭策 鞭策 [01\[ biān cè\]]	spur on;urge on
鞭節 鞭节 [01\[ biān jié\]]	flagellum
鞭蟲 鞭虫 [01\[ biān chóng\]]	whipworm
鞭長莫及 鞭长莫及 [01\[ biān cháng mò jí\]]	lit. the whip cannot reach (成语 saw); beyond one's influence;too far to be able to help
鞭闢入裡 鞭辟入里 [01\[ biān pì rù lǐ\]]	penetrated;trenchant;incisive
鞮 鞮 [01\[ dī\]]	surname di;leather shoes
鞶 鞶 [01\[ pán\]]	large belt
鞹 鞹 [01\[ kuò\]]	leather
韁 缰 [01\[ jiāng\]]	reins;halter
韁 韁 [01\[ jiāng\]]	bridle;reins
韁繩 韁绳 [01\[ jiāng sheng\]]	rein
韃 鞑 [01\[ dá\]]	tartar;a tribe in china
韃虜 鞑虏 [01\[ dá lǔ\]]	tartar
韃靼 鞑靼 [01\[ dá dá\]]	tatar (turkic ethnic minority in central asia)
韃靼人 鞑靼人 [01\[ dá dá rén\]]	tatar (person)
韃靼海 鞑靼海 [01\[ dá dá hǎi\]]	straits of tartary between sakhalin and russian mainland
韅 韅 [01\[ xiǎn\]]	leather girth on horse
韆 千 [01\[ qiān\]]	a swing
韉 鞯 [01\[ jiān\]]	saddle blanket
韋 韦 [01\[ wéi\]]	soft leather;surname wei
韋伯 韦伯 [01\[ wéi bó\]]	webb (english name);weber
韋利 韦利 [01\[ wéi rì\]]	waley or whaley (name);arthur waley (1889-1966)
韋慕庭 韦慕庭 [01\[ wéi mù tíng\]]	clarence martin wilbur (1908-1997)
韋應物 韦应物 [01\[ wéi yìng wù\]]	wei yinwu (737-792)
韋斯卡 韦斯卡 [01\[ wéi sī kǎ\]]	uesca or huesca
韋格納 韦格纳 [01\[ wéi gé nà\]]	alfred wegener (1880-1930)
韋氏拼法 韦氏拼法 [01\[ wéi shì pīn fǎ\]]	wade-giles system (romanization of chinese)
韋爾弗雷茲 韦尔弗雷兹 [01\[ wéi ěr fú léi zi\]]	(george) wehrfritz (beijing bureau chief of newsweek)
韋爾瓦 韦尔瓦 [01\[ wéi ěr wǎ\]]	huelva
韋科 韦科 [01\[ wéi kē\]]	waco
韋達 韦达 [01\[ wéi dá\]]	françois viète (1540-1603)
韋馱菩薩 韦驮菩薩 [01\[ wéi tuó pú sà\]]	skanda
韌 韧 [01\[ rèn\]]	annealed;pliable but strong;tough;tenacious
韌帶 韧带 [01\[ rèn dài\]]	ligament
韌性 韧性 [01\[ rèn xìng\]]	toughness
韌皮部 韧皮部 [01\[ rèn pí bù\]]	phloem
韌體 韧体 [01\[ rèn tǐ\]]	firmware
韍 韍 [01\[ fú\]]	kneepad
韎 韎 [01\[ mèi\]]	a grass that gives red dye
韓 韩 [01\[ hán\]]	korea
韓信 韩信 [01\[ hán xìn\]]	han xin (-196 bc)
韓元 韩元 [01\[ hán yuán\]]	won (korean currency)
韓国 韓国 [01\[ hán guó\]]	south korea;korea;japanese variant of 韓國|韩国 (mixes traditional and simplified characters)
韓國 韩国 [01\[ hán guó\]]	south korea
韓國人 韩国人 [01\[ hán guó rén\]]	a korean (person)
韓國共和國 韩国共和国 [01\[ hán guó gòng hé guó\]]	republic of korea;south korea
韓國聯合通訊社 韩国联合通讯社 [01\[ hán guó lián hé tōng xùn shè\]]	yonghap (south korean news agency)
韓國銀行 韩国银行 [01\[ hán guó yín háng\]]	bank of korea
韓圓 韩圆 [01\[ hán yuán\]]	korean won (unit of currency)
韓城 韩城 [01\[ hán chéng\]]	hancheng city and county in shaanxi
韓城市 韩城市 [01\[ hán chéng shì\]]	hancheng city in shaanxi
韓城縣 韩城县 [01\[ hán chéng xiàn\]]	hancheng county in shaanxi
韓復榘 韩复矩 [01\[ hán fù jǔ\]]	han fuju (1890-1938)
韓愈 韩愈 [01\[ hán yù\]]	han yu (768-824)
韓愛晶 韩爱晶 [01\[ hán ài jīng\]]	han aijing (1945-)
韓戰 韩战 [01\[ hán zhàn\]]	korean war
韓文 韩文 [01\[ hán wén\]]	korean language
韓方 韩方 [01\[ hán fāng\]]	the korean side
韓日 韩日 [01\[ hán rì\]]	korea and japan
韓朝 韩朝 [01\[ hán cháo\]]	north and south korea;bilateral korean relations
韓村樂 韩村乐 [01\[ hán cūn lè\]]	charles hutzler. us journalist
韓江 韩江 [01\[ hán jiāng\]]	the han river in guangdong
韓素音 韩素音 [01\[ hán sù yīn\]]	han suyin
韓聯社 韩联社 [01\[ hán lián shè\]]	yonhap (south korean news agency)
韓語 韩语 [01\[ hán yǔ\]]	korean language (esp. in context of south korea)
韓邦慶 韩邦庆 [01\[ hán bāng qìng\]]	han bangqing (1856-1894)
韓非 韩非 [01\[ hán fēi\]]	han fei
韓非子 韩非子 [01\[ hán fēi zǐ\]]	han feizi (c. 280-233 bc) pre-han dynasty legalist philosopher
韔 韔 [01\[ chàng\]]	bow bag
韖 韖 [01\[ róu\]]	tan
韘 韘 [01\[ shè\]]	archer's thumb ring
韙 韪 [01\[ wěi\]]	correct;right
韜 韬 [01\[ tāo\]]	bow case;to cover
韜光養晦 韬光养晦 [01\[ tāo guāng yǎng huì\]]	lit. to cover light and nurture in the dark (成语 saw); to conceal one's strengths and bide one's time;hiding one's light under a bush
韝 韝 [01\[ gōu\]]	archer's arm guard
韞 韫 [01\[ yùn\]]	contain
韡 韡 [01\[ wěi\]]	gorgeous
韣 韣 [01\[ dú\]]	bow case
韭 韭 [01\[ jiǔ\]]	leek
韭菜 韭菜 [01\[ jiǔ cài\]]	garlic chives;leek
韭菜花 韭菜花 [01\[ jiǔ cài huā\]]	chives (allium tuberosum)
韱 韱 [01\[ xiān\]]	wild onions or leeks
音 音 [01\[ yīn\]]	sound;noise;news
音位 音位 [01\[ yīn wèi\]]	phoneme
音信 音信 [01\[ yīn xìn\]]	message
音像 音像 [01\[ yīn xiàng\]]	audiovisual;av
音叉 音叉 [01\[ yīn chā\]]	tuning fork
音帶 音带 [01\[ yīn dài\]]	audio tape
音律 音律 [01\[ yīn lǜ\]]	tuning;temperament
音拴 音拴 [01\[ yīn shuān\]]	organ stop (button activating a row of pipes)
音效 音效 [01\[ yīn xiào\]]	sound effect
音樂 音乐 [01\[ yīn yuè\]]	music
音樂光碟 音乐光碟 [01\[ yīn yuè guāng dié\]]	music cd
音樂學 音乐学 [01\[ yīn yuè xué\]]	musicology
音樂家 音乐家 [01\[ yīn yuè jiā\]]	musician
音樂會 音乐会 [01\[ yīn yuè huì\]]	concert
音樂節 音乐节 [01\[ yīn yuè jié\]]	music festival
音樂院 音乐院 [01\[ yīn yuè yuàn\]]	conservatory;music college
音標 音标 [01\[ yīn biāo\]]	phonetic symbol
音步 音步 [01\[ yīn bù\]]	foot (syllabic unit in verse);meter;scansion
音波 音波 [01\[ yīn bō\]]	sound wave
音程 音程 [01\[ yīn chéng\]]	interval (music)
音符 音符 [01\[ yīn fú\]]	(music) note;phonetic component of a chinese character;phonetic symbol;phonogram
音管 音管 [01\[ yīn guǎn\]]	pipe (of organ)
音箱 音箱 [01\[ yīn xiāng\]]	soundbox;resonating chamber of a musical instrument
音節 音节 [01\[ yīn jié\]]	syllable
音節體 音节体 [01\[ yīn jié tǐ\]]	syllabic script
音級 音级 [01\[ yīn jí\]]	a note on a musical scale
音素 音素 [01\[ yīn sù\]]	phoneme
音義 音义 [01\[ yīn yì\]]	sound and meaning
音耗 音耗 [01\[ yīn hào\]]	message
音色 音色 [01\[ yīn sè\]]	tone;timbre;sound color
音調 音调 [01\[ yīn diào\]]	tone
音譯 音译 [01\[ yīn yì\]]	transliteration;transcription (linguistics);to transcribe phonetic symbols
音讀 音读 [01\[ yīn dú\]]	reading or phonetic value of a character
音變 音变 [01\[ yīn biàn\]]	phonetic change
音質 音质 [01\[ yīn zhì\]]	tone;sound quality;timbre
音速 音速 [01\[ yīn sù\]]	speed of sound
音量 音量 [01\[ yīn liàng\]]	sound volume
音長 音长 [01\[ yīn cháng\]]	sound duration;length of a musical note
音階 音阶 [01\[ yīn jiē\]]	musical scale
音韻 音韵 [01\[ yīn yùn\]]	phonetics of chinese
音韻學 音韵学 [01\[ yīn yùn xué\]]	chinese phonetics (concerned also with rhyme in poetry)
音響 音响 [01\[ yīn xiǎng\]]	speakers or speaker (electronic);acoustics;sound field (in a room or theater)
音響效果 音响效果 [01\[ yīn xiǎng xiào guǒ\]]	sound effects
音響設備 音响设备 [01\[ yīn xiǎng shè bèi\]]	sound equipment;stereo
音頻設備 音频设备 [01\[ yīn pín shè bèi\]]	sound card; audio card (computer)
音高 音高 [01\[ yīn gāo\]]	pitch (music);tone
韶 韶 [01\[ sháo\]]	(music);excellent;harmonious;surname shao
韶山 韶山 [01\[ sháo shān\]]	(n) shaoshan (city in hunan)
韶關 韶关 [01\[ sháo guān\]]	shaoguan prefecture level city in guangdong
韶關地區 韶关地区 [01\[ sháo guān dì qū\]]	shaoguan prefecture in guangdong
韶關市 韶关市 [01\[ sháo guān shì\]]	shaoguan prefecture level city in guangdong province
韹 韹 [01\[ huáng\]]	music of bell and drum
韺 韺 [01\[ yīng\]]	music of legendary emperor gu
韻 韵 [01\[ yùn\]]	beautiful sound;appeal;charm;vowel;rhyme;in chinese phonetics
韻事 韵事 [01\[ yùn shì\]]	poetic occasion;elegant situation;in literature
韻味 韵味 [01\[ yùn wèi\]]	implicit charm in rhyme or sound;hinted appeal;interest
韻尾 韵尾 [01\[ yùn wěi\]]	the rhyming part of a syllable;in a chinese syllable
韻律 韵律 [01\[ yùn lǜ\]]	cadence;rhythm;rhyme scheme;meter (in verse)
韻文 韵文 [01\[ yùn wén\]]	verse
韻書 韵书 [01\[ yùn shū\]]	rhyming dictionary;traditional chinese phonetic dictionary with words ordered first by four tones 四聲|四声 then rhyme 韻|韵 (i.e. medial consonant and final)
韻母 韵母 [01\[ yùn mǔ\]]	medial and final of a chinese syllable (excluding initial consonant and tone);the rhyming part of a chinese syllable;rhyme;vowel;character used in traditional phonetics to indicate value of rhyme;final sound;phoneme
韻白 韵白 [01\[ yùn bái\]]	form of baihua 白话 in some context in beijing opera
韻目 韵目 [01\[ yùn mù\]]	rhyme entry;subdivision of a rhyming dictionary (containing all words with the given rhyme)
韻緻 韵致 [01\[ yùn zhì\]]	grace;natural charm
韻腳 韵脚 [01\[ yùn jiǎo\]]	rhyming word ending a line of verse;rhyme
韻腹 韵腹 [01\[ yùn fù\]]	main vowel in diphthong
韻致 韵致 [01\[ yùn zhì\]]	grace;natural charm
韻詩 韵诗 [01\[ yùn shī\]]	rhyming verse
韻語 韵语 [01\[ yùn yǔ\]]	rhymed language
韻調 韵调 [01\[ yùn diào\]]	rhyme and tone;intonation
韻頭 韵头 [01\[ yùn tóu\]]	leading vowel of diphthong (i.e. the first vowel i
響 响 [01\[ xiǎng\]]	to make a sound;to sound;to ring;loud;classifier for noises
響亮 响亮 [01\[ xiǎng liàng\]]	loud and clear;resounding
響叮噹 响叮当 [01\[ xiǎng dīng dāng\]]	resounding;loud;well known;widely known
響噹噹 响当当 [01\[ xiǎng dāng dāng\]]	resounding;loud;well known;famous
響應 响应 [01\[ xiǎng yìng\]]	respond to;answer
響應時間 响应时间 [01\[ xiǎng yìng shí jiān\]]	response time
響水 响水 [01\[ xiǎng shuǐ\]]	(n) xiangshui (place in jiangsu)
響聲 响声 [01\[ xiǎng shēng\]]	noise
響音 响音 [01\[ xiǎng yīn\]]	sonorant
頀 頀 [01\[ hù\]]	music
頁 页 [01\[ yè\]]	page;leaf
頁岩 页岩 [01\[ yè yán\]]	shale
頁底 页底 [01\[ yè dǐ\]]	the bottom of the page
頁心 页心 [01\[ yè xīn\]]	type page
頁碼 页码 [01\[ yè mǎ\]]	page number
頁蒿 页蒿 [01\[ yè hāo\]]	caraway
頁邊 页边 [01\[ yè biān\]]	margin
頁面 页面 [01\[ yè miàn\]]	page;web page
頁首 页首 [01\[ yè shǒu\]]	the head of a page;page heading
頂 顶 [01\[ dǐng\]]	go against;most;peak;top;to replace;to substitute;classifier for hats
頂事 顶事 [01\[ dǐng shì\]]	useful;fitting
頂住 顶住 [01\[ dǐng zhù\]]	to withstand;to stand up to
頂呱呱 顶呱呱 [01\[ dǐng guā guā\]]	tip top;excellent;first rate
頂多 顶多 [01\[ dǐng duō\]]	at most;at best
頂夸克 顶夸克 [01\[ dǐng kuā kè\]]	top quark (phys.)
頂尖 顶尖 [01\[ dǐng jiān\]]	peak;world best;number one;finest (competitors);apex;peak;top (figures in a certain field)
頂尖級 顶尖级 [01\[ dǐng jiān jí\]]	first class;top;world best
頂層 顶层 [01\[ dǐng céng\]]	top floor;the top of a building
頂峰 顶峰 [01\[ dǐng fēng\]]	peak;summit
頂撞 顶撞 [01\[ dǐng zhuàng\]]	contradict
頂替 顶替 [01\[ dǐng tì\]]	to replace
頂架 顶架 [01\[ dǐng jià\]]	cabin
頂樑柱 顶梁柱 [01\[ dǐng liáng zhù\]]	pillar;backbone
頂用 顶用 [01\[ dǐng yòng\]]	to be of use
頂端 顶端 [01\[ dǐng duān\]]	summit;peak
頂級 顶级 [01\[ dǐng jí\]]	top level
頂葉 顶叶 [01\[ dǐng yè\]]	parietal lobe
頂輪 顶轮 [01\[ dǐng lún\]]	sahasrāra or sahasrara
頂針 顶针 [01\[ dǐng zhēn\]]	thimble
頂風 顶风 [01\[ dǐng fēng\]]	to face into the winde;against the wind;fig. against the law
頂骨 顶骨 [01\[ dǐng gǔ\]]	parietal bone (top of the scull)
頂點 顶点 [01\[ dǐng diǎn\]]	summit;peak
頃 顷 [01\[ qǐng\]]	unit of area equal to 100 mu 畝|亩 or 6.6667 hectacres;a short while;a little while ago;circa. (for approximate dates)
頃刻間 顷刻间 [01\[ qǐng kè jiān\]]	in an instant
頄 頄 [01\[ qiú\]]	cheekbone
項 项 [01\[ xiàng\]]	back of neck;item;thing;term (in a mathematical formula);surname xiang
項城 项城 [01\[ xiàng chéng\]]	xiangcheng county level city in zhoukou 周口
項城市 项城市 [01\[ xiàng chéng shì\]]	xiangcheng county level city in zhoukou 周口
項目 项目 [01\[ xiàng mù\]]	item;project;sports event
項羽 项羽 [01\[ xiàng yǔ\]]	xiangyu the conqueror (232-202 bc)
項英 项英 [01\[ xiàng yīng\]]	xiang ying (1898-1941)
項鏈 项链 [01\[ xiàng liàn\]]	a necklace
項頸 项颈 [01\[ xiàng jǐng\]]	back of neck
順 顺 [01\[ shùn\]]	to obey;to follow;to arrange;to make reasonable;along;favorable
順便 顺便 [01\[ shùn biàn\]]	conveniently;in passing;without much extra effort
順其自然 顺其自然 [01\[ shùn qí zì rán\]]	leave it to nature (成语 saw); let things take their own course
順利 顺利 [01\[ shùn lì\]]	smoothly;without a hitch
順勢 顺势 [01\[ shùn shì\]]	to take advantage;to seize an opportunity;in passing;without taking extra trouble;conveniently
順勢療法 顺势疗法 [01\[ shùn shì liáo fǎ\]]	homeopathy (alternative medicine)
順化 顺化 [01\[ shùn huà\]]	hue
順口 顺口 [01\[ shùn kǒu\]]	to read smoothly (of text);to blurt out (without thinking);to suit one's taste (of food)
順口溜 顺口溜 [01\[ shùn kǒu liū\]]	popular piece of doggerel;common phrase repeated as a jingle
順和 顺和 [01\[ shùn he\]]	gentle;affable
順嘴 顺嘴 [01\[ shùn zuǐ\]]	to read smoothly (of text);to blurt out (without thinking);to suit one's taste (of food)
順嘴兒 顺嘴儿 [01\[ shùn zuǐ 5r\]]	to read smoothly (of text);to blurt out (without thinking);to suit one's taste (of food)
順坦 顺坦 [01\[ shùn tan\]]	smoothly;as one expects
順城 顺城 [01\[ shùn chéng\]]	shuncheng district of fushun city 撫順市|抚顺市
順城區 顺城区 [01\[ shùn chéng qū\]]	shuncheng district of fushun city 撫順市|抚顺市
順境 顺境 [01\[ shùn jìng\]]	favorable circumstances
順導 顺导 [01\[ shùn dǎo\]]	to guide sth on its proper course;to guide towards profitable outcome
順差 顺差 [01\[ shùn chā\]]	(trade or budget) surplus
順帶 顺带 [01\[ shùn dài\]]	(do sth) in passing;incidentally (while doing sth else)
順序 顺序 [01\[ shùn xù\]]	sequence;order
順序數 顺序数 [01\[ shùn xù shù\]]	ordinal number
順延 顺延 [01\[ shùn yán\]]	to postpone;to procrastinate
順式 顺式 [01\[ shùn shì\]]	cis- (isomers in organic chemistry)
順從 顺从 [01\[ shùn cóng\]]	obedient;to comply;to submit
順德 顺德 [01\[ shùn dé\]]	(n) shunde (city in guangdong)
順心 顺心 [01\[ shùn xīn\]]	happy;satisfactory
順意 顺意 [01\[ shùn yì\]]	pleasant;agreeable
順應 顺应 [01\[ shùn yìng\]]	to comply;to conform to;in tune with;adapting to;to adjust to
順應不良 顺应不良 [01\[ shùn yìng bù liáng\]]	inability to adjust;unable to adapt
順應天時 顺应天时 [01\[ shùn yìng tiān shí\]]	going with nature and the seasons (traditional chinese medicine concept)
順我者昌逆我者亡 顺我者昌逆我者亡 [01\[ shùn wǒ zhě chāng nì wǒ zhě wáng\]]	submit to me and prosper
順手 顺手 [01\[ shùn shǒu\]]	handy;convenient and easy to use;smoothly
順手兒 顺手儿 [01\[ shùn shǒu 5r\]]	handy;convenient and easy to use;smoothly
順手牽羊 顺手牵羊 [01\[ shùn shǒu qiān yáng\]]	lit. to lead away a goat in passing (成语 saw); to steal sth under cover of an emergency;to take advantage of a crisis for personal gain
順敘 顺叙 [01\[ shùn xù\]]	chronological narrative
順昌 顺昌 [01\[ shùn chāng\]]	(n) shunchang (place in fujian)
順時針 顺时针 [01\[ shùn shí zhēn\]]	clockwise
順暢 顺畅 [01\[ shùn chàng\]]	smooth and unhindered;fluent
順服 顺服 [01\[ shùn fú\]]	to submit to
順次 顺次 [01\[ shùn cì\]]	in order;in proper sequence
