rough exterior but lovable person	53-17563-S
rough fodder	48-50187-B
rough golf	65-19079-S
rough in actions	48-50120-B
rough lumber	36-14040-B
rough measurement with the hand	36-12741-B
rough not precise or accurate	48-49417-B
rough serge from tibet	36-17604-S,36-17713-S
rough sketch or general idea of things	45-36126-B
rough surface	39-65152-S
rough terms	17-41798-S
rough textured fabric of waste silk	50-12967-B
roughly	17-22916-B,17-28551-B,17-32567-B,35-8676-B,36-54804-S,43-56089-B,49-6180-S,57-26797-B
roughly comparable opponents	31-4042-B
roughly equivalent to the c grade	2-44733-B
roughshod over	25-55896-S
roughshod over people	5-6225-S
roulette	61-16470-B
round	5-16905-S,7-41231-S,8-34882-S,10-37134-S,14-58416-S,15-22671-B,15-23403-B,15-24176-S,15-28529-B,15-29665-B,15-29701-B,16-58192-S,30-15222-S,31-999-S,39-7717-S,40-47008-S,50-39351-S,50-40605-S,50-45316-S,59-250-S,60-54284-S,61-16853-S,61-28639-S,65-14347-S
round a curve	27-30701-S
round back to front	5-61773-S
round bamboo basket	48-22458-B
round basket for cooked rice	48-35823-B
round basket of bamboo	48-35521-B
round bottomed basket	48-3950-B
round brackets 	15-23626-B
round cabbage most commonly found in western countries	37-51578-S
round covered basket	48-32727-B
round fast	2-26091-S
round flat cake	69-9911-B
round frame of a sieve	50-56333-B
round from 2001 meeting of wto in doha	16-55024-S
round grained sticky rice	48-51677-B
round herring	15-24644-B
round jade ornament with a hole at the center	27-48891-S
round mouth and two or four handles	48-35521-S
round music	61-15834-B
round number	21-14886-S
round of a competition etc	69-23443-S
round of a match or election	1-21847-S,3-41814-S
round of exploratory discussions	63-48930-S
round of match	48-9538-S,48-11709-S
round of negotiations	14-54776-B
round off	26-8098-S
round onion	55-13066-S
round robin tournament	24-17518-B
round segment	43-6615-B
round table conference	15-23983-B
round tent	47-44603-S
round things peas	48-47933-S
round trip	5-17354-S,26-40825-S,60-9578-S
round up	23-17737-S,49-63056-S,49-63595-S,49-63885-S
round up a number to a convenient multiple	39-9440-S
round up and wipe out	51-54751-S
round up to the nearest integer	14-50208-S
round vault	15-23702-S
round with hand	29-3482-S
roundabout	61-25038-S,61-43556-B,61-43769-B
roundabout route	61-43169-S
roundabout traffic circle	43-5440-B
roundabout way	27-30867-S,32-5642-S,61-23153-S
roundabout way to cover up the truth	29-37873-S
roundabouts	29-39887-S
rounded	52-12016-B,59-20875-S,59-21425-S,59-21750-S
rounder	7-36774-S,8-6370-S
rounding to the nearest integer	69-16516-S
rounds	21-50968-S
roundup	49-64303-S
roundworm	44-13481-B,55-61425-B
rouse	12-9782-S,14-6703-S,27-3832-S,27-70137-B,69-63414-S,71-47772-S
rouse the masses	14-6607-S
rouse to vigorous action	18-18417-S
rousing	4-34366-B
rousong	52-7171-B
rousseau 1712 1778	45-13327-S
rout	39-64537-S
route	2-74795-S,10-41545-S,24-5114-B,29-46382-S,50-40965-S,53-36114-S,56-34373-S,58-10056-S,60-11253-S,60-43346-B,60-43543-B,61-43169-S,62-2884-B,62-2920-S,66-34155-S,67-58405-S
route also in computer networking	60-42007-B
route army	7-52910-S
route of vehicles etc	56-35465-S
route step	5-29779-B
routed	29-66421-S,39-64195-B
routed army	39-64114-B
routed enemy	39-64282-B
routed troops	39-64490-B
router	50-10289-S,60-43255-B
routes	34-52379-S
routes to the same destination 成语 saw	35-61662-S
routine	5-20637-B,14-60157-S,22-32170-B,26-16362-B,31-6841-B,66-30201-S
routine business	22-30078-B
routine meeting of a squad	42-46452-S
routing in computer networks	60-43049-B
routing protocol	60-43112-B
routing protocols	60-43184-B
rove	39-43136-S
rove around	61-21094-B
rove around as a nomad	62-37544-S
rover	38-4750-B,49-26122-S
roving analysis port	21-51856-B
roving bandit	38-2930-B
row	1-9765-B,1-21916-S,8-64873-S,8-65665-B,13-2587-S,23-68218-S,28-28544-S,28-54982-S,34-32092-S,56-30580-S,62-22353-S,62-24125-S
row boat	8-65038-S,8-65436-B,8-65480-S
row game similar to tic tac toe	3-48795-S
row of colored garlands	53-55691-S
row of dancers at sacrifices	5-12714-B
row of logs or boards	28-15128-B
row of pipes	61-26969-S,68-14136-S
rowan	39-10619-S
rowan tree	39-10619-S
rowdy	41-35981-B,66-13933-S
rowdy jeering	60-19037-B
rowdyism	38-6271-B
rowena ravenclaw	27-23350-B
rowing	60-923-S
rowing boat	8-65480-B
rowing competition	48-571-B
rowling 1965 	50-60638-S
rowling name	50-60638-B
rows	56-35417-S
rows of seats	5-57922-S
rows or strings	3-1164-S
roxellana	64-13694-S
royal	35-23755-B,38-53932-S,44-61035-B,61-33892-B
royal canadian mounted police rcmp	44-61482-B
royal court	30-2553-S,50-63356-S
royal crown	8-12927-B
royal family	42-34320-B,44-60889-B,44-60889-S
royal hong kong police force 1969 1997	44-61267-B
royal household	42-34320-B
royal jelly	56-2906-B
royal kin	44-61802-B
royal navy uk	44-61194-B
royal palace	64-13284-S
royal power	42-35440-B
royal society	54-2550-B
royal society uk scientific academy	44-61095-S
royalist cambodian political party	18-4815-S
royalists	5-38463-B
royalty	23-785-S,24-19513-S,42-35440-B,42-58381-S
royalty on books	41-45305-B
royalty or vip	38-64995-S
royce pwr	10-5716-S
rpg	57-45783-S
rss news feeds	51-53877-B
rti	2-66531-S
ru	19-19839-S,54-12427-S,64-18173-S
ru nan place in henan	36-57433-S
ru zhijuan 1925 1998	54-13182-B
ruan	65-59565-S
rub	26-53317-S,28-9782-S,28-35465-S,28-35614-S,28-51748-S,28-65308-B,46-38274-S,60-51628-B
rub against	60-51655-B
rub between the hands	29-5410-S
rub oneself down with a wet towel	29-26356-B
rub or roll between the hands or fingers	28-53446-S
rub with the hand	28-52932-S
rubber	12-33668-S,35-6301-B,35-6568-S,35-6784-B,43-61599-S,63-10920-S
rubber and cassava	17-18328-S
rubber ball	35-6454-B
rubber band	35-6511-B,44-65967-B
rubber stamp or seal	26-21857-S
rubber tire	52-49453-B
rubber tree	33-8321-S,35-6725-B
rubber using sulfur and heat	46-23846-S
rubbing	27-32010-S,28-57979-S
rubbing brush stroke in painting	29-25752-B
rubbing from a stone inscription	46-28254-S
rubbing from incised inscription	22-24044-B
rubbing to copy an inscription	27-32111-S
rubbings from a tablet	27-32527-B
rubbish	13-57209-S,23-9338-B,23-9812-B,29-51675-S,35-63026-B,52-22917-S
rubbish bin	15-55959-B
rubbish can	15-56068-B
rubble	43-11442-B
rubella	24-24889-B
rubia cordifolia	54-8649-B,54-8755-B,54-13093-B
rubicene chem 	42-31945-B
rubidium rb	64-32371-B
rubik s cube	70-35722-B,70-36382-B,70-41027-B
rubin 1938 	70-41308-S
rubin name	70-41308-B
rubra	34-28188-S,49-10275-S
rubus palmatus	54-59618-B
rubus tokkura	54-8953-B
ruby	49-9430-B
ruchang 1836 1895	1-25434-S
rucheng place in hunan	36-57493-S
rucksack	52-16949-B
rudd	60-6585-B
rudd 1957 	66-32759-S
rudder	12-23486-S,21-59261-S,26-65850-S,39-40965-S,53-37263-B
ruddy shelduck tadorna ferruginea	60-7418-B,71-25342-B
rude	2-5650-B,2-13314-B,2-34936-B,6-27950-B,6-58809-B,13-52607-S,22-34852-B,24-66280-B,40-58373-B,42-17297-B,48-48649-B,64-2877-B,71-11047-B
rude and impetuous	54-27583-B
rude and unreasonable	56-23375-B
rude and violent	56-23305-B
rude words	48-50067-B
rudely	40-58373-B,70-4885-S
rudely push and pull others	28-29735-S
rudimentary knowledge to beginners	13-65580-S
rudolf clausius 1822 1888	7-15009-B
rudolph w rudy giuliani 1944 	32-68461-B
rudong place in jiangsu	18-30738-S
rudy giuliani 1944 	32-68461-S
rue	25-16913-S
rue ruta graveolens	53-62703-S,55-14557-S
ruffian	8-2021-S,15-43507-S,23-44401-B,25-20243-S,36-24056-B,38-54867-B
ruffle feathers	25-26903-S
ruffled	24-32601-B
rufus	17-16431-S
rug	15-42157-B,36-17076-B,36-17235-B,36-17763-S,50-55125-S
rugao city in jiangsu	18-31293-S
rugby	35-339-S,42-52964-S,54-3330-B
rugby game	27-23945-B
rugby school in england	27-23945-B
ruge	24-27504-S
rugged	6-55145-S,21-43181-B,21-47863-B,21-48818-B,49-40907-B,66-15057-B,66-45513-B
rugged mountains	21-44705-B
rugicollis	56-22128-S
rugosus	55-35993-S
rui	34-29465-S,53-53998-S
rui 1514 1587	38-22621-S
rui an city in zhejiang	42-61822-S
rui dismissed from office	38-22674-S
ruichang county level city in jiujiang 九江	42-61884-B,42-61965-B
ruicheng place in shanxi	53-54038-S
ruihuan	33-4640-S
ruijin county level city in ganzhou 贛州 赣州	42-62765-B,42-62848-B
ruili city in yunnan	42-63036-S
ruin	5-7699-S,6-51762-B,23-23836-S,28-65210-S,29-65866-S,35-62128-S,36-2530-S,36-2817-B,61-5156-S
ruin a family	6-46364-S
ruin and overturn the state	6-47257-S
ruin it	71-42276-S
ruin sth	16-34473-S
ruin the effect by adding sth superfluous	43-59217-S
ruined	29-66363-B,30-5755-B,46-17659-B
ruined and orphaned	19-63585-B
ruined by a scar	46-18752-S
ruins	21-44992-S,23-8494-B,29-61314-S,63-2225-B,66-29902-B,66-42492-S
ruins of a historical building	15-67812-B
ruins of capital city of king helu of wu	65-52272-B
rukai	70-40031-B
