yi1 xue2	2-83208-S,8-51049-S,37-35238-S,42-25848-S,63-49568-B
yi1 xue2 bo2 shi4	63-49714-B
yi1 xue2 gong1 cheng2	43-25737-S
yi1 xue2 jia1	63-49786-B
yi1 xue2 xi4	63-49937-B
yi1 xue2 zhong1 xin1	63-49643-B
yi1 xue2 zhuan1 jia1	63-49847-B
yi1 xun2	5-24678-B
yi1 ya4	5-24986-S
yi1 yan2 wei2 ding4	1-20861-B
yi1 yan3	1-11646-S
yi1 yang3 hua4 dan4	1-13458-B
yi1 yang3 hua4 er4 dan4	1-13362-B
yi1 yang3 hua4 tan4	1-13526-B
yi1 yang4	1-12407-S,1-12502-B,1-65267-S,11-50697-S
yi1 yao4	6-38512-S,6-38717-S,63-50614-B
yi1 ye4	1-3691-S
yi1 ye4 lu4 shui5	1-5743-B
yi1 ye4 qing2	1-5684-B
yi1 yi1	1-194-B,5-23884-B
yi1 yi1 bu2 she3	5-23996-B
yi1 yi1 dui4 ying4	1-254-B
yi1 yi1 yuan2 ti3	70-50252-S
yi1 yi4	1-2733-B,1-8679-S,1-8823-B,20-39084-S,43-54130-S
yi1 yi4 gu1 xing2	1-8894-B
yi1 yi4 miao2	1-32533-S
yi1 yong1 er2 shang4	1-9857-B
yi1 yu2 hu2 di3	4-47461-B
yi1 yu3	18-49633-S
yi1 yu4 shi2	64-45793-S
yi1 yuan2 jun1	56-41882-B
yi1 yuan2 lun4	1-2776-B
yi1 yuan2 ti3	56-41936-B,70-50252-S
yi1 yuan4	48-56433-S,61-861-S,63-50924-B
yi1 yue4	1-11194-B,10-41887-S
yi1 yue4 er2 qi3	1-21388-B
yi1 zai4	1-2871-B
yi1 zhan4	52-18052-S
yi1 zhan4 shi4	44-46185-S
yi1 zhan4 xian4	49-51144-S
yi1 zhan4 xian4 gong1 zuo4 bu4	49-51214-S
yi1 zhang1	1-8326-B,48-9352-S
yi1 zhao1 sheng1	49-51333-S
yi1 zhao4	5-25497-B
yi1 zhe2	18-30263-S
yi1 zhe3	44-62814-S
yi1 zhe5	5-25670-B
yi1 zhen1	50-27239-S
yi1 zhen4	1-22322-B
yi1 zhen4 zi3	1-22376-B
yi1 zhi1 ban4 jie3	1-15758-B
yi1 zhi1 shi2	51-56550-S
yi1 zhi2	1-15203-B
yi1 zhi2 wang3 qian2	1-15414-B
yi1 zhi2 yi3 lai2	1-15338-B
yi1 zhi4	1-18452-B,2-24768-S,7-35891-S,10-51803-S,35-43302-S,42-19607-S,63-50033-B
yi1 zhi4 qian1 jin1	1-9947-B
yi1 zhi4 xing4	1-18590-B
yi1 zhi4 xing4 xiao4 ying4	1-18646-B
yi1 zhi4 zi1 yuan2 ding4 zhi3 qi4	1-18733-B
yi1 zhi4 zi4	1-18524-B,1-65428-S
yi1 zhong1 yi1 tai2	1-1062-B
yi1 zhong1 yuan2 ze2	1-1148-B
yi1 zhong3	1-16268-B,12-6723-S
yi1 zhong3 cu1 mian2 bu4	1-16326-B
yi1 zhong3 zi5	10-17873-S
yi1 zhou1	1-4659-B,4-47837-S
yi1 zhu3 jiao4	49-13331-S
yi1 zhuang1	56-42775-B
yi1 zhuo2	56-42639-B
yi1 zi3	56-42132-B
yi1 zu2	22-13836-S
yi1 zu2 Miao2 zu2 zi4 zhi4 zhou1	71-34703-S,71-35417-S
yi1 zu2 shi2	59-21826-S
