fu tang dao huo	60-15458-B
fu te	4-54064-B,15-59801-S,47-5485-B,67-27475-S
fu te hai	37-38456-S
fu te ji	4-54148-B
fu te jia	4-54100-B
fu ti	20-7753-S,26-56013-B,53-2393-S,70-33233-S
fu tiao	61-19656-B
fu tie	30-19248-B
fu ting	24-15554-B
fu tong	52-44915-B
fu tou	30-38306-B,65-1542-S
fu tu	1-28294-S,18-52399-S,38-13080-B,38-13227-B
fu tuo	4-27391-B
fu wan	32-43511-B
fu wang	57-28444-B
fu wei	4-53552-B,24-13121-B
fu weng	20-7887-B,44-57169-S
fu wo	4-54569-B
fu wo cheng	5-50213-B
fu wu	6-40985-S,6-41730-S,8-49549-S,12-9850-S,12-59090-S,13-54043-S,24-62349-S,26-2647-S,32-42498-B,35-11962-S,46-49070-S,50-9493-S,57-61409-S,59-51229-S,62-7434-S,62-29866-S,67-25349-S,67-29212-S,67-37174-S
fu wu chan ye	24-62420-S
fu wu chang	47-2422-S
fu wu fei	32-43363-B
fu wu gong si	51-58165-S
fu wu gong ying shang	67-25430-S
fu wu guang gao xie yi	32-42858-B
fu wu gui zhang	32-43289-B
fu wu qi	4-45647-S,15-63928-S,23-12946-S,26-41544-S,30-25739-S,32-42799-B
fu wu qi huan jing	19-52306-S
fu wu qi jie gou	19-52137-S
fu wu quan zi	55-47627-S
fu wu shu wei wang lu	30-17210-S
fu wu shu wei wang luo	49-63673-S
fu wu tai	32-42616-B,32-43202-B
fu wu ti gong shang	32-42969-B
fu wu ti gong zhe	32-43063-B
fu wu wang lu	30-17072-S
fu wu ye	32-43144-B
fu wu yuan	18-21114-S,32-42703-B
fu wu zhi liang	32-43433-B
fu wu zhong xin	19-52038-S,32-42546-B
fu wu zhuang	7-34037-S
fu xi	24-15454-B,41-41262-B
fu xi xiao ji	13-4808-S
fu xia	56-7350-S
fu xian	5-18028-S,19-31742-S,24-15076-B,24-15343-B,38-13843-B,44-3405-S
fu xian zhi	39-54432-S
fu xiang	7-9226-S
fu xiang cheng	45-31292-S
fu xiao zhang	9-32603-B
fu xie	24-14392-B,25-42400-S,52-44857-B
fu xie zhi	57-5563-B
fu xin	24-13229-B,59-31500-B
fu xin wen chu	29-54775-S
fu xing	12-14299-S,13-4732-S,24-15613-B,30-30864-S,32-42441-B,52-37218-B,54-5502-B,57-5469-B,64-348-S,67-37882-S
fu xing gao zhao	47-4655-B
fu xiong di	11-14667-S
fu xiu	24-13282-B,52-37535-B
fu xiu er qu	27-18423-B
fu xue	24-14220-B
fu xue pai	37-33677-S
fu xun	6-27456-S
fu ya	59-31443-B
fu yan	30-18562-B,30-18740-B,57-6080-B
fu yan liao shi	30-18920-B
fu yan se ze	30-19021-B
