shou3 kao4	26-36638-B
shou3 ke3 de2	13-56746-S
shou3 kong1 kong1	7-45453-S
shou3 kuo4 bu4	31-18788-S
shou3 la1 che1	26-33399-B
shou3 la1 hu2 lu5	26-33323-B
shou3 li3	26-35976-B,27-62267-S
shou3 li4	69-21194-B
shou3 ling3	69-24587-B
shou3 liu2 dan4	26-34178-B
shou3 lun2	69-23443-B
shou3 mang2 jiao3 luan4	26-32946-B
shou3 men2	19-22527-B
shou3 men2 yuan2	19-22597-B
shou3 nan2 gong1	31-27778-S
shou3 nao3	69-23150-B
shou3 nao3 hui4 wu4	69-23224-B
shou3 nao3 hui4 yi4	69-23298-B
shou3 nie4 jiao3	60-54450-S
shou3 pa4	26-32786-B
shou3 pai4	5-35505-S
shou3 qi3 jia1	44-39147-S
shou3 qi4	26-34543-B
shou3 qian1 yang2	68-24662-S
shou3 qiang1	21-59369-S,26-34263-B
shou3 qiu2	26-34900-B
shou3 que1	5-37556-S,27-13396-S
shou3 r5	5-60165-S,68-24576-S
shou3 ren4	69-21075-B
shou3 ri4 feng1	69-22343-B
shou3 she4	46-55396-S
shou3 shi2	19-21954-B
shou3 shi4	12-42306-S,26-32180-B,43-47961-S,69-24638-B
shou3 shu4	4-13718-S,8-10197-S,9-26984-S,9-27198-S,16-49650-S,26-35905-B,47-27059-S
shou3 tan2	26-32832-B
shou3 tao4	26-32234-B,65-61341-S
shou3 ti2	26-33709-B
shou3 ti2 bao1	26-33751-B
shou3 ti2 dian4 nao3	26-33869-B
shou3 ti2 xiang1	26-33814-B
shou3 tian1 xian3	29-23975-S
shou3 tie1 er3	5-50462-S
shou3 ting3 xiong1	31-18719-S
shou3 tou2	26-36970-B
shou3 tou2 xian4 jin1	26-37024-B
shou3 tou2 zu2	53-27178-S
shou3 tui1 che1	26-33656-B
shou3 wan4	16-42775-S,26-35265-B,42-39642-S
shou3 wan4 shi4	26-35385-B
shou3 wan4 shi4 zhi3 bei3 zhen1	26-35440-B
shou3 wan4 zi5	26-35336-B
shou3 wei2 qiang2	7-3039-S
shou3 wei3	69-21791-B
shou3 wei3 yin1	69-21839-B
shou3 wei4	19-22373-B,69-21148-B
shou3 wu2 ce4	33-11937-S
shou3 wu2 cun4 tie3	26-34707-B
shou3 wu2 fu2 ji1 zhi1 li4	26-34786-B
shou3 wu3 zu2 dao3	26-35712-B
shou3 xi2	69-21899-B
shou3 xi2 da4 fa3 guan1	69-22103-B
shou3 xi2 dai4 biao3	69-21954-B
shou3 xi2 fa3 guan1	69-22204-B
shou3 xi2 zhi2 xing2 guan1	69-22031-B
shou3 xia4	26-31552-B
shou3 xia4 liu2 qing2	26-31683-B
shou3 xia4 wu2 ruo4 bing1	23-43572-S
shou3 xian1	69-21253-B
shou3 xian1 shi3 yong4	2-36802-S
shou3 xian4	21-36092-S
shou3 xiang4	69-23078-B
shou3 xie3	26-32281-B
shou3 xie3 bian4 shi2	26-32407-B
shou3 xie3 shi2 bie2	26-32327-B
shou3 xin1 li5	26-32882-B
shou3 xin4	19-21577-B
shou3 xin4 yong4	19-21628-B
shou3 xu4	26-35105-B,44-24231-S
shou3 xu4 fei4	26-35150-B
shou3 xu4 gui4 tai2	44-24326-S
shou3 xuan3	69-23592-B
shou3 yan3	69-22882-B
shou3 yao2 feng1 qin2	26-33943-B
shou3 yao4	69-23390-B
shou3 ye4	19-21835-B,37-53072-S,69-24468-B
shou3 yi3	26-55871-S
shou3 yi4	26-35840-B,69-23691-B
shou3 yin1	69-24428-B
shou3 yin2	26-34648-B
shou3 ying4	69-22407-B
shou3 ying4 shi4	69-22516-B
shou3 yong4	26-34948-B
shou3 yu3	26-36048-B
shou3 ze2	19-21784-B
shou3 zhai1	19-22655-B
shou3 zhang3	26-33615-B,69-24376-B
shou3 zhang4	26-34023-B
shou3 zhe3	45-38402-S,65-60462-S
shou3 zhi1 lao2	53-27031-S
shou3 zhi3	26-33448-B
shou3 zhou3	26-35224-B
shou3 zhu3 yi4	5-35437-S
shou3 zhu5	19-21523-B
shou3 zhuo2	26-36790-B
shou3 zi4 mu3	69-21496-B
shou3 zi4 mu3 suo1 xie3	69-21555-B
shou3 zu2	25-12546-S,26-36095-B,57-38400-S
shou3 zu2 kou3 bing4	26-36213-B
shou3 zu2 kou3 zheng4	26-36293-B
shou3 zu2 qin1 qing2	26-36492-B
shou3 zu2 wu2 cuo4	26-36384-B
shou3 zu2 zhi1 qing2	26-36137-B
