搭坐 搭坐	28-59283-B
搭帮	28-59339-S
搭幫 搭帮	28-59339-B
搭建	28-59401-S
搭建 搭建	28-59401-B
搭接	28-59519-S
搭接 搭接	28-59519-B
搭接片	28-59573-S
搭接片 搭接片	28-59573-B
搭救	28-59652-S
搭救 搭救	28-59652-B
搭架子	28-59691-S
搭架子 搭架子	28-59691-B
搭桌	28-59799-S
搭桌 搭桌	28-59799-B
搭档	28-59878-S
搭檔 搭档	28-59878-B
搭理	28-59932-S
搭理 搭理	28-59932-B
搭界	28-59997-S
搭界 搭界	28-59997-B
搭白	28-60070-S
搭白 搭白	28-60070-B
搭盖	28-60680-S
搭縫 搭缝	28-60112-B
搭缝	28-60112-S
搭肩	28-60159-S
搭肩 搭肩	28-60159-B
搭背	28-60255-S
搭背 搭背	28-60255-B
搭脚手架	28-60450-S
搭腔	28-60319-S
搭腔 搭腔	28-60319-B
搭腰	28-60386-S
搭腰 搭腰	28-60386-B
搭腳手架 搭脚手架	28-60450-B
搭膊	28-60528-S
搭膊 搭膊	28-60528-B
搭茬	28-60572-S
搭茬 搭茬	28-60572-B
搭茬儿	28-60615-S
搭茬兒 搭茬儿	28-60615-B
搭蓋 搭盖	28-60680-B
搭街坊	28-60797-S
搭街坊 搭街坊	28-60797-B
搭补	28-60860-S
搭補 搭补	28-60860-B
搭話 搭话	28-60925-B
搭調 搭调	28-61008-B
搭话	28-60925-S
搭调	28-61008-S
搭車 搭车	28-61069-B
搭載 搭载	28-61152-B
搭车	28-61069-S
搭载	28-61152-S
搭配	28-61199-S
搭配 搭配	28-61199-B
搭鉤 搭钩	28-61295-B
搭钩	28-61295-S
搯 掏	28-61358-B
搰	28-61403-S
搰 搰	28-61403-B
搴	28-61432-S
搴 搴	28-61432-B
搴旗	28-61502-S
搴旗 搴旗	28-61502-B
搵	28-61572-S
搵 搵	28-61572-B
搶 抢	28-61617-B,28-61673-B
搶佔 抢占	28-61753-B
搶修 抢修	28-61826-B
搶先 抢先	28-61896-B
搶劫 抢劫	28-61995-B
搶劫罪 抢劫罪	28-62046-B
搶奪 抢夺	28-62100-B
搶手 抢手	28-62151-B
搶手貨 抢手货	28-62215-B
搶掠 抢掠	28-62291-B
搶救 抢救	28-62343-B
搶購 抢购	28-62385-B
搶通 抢通	28-62448-B
搶險 抢险	28-62535-B
搶風 抢风	28-62617-B
搶風航行 抢风航行	28-62680-B
搷	28-62775-S
搷 搷	28-62775-B
携	29-33679-S
携家带口	29-33755-S
携带	29-33874-S
携带者	29-33925-S
携眷	29-33977-S
搽	28-62816-S
搽 搽	28-62816-B
搾	28-62854-S
搾 搾	28-62854-B
搿	28-62895-S
搿 搿	28-62895-B
摀 捂	28-62923-B
摀住 捂住	28-62971-B
摀住臉 捂住脸	28-63031-B
摁	28-63127-S
摁 摁	28-63127-B
摁扣儿	28-63223-S
摁釘兒 摁钉儿	28-63171-B
摁釦兒 摁扣儿	28-63223-B
摁钉儿	28-63171-S
摂	28-63289-S
摂 摂	28-63289-B
摄	29-34075-S
摄像	29-34204-S
摄像头	29-34315-S
摄像机	29-34250-S
摄入量	29-34368-S
摄取	29-34431-S
摄影	29-34495-S
