xí	2-42066-S,3-4822-S,5-28056-S,6-23608-S,6-37346-S,6-38918-S,7-22182-S,8-39260-S,8-66669-S,9-15326-S,9-31784-S,13-6624-S,14-62086-S,18-7404-S,18-56974-B,19-19126-S,19-60071-S,20-14451-S,20-20686-S,21-63191-S,22-26908-B,22-64377-S,23-33827-S,24-15454-S,24-59663-S,25-22872-S,26-62031-S,26-64430-S,30-9662-S,34-46415-B,35-11039-B,36-13221-S,37-27523-S,39-23044-S,39-46652-S,41-16224-S,44-17838-B,46-14614-S,46-25338-S,47-49454-S,47-53786-S,48-22969-S,50-24532-S,50-48852-S,51-17639-B,51-61471-S,53-13161-S,54-40214-S,55-4805-B,56-58790-S,57-8798-B,57-12180-B,57-37428-B,59-3437-S,60-27556-S,60-63272-S,61-2708-S,61-43243-S,61-62148-S,61-64816-S,62-31168-S,62-35835-S,63-10015-S,66-16464-S,66-29335-S,66-29412-S,66-46169-B,67-46142-B,68-30031-S,69-21899-S,70-46960-B,71-43909-S
xí biǎo jué bǐ lì	8-39378-S
xí bān	56-58890-S,58-55112-S
xí běn	50-24747-S
xí chǎng	50-24649-S
xí cè	50-24589-S
xí dà fǎ guān	69-22103-S
xí dài biǎo	69-21954-S
xí dào de	62-44728-S
xí dé xìng	51-18120-B
xí dé xìng wú zhù gǎn	51-18180-B
xí dēng	41-11690-B
xí fu	5-16661-S,19-14887-S
xí fán níng gēn	22-27022-B
xí fù	16-49153-S,18-57011-B
xí fù er	18-57090-B
xí fǎ guān	69-22204-S
xí guàn	5-15240-S,45-37600-S,51-18382-B
xí guàn chéng zì rán	51-18512-B
xí guàn xìng	51-18457-B
xí huà	1-7612-S
xí huì yì	51-61316-S
xí juǎn	22-27288-B
xí juǎn yà zhōu	22-27211-B
xí jì niàn táng	36-13320-S
xí jī	57-12267-B
xí jī shì jiàn	53-7522-S
xí jī zhě	57-12346-B
xí kè kǔ	19-19176-S
xí lè	22-27090-B
xí qì	51-18674-B,63-29655-S
xí sheng	20-14506-S
xí shuǐ	51-18739-B
xí sú	33-43573-S,36-23717-S,51-17955-B
xí sú yí xìng	51-18030-B
xí tuán	3-4883-S
xí tái	3-4937-S
