gōng jǐng	19-995-S,19-58070-B
gōng jǐng mǒ piàn	19-58131-B
gōng jǐng ái	19-1066-S
gōng jǔ zhēng	12-67489-S
gōng kuī yī kuì	9-50432-B
gōng kuǎn	7-60817-B
gōng kè	7-55243-B,9-50522-B,29-47283-B
gōng kè jǐ	18-2800-S
gōng kāi	7-65385-B,10-55184-S
gōng kāi huà	7-65483-B
gōng kāi sài	7-65707-B,39-20953-S
gōng kāi tǎo lùn huì	7-65629-B
gōng kāi xìn	7-65426-B
gōng kāi yào shi	7-65765-B
gōng kāi zhāo gǔ	69-22634-S
gōng kāi zhǐ zé	7-65565-B
gōng kē	42-54632-S
gōng kǎ	16-29168-S
gōng liè	9-49431-B
gōng liú chǎn	4-9113-S
gōng liǎng	7-55281-B
gōng láo	9-48093-B
gōng lì	7-60431-B,7-63342-B,9-47688-B,9-47919-B
gōng lì yè	23-20469-S
gōng lì zhǔ yì	9-47729-B
gōng lìng	9-47646-B
gōng lí	7-65332-B
gōng líng	21-57597-B
gōng lóu	61-35056-S
gōng lù	7-64916-B,67-58317-S,70-22386-S
gōng lù wǎng	7-64961-B
gōng lùn	31-38042-S
gōng lǐ	7-61865-B,7-65226-B,14-39058-S,22-40898-S
gōng lǐ fǎ	7-61921-B
gōng lǐ shí	7-65269-B
gōng lǜ	7-7403-S,9-49477-B,44-34769-S,67-25955-S
gōng lǜ duī	67-19827-S
gōng lǜ è huà	9-49538-B
gōng miè	29-47909-B
gōng mào yì	9-55172-S
gōng mèi	26-43566-S
gōng mín	7-60921-B
gōng mín biǎo jué	7-61111-B
gōng mín quán lì	7-61042-B
gōng mín tóu piào	7-60963-B
gōng míng	9-48159-B
gōng míng lì lù	9-48258-B
gōng mù	7-50862-S,7-56994-B,7-58137-B,10-52554-S,66-13818-S
gōng mǔ	7-62321-B
gōng niáng niáng	35-35764-S
gōng niú	7-61782-B
gōng néng	9-49851-B,16-54297-S,41-60651-S,48-26778-S,58-5003-S
gōng néng biǎo	9-50181-B,16-54375-S
