pool	36-42465-B,36-44354-S,36-61981-B,36-62218-B,37-25362-B,39-6969-S,39-7065-S,39-62418-S,40-15943-B,55-15614-B
pool in a bathhouse	36-62262-S
pool in bath house	40-989-S
pool of blood	56-26360-B
pool wisdom for mutual benefit	66-57782-S
poopdeck	53-37186-B
poor	9-62548-S,11-63569-B,13-46717-S,20-8935-B,20-11193-B,21-63392-B,26-56398-S,30-5755-B,36-40-S,37-9148-S,47-55808-S,47-56934-B,47-56973-S,47-58093-B,54-18185-S,55-17886-B,55-20034-S,59-35048-B,59-35536-S,59-36267-B,59-36417-B,59-36598-B,64-36020-S,66-22240-S
poor and feeble	59-35621-B
poor and lowly	59-36775-B
poor and remote village	63-30234-S
poor and rich	59-35490-B
poor and with low expectations	4-15336-B
poor as church mice	19-64155-B
poor but not destitute	35-21705-S
poor calligraphy	16-18840-B,16-18931-B
poor eyesight	45-37111-S
poor health	55-51427-S
poor in oil	59-35885-B,59-35930-S
poor land	55-19449-B
poor light	52-16828-S
poor little rich girl	60-55846-B
poor lung capacity	36-27173-S
poor man s ginseng codonopsis pilosula	71-44126-B
poor monk humble term used by monk of himself	59-35154-B
poor peasant	59-36959-B
poor peasants in marxism	59-37063-B
poor people	47-56973-B,59-35670-B
poor person s house	55-7725-B,55-7939-B,55-8428-B
poor quality	25-19479-S,37-11016-B
poor rhetoric 成语 saw	42-54230-S
poor s financial index s p	34-54379-S
poor soil	55-18344-B
poor soldiers under a good general	23-43572-S
poor speaker	48-7513-B
poor talents	55-18712-S
poor taste	4-67305-B,5-33368-S
poor woman	59-35436-B
poor 成语 saw	26-43079-S
poorer relative	13-13292-S,59-56571-S
pop	8-18254-S,37-824-B,41-35201-B
pop group	43-45804-S,61-34163-S
pop lyrics no chance of love	40-60156-S
pop or film star worshipped by fans	30-1093-S
popcorn	41-35048-B,42-31808-B
pope	30-2228-S,30-3661-B,32-65746-S
pope benedictus xvi	27-26659-S
pope vigilius in office 537 555	50-2889-B
poplar	34-27196-B,44-40546-B,64-28077-S
poplar and willow	34-28034-B
poplar populus bonatii	44-40320-S
poplar populus tremula	35-29341-S
poplar tree	34-28461-B
poplin cotton cloth used for shirts	22-63212-B
popper	28-63223-S
poppy	50-50256-B
poppy seed	18-55228-B,50-50295-B
popsicle	8-18192-B,8-19494-B,67-16605-B,67-44626-B
populace	36-22463-B
popular	5-33065-B,11-62218-B,12-28067-S,17-27056-S,31-41512-B,31-47223-B,31-47509-B,36-23351-B,38-5812-B,41-22418-B,47-59051-S,49-8237-B,53-22708-S,60-13424-S,68-57086-S,69-24798-B
popular along changjiang	53-61984-S
popular among muslims	27-426-S
popular ballad	58-57889-B
popular craze	40-23236-S,41-20627-B,42-14919-B
popular culture misquotation of 哀莫大於心死 哀莫大于心死	25-37522-B
popular customs	36-19475-B,36-23997-B
popular feeling	4-9311-B
popular fiction	56-7851-S
popular form of narrative literature flourishing in the tang dynasty 618 907 with alternate prose and rhymed parts for recitation and singing often on buddhist themes	59-9227-S
popular front	4-13536-B
popular front for the liberation of palestine	57-49282-B
popular hero in robin hood style	49-65235-S,49-65357-S
popular history of china in three volumes by cao yuzhang 曹余章	1-45443-B
popular in hong kong	18-29189-S,51-8220-S,66-11725-S
popular in sichuan and yunnan	53-58335-S
popular in the us	17-32115-S
popular legends	64-3127-S
popular music	38-6201-B
popular or hot music	41-22536-B
popular person or item	61-57822-S
popular piece of doggerel	68-22611-B
popular saying	11-70384-S
popular saying with many possible interpretations	43-18976-S
popular science	47-17929-B,47-19128-B,47-19437-B
