裁判官 裁判官	56-53236-B
裁剪	56-53287-S
裁剪 裁剪	56-53287-B
裁员	56-53329-S
裁員 裁员	56-53329-B
裁夺	56-53397-S
裁奪 裁夺	56-53397-B
裁定	56-53450-S
裁定 裁定	56-53450-B
裁并	56-53052-S
裁撤	56-53491-S
裁撤 裁撤	56-53491-B
裁断	56-53533-S
裁斷 裁断	56-53533-B
裁決 裁决	56-53587-B
裁減 裁减	56-53640-B
裁減軍備 裁减军备	56-53706-B
裁紙機 裁纸机	56-53777-B
裁縫 裁缝	56-53841-B
裁縫師 裁缝师	56-53893-B
裁纸机	56-53777-S
裁缝	56-53841-S
裁缝师	56-53893-S
裁軍 裁军	56-53945-B
裂	56-53990-S
裂 裂	56-53990-B
裂体吸虫	56-55449-S
裂化	56-54024-S
裂化 裂化	56-54024-B
裂变	56-54774-S
裂变产物	56-55115-S
裂变同位素	56-54816-S
裂变材料	56-54899-S
裂变武器	56-54977-S
裂变炸弹	56-55046-S
裂变碎片	56-55188-S
裂口	56-54093-S
裂口 裂口	56-54093-B
裂殖	56-54167-S
裂殖 裂殖	56-54167-B
裂殖菌	56-54208-S
裂殖菌 裂殖菌	56-54208-B
裂殖菌綱 裂殖菌纲	56-54294-B
裂殖菌纲	56-54294-S
裂片	56-54392-S
裂片 裂片	56-54392-B
裂璺	56-54471-S
裂璺 裂璺	56-54471-B
裂痕	56-54530-S
裂痕 裂痕	56-54530-B
裂紋 裂纹	56-54569-B
裂縫 裂缝	56-54613-B
裂纹	56-54569-S
裂缝	56-54613-S
裂罅	56-54661-S
裂罅 裂罅	56-54661-B
裂脑人	56-54715-S
裂腦人 裂脑人	56-54715-B
裂變 裂变	56-54774-B
裂變同位素 裂变同位素	56-54816-B
裂變材料 裂变材料	56-54899-B
裂變武器 裂变武器	56-54977-B
裂變炸彈 裂变炸弹	56-55046-B
裂變產物 裂变产物	56-55115-B
裂變碎片 裂变碎片	56-55188-B
裂谷	56-55262-S
裂谷 裂谷	56-55262-B
裂谷热病毒	56-55306-S
裂谷熱病毒 裂谷热病毒	56-55306-B
裂隙	56-55394-S
裂隙 裂隙	56-55394-B
裂體吸蟲 裂体吸虫	56-55449-B
装	56-60349-S
装作	56-60523-S
装佯	56-60593-S
装修	56-60642-S
装入	56-60778-S
装卸	56-60821-S
装卸工	56-60915-S
装可爱	56-60983-S
装备	56-60732-S
装屄	56-61089-S
装弹	56-61155-S
装成	56-61231-S
装扮	56-61280-S
装有	56-61344-S
装束	56-61392-S
装模作样	56-61444-S
装洋蒜	56-61553-S
装满	57-0-S
装潢	57-47-S
装甲	57-145-S
装甲车	57-195-S
装疯卖傻	57-254-S
装神弄鬼	57-360-S
装置	57-441-S
装置物	57-501-S
装聋作哑	57-568-S
装船	57-644-S
装订	57-691-S
装设	57-740-S
装货	57-814-S
装载	57-859-S
装配	57-903-S
装配员	57-967-S
装配线	57-1031-S
装饰	57-1109-S
装饰品	57-1190-S
装饰物	57-1246-S
裆	57-11340-S
裉	56-55516-S
裉 裉	56-55516-B
裊 袅	56-55558-B
裋	56-55599-S
裋 裋	56-55599-B
裌	56-55653-S
裌 裌	56-55653-B
裍	56-55681-S
裍 裍	56-55681-B
裎	56-55743-S
裎 裎	56-55743-B
裏 里	56-55784-B
裒	56-55879-S
裒 裒	56-55879-B
裔	56-55909-S
裔 裔	56-55909-B
裕	56-55951-S
裕 裕	56-55951-B
裕仁	56-55981-S
裕仁 裕仁	56-55981-B
裕民	56-56040-S
裕民 裕民	56-56040-B
裘	56-56102-S
裘 裘	56-56102-B
裘馨氏肌肉萎縮症 裘馨氏肌肉萎缩症	56-56149-B
裘馨氏肌肉萎缩症	56-56149-S
裙	56-56277-S
裙 裙	56-56277-B
裙子	56-56305-S
裙子 裙子	56-56305-B
裛	56-56342-S
裛 裛	56-56342-B
補 补	56-56409-B
補丁 补丁	56-56506-B
補偏救弊 补偏救弊	56-56545-B
補償 补偿	56-56675-B
補充 补充	56-56728-B
補充品 补充品	56-56828-B
補充醫療 补充医疗	56-56892-B
補充量 补充量	56-56971-B
補助 补助	56-57052-B
補助組織 补助组织	56-57114-B
補品 补品	56-57191-B
補報 补报	56-57229-B
補救 补救	56-57336-B
補數 补数	56-57375-B
補法 补法	56-57428-B
補液 补液	56-57565-B
補瀉 补泻	56-57611-B
補爐 补炉	56-57693-B
補牙 补牙	56-57733-B
補登 补登	56-57798-B
