fei4 jie3	59-47863-B
fei4 jin4	59-46461-B
fei4 jin4 r5	59-46522-B
fei4 jin4 xin1 ji1	59-47569-B
fei4 jiu4	23-9582-B
fei4 ju4 xing1	44-53683-S
fei4 kai1 zhi1	61-690-S
fei4 li4	59-46331-B
fei4 liao4	23-8897-B
fei4 luo4 meng2	59-46893-B
fei4 mi3 zi3	59-47756-B
fei4 pao4	52-14795-B
fei4 pin3	23-8409-B,38-32373-S
fei4 qi4	23-8961-B,23-9127-B
fei4 qi4 chu3 cun2	39-20099-S
fei4 qi4 jian4	38-32433-S
fei4 qi4 zhong3	52-14677-B
fei4 qin3 wang4 can1	23-8657-B
fei4 qin3 wang4 shi2	23-8532-B
fei4 ran2	23-9286-B
fei4 ren2	23-8342-B
fei4 ruan3 jian4	7-21352-S
fei4 shi2	14-59606-S,37-21838-B
fei4 shi4	2-31868-S,59-46228-B
fei4 shui3	23-9185-B,37-21790-B
fei4 shui3 zhong3	2-70610-S,52-14732-B
fei4 shui4	38-32498-S
fei4 teng2	37-21879-B
fei4 tie3	23-9993-B
fei4 tong2 lan4 tie3	23-9910-B
fei4 tuo2	12-66253-B
fei4 wu4	4-68072-S,23-9338-B,29-49997-S,33-57409-S
fei4 wu4 xiang1	23-9408-B
fei4 xi4 tong3	20-5906-S
fei4 xin1	59-46851-B
fei4 xu1	23-8494-B
fei4 yan2	17-33826-S,29-37786-S,52-14847-B,67-63070-S,71-46092-S
fei4 yan2 ke4 lei2 bo2 shi4 jun1	52-14916-B
fei4 yan2 mei2 jiang1 jun1	52-15116-B
fei4 yan2 shuang1 qiu2 jun1	52-15024-B
fei4 ye4	23-9240-B
fei4 yong4	4-69750-S,49-61337-S,59-47510-B
fei4 zhe3	19-62436-S,38-12217-S,38-32570-S
fei4 zhi3	23-9040-B,23-9472-B
fei4 zhi4	23-9517-B
fei4 zi1 liao4	38-32624-S
fei4 zi5	44-15719-B
