sè zhàn jì	35-2035-S,44-44603-S,55-29743-S
sè zhào piàn	14-20981-S
sè zhì	33-43328-S
sè zhī tú	18-29471-S
sè zhōu	66-11331-S
sè zhǎng	53-46035-B
sè zi	42-42403-S
sè zé	30-19021-S
sè zǐ luó lán	1-40112-S
sè àn suān	53-45635-B
sè ān suān	43-40180-S,53-45316-B
sè ěr	1-55184-S
sè ěr shì	22-22592-S
sì	1-25283-S,1-32007-S,1-65506-S,3-15915-S,3-34400-S,3-48053-S,4-61783-B,4-62181-B,4-66995-S,5-3590-S,5-42158-B,6-33349-S,6-57048-B,7-22874-B,7-66873-S,8-10394-S,10-4117-S,10-45350-S,13-48065-S,13-51910-S,14-25123-B,14-45451-B,16-17852-S,17-10822-S,17-18053-S,17-20253-S,17-31513-S,17-56019-S,17-70210-S,18-4042-S,18-26605-S,18-40569-B,20-32096-B,20-65152-S,21-4585-S,22-1784-S,22-2656-B,23-67756-S,24-65309-S,25-5106-S,26-2882-S,27-21567-S,27-64128-S,29-52745-S,31-30241-S,32-47262-S,32-67160-S,33-30080-S,33-51473-B,36-57349-B,37-32428-S,37-35342-S,37-35486-B,37-65340-S,38-36795-B,38-64065-S,39-62565-S,43-13236-S,44-3618-S,44-23064-S,44-49140-S,45-26269-S,46-50807-B,46-65142-S,48-5897-B,48-12782-S,51-38618-B,52-3700-B,53-45110-S,61-32986-S,61-47559-S,62-26926-S,63-40606-S,64-9892-S,68-45507-S,68-47285-S,69-1697-B,69-6846-B,69-50632-B
sì biān	14-53483-B
sì biān xíng	2-28817-S,14-53527-B,22-44637-S
sì bù qǔ	14-53646-B
sì bǎi wàn	14-52086-B
sì bǎi yì	1-3559-S,14-52033-B
sì bǎi èr shí jiǔ	1-3468-S
sì bǎo	30-28129-S
sì chuān	14-48804-B
sì chuān dà xué	14-48885-B
sì chuān pén dì	14-49028-B
sì chuān rì bào	14-48959-B
sì chuān shěng	14-49097-B
sì chóng zòu	14-53753-B
sì chù	14-52646-B
sì chōng	6-2921-S
sì cáo	69-6937-B
sì céng xiāng shí	4-62488-B
sì cì	14-51067-B
sì cǎo	69-6984-B
sì de	4-62734-B
sì diǎn	68-47335-S
sì dà bù shū	10-30380-S
sì dà cái zǐ	36-58106-S
sì dà fó jiào míng shān	14-47586-B
sì dà fā míng	14-47992-B
sì dà jiā	6-62131-S,7-67951-S,13-50280-S,67-4038-S
sì dà míng zhù	14-47745-B
sì dà měi nǚ	2-55115-S,14-48176-B
sì dà pén dì	14-48086-B
sì dà shū	19-35035-S
sì dà tiān wáng	14-47845-B
sì dà xū shēng	14-48269-B
sì dài	48-12832-S
sì dé	1-34468-S,14-50091-B
sì dì	14-53058-B
sì děng jí	61-47645-S
sì fú	4-61898-B
sì fú huà guī	14-51124-B
sì fú huà yóu	14-51204-B
sì fú qì	4-61974-B
sì fú yǐ xī	51-54099-S
sì fāng	14-50384-B
sì fāng bù	14-50532-B
sì fāng qū	14-50437-B
sì fēn wǔ liè	14-46630-B
sì fēn zhī yī	14-46565-B
sì fǎ	71-52633-S
sì guà	7-66489-S
sì guó	14-25279-B,14-47457-B
sì gè xiàn dài huà	14-46395-B
sì gè xiǎo shí	14-46330-B
sì gōng jī	17-31606-S
sì gǔ	17-31709-S
sì hu hěn ān quán	4-62330-B
sì huà	14-46833-B
sì huán lù	14-51963-B
sì huán sù	14-51907-B
sì huì	14-50881-B
sì huī	14-25454-B
sì hào	3-34689-S
sì háng shī	10-45394-S
sì hé	4-62672-B
sì hé yuàn	14-47326-B
sì hòu	14-25381-B
sì hóng	37-35589-B
sì hú xiāng	14-51768-B
sì hū	4-62254-B
sì hǎi	3-51501-S,45-18691-S
sì hǎi jiē zhǔn	14-51521-B
sì hǎi piāo líng	14-51661-B
sì hǎi ér jiē zhǔn	29-48739-S
sì jiàn	7-13552-S,14-51842-B,68-64076-S
sì jié qi	3-34608-S
sì jiā	19-35138-S
sì jiāo	14-53586-B
sì jiě	61-47722-S
sì jiǎo cháo tiān	14-52530-B
sì jiǎo hào mǎ	14-52949-B
sì jiǎo xíng	14-52803-B
sì jiǎo zhù tǐ	14-52862-B
sì jiǔ nián	1-1265-S
sì jì	14-48496-B,48-12892-S,48-13034-S
sì jì dòu	14-48540-B
sì jì dòu fu	14-48594-B
sì jì dù	48-12948-S
sì jìn	14-53322-B
sì jìng	14-47537-B
sì jí	14-52142-B,48-13166-S
sì jí gòng zhèn	33-56385-S
sì jī	4-62033-B
sì jūn	30-45522-S
sì kù	14-49845-B
sì kù quán shū	14-49928-B
sì kě	18-32041-S
sì liào	10-927-S,48-50187-S,67-59766-S,69-6892-B
sì liáo	69-3117-B
sì lín	14-53697-B
sì lún mǎ chē	14-53190-B
sì lún qū dòng	14-53251-B
sì lǜ huà tàn	14-51447-B
sì lǜ yǐ xī	14-51376-B
sì miàn	14-53898-B
sì miàn bā fāng	14-53941-B
sì miàn chǔ gē	14-54038-B
sì miàn tǐ	14-54168-B
sì miào	20-32133-B
sì mén jiào chē	14-53825-B
sì nián	14-49639-B
sì nián qián	14-49778-B
sì nián zhì de dà xué	14-49683-B
sì niǎo	4-62958-B
sì niǎo kǒng lóng	4-63001-B
sì nüè	52-4011-B
sì páng	14-50588-B
sì píng	14-49191-B
sì píng bā wěn	14-49300-B
sì píng dì qū	14-49426-B
sì píng shì	14-49519-B
sì qiáng	14-50046-B
sì qiān	14-47274-B
sì qí	17-56084-S
sì qī	18-31353-S
sì qīng dà má fēn	14-51285-B
sì qǐ	14-53119-B,40-43732-S,40-43948-S,42-10399-S
sì rén bāng	14-46254-B
sì shuǐ	33-44372-S,37-35525-B
sì shé	22-2707-B
sì shì jiàn	7-66951-S
sì shì tóng táng	14-46064-B
sì shì ér fēi	4-62421-B
sì shí	14-46943-B,52-3823-B
sì shí duō	14-47218-B
sì shí liù	14-47162-B
sì shí sān	14-46984-B
sì shí èr zhāng jīng	14-47042-B
sì shēng	14-52391-B
sì shě wǔ rù	14-50208-B
sì shū	14-50796-B
sì shǐ	3-34457-S
sì suì	14-25529-B
sì sàn	14-50311-B
sì tiān	14-48358-B
