bian4 li4 chang3	61-28196-S
bian4 lian3	59-11312-B
bian4 lian4	56-48662-S
bian4 liang4	2-31421-S,14-62201-S,53-14143-S,59-12442-B
bian4 liu2 qi4	59-10193-B
bian4 lu:4	8-58805-S
bian4 luan4	59-7020-B
bian4 lun4	15-48539-S,40-27683-S,61-38283-B
bian4 mai4	59-11660-B
bian4 mao4	5-29185-B
bian4 men2	5-30483-B
bian4 mi4	5-29988-B
bian4 mi4 jie2	17-5815-S
bian4 mian4	30-61872-S
bian4 ming2	61-35797-B,61-37651-B
bian4 nan4	5-30539-B,61-39020-B
bian4 neng2 li4	38-6682-S
bian4 nuan3	2-41378-S,7-39375-S,7-39804-S,59-9483-B
bian4 pen2	5-29946-B
bian4 pin2	59-12737-B
bian4 qian1	59-12341-B
bian4 qiao2	5-29727-B
bian4 qu1 xian4	56-48534-S
bian4 re4	56-48605-S
bian4 ren2	5-28478-B
bian4 ren4	61-35943-B,61-38102-B
bian4 ruan3	59-11934-B
bian4 se4	59-11386-B
bian4 se4 long2	59-11473-B
bian4 shen1	62-42608-B
bian4 sheng1 zhou3 ye4	59-10542-B
bian4 shi2	26-32407-S,61-36175-B
bian4 shi4	5-28741-B,61-37407-B
bian4 shu1 mai4	2-32857-S
bian4 shu4	58-15399-S,59-9184-B
bian4 shuo1	40-27530-S,61-38229-B
bian4 su4	59-12105-B
bian4 su4 gan3	59-12232-B
bian4 su4 qi4	26-32078-S,59-12162-B
bian4 su4 xiang1	59-12287-B
bian4 sui4 pian4	56-55188-S
bian4 tai4	59-8533-B
bian4 ti3	59-12792-B,62-42663-B
bian4 ti3 lin2 shang1	62-42714-B
bian4 tian1	59-7759-B
bian4 tiao2	5-29618-B
bian4 tiao2 zhi3	5-29669-B
bian4 tong1	59-11976-B
bian4 tong2 wei4 su4	56-54816-S
bian4 tong3	5-29571-B
bian4 wan4 zhen3	10-50420-S
bian4 wei2	59-10415-B
bian4 wen1 ceng2	59-10340-B
bian4 wen1 dong4 wu4	59-10247-B
bian4 wen2	59-9227-B
bian4 wu1	61-38176-B
bian4 wu3 qi4	51-55707-S,56-54977-S
bian4 xi1	61-35871-B
bian4 xi4 fa3	59-8674-B
bian4 xiang4	59-11026-B
bian4 xie2	5-30614-B
bian4 xie2 shi4	5-29379-B
bian4 xie3	5-30093-B
bian4 xin1	59-8430-B
bian4 xin4 yang3 zhe3	29-45696-S
bian4 xing1	59-9434-B
bian4 xing2	33-62535-S,59-8131-B
bian4 xing2 chong2	59-8222-B
bian4 xing2 xiang4	29-45774-S
bian4 xing4	31-52400-S,59-8485-B
bian4 xing4 jia3 she4	31-52467-S
bian4 xiu1	59-7079-B
bian4 xue2	38-6628-S
bian4 ya1 qi4	59-7642-B
bian4 ya1 xian4	48-19315-S
bian4 yan4	5-29135-B
bian4 yang4	59-9872-B
bian4 yang4 r5	59-9946-B
bian4 ye3	13-33136-S,39-37941-S,39-52449-S,39-52589-S,69-14376-S
bian4 yi1	5-30155-B
bian4 yi2	5-28837-B
bian4 yi2 xing2 shi4	5-28970-B
bian4 yi4	59-10781-B
bian4 yi4 xing2 Ke4 Ya3 shi4 zheng4	59-10824-B
bian4 yi4 zhu1	59-10948-B
bian4 ying4	59-11087-B
bian4 yu2	5-29433-B
bian4 zha4 dan4	56-55046-S
bian4 zheng1	61-37718-B
bian4 zheng4	61-36002-B,61-38335-B
bian4 zheng4 fa3	61-38651-B
bian4 zheng4 lun4 zhi4	61-36050-B
bian4 zheng4 shi1 zhi4	61-38497-B
bian4 zheng4 wei2 wu4 zhu3 yi4	61-38395-B
bian4 zhi3 zhi1 sheng1	59-8328-B
bian4 zhi4	59-11720-B
bian4 zhi4 yan2	59-11864-B
bian4 zhi4 zuo4 yong4	59-11786-B
bian4 zhong1	5-28400-B
bian4 zhong3	59-11130-B
bian4 zhu1	47-53946-S
bian4 zi1 ben3	2-31350-S
bian4 zi5	51-20623-S,61-37125-B
bian4 zou4	59-7844-B
bian4 zou4 qu3	59-7888-B
bian4 zu3 qi4	59-12487-B
bian5	1-56597-S,1-63652-S,7-48129-S,9-25002-S,11-4261-S,12-23532-S,16-51284-S,33-24798-S,63-11219-B,63-17676-S
bian5 gu3	30-14214-S
bian5 r5	1-56710-S,1-63711-S,9-25069-S,11-4341-S,12-23615-S
biao	1-30647-S,1-38018-S,1-51054-S,1-60670-S,2-73874-S,3-13564-S,3-17679-S,4-11729-S,4-33061-S,5-40562-S,5-40606-S,5-45180-S,5-50902-B,6-53535-S,6-54151-S,6-54452-S,6-57006-B,6-62839-S,7-10462-S,7-27248-S,7-38048-S,8-66950-S,8-67578-S,9-50181-S,13-60658-S,15-10171-S,15-21009-S,15-27141-S,15-27946-S,15-41959-S,15-44653-S,15-45041-S,15-48363-S,16-11499-S,16-12063-S,16-22054-S,16-50406-S,16-54375-S,18-17614-S,18-53026-B,19-46234-S,21-26132-S,21-38501-S,21-53609-S,22-26686-S,22-64550-S,22-64630-S,23-56407-B,26-1806-S,26-36743-S,27-2247-S,27-42625-S,27-60082-S,29-4939-B,29-35066-S,31-835-S,31-26142-S,31-31669-S,31-32109-S,31-42599-S,31-55636-S,33-7803-B,33-64038-S,34-12273-S,34-12456-S,34-34875-S,34-52202-B,35-7987-S,36-27941-S,36-46510-S,37-44167-S,38-13552-S,38-57145-S,39-21430-S,39-22090-S,39-31663-B,40-13419-B,40-31955-S,41-14834-B,41-18209-S,42-11462-B,43-44205-S,43-47698-S,44-19517-B,44-33738-S,45-17169-S,45-24376-S,45-40827-S,45-56382-S,46-25851-S,47-26383-S,47-43855-B,48-14366-S,49-53575-S,50-28857-S,51-60431-S,52-47219-B,52-53386-B,53-34118-S,53-34889-S,54-36125-S,54-46482-S,55-35267-B,55-52848-S,56-43022-B,57-2780-B,57-34521-S,57-45320-S,57-58315-S,58-13208-S,58-34780-S,58-34842-S,59-1253-S,59-52795-S,60-21670-S,60-36521-S,60-42902-S,60-51846-S,62-27509-S,62-29759-S,62-54175-S,64-45518-S,64-49171-B,64-56471-S,64-58393-B,65-438-S,65-7233-B,66-50764-S,67-36015-S,67-38364-S,68-14660-S,68-53926-S,68-59375-B,68-61978-B,68-62292-B,69-21954-S,69-65025-B,70-8147-S,70-9731-S,70-24450-B,70-39007-S,70-47025-B,71-8928-B,71-49596-S
biao bai	56-45683-B
biao bang	34-53633-B
biao bao	56-43705-B
biao ben	34-53242-B,34-58234-S
biao ben chong	34-53333-B
biao bing	23-56544-B,34-52379-B
biao bing zhen	62-25879-S
biao bu zhi ben	37-24607-S
biao ce	56-43380-B
biao ceng	56-44293-B
biao che	68-62197-B
biao cheng	34-55415-B
biao cheng he wu qi	34-55497-B
biao chi	34-52652-B,56-44237-B
biao da	15-67507-S,56-46719-B
biao da hui	7-35145-S
biao da shi	56-46881-B
biao da shi yu zheng	56-46795-B
biao dai	64-49224-B
biao deng	34-55049-B,53-34186-S
biao di	34-52804-B,34-55223-B,56-44342-B
biao di zhi	45-17320-S
biao dian	34-56699-B
biao dian fu hao	34-56778-B
biao ding	34-52607-B
biao du	34-52892-B
biao dui	4-33361-S
biao fa	22-64710-S
biao feng	68-62247-B
biao gan	34-53394-B,34-55578-B
biao gao	34-56649-B
biao ge	34-53584-B,56-43584-B,56-45118-B
biao gu	56-44083-B
biao guan	56-46320-B
biao hao	34-55859-B
biao hu	57-2833-B
biao hui	34-55773-B
biao ji	11-21370-S,29-9788-S,34-55899-B,56-46364-B,65-2122-S
biao ji yu yan	12-14179-S,60-21389-S
biao jia	34-52319-B,34-53446-B
biao jiao	70-47081-B
biao jie	34-55151-B,56-43937-B
biao jie mei	56-44007-B
biao jin	34-56307-B
biao jue	7-61111-S,56-45162-B
biao jue bi li	8-39378-S
biao jue quan	56-45216-B
biao ke	64-58439-B
biao kong jian	22-64784-S
biao kou shui	68-62063-B
biao lai kan	24-11253-S
biao li	56-46148-B
biao liang	34-56255-B
biao ling	52-45494-S,70-49478-S,71-17462-S
biao ling he gan san lin suan	52-45563-S
biao lu	56-46962-B
biao ma	15-10233-S
biao mai	34-56179-B
biao mei	56-43770-B
biao meng zi	64-49392-B
biao mian	32-28412-S,56-47007-B
biao mian de	56-47463-B
biao mian hua	56-47150-B
biao mian huo hua ji	56-47306-B
biao mian huo xing ji	56-47384-B
biao mian xin xi	56-47074-B
biao mian zhang li	56-47232-B
biao ming	34-53193-B,56-45018-B
biao pai	34-55104-B
biao pan	64-49280-B,64-49342-B,65-381-S
biao pi	56-45727-B
biao pi bo tuo su	56-45778-B
biao pi pei zuo ye	45-17224-S
biao qi	19-46323-S,71-49647-S
biao qian	6-53469-S,12-57562-S,34-55672-B
biao qiang	34-53724-B
biao qin	56-46268-B
biao qing	40-61310-S,56-44544-B,68-3761-S
biao sai	64-45571-S
biao sheng	68-62011-B
biao sheng ming	44-33899-S
biao shi	7-61556-S,22-28558-S,34-55372-B,56-45851-B
biao shi ceng	56-45940-B
biao shi chang	45-17409-S
biao shi jing yi	56-46005-B
biao shou	34-52494-B
biao shu	56-43454-B,56-46635-B
biao shuai	56-45381-B
biao shui	15-44713-S
biao tai	56-44877-B
biao ti	20-65632-S,34-56496-B
