palaestra	39-4549-B
palam	20-2173-B
palea	8-1379-B
palestra	14-4608-B
palificare	18-1099-B
paliurus	3-6795-B
pallens	20-5357-B
palleo	6-4378-B
pallesco	1-1065-B
palliata	8-3885-B
pallidus	20-5417-B
pallium	9-4077-B,9-4164-B,25-4591-B
pallor	20-5455-B
palma	14-2149-B,20-5573-B
palmarium	12-1439-B
palmula	7-518-B
palor	1-8390-B
palpito	27-3555-B
palpo	8-21-B,32-2117-B
paludis	18-2239-S
paludosus	26-1758-B
palus	20-5319-B,25-3830-B
palus, paludis	18-2239-B
palus[noun]	22-2765-B
paluster	18-2267-B
pando	34-5277-B,37-6317-B
pandus	10-212-B
pango	32-3067-B,35-2766-B
panis	2-2843-B
pannosa	26-3103-B
pannus	22-3453-B,26-1732-B
panthera	17-3276-B
panton	12-938-B
papas	39-6498-B
papaver	21-3477-B
papilla	26-4052-B
pappo	5-5547-B
papula	3-6719-B
par	11-6450-B
paratus	21-5375-B,21-5514-B
paratus[adjective]	22-4812-B
parce	18-5546-B
parcius	23-6298-B
parco	1-2950-B,2-9972-B,37-3530-B
parcus	25-1931-B
pardus	20-5611-B
parens, parentis	20-5636-B
parentela	17-275-B
parentes	22-6576-B
parentis	20-5636-S
pareo	1-1753-B,37-7377-B
paries parietis	41-671-B
parietis	41-671-S
parilis	24-4338-B
parilitas	11-6467-B
pario	28-7495-B,37-3560-B
pariter	5-1654-B,17-4400-B
paro	35-4161-B
pars	24-4059-B
pars, partis	20-5661-B
particeps	20-5698-B
partim	20-5768-B
partis	20-5661-S
parum	39-3752-B
parum minus minime	1-5343-B
parumper	13-2460-B,13-2483-B
parvulus	8-2682-B
parvus minor minimus	24-6293-B
pasco	33-1111-B
passer	25-1978-B
passim	4-6622-B,23-6390-B
passive	28-4127-S
past indidi)	31-6509-S
pastor	24-3321-B
pastus	20-6154-B
patefacio	31-1779-B
patella	10-6424-B
pateo	28-5655-B,28-5945-B
pater, patris	12-4279-B
paterna	19-5500-B
paternus	19-5539-B
patesco	28-5316-B
patibilis	11-5485-B
