ientaculum	7-2968-B
iento	31-4564-B,31-4588-B
igitur	4-6548-B,27-2016-B
ignarus	15-5355-B,39-6873-B
ignavus	17-2421-B
ignem[noun]	12-6423-B
igneus	12-5900-B
ignis	12-6459-B
ignominia	10-6454-B
ignoro	28-4955-B,28-5077-B
ignosco	35-922-B
ignotus	40-2192-B
ii, itum[verb]	14-2408-S
iiii)[adjective]	13-5005-S
ile	14-4586-B
ilicet	16-5759-B
ilico	20-836-B
ilico, illico	20-868-B
illa	2-958-B,2-1537-B,2-5474-B,2-5829-B
illa illud	26-4701-S
illac	20-4689-B
illacrimo	1-2243-B
illae ille	2-844-B,2-9184-B
illaesus	40-1601-B
illarum	2-720-B
illas	2-454-B
illata	13-6605-B
illaturos	13-6562-B
ille	2-844-S,2-3156-B,2-9184-S
ille illa illud	26-4701-B
illecebra	5-2188-B
illectus	5-2135-B
illi	1-9228-B,2-4043-B,2-4426-B,2-5109-B
illiam	2-1132-B
illic	27-1952-B
illicitus	40-2317-B
illico	15-5610-B,20-868-S
illis	2-321-B,2-588-B,2-3610-B,2-3797-B,2-5413-B,2-5580-B,2-7907-B
illius	2-1361-B,2-2969-B,2-6438-B
illo	2-4165-B,2-6080-B
illorum	2-3917-B,2-5696-B
illos	2-3730-B
illuc	27-2940-B
illud	2-6254-B,2-6555-B,26-4701-S
illudo illusi illusum	34-6588-B
illudo-si-sum	3-2221-B
illum	2-4335-B
illusi illusum	34-6588-S
illustrator	11-5694-B
illustratus	23-319-B
illustris	12-3775-B
illustro	34-2631-B
illusum	34-6588-S
imago	15-5504-B
imbecillitas	16-2326-B
imbellis	40-3521-B
imber, ymber	22-3564-B
imbibo	15-5527-B
imbrium	19-6087-B
imbuo	33-4757-B,37-3237-B
imcomposite	4-5889-B
imitabilis	15-5589-B,26-4621-B
imitari[adjective]	22-5014-S
imitari[noun]	22-4982-S
imitor	33-4773-B
immanis	18-5998-B
immanitas	15-1646-B
immaniter	11-1950-B
immarcescibilis	40-1210-B
immensus	40-4983-B
immerito	4-6775-B
immineo	33-2325-B
imminuare[verb]	4-3247-B
imminuens, remittens[adjective]	4-3025-S
imminui, remissi[verb]	4-2900-S
imminuit, remittit[verb]	4-2986-S
immitis	23-4237-B
immo	7-4752-B,19-1595-B
immo)	20-697-S
immodicus	15-5630-B
immortalis	15-5680-B
immotus	40-2529-B
immunda	40-299-B
immundus	13-4730-B
immunis	12-1642-B
impedimentum	15-2471-B
impedio	11-5971-B,31-5801-B
impeditio	15-2529-B
impeditus	11-5905-B
impedo	31-5745-B
impello	31-4070-B,37-5846-B
impello impuli impulsum	37-455-B
impendeo	33-2433-B
impendium	12-1900-B
impendo	31-7250-B,34-400-B
impenetrabiilis	15-5701-B
impensa	12-1976-B
imperator	8-4763-B
imperceptus	40-2623-B
imperiosus	15-5830-B
imperito	33-876-B
imperium	21-3850-B,25-1748-B
impero	30-1733-B,32-6422-B
imperterritus	40-601-B
impertior	29-1499-B
impervius	40-2601-B
impeto	28-2329-B
impetro	32-5903-B,35-5275-B
impetus	6-1680-B,6-1742-B,40-5077-B
impiger	10-5417-B,16-1933-B
impigre	10-5471-B
impingo	33-4636-B
impirius	12-5948-B
impius	40-1482-B,42-1421-B
implacabilis	39-6900-B
impleo	32-2518-B,32-2580-B,32-2712-B
imploratio[noun]	21-4541-B
impono	34-382-B,35-2356-B
importunitas	16-3937-B
importunus	40-3106-B,40-3170-B
impraesentiarum	13-2752-B
imprecor	30-5310-B
imprimis	12-287-B
improbitas	10-3347-B
improbus	16-2844-B,20-4321-B
improvidus	15-6139-B
improviso	40-1097-B
impudens	15-6197-B
impudenter	15-6251-B
impugnatio	2-2783-B
impugno	28-2186-B
impuli impulsum	37-455-S
impulsum	37-455-S
impunitus	40-2708-B
imputo	34-439-B
in	1-279-B,1-1097-B
in cognitatione defixus[adjective]	18-3350-B
in dubium	29-5548-S
in excelsis	16-477-B
in libro continetur[noun]	9-1563-S
in loco insidiarum	34-2245-S
in me est	5-6560-S
in mentionem	33-2588-S
in passive	28-4127-S
in praesentia	13-2810-B
in promptu esse	28-5818-S
in promptu habere	33-3086-S
in promptu ponere	34-4701-S
in prosperum	38-6099-S
in puppi	4-2158-B
in satan)[noun]	10-4742-S
in the shade of an umbrella)[noun]	24-2586-S,24-2668-S
inaestimabilis	16-2674-B
inaestimandus	16-4979-B
inaestimatus	40-1049-B
inanis	11-5109-B,40-4385-B
inasnum	19-1153-B
incalesco	14-2211-B
incassum	16-923-B,34-7238-B
incauta	22-5258-B
incedo	28-2702-B,34-6895-B
incendia	12-6471-B
incendo	37-296-B
incentivus	22-1481-B
inceptor	6-5591-B
inceptum	6-5610-B
incertus	40-167-B
incessanter	16-1115-B
incessus	20-5015-B
incestus	17-3720-B
inchoatus	40-1314-B
incido	32-913-B
incido in mentionem	33-2588-B
incipio	38-1469-B
incito	31-6961-B,37-4768-B
inclino	29-1154-B,29-1263-B
inclitus	8-1125-S,15-5482-B
includo	37-1843-B
inclutus inclitus	8-1125-B
incoctum	1-8683-S
incogitania	27-3327-B
incogitatus	27-3221-B
incogito	35-2408-B
incognitus	40-2237-B
incohare	29-645-S
incoho, incohare	29-645-B
incol, ae	23-939-B
incola	23-1064-B
incola, ae	23-1001-B
incolere	33-5262-S
incolo	36-3380-B
incolo, incolere	33-5262-B
incolumis	40-1920-B
incolumitas	23-5487-B
incomitatus	5-2509-B
incommendatus	42-1034-B
