matera, mairia	3-356-B
munia	39-5616-B
munificator	6-6543-B
munifico	35-4279-B
munificus	19-999-B
munimen	13-4105-B
munimentum	13-4057-B
munio	32-4648-B
munita	13-4128-B
munitio	13-4170-B,22-3711-B
munitus	13-4151-B
munus	14-1458-B
munus, muneris	24-1968-B
muris	19-606-S
murmur	23-3383-B
murus	6-3935-B
mus, muris	19-606-B
mus[noun]	19-590-B
mussito	33-1984-B
mutatio	8-1635-B
mutatus	5-2648-B
muto	22-1797-B,29-7331-B
mutuo	29-2650-B
mutuum	34-4282-S
mutuus	3-6060-B,16-4676-B,22-5184-B
n)[adjective]	27-3383-S
n.)	22-670-S
n.) (as the metal)[noun]	16-5296-S
n.)[noun]	9-2628-S,9-2660-S,20-2784-S
naevus	12-4600-B
nam	7-4520-B,7-4544-B,8-6990-B,13-2973-B
nam, namque	1-7679-B
namque	1-7679-S,13-2596-B
namucense	19-1324-B
narro	34-5322-B,37-379-B
nasci natus	28-4082-S
nascor nasci natus	28-4082-B
natalis	7-223-S
natalis natalis	7-223-B
natio	19-1457-B
natio nationis	19-1479-B
nationis	19-1479-S
nativitas	7-206-B
natu	1-3391-B,11-4383-S
natura	19-1559-B
natus	28-4082-S
nauta	23-5604-B
navale	24-3444-B
navem	31-4888-S
navigatio	41-394-B
naviger	24-3422-B
navigio	36-5858-S
navigium	19-1574-B
navigo	36-5832-B
navis	24-3390-S
navis navis	24-3390-B
navitas	11-5549-B
ne	1-7731-B
ne .. quidem	19-3501-B,19-3527-B
ne multus	7-3260-S
nebulosus	18-5169-B
nec	5-4107-S,8-6971-B,19-2512-S
nec .. nec	19-2512-B
nec tamen	5-4131-B
nec... "neither... nor..."[conjunction]	19-3361-S
nec... nec... "neither... nor..."[conjunction]	19-3361-B
nec[conjunction]	19-3340-B
necare, necavi, necatum[verb]	17-208-S
necatum[verb]	17-208-S
necatus[adjective]	17-249-B
necavi, necatum[verb]	17-208-S
necdum (neque dum)	5-4075-B
necessarius	19-1848-B,19-2009-B
necesse	1-4195-B
necessitas	19-1966-B
necne	20-2922-B
necnon	5-4035-B
neco	33-6740-B,37-2631-B
neco, necare, necavi, necatum[verb]	17-208-B
necto	32-1744-B,38-3537-B
nefandus	4-3702-B
nefarius	12-1558-B
nefas	42-3047-B
neglectum	24-5734-B
neglego	31-2322-B
negligentia	7-6302-B
nego	30-7057-B
negotium	11-4950-B,20-5221-B
neither... nor..."[conjunction]	19-3361-S
nemo	19-3120-B
nemorosa	24-2732-B
nemorosus	42-1999-B
nemus	39-5270-B
neo	37-4132-B
nepos nepotis	14-3254-B
nepotis	14-3254-S
nequam	40-6321-B,42-2561-B
nequaquam	7-5254-B,16-190-B
neque	19-2447-S
neque .. neque	19-2447-B
neque dum)	5-4075-S
neque nec	5-4107-B
nequeo	19-3917-B,19-3958-B
nequequam	7-5289-B
nequiquam	14-15-B
nequiter	42-2916-B
nequitia	40-6334-B
nequitia nequities	42-2602-B
nequities	42-2602-S
nescio	28-5019-B
neut. pl)	41-2595-S
nex	40-6622-B
nexus	12-4064-B
nichilominus	19-2663-S,19-2719-B
nidor	40-4822-B
niger	7-469-B
nihil	2-9613-B
nihil (indecl.)[noun]	19-4059-B
nihildom	19-4089-B
nihilominus	19-2746-B
nihilominus nichilominus	19-2663-B
nihilum	19-4114-B
nimirum	19-5755-B
nimis	1-5700-B,4-6731-B
nimium	1-5746-B
nisi	15-5241-B
nisus	12-1755-B
niteo	37-1284-B
nitesco	29-548-B,29-791-B
nitida	14-2016-B
nitidus	7-3336-B
nitor	7-3478-B,25-2767-B,31-5190-B,36-3681-B,37-6903-B
nivellensem	19-3078-B
niveus	41-4528-B
nixor	34-1074-B
nixus	25-4913-B
no	1-6230-B,2-5002-B
no translation[noun]	20-5071-B
nobis	1-3506-B,1-8010-B
nocens	6-3141-B
noceo	1-1851-B,11-1098-B
noctis	19-3019-S
noero, noro	33-7102-B
nolens	40-3620-B
nolle, nolui	28-6982-S
nolo	38-3861-B
nolo, nolle, nolui	28-6982-B
nolui	28-6982-S
nomen	19-1279-B
nomen romanorum	23-3642-B
nominatim	7-5224-B
nomine tenus	19-3271-B
nominor	28-5921-B
non	19-4024-B
non secus, haud secus	16-6717-S
non solum .. sed etiam	19-3633-B,19-3678-S
nondum	19-4008-B
nonnisi	19-4033-B
nonnullus	25-677-B
nonnumquam	25-1196-B
nonus	19-3065-B
nor..."[conjunction]	19-3361-S
norma	20-3441-B
normalis	22-5967-B
noro	33-7102-S
