leodium	17-3863-B
lepide	8-2174-B
lepidus	8-2130-B
lepor	29-7408-B
lepor lepos	8-2096-B
lepos	8-2096-S
lepus	14-5670-B
lesciense, monastery of	17-3878-B
lesio	23-2218-S
letabilis	16-6337-S
letalis	19-160-B
letaliter	19-208-B
letanie	17-4658-B
letatio	22-6159-S
lethargus	11-2487-B
leticia	12-5489-S
letifer	10-1481-B,10-1608-B
letifico	32-2248-S
letificus	14-1877-S
letitia leticia	12-5489-S
leto	29-7571-S,33-6774-B
letor	36-1861-S
letum	10-1575-B
levamen	5-1932-B
levamentum	8-4640-B
levatio	5-1986-B
leve	17-3017-S
leviculus	11-5136-B
levidensis	27-2459-B
levis	3-657-B,17-4061-B,22-3838-B
levitas	17-4199-B
leviter	17-4164-B
levo	35-7618-B,37-3105-B
levus	13-2139-S,27-97-S
lex	17-2247-B
lex legis	17-2202-B
lex,legis[noun]	17-2182-B
libatio	17-3735-B
libellus	17-4696-B
libens	42-709-B
libenter	41-5775-B
liber	8-2739-B
liber libera, liberum	13-5764-B
liber libri	7-1951-B
libera, liberum	13-5764-S
liberalis	9-3531-B
liberaliter	9-3698-B
liberatio	22-6605-B
libere	13-5959-B
libero	34-2380-B,37-399-B
libertas	13-5873-B
liberum	13-5764-S
libet	28-5685-B
libido	41-4362-B
libra	23-6099-B
libramen	21-3159-B
libri	7-1951-S
libro	34-175-B
libro continetur[noun]	9-1563-S
licens	40-1716-B
licentia	17-3774-B
licentio	28-2550-B
liceo	28-7094-B
liceor	34-7951-B
licet	1-7055-B,14-3278-B,15-5731-B
licito	36-7339-B
licitus	21-220-B
ligamen	25-5457-B
ligatio	15-6065-B
lignarius	8-0-B
lignator	42-1977-B
ligo	29-1916-B
lima	12-6186-B
limbus	6-3474-B
limen, limina	27-3530-B
limes	7-2305-B
limina	27-3530-S
limito	7-2481-B
limus	19-845-B
lingua	17-1636-B
linio	29-1458-B
lino	37-2876-B
linquo	32-4629-B
linteo -onis (m)[noun]	14-4646-B
linteum	17-4524-B
liquidus	13-1607-B,17-4479-B
liquor	13-1666-B
litigatio	11-346-B
litigiosus	9-1504-B
litigo	27-4112-B,35-7217-B
litis	11-268-B
lito	35-5664-B
littera	17-3424-B
litterae	2-7686-B
livor	7-400-B
loci	2-7801-B
loco	28-1930-B,35-2326-B
loco insidiarum	34-2245-S
locuples	20-2821-B
locupletatus	11-5826-B
locupleto	31-5681-B
locus	21-1801-B
locutus	36-6112-S
lodices, -ium[noun]	21-1486-B
lodix, -icis[noun]	21-1460-B
loginquitas	11-450-B
longaminus	20-6304-B
longe	12-3858-B
longe lateque	12-3793-B
longinquus	23-154-B
longitudo	17-3237-B
longus	17-5462-B
loquacis	26-2991-S
loquacitas	11-4652-B
loquax, loquacis	26-2991-B
loquor, locutus	36-6112-B
lorica	15-136-B,17-2816-B
loricatus	41-2171-B
lorum	27-3002-B
lubricus	20-293-B
lucerna	17-1497-B
lucidus	6-2145-B
lucinaria	17-1511-B
lucis	17-4147-S
lucis[noun]	17-3973-S
lucror	32-5356-B
lucrosus	21-6692-B
lucrum	14-616-B
luctisonus	23-5227-B
luctuosa	12-5262-B
luctus	17-1395-B
luculenta	25-2609-B
lucus	27-2188-B
ludicer	21-2381-B
ludicrum	14-664-B
ludio, ludius	4-5083-B
ludius	4-5083-S
ludo, lusi, lusum	35-2611-B
ludus	14-637-B
lues	21-2026-B
lugeo	34-6743-B
lugo	19-521-B
lugubris	19-533-B
lumen	17-3995-B,26-5412-B
luminare, luminaris	41-5902-B
luminaris	41-5902-S
luminarium	17-4037-B
luminosus	7-3417-B
luna	18-6054-B
luna[noun]	18-6038-B
lunae[noun]	18-6065-B
lunatus	9-4948-B
luo	38-6940-B
lupum	6-1520-S
lupus	42-1619-B
lusi, lusum	35-2611-S
lustro	38-569-B
lusum	35-2611-S
lutosensis	17-3590-B
lutosus	18-4899-B
lux lucis	17-4147-B
lux,lucis[noun]	17-3973-B
luxuria	18-42-B
luxus	10-1690-B
m)[noun]	14-4646-S
m.)	20-2686-S
m.) (as in satan)[noun]	10-4742-S
m.); magistra, -ae (f.)[noun]	18-2418-S
m.); magistrae, -arum (f.)[noun]	18-2581-S
m.)[noun]	5-6100-S,5-6146-S,9-4549-S,9-4627-S,9-4777-S,9-4813-S,10-4809-S,12-2474-S,12-2512-S,20-2366-S,21-4315-S,21-4368-S,22-702-S,22-743-S,22-786-S,24-1190-S,40-5405-S
m/f, n)[adjective]	27-3383-S
macellarius	7-4693-B
macer	27-2367-B
macero	37-3372-B
machina[noun]	18-354-B
macies	27-2490-B
macilentus	17-2749-B
macresco	28-7948-B
mactabilis	10-1454-B
macto	34-3992-B
macula	25-3487-B
maculo	37-4864-B
maculosus	25-2906-B
madesco	32-5883-B
madide	11-2629-B
madidus	41-3504-B
mador maero	33-1169-B
maero	33-1169-S
maeror meror	19-552-B
magalia	17-4745-B
magis	18-6265-B
magister	16-4226-B,18-2471-B
magister, -tri (m.); magistra, -ae (f.)[noun]	18-2418-B
