subluceo	32-6814-B
subluo	39-1159-B
sublustris	12-3214-B
subnascor	33-1595-B
subnecto	29-1733-B,29-1952-B
subnego	12-3174-B
subnisus	22-550-S
subnixus	23-37-B
subnixus subnisus	22-550-B
subnoto	34-5951-B
subnuba	3-7363-B
subnubilus	20-5789-B
subo	28-5193-B
subobscenus	23-3193-B
subobscurus	25-1256-B
subodiosus	22-4182-B
suboleo	1-3243-B
suboles	20-82-B,24-3512-B
subolesco	33-1879-B
suborior	28-754-B
suborno	32-5139-B
subpono	35-6718-S,35-7097-S
subrectum	35-7448-S
subrepo surrepo	30-4697-B
subrexi subrectum	35-7448-S
subrideo subrisi subrisum	37-2968-B
subrigo, subrexi subrectum	35-7448-B
subringor	34-4256-B
subrisi subrisum	37-2968-S
subrisum	37-2968-S
subruo subruti subrutum	38-6956-B
subruti subrutum	38-6956-S
subrutum	38-6956-S
subsannatio	18-5356-B
subsanno	34-6642-B
subscalpo	34-7201-B
subseco	30-5329-B
subsentio	34-7338-B
subsequens	20-4968-B
subsequor	32-3901-B
subservio	28-6596-B
subsidarius	16-319-B
subsidium	23-805-B,26-1192-B
subsido	25-3794-B,30-4845-B
subsilio	39-3638-B
subsisto	28-6768-B,37-5414-B
substantia	25-6381-B
substerno	37-4318-B
substo	37-5017-B
substrictus	19-1341-B
substringo	31-3710-B
substructio	6-3980-B
substruo	29-4849-B
subsulto	37-4676-B
subsum subesse	28-5523-B
subter supter	6-5982-B
subterfugio	31-6423-B
subterlabor	32-6892-B
subtilis	21-5137-B
subtilitas	21-5155-B
subtraho	29-6347-B
subucula[noun]	41-646-B
subveho	29-6890-B
subvenio	30-1226-B,30-1372-B,30-1563-B
subversio	35-592-B
subvertio	31-686-B
subverto	35-616-B
succedo	28-534-B
succendo	33-6850-B
succenseo	28-5289-B
successio	26-57-B,26-133-B
succresco	33-1851-B
succumbo	38-519-B
succurro	28-2023-B,36-5341-B
sudo	38-4282-B
suetus	3-764-B
sufficiens	4-5306-B
sufficienter	5-722-B
sufficientia	5-685-B
sufficio	28-3604-B,28-6637-B
suffix) [conjunction]	5-3981-S
suffoco	30-141-B,37-6132-B
suffragium	16-4566-B,26-155-B,41-286-B
suffrago	38-239-B
suffulcio	35-5608-B
suffusus	15-5572-B
suggero	29-4535-B,31-6895-B
suggestus	21-2321-B
sui	15-2441-B
sui juris	20-1947-B
sui juris est	41-3634-S
suis, meis, etc	16-79-S
sulum	11-3257-B
sum	3-2221-S
sum fui futurus	28-7376-B
summa	26-5820-B
summisse	15-4669-B
summissus (from summitto)	17-3303-B
summittere	34-3872-B
summitto	2-9123-B,34-1737-B,36-7355-B
summitto)	17-3303-S
summoneo	32-5988-B
summopere	40-5608-B,40-5642-B
summus	4-3858-S
sumo	30-295-B,38-2057-B
sumptus	12-1953-B,12-2001-B
suo	37-6037-B
supellectilis	14-475-S,15-4057-B
supellex, supellectilis	14-475-B
super	1-5599-B,2-8798-B
superabundo-avi	28-7130-B
superbia	21-5864-B
superbiens	5-6066-B
superbus	20-4743-B
supercilium	15-215-B
superficies	26-1367-B
superfluo	13-1510-B
supergredior	37-5704-B
superior supremus or summus	4-3858-S
supermitto	35-3743-B
superna	19-3451-B,26-1063-B
superne	13-6248-B
supernus	4-3832-B
supero	28-3333-B,39-156-B
supersilium	15-240-B
