britones	7-3109-B
bucinum	39-6200-B
bulla	25-5823-B
but mind you..")[conjunction]	7-4381-S
byssus	9-3014-B
caballus	25-4090-B
cacumen	5-4968-B
cadaver	9-2891-B
cadens, imminuens, remittens[adjective]	4-3025-B
cadit, imminuit, remittit[verb]	4-2986-B
cado	32-1307-B
caecus	7-876-B
caecus[adjective]	7-852-B
caedes	7-6348-B
caedo	32-2207-B
caelebs	8-1213-B
caelestis	15-1363-B
caeli	24-5110-B
caelitus	13-6540-B
caelum	24-5505-B
caetera	27-550-B
calamitas	7-5486-B
calamitosus	10-5763-B
calamus	5-4868-B
calcar, -is	25-3042-B
calceata	20-6431-B
calco	38-5311-B
calculus	20-6921-B
caleo	28-7227-B
caliga	10-1005-B
caligo	28-7655-B,34-4879-B
calix	4-1426-B
callide	24-5197-B
calliditas	9-6232-B
callidus	8-3732-B
caltha	18-2053-B
calumnior	27-4990-B
calvities	6-3331-B
calvus	6-3318-B
calx	26-5672-B
camena	21-3032-B
camera	40-5037-B
caminus	3-4868-B
campana	6-5847-B
campeador	8-1514-B
campester	13-955-B
campitor	8-2036-B
campus	17-3629-B
camur	10-184-B
canalis	8-1824-B
cancer	9-4271-B
candela	26-3057-B
candelabrum	17-1473-B
candeo	37-1346-B
candide	20-2114-B
candidus	7-3384-B
canem et lupum	6-1520-S
canis	11-1208-B
canistrum	6-5341-B
canities	14-3881-B
canonicus	7-5835-B
canonus	7-5765-B
canto	37-2207-B
capillus	14-4938-B
capio	36-2779-B,38-2006-B
capistro	33-2183-B
capistrum	14-5068-B
capitagium	21-3305-B
capitale	8-658-B
capite	3-233-S
capitis	15-763-S
capitulus	8-1854-B
capra	24-3289-B
capreolus	23-3553-B
captio	15-6118-B
captivas	7-6060-B
captivo	38-1240-B
captivus	7-6042-B
capto	33-896-B,36-6939-B
captus	3-3184-B,26-2778-B
capulatio	10-1756-B
capulum	15-2349-B
capulus	8-4161-B
caput ieiunius	6-251-B
caput, capitis	15-763-B
carbasa	2-7251-B
carbaseus	18-390-B
carbasum	7-5903-B
carbasus	15-1971-B
carbo, carbonis	7-6080-B
carbonarius	3-3362-B
carbonis	7-6080-S
carcer	21-5920-B
carceres	27-881-B
carchesium	3-5083-B
cardiacus	19-6214-B
cardo	2-2584-B,3-1048-B
cardo duplex	3-3133-B,11-5446-B
carduus	27-2923-B
carectum	24-704-B
careo	1-61-B,1-295-B,32-2142-B
carex	2-2045-B
caries	23-3857-B
carina	26-5952-B
cariosus	23-3831-B
caris	2-2072-B
carisma	14-1518-S
caritas	8-2079-B,15-2099-B
carmen	25-1332-B
carnero	25-4287-B
carneus	18-464-B
carnifex	12-1611-B
carnificina	27-1287-B
carnifico	6-5799-B
caro	1-7239-B
carpe[preposition]	24-1013-B
carpo	35-2925-B
carptor	20-1508-B
carruca	13-5210-B
carrus	13-5175-B
carrus[noun]	41-489-B
caruncula	24-6219-B
carus	10-1505-B
casa	15-4958-B
caseus	8-2477-B
casia	4-1264-B
casses	3-6409-B
cassida	3-6181-B
cassis	3-6205-B
casso	16-908-B,29-4180-B
cassus	3-448-B,11-5042-B
castanea	3-3393-B
caste	22-2030-B
castellani	14-849-B
castellanus	22-6220-B
castellatim	16-373-B
castellum	8-532-B
castigatio	3-1456-B
castigator	20-1831-B
castigatus	23-1652-B
castigo	23-705-B
castimonia	22-2144-B
castitas	8-2250-B
castor	6-4975-B
castra	3-1496-B
castra aestiva	26-619-B
castra hiberna	42-226-B
castrensis	21-695-B
castro	8-592-B
castrum	8-469-B,13-4230-B
castus	8-3420-B
castus[adjective]	9-2078-B
casualis	4-4289-B
casula	8-2302-B
casus	3-4505-B,4-4180-B,4-4213-B,11-1581-B
catena	8-1392-B
caterva	9-5532-B
catervatim	16-690-B
cattus	8-646-B
cauda	27-1026-B
causa	2-2305-B,8-309-B,8-734-B
causidicus	5-545-B
caute, cautim	8-983-B
cautela	8-944-B
cautim	8-983-S
cautio	8-911-B
cautor	14-4184-B,20-1670-B
cautus	3-1560-B,3-1697-B,8-3018-B
cavare	18-1829-B
cavea	15-3039-S
caveo	3-1112-B,3-1985-B,3-2045-B,14-1693-B
caveo, cavea	15-3039-B
caverna	15-2995-B
cavo	15-2944-B
cavum	3-5594-B
cavus	3-929-B,15-2927-B
cecidi, imminui, remissi[verb]	4-2900-B
cedo	1-1538-B,33-730-B
cedo, cessi, cessum	33-974-B
celebratio	17-1684-B
celebrer	4-5407-B
celebris	8-1173-B
celebritas	9-5476-B
celebrus	4-3772-B
celer	22-3094-B
celeritas	25-2257-B
celeriter	22-3964-B
cella	23-3671-B
cellarius	4-5511-B
celo	33-3685-B
celox	19-5461-B
celsitudo	17-5215-B
celsus	11-4477-B
cena	10-5640-B
cenaculum	14-824-B
ceno	31-1452-B
censeo	5-5567-B,8-1231-B
censor	16-6392-B
censura	20-2225-B
census	14-1580-B,40-4223-B
centum	20-1392-B
cerealis	23-4877-B
cerno	35-1546-B,36-7695-B
cernuus	12-3449-B
certamen	9-1731-B,11-5615-B
certamen[noun]	9-1636-B
certare[verb]	9-1196-B
certat[verb]	9-1267-B
certatio[noun]	9-1659-B
certe, certo	1-4459-B
certo	1-4459-S,30-3970-B,37-7081-B
certus	10-1879-B,10-4602-B,40-784-B
cervix	19-1901-B
cervus	25-3325-B
cessi, cessum	33-974-S
cesso	34-1487-B
cessum	33-974-S
cetera	13-2841-B
ceteri	27-506-B
ceterum	1-5508-B
ceterus	27-368-B
chalybs	25-4121-B
charisma, carisma	14-1518-B
charitas	6-6268-B
charus	5-664-B
charybdis	41-4489-B
chirographum	6-2375-B
chorus	39-5873-B
cibaria	40-6201-B
cibo	13-1951-B
cibus	13-1974-B
cicuta	15-1841-B
cilicis)	14-5398-S
ciminatio	4-4793-B
ciminosus	23-626-B
cineres	6-281-B
cineris	6-304-S
cinis, cineris	6-304-B
circumsto	29-1438-B
circumvenio	29-1408-B,30-1013-B
citara	3-5411-B
citatio	26-752-B
citatus	22-3071-B,26-775-B
citius	25-2306-B
citivolus	26-2000-B
citizen[noun]	8-3094-B
