epos	11-6411-B
epotus	11-2565-B
eptheca	5-3204-B
epulae	4-2039-B
epulo	26-802-B
epulor	31-1466-B,32-1939-B,32-1971-B
epulum	3-2365-B
equa	3-6113-B
eques	15-3669-B
eques, equitis	15-3613-B
equester	2-9307-B
equidem	1-4542-B
equina	15-3588-S
equinus	11-6522-B
equipero	3-530-B
equitas	16-6808-S
equitatus	8-1050-B
equitis	15-3613-S
equito	1-6728-B,36-4473-B
equus	15-3534-B,17-3663-S
era	3-2315-S,18-5149-B
eradico	36-4760-B
erado, erasi, erasum	1-8887-B
erasi, erasum	1-8887-S
erasum	1-8887-S
ere, -monui, -monitum[verb]	5-400-S
ere, -stravi, -stratum[verb]	22-1052-S
ere, -ui, -utus[verb]	22-960-S
ere-ui	37-4907-S
erectus	22-1282-B,40-3905-B
erepo	30-4655-B
ereptio	24-1038-B,24-1086-B
ereptor	27-2223-B
ereptum	37-3129-S
erga	1-1287-B
ergastulum	4-1775-B
ergo	1-4732-B,2-1833-B
ericius	2-4780-B
erigo	28-862-B,31-6347-B
erilis	22-6267-B
eripio	37-3219-B
eripio, eripui, ereptum	37-3129-B
eripui, ereptum	37-3129-S
eris	24-4078-S
erogatio	20-6650-B
erogo	28-1255-B,31-1611-B
errabundus	41-1029-B
errans[noun]	12-59-B
errare[verb]	12-42-B
erratio	4-1562-B
erratum	12-4529-B
erratus	41-957-B
erro	32-7382-B,39-813-B
error	40-215-B,41-913-B
error, erroris	12-79-B
error[noun]	4-3364-B
erroris	12-79-S
erubesco	1-2511-B
erubescundus	25-1047-B
eruca	3-3512-B
eructo	1-6897-B,11-4310-B
erudio	35-3207-B,35-3235-B
eruditio	16-4172-B
erumpo	29-2900-B,29-2946-B
eruo	31-1363-B,35-2902-B
eruptio	5-3537-B
erus	18-2555-B
ervum	3-2742-B
esca	13-1933-B,13-2072-B
escendo, -scensi, scensum	28-1134-B
escensio	3-6283-B
esculentus	26-223-B
esito	1-6479-B
esse	19-1537-B,19-3981-S,28-4338-S,28-5818-S
esse suae potestatis	28-5610-B
esse[verb]	6-4245-B
essedarius	20-1567-B
essum	31-4753-S
est	5-6560-S,16-5997-S,16-6094-S,41-3634-S
est[adjective]	9-853-S
estas	26-666-S
estivus	21-989-S
estus	15-1194-S
esurio	28-4897-B
esuritio	15-4782-B
et	7-2421-S
et .. et	7-2421-B
et lupum	6-1520-S
et[conjunction]	5-3961-B
etc	5-4543-S,16-79-S,26-5278-S
etc.	5-1697-S,19-5170-S
etenim	13-2577-B
eternus	12-429-S
ethologus	3-6228-B
etiam	1-1316-B,1-6139-B,1-7096-B,5-912-S,5-4052-B,6-65-B,19-3633-S,19-3678-S,41-4915-S,42-3194-S
etiam atque etiam	5-912-B
etiamnun, etiamnunc	42-3400-B
etiamnunc	42-3400-S
etiamsi	12-635-B
etiamtum, etiamtunc	12-689-B
etiamtunc	12-689-S
etsi	1-3887-B
eu, euge, eugepae	14-2899-B
euge, eugepae	14-2899-S
eugepae	14-2899-S
