congrue	4-6525-B
congruens	5-5128-B
congruenter	14-5782-B
congruo	8-4204-B
congruus	5-1344-B,5-5165-B
conicio	33-4669-B
coniecto	38-3369-B
conitor	35-4666-B
coniuratio	9-367-B
coniuratus	9-396-B
coniuro	38-1038-B
conjugium	41-2314-B
conjugo	38-7356-B
conjunction, suffix) [conjunction]	5-3981-S
conjungo	38-7374-B
conjuratio	8-6547-B
conjuratus	26-2252-B
conjuro	38-7317-B
conjux	9-351-B
conluvies[noun]	18-3490-B
conluvio[noun]	18-3513-B
connecto	33-6194-B
connexio	7-1923-B
connubialis	24-2566-B
connubium	24-2542-B
conor	38-5649-B,38-7157-B
conqueror	30-2045-B
consanguinei	22-6514-B
conscendo	28-1199-B
conscendo navem	31-4888-B
conscientia	9-66-B
conscindo	38-2432-B
conscius	9-115-B,21-6049-B
conseco	31-2086-B
consecro	30-6233-B,30-6294-B
consectatio	25-5501-B
consenesco	33-1549-B
consensio	5-1422-B
consensus	26-2493-B
consentaneus	26-595-B
consentio	27-6418-B
consepio	33-3472-B
consequens	4-4493-B
consequentia	12-2618-B
conservo	35-4328-B
considero	30-3894-B,34-3232-B
consido	37-207-B
consiliarii	9-3062-B
consilio	16-4518-B
consilium	5-319-B,10-2738-B,10-2849-B
consimilis	4-5486-B
consisto	1-0-B,1-2411-B,38-1511-B
consitor	25-1786-B
consobrinus	18-2720-B
consolatio	11-5286-B
consolido	34-4901-B
consolo	30-1713-B
consonum	4-5378-B
consors	8-5147-B
consortio	20-5882-B
conspergo	37-4708-B
conspicio	29-7037-B,34-7514-B
conspicuus	25-5383-B
conspiratio	40-2000-B
constans	9-515-B,25-4033-B
constanter	25-3982-B
constantia	9-429-B
constat	16-5680-B
constipatus	26-1572-B
constituo	28-943-B,31-6476-B,32-3110-B,37-669-B
consto	28-4622-B
constrictio	29-1810-B
constrictum	29-1855-S
constringo	32-2307-B
constringo constrixi constrictum	29-1855-B
constrixi constrictum	29-1855-S
constructum	30-3703-S
construo	29-4507-B
construo, construxi, constructum	30-3703-B
construxi, constructum	30-3703-S
constupator	22-4407-B
constupro	36-127-B
consuasor	5-515-B
consuefacio	27-5103-B
consuesco	27-5155-B
consueta	10-385-B
consuetudo	10-319-B
consuetudo -inis (f)[noun]	14-4716-B
consui consutum	37-865-S
consul	18-694-B
consulatio	10-2795-B
consulo	1-1443-B,1-1595-B,34-3584-B,36-1483-B,38-1298-B
consulto	28-1465-B,30-3468-B,30-3811-B
consultum	5-382-B,10-2161-B
consummatio	8-5732-B
consummo	27-5514-B
consumo	31-1107-B,37-4069-B
consuo consui consutum	37-865-B
consurgo	37-5308-B
consutum	37-865-S
contabesco	39-1338-B
contactus	39-4235-B
contages	4-1118-B
contagio	16-2824-B
contagio contagium	9-641-B
contagium	9-641-S
contamino	30-6413-B,35-3348-B
contectum	7-2193-S
contego	30-2329-B,30-4476-B
contemnendus[adjective]	9-1041-B
contemno	30-6521-B,38-2886-B
contemplari[verb]	9-740-B
contemplatio	26-1596-B
contemplatio[noun]	9-796-B
contemplor	34-6011-B,34-7536-B
contemptim	9-1169-B
contemptio	24-47-B
contemptus	10-4200-B
contemptus[adjective]	9-1078-B
contemptus[noun]	9-936-B
contendere[verb]	9-1218-B,9-1682-B
contendo	28-1793-B,30-1848-B,30-4026-B
contente	11-3326-B
contentio	9-2450-B
contentio[noun]	9-1707-B
contentus	9-1373-B,25-4935-B
contentus[adjective]	9-1313-B,9-1342-B
contentus[noun]	9-1437-S,9-1528-S
contero	30-5080-B
conticeo	28-6292-B
conticinium	13-205-B
contigi, contectum	7-2193-S
contigo	2-9932-B
continens[adjective]	9-1988-B
continens[noun]	9-2106-B
continentia[noun]	9-2020-B
contineo	15-2726-B,33-4010-B,33-4351-B,33-6447-B,38-4683-B
contineo contigi, contectum	7-2193-B
continetur[noun]	9-1563-S
contingo	1-7794-B,30-2508-B,38-4510-B
continuo	1-5179-B,13-4022-B,33-6054-B
continuus	8-7122-B,40-1969-B
contorqueo	38-6732-B
contra	1-820-B,30-1537-S
contradico	37-3576-B
contradictio	4-554-B,9-2316-B,19-5331-B
contrado	30-6698-B
contraho	30-2548-B,32-5562-B
contrarius	9-2356-B
contrecto	38-4649-B
contremisco	38-5388-B
contremo	38-5474-B
contricio	9-5926-B
contristo	34-5632-B,36-5726-B
contubernium	6-3436-B
contumacia	5-6044-B
contumax	16-3973-B
contumelia	7-1230-B
contumeliose	16-3992-B
contundo	35-3470-B
conturbo	30-3176-B,31-138-B
convalesco	33-1687-B
convello	37-1161-B
conveniens	5-1312-B
convenienter	9-299-B
convenio	33-6152-B
conventio	9-3883-B
conventus	6-445-B,8-4694-B
conventus[noun]	18-3828-B
conversatio	13-6074-B,41-1670-B
converso	27-4763-B
converto	30-4178-B,38-5089-B,38-5798-B
convinco	35-368-B,35-399-B
convoco	29-5617-B
convulsus	24-3077-B
cooperio	9-4025-B
copia	4-3974-B,4-4092-B
copia cornu	13-6913-B
copiae copie	26-1153-B
copie	26-1153-S
copiose	14-361-B
copiosus	41-2006-B,41-3305-B
copula	7-1938-B
copulo or copulor	30-4380-B
copulor	30-4380-S
corbeiam	9-2851-B
corium	24-5441-B
cornu	13-6913-S,15-3477-B
corollarium	13-1557-B
corona	9-5579-B
corporeus	13-1363-B
corporis	7-1430-S
corpus, corporis	7-1430-B
corpus[noun]	41-620-S
correptio	23-686-B
correptius	18-6182-B
corrigia	22-6070-B
corrigo	1-7852-B,30-4262-B
corripio	36-7022-B
corroboro	37-6237-B
corrumpo	1-8599-B,29-3101-B
corruo	32-1067-B,38-5780-B
corruptio	11-1597-B
corturiacum	9-3821-B
corusco	32-7000-B
coruscus	1-3313-B
cos	41-4159-B
cotidie	10-643-B
cotidie (or cottidie)[adverb]	10-570-B
cottidie)[adverb]	10-570-S
coturnices[noun]	22-2807-B
coturnix[noun]	22-2786-B
courtacum	9-3843-B
coutor	28-2073-B
crapula	41-5955-B
cras	1-5663-B
crastinus	19-6132-B
creans, -ntis	9-4526-B
creare (inf.)[verb]	9-4472-B
creator	9-4583-B
creator, -oris (m.)[noun]	9-4549-B
creatores, -ium (m.)[noun]	9-4627-B
creatura	9-4663-B
creatus[adjective]	9-4499-B
creber	27-2154-B
crebra	13-6113-B
crebresco	38-3961-B
crebro	23-380-B
credebilis, -e[adjective]	9-4691-B
credebiliter[adverb]	9-4747-B
creditor, -oris (m.)[noun]	9-4777-B
creditores, -ium (m.)[noun]	9-4813-B
credo	29-880-B,29-1027-B
credule[adverb]	9-4920-B
credulitas	11-3646-B
credulitas, -atis (f.)[noun]	9-4851-B
credulus	14-159-B
credulus[adjective]	9-4890-B
cremo	30-3838-B
creo	30-4633-B
creperum	10-1035-B
crepido	2-2520-B
crepitaculum	3-7232-B
crepito	1-6687-B
creptio	26-2812-B
crepundia	4-1145-B
crepusculum	11-2867-B
cresco	1-7901-B
creta	8-1457-B
cretatus	8-1486-B
cretosus	4-3743-B
cretus	10-3669-B
cribro	37-2017-B
cribrum	24-4155-B
crimen	5-3153-B,8-782-B,14-4535-B
